公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 存入保證金增加,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 短期借款增加,　　 應收款項減少,　　 其他金融資產減少,　　 舉借長期借款,　　　　 其他項目
2328,2015年01月01日至2015年09月30日,,513996,513996,,,538191,27003,9020,-22090.0,17983,-41279,-72344.0,6,328,-11795.0,0,445023.0,,,-21423,559,-53048,-1526552,64408,-484171,-1538,-2021765,,936469,30109,-67490,-109929,-615,788544,-1233221,-788198,-274202,-136493,-410695,,0.0,0.0,-348062.0,12691.0,0.0,18032.0,-462317,794,-10221.0,-10746.0,5259.0,-69164.0,41858,72344.0,0.0,-749532,,-263588.0,-476667.0,672.0,-145137.0,-141957.0,-18495,-81706.0,-1126878,-131481,-2418586,6250471,3831885,3831885,,,,,,,,,,,,
2328,2015年01月01日至2015年06月30日,,77536,77536,,,358944,23250,15694,-22039.0,13044,-30072,-103.0,7,746,0.0,0,359471.0,,,-13825,-2783,226631,-57666,-62545,-281795,8900,-183083,,-76405,-59156,-135996,-63274,-583,-335414,-518497,-159026,-81490,-70501,-151991,,,,-348062.0,,,0.0,-177207,301,,-11934.0,-283539.0,-11502.0,29386,103.0,0.0,-802599,,-417539.0,-238333.0,,,-52555.0,-13435,-76710.0,-797925,-197627,-1950142,6250471,4300329,4300329,-145.0,647.0,,,,,,,,,,
2328,2015年01月01日至2015年03月31日,,-47764,-47764,,,180104,11120,12964,-1.0,7465,-15064,0.0,11,0,0.0,0,196599.0,,,-45,-4364,355729,632632,24003,-404799,10633,613789,,-608357,33337,-320701,-163277,58,-1058940,-445151,-248552,-296316,-27740,-324056,,0.0,0.0,0.0,0.0,0.0,0.0,-103774,170,,-12332.0,-23737.0,,13258,0.0,0.0,-122104,,-16193.0,0.0,0.0,0.0,,-7586,0.0,-23779,-89407,-559346,6250471,5691125,5691125,-25.0,,0.0,0.0,4336.0,,,,,,,
2328,2014年度,,589144,589144,,,671591,47843,1575,,38822,-73045,-17751.0,10452,-3558,-218978.0,210514,,,,-161,8525,-11546,58439,1662,-4376,44789,97332,,709246,-165445,-22892,42543,452,563904,661236,1328701,1917845,-220783,1697062,,-104004.0,247777.0,0.0,1648.0,487166.0,433604.0,-235468,32519,7810.0,,-318333.0,-2640.0,73452,17751.0,-22510.0,618772,,,-238333.0,-1392.0,-154730.0,,-39145,-61199.0,-150768,90473,2255539,3994932,6250471,6250471,,,0.0,0.0,,,667465.0,344031.0,,,,
2328,2014年01月01日至2014年09月30日,,461661,461661,,,500720,35661,2230,-4638.0,32111,-58215,-17469.0,10354,-3004,-214007.0,210514,494257.0,,,-118,5836,197810,14187,69643,161505,36643,485506,,846879,-590636,-94196,-45336,-11,116700,602206,1096463,1558124,-152305,1405819,,-104004.0,228018.0,0.0,1648.0,249289.0,433604.0,-178954,21963,7645.0,0.0,-496388.0,-1543.0,58342,17469.0,-21863.0,215226,,-95393.0,-238333.0,-749.0,-154730.0,0.0,-32278,-58820.0,-580303,56027,1096769,3994932,5091701,5091701,,,,,,,,,,,,
2328,2014年01月01日至2014年06月30日,,213082,213082,,,337131,24269,4475,-4606.0,25045,-42175,-77.0,10360,-1256,-141822.0,210514,421858.0,,,-489759,11452,80276,550578,138555,90401,17913,399416,,130645,-390209,-198700,-9085,-6,-467355,-67939,353919,567001,-102284,464717,,,,0.0,,,433604.0,-90692,18352,,0.0,0.0,-90233.0,42730,77.0,-21244.0,303232,,-92544.0,0.0,,,0.0,-25109,-57765.0,-176517,-15718,575714,3994932,4570646,4570646,10638.0,-1099.0,,,,,,,,,,
2328,2014年01月01日至2014年03月31日,,38177,38177,,,168450,12429,-1983,7926.0,17073,-28849,0.0,8742,-1353,0.0,69546,251981.0,,,-744225,11433,-122461,1122088,116562,235371,48040,666808,,-441012,-294154,-390004,-51301,-2,-1176473,-509665,-257684,-219507,-29979,-249486,,0.0,0.0,0.0,0.0,0.0,0.0,-58793,16061,,0.0,0.0,,29534,0.0,-21617.0,-31160,,17374.0,0.0,-1185.0,0.0,,-17083,0.0,-894,61807,-219733,3994932,3775199,3775199,8637.0,,0.0,0.0,-4982.0,,,,,,,
2328,2013年度,,690464,690464,,,639882,48071,5169,,71205,-127916,-387.0,-61206,5607,0.0,79210,,,,-276,-7190,-680514,1789737,160999,-583965,58065,736856,,-766351,206540,-234722,-115177,-7216,-916926,-180070,479565,1170029,-246945,923084,,0.0,0.0,0.0,0.0,0.0,0.0,-503591,41862,-8882.0,,84839.0,44061.0,145038,387.0,-535384.0,-952770,,,0.0,-6625.0,-152825.0,,-72525,-68948.0,210642,72577,253533,3741399,3994932,3994932,,,-221100.0,0.0,,,659635.0,511565.0,,,,
2328,2013年01月01日至2013年12月31日,,690464,690464,,,639882,48071,5169,,71205,-127916,-387.0,-61206,5607,,79210,,,,-276,-7190,-680514,1789737,160999,-583965,58065,736856,,-766351,206540,-234722,-115177,-7216,-916926,-180070,479565,1170029,-246945,923084,,0.0,,0.0,0.0,,,-503591,41862,-8882.0,,,,145038,387.0,-535384.0,-952770,,,,-6625.0,-152825.0,,-72525,-68948.0,210642,72577,253533,3741399,3994932,3994932,,,-221100.0,0.0,44061.0,,659635.0,511565.0,0.0,84839.0,0.0,
2328,2013年01月01日至2013年09月30日,,452056,452056,,,468201,47258,7939,-2.0,53284,-88363,-117.0,71806,5474,0.0,10078,,,,-116,-5319,-336162,1821760,274367,-733864,79142,1099808,,-521418,30642,-100460,297677,-64322,-357881,741927,1317485,1769541,-205157,1564384,,0.0,0.0,0.0,0.0,0.0,0.0,-347003,19787,0.0,,-5437.0,37979.0,107034,117.0,0.0,-408623,,276416.0,0.0,0.0,-152824.0,,-54642,-68393.0,557,73242,1229560,3741399,4970959,4970959,,,-221100.0,0.0,,,575558.0,,,,,
