公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 短期借款減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少
2493,2015年01月01日至2015年09月30日,,258930,0.0,258930,,,6432,1447,11069,3039,276,-1006,20.0,-3279,0.0,0,-19979,-1981.0,,,68318,12155,-5407,-347,171580,4907,-414,250792,,950,-166243,-35743,1924,5917,-668,-193863,56929,54948,313878,1027,-787,-77452,236666,,-15000.0,0,-5633,397.0,-92,-668,-20996,,-43142.0,0,-320425.0,-363567,19979,-127918,360531,232613,232613,,,,,
2493,2015年01月01日至2015年06月30日,,106155,0.0,106155,,,4239,961,18222,-899,192,-669,20.0,-632,0.0,0,12668,34102.0,,,-88581,3061,8141,135,72221,4894,-225,-354,,482,-107382,-15232,2001,60949,-990,-60172,-60526,-26424,79731,667,-697,-43294,36407,,0.0,0,-4029,397.0,-2,-168,-3802,,-27786.0,0,0.0,-27786,-12668,-7849,360531,352682,352682,,,,,
2493,2015年01月01日至2015年03月31日,,59831,0.0,59831,,,2105,510,12736,-209,114,-287,0.0,-632,0.0,0,12282,26619.0,,,-13030,-9419,-36459,-86,5038,5210,-432,-49178,,820,-69206,-27481,-820,28647,259,-67781,-116959,-90340,-30509,301,-614,-19,-30841,,0.0,0,-756,0.0,-3,-169,-928,,-7428.0,0,0.0,-7428,-12282,-51479,360531,309052,309052,,,,,
2493,2014年度,,434623,0.0,434623,,,8313,2969,-5596,-802,521,-2026,1006.0,-6848,0.0,10000,-15309,,,,-54490,1730,-26801,7008,-262141,864,81,-333749,,514,146610,21839,505,87946,-5206,252208,-81541,-89313,345310,2117,-513,-44733,302181,,-16134.0,15728,-5338,933.0,2809,-1993,-3995,,25219.0,-7680,-228875.0,-211336,15309,102159,258372,360531,360531,,-7772.0,,,
2493,2014年01月01日至2014年09月30日,,315706,0.0,315706,,,6215,2313,15860,-71,398,-1499,1006.0,-4643,0.0,0,-3501,16078.0,,,-27437,11218,24265,117,-200784,2164,-504,-190961,,1559,169195,-39,-94,36355,-5461,201515,10554,26632,342338,1581,-402,-44673,298844,,-16134.0,8452,-2429,933.0,2809,-1168,-7537,,18386.0,-5760,-228875.0,-216249,3501,78559,258372,336931,336931,,,,,
2493,2014年01月01日至2014年06月30日,,219248,0.0,219248,,,4192,1612,1496,-1241,283,-1001,1006.0,-4643,0.0,0,-2792,-1088.0,,,-207711,7270,45909,7165,-118870,-394,40,-266591,,2283,134546,14371,-920,36194,-5710,180764,-85827,-86915,132333,1079,-289,-21592,111531,,-1134.0,8452,-2294,933.0,2805,-239,8523,,-10615.0,-3840,0.0,-14455,2792,108391,258372,366763,366763,,,,,
2493,2014年01月01日至2014年03月31日,,107730,0.0,107730,,,2126,878,9413,-687,155,-448,1006.0,-11090,0.0,0,-15093,-13740.0,,,-89645,15047,-70783,-366,-94204,-3034,0,-242985,,1636,142173,-12505,-1272,85835,228,216095,-26890,-40630,67100,503,-151,-50,67402,,0.0,8452,-1950,933.0,2805,0,10240,,287.0,-1920,0.0,-1633,15093,91102,258372,349474,349474,,,,,
2493,2013年度,,318722,0.0,318722,,,10936,3895,12500,586,713,-1664,0.0,-30304,0.0,11000,-27863,,,,8138,-17756,-126771,-4093,58316,-5603,7467,-80302,,-950,19701,-5838,-640,15237,517,28027,-52275,-72476,246246,1569,-716,-50207,196892,,-21568.0,44449,-5052,0.0,-16,-1794,16019,,-8477.0,-7680,-263206.0,-279363,27863,-38589,296961,258372,258372,,-20201.0,,,
2493,2013年01月01日至2013年12月31日,,318722,0.0,318722,,,10936,3895,12500,586,713,-1664,,-30304,0.0,11000,-27863,,,,8138,-17756,-126771,-4093,58316,-5603,7467,-80302,,-950,19701,-5838,-640,15237,517,28027,-52275,-72476,246246,1569,-716,-50207,196892,,-21568.0,44449,-5052,,-16,-1794,16019,,,-7680,-263206.0,-279363,27863,-38589,296961,258372,258372,,-20201.0,-8477.0,0.0,0.0
2493,2013年01月01日至2013年09月30日,,267750,0.0,267750,,,8295,2965,3256,441,567,-1283,0.0,-30304,0.0,11000,-25690,,,,94620,-19017,-137411,108047,58858,363,-81,105379,,-204,-28489,-15822,-1805,-88050,372,-133998,-28619,-59372,208378,1224,-574,-50172,158856,,-20678.0,44449,-4292,0.0,-16,-729,18734,,-10609.0,-5760,-263206.0,-279575,25690,-76295,296961,220666,220666,,-30753.0,,,
