公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 庫藏股票買回成本,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 應收票據（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 應付票據增加（減少）,　　 處分不動產、廠房及設備,　　 預收款項減少－處分資產,　　 其他金融資產減少,　　 舉借長期借款,　　 其他籌資活動,　　　　 金融資產減損損失,　　 處分持有至到期日金融資產,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款減少,　　 預付設備款增加,　　 存入保證金增加,　　 存出保證金減少,　　　　 股份基礎給付酬勞成本,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　 員工購買庫藏股,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 已實現銷貨損失（利益）,　　　　 呆帳費用提列（轉列收入）數,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　 對子公司之收購（扣除所取得之現金）,　　 存入保證金減少,　　 發放現金股利
3013,2016年01月01日至2016年09月30日,,150618,150618,,,212429,1924,5739,-1154,12004,,,,53271.0,67368,25754.0,-4734,143548,,,,-8752,134796,355615,506233,1166,-43713,463686,,-125242,-11873.0,-116047,,30000,,-101000,-117651.0,-5800,-198322,-30551,118766,333278,452044,452044,7535.0,,,,3662.0,,,50000.0,,,,-469.0,0.0,,-17887.0,-490.0,,,10965.0,-19717.0,,,220819.0,,-17658.0,1889.0,,35762.0,,-53381.0
3013,2016年01月01日至2016年06月30日,,56262,56262,,,146058,1336,3608,-655,7331,,,,11898.0,142551,39271.0,1517,197126,,,-43054.0,-260636,-63510,85336,141598,666,-32106,110158,,-56656,,-25674,,20000,,-84000,-60025.0,-3654,-78018,-14589,-8123,333278,325155,325155,9157.0,,,,339.0,,0.0,50000.0,,,,0.0,,,-57158.0,,-12461.0,,-217582.0,,,,148846.0,,-17989.0,1889.0,,100262.0,-339.0,
3013,2016年01月01日至2016年03月31日,,-35852,-35852,,,72445,674,1846,-221,3722,,,,,-9373,29718.0,2483,54634,,,-37354.0,-147772,-93138,-13372,-49224,229,-5,-49000,,-21041,0.0,-31199,,20000,,-77000,,-1868,-9418,0,-89617,333278,243661,243661,,,,,,,,50000.0,,,,0.0,,,-10158.0,-550.0,,,-110418.0,,,,79766.0,,1300.0,1889.0,29917.0,,,
3013,2015年01月01日至2015年09月30日,,98815,98815,,,192170,2628,8650,-738,4277,,,,139600.0,-15628,-12008.0,872,112836,,,,-26848,85988,311175,409990,885,-1945,408930,,-98276,114.0,-108228,,-110000,,-118500,-42798.0,-8404,-89702,0,211000,305207,516207,516207,7000.0,,,,2656.0,,,190000.0,0.0,,,-999.0,21000.0,,-32723.0,,,0.0,-34678.0,7830.0,0.0,,225187.0,,11200.0,,,,,
3013,2015年01月01日至2015年06月30日,,13432,13432,,,114845,1826,5586,-635,2553,,,,,91556,29660.0,3805,214693,,,-22584.0,-202134,12559,137950,151382,782,-64,152100,,-93986,0.0,-73675,,-80000,,-119000,-36019.0,-5332,-60351,0,18074,305207,323281,323281,1216.0,89672.0,,-179550.0,,,21000.0,180000.0,,,,-135.0,,-668.0,,0.0,114.0,,,,,,125391.0,0.0,,,,,,
3013,2015年01月01日至2015年03月31日,,-14975,-14975,,,55406,932,2633,-112,2451,,,,139889.0,-74943,4489.0,2348,71783,,-89779.0,-22462.0,-112241,-40458,20852,5877,214,-16,6075,,-18106,0.0,-69206,,0,,-9500,,-2456,-11956,0,-75087,305207,230120,230120,,,,,,,,,,,,0.0,,,-51100.0,0.0,,,,,,,61310.0,,,,,,,
3013,2014年01月01日至2014年09月30日,,-21642,-21642,,,144864,4035,13032,-1411,4691,176071.0,,,67855.0,-6026,-9019.0,2332,55142,,,,-116397,-61255,114816,93174,1434,-13895,80713,,-115594,656.0,-97171,,39137,,-90892,0.0,-12656,-11770,-893,-29121,264969,235848,235848,3198.0,,,,,,,30000.0,258.0,0.0,0.0,-3720.0,35050.0,,-13563.0,,,7662.0,-108622.0,-7775.0,22383.0,,,,,,,,,
3013,2014年01月01日至2014年06月30日,,1956,1956,,,92950,2954,8836,-1039,2920,108837.0,,,,48581,,3529,94186,,,-5213.0,-185014,-90828,18009,19965,1055,-13465,7555,,-79062,49.0,-75133,,49137,,-34000,0.0,-8513,10182,-1869,-59265,264969,205704,205704,2216.0,40312.0,1764.0,-179801.0,,,20050.0,,,,,-1794.0,,-7648.0,,3558.0,-6728.0,,,,,,,,,,,,,
3013,2014年01月01日至2014年03月31日,,39025,39025,,,45764,1432,4463,-413,1468,52714.0,,,29829.0,4630,14648.0,2116,51223,,-164871.0,-15173.0,-180044,-128821,-76107,-37082,420,-27,-36689,,-27815,281.0,-43742,,49137,,-7000,,-4183,41262,-535,-39704,264969,225265,225265,,,,,,,,,,,,-1500.0,,,-14708.0,3308.0,,,,,,,52714.0,,,,,,,
3013,2013年01月01日至2013年12月31日,,118218,118218,,,146622,5644,19657,-2402,4382,241508.0,,,84222.0,-110636,-16776.0,-1529,-44719,,118382.0,10183.0,128565,83846,325354,443572,2611,-192,445991,,-58038,-3737.0,-21990,,-213213,,-138000,-62350.0,-19258,-433258,1360,-7897,272866,264969,264969,28074.0,,,,,,,0.0,-437.0,39531.0,7260.0,-1925.0,34450.0,,,,,,,,,,,,,,,,,
