公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 員工執行認股權,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 非金融資產減損損失,　　 收取之股利,　　 存入保證金增加,　　　　 非金融資產減損迴轉利益,　　 取得採用權益法之投資,　　 其他非流動資產增加,　　 應付短期票券增加,　　 發放現金股利,　　 取得子公司股權,　　　　　 遞延貸項增加（減少）,　　 庫藏股票買回成本,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 其他金融資產增加,　　 員工購買庫藏股,　　 其他金融資產減少,　　 其他預付款項減少,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 持有供交易之金融資產（增加）減少
1313,2016年01月01日至2016年09月30日,,692875,692875,,,908593,117603,-3298,205264,-67713,,515,3024,-2375.0,2681.0,,,,29289,27598,18252,-40,-1405490,366196,-964195,,162610,271747,3207,-16945,342037,,484944,-479251,322330,1015205,69968,-41775,1043398,,-55252.0,151.0,,,0.0,256.0,68740.0,-2568993,7831,-586,257.0,-295,-69589.0,-2491189,,6978665,-9187467,,5394750,-4875494,-1532,0,-201312,-1456608,-671479,-3575878,8876114,5300236,5300236,-251308.0,,148097.0,4019.0,-113282.0,,-20098.0,799607.0,-228564.0,,,-139280.0,,801581.0,-277712.0,-41917.0,40209.0,0.0,,0.0,0.0,0.0,0.0,1877.0,
1313,2016年01月01日至2016年06月30日,,426535,426535,,,627783,84581,-3665,136690,-47435,,350,-1758,,,,,,48560,-134634,15487,1516,-1032384,332401,-768719,,482291,117078,-56645,-13621,-41710,,207284,-561435,164505,591040,52181,-16084,627137,,-28752.0,,,,,,,-1545267,7225,-32,257.0,-295,-69686.0,-1615017,,5238751,-7980209,,4198492,-3544760,0,0,-138445,-2249775,-297366,-3535021,8876114,5341093,5341093,,-68393.0,,2487.0,,,-472.0,99899.0,,,,-125990.0,,725940.0,-280109.0,-15561.0,37566.0,0.0,,0.0,0.0,,,-2213.0,335.0
1313,2016年01月01日至2016年03月31日,,33243,33243,,,328528,43189,-3998,72001,-23839,,168,754,,,,,,-8485,139980,42604,1619,-1018445,358755,-483972,,475894,559682,-61334,-12110,-28107,,651514,167542,469305,502548,25434,-367,527615,,,,,,,,,-751989,1936,-1,257.0,-295,,-736376,,2955312,-4939345,,2296829,-1351795,0,0,-71043,-959386,-163988,-1332135,8876114,7543979,7543979,,-114975.0,,700.0,,,-190.0,199979.0,,,,-50023.0,,301763.0,-282511.0,-11674.0,25580.0,0.0,,,,,,-65.0,
1313,2015年度,,-324181,-324181,,,1372918,159073,-13415,331406,-262425,,5091,1784,24306.0,,,,,-42397,811296,-30434,21728,1803269,-199692,2363770,,-44344,-495254,72349,-26821,-56685,,-540780,1822990,3048312,2724131,269776,-221994,2771913,,-44780.0,7671.0,,,-25000.0,,0.0,-2236502,2454,-90740,94091.0,-216,-462402.0,-1843013,,14070124,-19605228,-399915.0,5205549,-4647500,-2,111857,-340139,-6009431,387759,-4692772,13568886,8876114,8876114,-190742.0,0.0,190742.0,604.0,-78169.0,,-88273.0,,-231417.0,0.0,0.0,-173364.0,,1225322.0,9975.0,-96757.0,588546.0,-1166249.0,,1103964.0,78041.0,-124505.0,302397.0,,
1313,2015年01月01日至2015年09月30日,,311321,311321,,,1040252,115767,-12846,261504,-221645,,5065,967,-32.0,,,,,-320267,420322,39999,21666,296247,-338886,119081,,200915,-246444,76735,-21677,-100639,,-83654,35427,815454,1126775,229152,-235563,1120364,,-44780.0,2612.0,,,-25000.0,,0.0,-1680415,1145,-61902,64534.0,0,-462077.0,-1310162,,12125297,-12563157,,2760774,-3846612,-3,111857,-315697,-1593538,508047,-1275289,13568886,12293597,12293597,-190742.0,,190742.0,605.0,-93758.0,,-88232.0,499685.0,-231417.0,0.0,,-134870.0,,780027.0,7456.0,-78475.0,553677.0,-1166249.0,,1103964.0,77897.0,-124505.0,302397.0,,
1313,2015年01月01日至2015年06月30日,,771597,771597,,,702891,73750,350,172077,-154766,,4825,944,,,,,,-277777,394116,54071,-9515,-11640,-277218,-127963,,109566,539450,103239,-16120,-169715,,571376,443413,1061635,1833232,161102,-83991,1910343,,-17559.0,,,,0.0,,,-1226440,931,-61902,62475.0,0,-461545.0,-1233511,,8092931,-7600734,,2022428,-2522592,-3,111857,-230882,-188917,-370163,117752,13568886,13686638,13686638,0.0,-181849.0,0.0,605.0,,,-68543.0,-51.0,,0.0,,-62476.0,,618222.0,4956.0,-44706.0,516494.0,-1114577.0,,1103964.0,77897.0,,,,
1313,2015年01月01日至2015年03月31日,,108037,108037,,,363365,35066,386,87069,-83329,,2567,-492,,,,,,-297559,297366,-8792,-5768,89062,129661,203970,,113202,559474,-24162,-12580,-130763,,507639,711609,894001,1002038,77091,-10914,1068215,,0.0,,,,0.0,,,-853448,802,-60214,2611.0,0,0.0,-1988902,,2859024,-4465805,,1215484,-1700000,-3,50885,-91016,-1367404,-151076,-2439167,13568886,11129719,11129719,,-222240.0,,603.0,,,-4966.0,798950.0,,0.0,,,,182392.0,2468.0,-35851.0,76741.0,-1114577.0,-35526.0,,,,,,
1313,2014年度,,-396604,-396604,,,1354469,187975,31975,426527,-325936,0.0,7319,46,-153.0,,1766499.0,,,277658,602512,5541,-10562,680786,-67300,1488635,,-198753,-1182124,-14184,24279,151110,8528.0,-1080614,408021,2174520,1777916,337117,-122714,1992319,,-250238.0,2830.0,-540737.0,741281.0,-25491.0,0.0,15075.0,-1353492,34310,-73973,69534.0,-2389,-158495.0,-1600027,,22399227,-24786107,399915.0,5109770,-3606290,0,88222,-420909,-1439732,450050,-597390,14166276,13568886,13568886,-165438.0,249715.0,165438.0,8.0,0.0,,-223680.0,,-461410.0,-107250.0,130530.0,-54908.0,,,,,,,,,,,,,
1313,2014年01月01日至2014年09月30日,,-12243,-12243,,,999573,137079,-3711,331577,-252757,0.0,4019,627,-134.0,,1072972.0,,,32770,314746,31113,-8222,11078,-475729,-94244,,-329954,-828938,44648,25600,263433,6397.0,-818814,-913058,159914,147671,259812,-89671,317812,,-214519.0,330.0,-184844.0,707412.0,-25190.0,0.0,15075.0,-834978,26366,-29708,29539.0,-2375,-153471.0,-708009,,19017951,-21180054,,3204119,-2902550,0,67551,-328880,-1491522,326830,-1554889,14166276,12611387,12611387,-165193.0,,165193.0,4.0,21892.0,,-206839.0,1198997.0,-461410.0,-107250.0,,,,,,,,,,,,,,,
1313,2014年01月01日至2014年06月30日,,-163037,-163037,,,666113,63462,1120,227244,-169455,0.0,3815,791,0.0,,804717.0,,,-38308,-281094,15044,-5235,-213426,-137270,-660289,,-97375,-373563,-53023,21971,-40694,4271.0,-538413,-1198702,-393985,-557022,173959,-43602,-426665,,-106130.0,0.0,-6523.0,703970.0,-25190.0,0.0,0.0,-486435,928,-29708,0.0,-2367,-153471.0,-183536,,13756292,-14459701,,1900000,-2403746,0,35258,-218911,-748785,-2093,-1361079,14166276,12805197,12805197,-2954.0,14581.0,2954.0,0.0,,,-81564.0,749273.0,,-107250.0,,,,,,,,,,,,,,,
