公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得按攤銷後成本衡量之金融資產,　　 按攤銷後成本衡量之金融資產到期還本,　　 處分無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 其他投資活動,　　　　 股利收入,　　　　 非金融資產減損損失,　　 收取之股利,　　　　 股份基礎給付酬勞成本,　　　　 處分無形資產損失（利益）,　　　　 金融資產減損損失,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　　 應付帳款增加（減少）,　　 取得備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得投資性不動產,　　 存入保證金減少,　　 其他非流動負債減少,　　 處分投資性不動產,　　　　 處分其他資產損失（利益）,　　 取得採用權益法之投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分無活絡市場之債務工具投資,　　 發行公司債,　　 償還公司債,　　　　　 生物資產（增加）減少,　　 取得無活絡市場之債務工具投資,　　 存出保證金增加,　　 短期借款減少
1304,2016年01月01日至2016年09月30日,,2231171,9805,2240976,,,1239056,54336,-836,1777,175918,-72456,5180.0,103,-120020,-31835.0,35541,,,,-881237,241006,738322,,-79949,,344406,-274915,-234716,-144116,,116,171740,,-9792,104964,,16297,-127819,1007349,3248325,73709,-197870,-505885,2618279,,,,,-398,0,25800.0,,-1762617,29594,-436,-7957,-74624.0,,-873664,,1516070.0,345265.0,0.0,3252300,-1006300,0.0,0.0,-571224.0,,-608365,,1906582,-338718,3312479,7267382,10579861,10579861,223342.0,,,-152346.0,750.0,150206.0,,,,,-46842.0,-16011.0,,,-9464.0,-11700.0,,,,,1135168.0,-203889.0,559437.0,0.0,-1000000.0,2967.0,,,
1304,2016年01月01日至2016年06月30日,,1634766,-260,1634506,,,774252,35359,-2501,17828,112116,-55461,3911.0,2341,-120020,-30273.0,23348,,,,-1342352,284971,-189837,,-4864,,330159,76592,-194630,-1037743,,13,49105,,-6980,60539,,283160,-754583,-60321,1574185,65174,-142787,-299074,1197498,,,,,-309,0,,,-1181602,30177,5640,-5361,-68343.0,,-495410,,2136489.0,348458.0,,4297000,-2336000,,,-19538.0,,-4443,,3403060,-5496,4099652,7267382,11367034,11367034,223342.0,,,-66638.0,0.0,0.0,,,,,370608.0,-16011.0,,,-10136.0,-8770.0,,,,,694262.0,-190125.0,517057.0,0.0,-1000000.0,2218.0,,,
1304,2016年01月01日至2016年03月31日,,569252,-3960,565292,,,388135,16937,-1431,-8339,59821,-18653,1062.0,19804,-53529,,13819,,,,407320,238361,-206541,,-46085,,452014,-43954,-345441,456017,,-78,-124623,,-2265,120724,,-209048,246969,615601,1180893,26362,-92606,-7181,1107468,,,,,-243,0,,,-286403,2417,7853,-1201,-27396.0,,-149604,,,129161.0,,1880000,-1516000,,,,,-1742,,-275835,-152851,529178,7267382,7796560,7796560,120165.0,,,,-48994.0,,,,,,-14044.0,-6193.0,,,-8879.0,-2918.0,,,,,368632.0,-188762.0,41397.0,0.0,-500000.0,343.0,,,-255457.0
1304,2015年度,,1987638,-31923,1955715,,,1643053,59491,7765,35727,267259,-145894,7060.0,-1209,-33976,,44140,,,,-3243049,730116,444064,-30269.0,116435,,1768781,100079,41033,-79205,,-47408,-51209,,-18238,-6004,,-312184,-391389,1326066,3281781,155095,-245614,-324739,2866523,,,,,-7207,57331,1349.0,,-4133955,46641,0,-42572,-81787.0,0.0,-1552588,,0.0,0.0,-460068.0,6553000,-6460917,9157.0,667.0,-457041.0,,-194769,,-1318372,-213760,-218197,7485579,7267382,7267382,71129.0,,,-150387.0,-15574.0,150387.0,,,0.0,,-122327.0,0.0,,,0.0,,0.0,,0.0,,1717455.0,-66998.0,,1996343.0,-1000000.0,-6395.0,2491011.0,-104915.0,-1304744.0
1304,2015年01月01日至2015年09月30日,,1498406,-32871,1465535,,,1244887,43745,-997,66650,203901,-115666,3711.0,-1956,-37027,-110859.0,46323,,,,-2513614,665309,56758,-5566.0,-50724,,1272663,44246,-213145,-744073,,-47486,26016,-7200.0,-18722,99864,,-330413,-1074486,119488,1585023,121834,-195840,-296565,1214452,,,,,-25931,82032,1349.0,,-3159489,79256,11941,-39039,-50449.0,,-687374,,-918019.0,0.0,-359141.0,5043000,-5023066,1409.0,3976.0,-451006.0,,-195781,0.0,-902285,-148093,-523300,7485579,6962279,6962279,71091.0,,,-149925.0,1187.0,149925.0,,,,,-341745.0,,0.0,,,,0.0,,,,1193974.0,-41140.0,2191940.0,1996343.0,-1000000.0,,,,
1304,2015年01月01日至2015年06月30日,,1374593,-13627,1360966,,,826330,28154,1796,-45347,136364,-91704,738.0,-293,-21775,-179893.0,27832,,,,-2395208,571877,19024,-18860.0,80255,,606574,158239,-447205,-1425304,,-34272,-247495,,-11179,119373,,571376,-853928,-209154,1151812,99658,-143494,-191625,916351,,,,,-8552,57032,,,-2406563,13164,11647,-33761,,-51335.0,-974737,,121827.0,212822.0,,3312000,-2984644,,,-3132.0,,10233,0.0,1667709,-245995,1363328,7485579,8848907,8848907,71091.0,,,-38256.0,828.0,263.0,,,,,776653.0,,0.0,,1427.0,-2824.0,,,,,644774.0,-31704.0,1372277.0,2000000.0,-1000000.0,,,,
1304,2015年01月01日至2015年03月31日,,461549,-6614,454935,,,415544,13621,-835,-69812,71892,-38118,-999.0,-356,-21775,,15095,,,,-2321063,316553,490228,-29279.0,106516,,1470100,47701,-448675,-367919,,-18718,-115260,,-9886,158534,,-140872,-508791,-280602,174333,47502,-74695,-12366,134774,,,,,-7207,57034,,,-1125700,4686,10759,-104,-53172.0,,329519,,-1080006.0,178278.0,,1619000,-1504422,-1442.0,-1427.0,,,5851,0.0,712175,-65949,1110519,7485579,8596098,8596098,32439.0,,,,-156068.0,,,,,,-131114.0,,0.0,,,,,,,,228189.0,-24428.0,1410784.0,1996343.0,-500000.0,,,,
1304,2014年度,,877352,-26566,850786,,,1622548,46093,-220,86065,271589,-185062,325.0,-23227,-167774,,29360,1872423.0,,,3030969,366643,-709957,82511.0,-171977,0.0,-644999,-82781,45746,1916155,,-14280,65300,-9552.0,-33025,70238,-14677.0,-1457540,458615,2331038,3181824,182041,-269060,-366001,2728804,,,,,-554510,14,9149.0,,-3871514,82993,3517,-54018,111048.0,,-3994376,,263547.0,356701.0,,6922289,-6121168,-3912.0,730.0,-685561.0,,-566216,0.0,166410,-95011,-1194173,8679752,7485579,7485579,327717.0,-62156.0,,-162349.0,296515.0,162349.0,0.0,0.0,17486.0,0.0,-1521544.0,-10625.0,0.0,0.0,,,21083.0,41074.0,-159423.0,,,,,,,,,,
1304,2014年01月01日至2014年09月30日,,929211,-21189,908022,,,1186742,33516,1136,95420,203137,-137845,,-23884,-191125,,36484,1088900.0,,,1302193,247642,-863610,964.0,-132897,0.0,-845171,-273696,-122618,-687193,,-981303,168494,-9552.0,-29399,179683,-46213.0,-718290,-1405483,-316583,591439,82346,-207378,-377645,88762,,,,,-527170,14,0.0,,-2501928,78474,13693,-4543,-2786.0,,-1512994,,1063195.0,,633271.0,5186573,-3957087,-7074.0,-1343.0,-677647.0,,-552632,7006.0,1694262,-54015,216015,8679752,8895767,8895767,305681.0,1105505.0,,-159471.0,44790.0,158406.0,0.0,,,,,,-159423.0,,,,21083.0,,,,,,,,,,,,
1304,2014年01月01日至2014年06月30日,,549827,-14189,535638,,,774342,21234,-2846,125813,134192,-95241,,5076,-108868,-1463.0,40941,826810.0,,,1153168,305243,-1098763,-408.0,-91518,0.0,-579716,-23982,-109817,-445793,,-1077634,-127196,282.0,-38205,130624,-34004.0,-1146133,-1591926,-765116,-229478,64141,-146341,-279399,-591077,,,,836741.0,-527170,14,0.0,,-1519838,8249,6310,-3058,0.0,59603.0,-1144507,,1287189.0,535251.0,0.0,1198289,-312862,0.0,0.0,-29153.0,,42131,7006.0,2722496,53798,1040710,8679752,9720462,9720462,153286.0,0.0,,-69091.0,2721.0,779.0,0.0,,,,,,-159423.0,,-3465.0,-1890.0,,,,,,,,,,,,,
