公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 應收款項減少,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預付費用（增加）減少,　　 存出保證金減少,　　 其他非流動資產減少,　　 短期借款增加,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 應收款項增加,　　 應付短期票券增加,　　　　 處分其他資產損失（利益）,　　 發行公司債,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 其他金融資產增加,　　 其他投資活動
6115,2015年01月01日至2015年09月30日,,611773,611773,,,122971,6668.0,12865,15813,-57140,-4673.0,-26334.0,-1199,0.0,0.0,68971.0,,,4324,-62343,-30447,56919,561.0,-6794,-37780,,0.0,3795,-77095,9499,10248,-53553,-91333,-22362,589411,-133869,455542,,-180745.0,0.0,0.0,922081.0,1889.0,414.0,-52304,7764,-395.0,10624.0,-62089,46639,4673.0,698551,,301229.0,-10000.0,0.0,-83307,0.0,-624257.0,-12324,29665.0,-398994,58235,813334,1464664,2277998,2277998,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2015年01月01日至2015年06月30日,,250554,250554,,,81188,4394.0,4937,10785,-37079,-555.0,-24465.0,-1215,,,37990.0,,,-1552,275160,-24216,9121,23306.0,-3103,278716,,0.0,814,-134144,21332,-4742,-116740,161976,199966,450520,-79996,370524,,-169618.0,,,789825.0,,,-25374,3402,0.0,10624.0,-78713,30293,555.0,560994,,-195860.0,190000.0,0.0,-49983,,,-8427,,-64270,-62974,804274,1464664,2268938,2268938,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2015年01月01日至2015年03月31日,,110657,110657,,,40847,2249.0,2189,6015,-20358,0.0,-7006.0,0,,,23936.0,,,-39634,257145,-23782,16222,,-3128,229501,,,-639,-135433,3045,-6084,-139111,90390,114326,224983,-10439,214544,,-77720.0,,0.0,212733.0,,,-13000,178,0.0,10624.0,-77470,14642,0.0,69987,,-1313.0,-10000.0,-33324.0,0,0.0,,-4783,,-49420,-21704,213407,1464664,1678071,1678071,22678.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
6115,2014年度,,833898,833898,,,158773,8997.0,-1009,22928,-77883,-5104.0,-21413.0,950,-2808.0,-24878.0,,,,-49913,185708,6511,75758,45575.0,2165,265804,,4419.0,-3127,-93335,-25899,-14676,-136513,129291,190344,1024242,-138068,886174,,-64266.0,60767.0,,,,-32881.0,-152686,11145,-10000.0,,-8528,76024,5104.0,-1046092,,-35260.0,,200000.0,-82298,0.0,-602648.0,-16413,,-626619,97604,-688933,2153597,1464664,1464664,,,,0.0,,,2500.0,61053.0,-3895.0,-923087.0,0.0,2940.0,0.0,-10624.0,-90000.0,,,,,,,,,,,
6115,2014年01月01日至2014年09月30日,,616309,616309,,,117369,6748.0,-3832,17429,-61962,-5104.0,-20071.0,299,-1896.0,-24375.0,24605.0,,,-40914,53622,1138,40903,20642.0,1997,77388,,3853.0,-497,-168173,21647,9044,-134126,-56738,-32133,584176,-57932,526244,,-64276.0,60777.0,-379722.0,0.0,0.0,-32881.0,-52887,660,-10000.0,0.0,-60049,57828,5104.0,-475446,,87742.0,100000.0,134361.0,0,382.0,-602648.0,-12250,0.0,-292413,15614,-226001,2153597,1927596,1927596,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2014年01月01日至2014年06月30日,,342527,342527,,,77642,4498.0,688,11112,-28640,-537.0,-16460.0,14,,,48317.0,,,-34940,134296,-180,29416,-13178.0,-1967,113447,,239.0,5105,-145619,83409,-7438,-64304,49143,97460,439987,-41950,398037,,-64276.0,,,-145357.0,,,-28994,708,-10000.0,0.0,-48937,28677,537.0,-267642,,-247853.0,-100000.0,167686.0,0,,,-7511,,-187678,-42182,-99465,2153597,2054132,2054132,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2014年01月01日至2014年03月31日,,202499,202499,,,39718,2250.0,-874,5893,-15093,-537.0,-7808.0,29,,,23578.0,,,-22654,147082,-976,-11691,,-5167,82606,,,-373,-139028,83168,-4171,-60404,22202,45780,248279,-6246,242033,,-5395.0,,0.0,29146.0,,,-22842,242,-10000.0,0.0,0,15093,537.0,7354,,-261842.0,0.0,81667.0,0,0.0,,-3803,,-184236,3059,68210,2153597,2221807,2221807,-23988.0,0.0,573.0,0.0,-258.0,,,,,,,,,,,,,,,,,,,,,
6115,2013年度,,826030,826030,,,153186,0.0,-4133,26206,-79852,-4649.0,-7590.0,1033,-615.0,-12777.0,,,,-1178,85847,-12902,-43973,-79681.0,-2856,-54743,,0.0,-1982,62632,2861,-7130,56381,1638,72447,898477,-237810,660667,,0.0,0.0,,,,0.0,-76685,4695,-33426.0,,-13831,79852,4649.0,16473,,0.0,,63500.0,0,400.0,-527505.0,-15149,,-224267,155483,608356,1545241,2153597,2153597,,,,254487.0,,,0.0,70809.0,0.0,0.0,73171.0,2643.0,-24595.0,0.0,0.0,,,,,,,,,,,
6115,2013年01月01日至2013年12月31日,,826030,826030,,,153186,,-4133,26206,-79852,-4649.0,-7590.0,1033,-615.0,-12777.0,,,,-1178,85847,-12902,-43973,-79681.0,-2856,-54743,,,-1982,62632,2861,-7130,56381,1638,72447,898477,-237810,660667,,0.0,0.0,,,,,-76685,4695,-33426.0,,-13831,79852,4649.0,16473,,0.0,,63500.0,0,400.0,-527505.0,-15149,,-224267,155483,608356,1545241,2153597,2153597,,,,254487.0,,,,70809.0,,0.0,73171.0,2643.0,-24595.0,,0.0,,0.0,0.0,,,,,,,,
6115,2013年01月01日至2013年09月30日,,611185,611185,,,115734,0.0,-3736,19479,-53488,-539.0,-2130.0,1143,0.0,-12777.0,,,,7572,52385,219,-20741,,-8256,-84211,,0.0,247,-80596,-10629,12996,-77982,-162193,-98507,512678,-175264,337414,,0.0,0.0,,,,0.0,-44117,4250,0.0,,-13901,51755,539.0,380976,,0.0,100000.0,18500.0,0,1291.0,-527505.0,-9898,,-208735,115870,625525,1545241,2170766,2170766,-115390.0,,,208877.0,,,,63686.0,,407045.0,,,-24595.0,,,,,,,,,,,,,
6115,2013年01月01日至2013年06月30日,,423310,423310,,,78749,0.0,-3338,13596,-34301,0.0,1438.0,1154,,,,,,1003,23940,-2207,36717,,-1597,-51204,,,412,-121827,122956,12719,14260,-36944,7577,430887,-90301,340586,,0.0,,,,,,-27395,4289,0.0,,-16420,34301,0.0,-545006,,0.0,0.0,0.0,-26500,733.0,,-7536,,560003,157341,512924,1545241,2058165,2058165,-109060.0,,,593306.0,,,,44521.0,,-515186.0,,,-24595.0,,,-12777.0,,,,,,,,,,
6115,2013年01月01日至2013年03月31日,,234299,234299,,,39064,0.0,-1631,6270,-21519,0.0,0.0,-281,,,,,,1678,2237,-3790,-141035,,-1575,-244955,,,874,-55810,144798,-2662,87200,-157755,-135852,98447,-15334,83113,,0.0,,,,,,-12343,1306,0.0,,-10016,21519,0.0,-83933,,0.0,,0.0,-5000,174.0,,-2983,,113265,99074,211519,1545241,1756760,1756760,-102470.0,0.0,0.0,121074.0,0.0,,,21903.0,,-84399.0,0.0,,,,,,,,,,,,,,,
6115,2012年01月01日至2012年12月31日,,795894,795894,,,159955,,-6297,27156,-68956,-1616.0,0.0,1478,-6365.0,0.0,,,,-22270,543944,5151,65736,58839.0,5090,656490,,,-73935,-176234,51628,-8304,-206845,449645,555000,1350894,-129257,1221637,,-4260.0,12229.0,,,,,-49127,1257,0.0,,-945,68956,1616.0,-9495,,-915818.0,,0.0,-53400,-500.0,-574132.0,-20905,,-869855,-112024,230263,1314978,1545241,1545241,,,,0.0,,,,105355.0,,-39221.0,0.0,0.0,0.0,,-100000.0,,794900.0,0.0,,,,,,,,
6115,2012年01月01日至2012年09月30日,,630582,630582,,,122981,,-5899,19990,-50653,-1094.0,0.0,998,,0.0,,,,-34803,149051,3972,67906,18487.0,4839,209452,,,-75122,-36835,10917,16499,-84541,124911,211234,841816,-105591,736225,,,,,,,,-38660,1206,,,0,50653,1094.0,103692,,-684554.0,-100000.0,0.0,-31700,-500.0,-574132.0,-17104,,-613090,-106164,120663,1314978,1435641,1435641,,,2748.0,0.0,,,,86323.0,,,85047.0,,0.0,,0.0,,794900.0,,1604.0,,,,,,,
6115,2012年01月01日至2012年06月30日,,419292,419292,,,71391,,-4057,14320,-30708,-555.0,0.0,532,-571.0,0.0,,,,-23714,220987,7334,-51285,,4557,182466,,,-74573,-188179,64402,30256,-168094,14372,64724,484016,-60809,423207,,-4260.0,4831.0,,,,,-11400,543,,,-4891,30708,555.0,37280,,-1144533.0,,,-26700,-500.0,,-13472,,-390305,-41346,28836,1314978,1343814,1343814,24587.0,,,0.0,,,,50352.0,,0.0,21194.0,,0.0,,,,794900.0,,,,,423207.0,,,,
6115,2012年01月01日至2012年03月31日,,157447,157447,,,44876,1744.0,-6012,6766,21296,,,809,,,,,,-13683,136526,-4752,-22819,,72667,138200,,,-66941,-1355,67762,53122,52486,190686,260165,417612,-28094,417612,,,,,,,,-16086,56,,,0,-21296,,-239028,,,,,-5000,,,-6458,,-1772,-44625,132187,1605960,1738147,1738147,-29739.0,312.0,-2662.0,9686.0,,,,69479.0,0.0,,,,,,,,,,,,,,0.0,-102.0,-171258.0,0.0
