公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金增加,　　　　 處分採用權益法之投資損失（利益）,　　　　　 應收建造合約款（增加）減少,　　 短期借款減少,　　　　 利息收入,　　 收取之利息,　　　　　 應付建造合約款增加（減少）,　　 取得無活絡市場之債券投資,　　 其他投資活動,　　 現金增資,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 取得以成本衡量之金融資產,　　　　 股利收入,　　 處分無活絡市場之債務工具投資,　　 收取之股利,　　 發放現金股利
3432,2016年01月01日至2016年09月30日,,-8064,-8064,,,27935,1115,-1041,4543,191,8011,0.0,-4937.0,51591,,,,,-159545.0,636,60281,909,25269,2471.0,3472,-65469,,-65,-23718,-19083,,28341.0,-16097,-81566,-29309,-37373,-4476,-6056.0,-47905,,,-1692,14610,,318.0,,14787,,,100000,-115909.0,,-62316,-30175,-125609,423971,298362,298362,,,1038.0,-33090.0,-1669.0,1669.0,-1572.0,,-847.0,,,52257.0,,-33341.0,0.0,-141.0,588.0,141.0,-13317.0
3432,2016年01月01日至2016年06月30日,,-2897,-2897,,,19753,791,-1117,3095,191,777,0.0,-3988.0,21866,,,,,-64370.0,612,48089,351,18586,1933.0,2934,8219,,589,-18600,-8214,,254.0,-27543,-19324,911,-1986,-3026,-3171.0,-8183,,,-416,6998,-34.0,,,6700,,,0,-68650.0,,-101965,-13614,-117062,423971,306909,306909,,,84.0,-33315.0,-1233.0,1233.0,-1572.0,,-783.0,,,20235.0,-298.0,-19900.0,0.0,,0.0,,
3432,2016年01月01日至2016年03月31日,,-1006,-1006,,,10010,411,612,1659,191,224,0.0,-612.0,23570,,,,,-66480.0,863,17570,610,12236,-546.0,1202,-34473,,-88,-25417,-2994,,97.0,-29974,-64447,-38496,-39502,-1683,,-41185,,,-276,102,0.0,41.0,,-144,,,0,-38709.0,,-38934,-9008,-89271,423971,334700,334700,,,72.0,-225.0,-608.0,608.0,-1572.0,,-619.0,,,25951.0,,-9506.0,,,0.0,,
3432,2015年度,,17511,17511,,,49982,1772,-2029,5507,740,9085,3316.0,-4022.0,-9260,0.0,,,,-596590.0,4757,212082,7084,31214,,17234,-322377,,-638,-70797,-44352,,-871.0,-116128,-438505,-410193,-392682,-5287,-9913.0,-407882,,,-1885,20751,0.0,2696.0,0.0,173626,,98250.0,65650,-89890.0,,40717,5137,-188402,612373,423971,423971,0.0,,1842.0,,-7173.0,7173.0,530.0,,-115.0,0.0,,28312.0,,-19463.0,-12000.0,-143.0,156863.0,143.0,-33293.0
3432,2015年01月01日至2015年09月30日,,13485,13485,,,39087,1358,-1919,4067,1046,2093,6496.0,,-4315,0.0,,,,-377240.0,2998,181629,7493,24280,683.0,4040,-154653,,-535,-46929,-26294,,567.0,-72653,-227306,-195340,-181855,-3796,-9973.0,-195624,,,-1884,13172,2371.0,,0.0,130496,,,65740,-58290.0,,7450,-5418,-63096,612373,549277,549277,0.0,,1464.0,,-6319.0,6319.0,538.0,,-119.0,,,31966.0,122637.0,-9628.0,-12000.0,,,,
3432,2015年01月01日至2015年06月30日,,-14280,-14280,,,26761,923,-620,3200,792,722,1234.0,-600.0,-4787,0.0,,,,-91863.0,2844,171734,6921,18783,-221.0,3919,113625,,165,-43000,-15018,,1546.0,-55646,57979,78981,64701,-2490,-6961.0,55250,,,-1777,5423,-2091.0,,0.0,63759,,,61720,-38562.0,,23158,-11048,131119,612373,743492,743492,0.0,,1508.0,,-4809.0,4809.0,661.0,,-49.0,,,21002.0,69444.0,-1814.0,-12000.0,,,,
3432,2015年01月01日至2015年03月31日,,-954,-954,,,13641,853,125,1418,538,819,309.0,,1553,0.0,,,,,-176,128968,2393,14534,2360.0,-1737,146855,,-739,-36641,-8495,,563.0,-46084,100771,117710,116756,-1151,,115605,,,-279,1149,-1399.0,,,70991,,,41160,,,41160,-6072,221684,612373,834057,834057,,,513.0,,-2317.0,2317.0,-772.0,,-42.0,,,16939.0,69245.0,,,,,,
3432,2014年度,,47893,47893,,,55725,1740,6052,5221,2841,5441,10390.0,-2523.0,-19277,858.0,57128.0,,,,-175,-9195,-6424,6012,3559.0,11301,5597,,-1077,-8115,17466,,-365.0,4789,10386,67514,115407,-5081,-1630.0,108696,,26027.0,-8172,2092,-963.0,,-482.0,12261,,0.0,23782,,,36092,25453,182502,429871,612373,612373,70.0,,519.0,,-9340.0,9340.0,-3120.0,,-15581.0,12240.0,,,,,,,,,
3432,2014年01月01日至2014年09月30日,,26207,26207,,,42100,1267,8034,4472,2265,4714,,25.0,-9218,858.0,48871.0,,,,-1169,-30683,-649,-17914,1723.0,-3889,-51934,,-373,3943,-939,-3881.0,,-1763,-53697,-4826,21381,-3772,-1095.0,16514,,22455.0,-3575,1885,,-581.0,-483.0,25347,,,62545,-29757.0,,32858,6818,81537,429871,511408,511408,70.0,,647.0,0.0,-5646.0,5646.0,-513.0,,,,,,,,,,,,
3432,2014年01月01日至2014年06月30日,,-156,-156,,,28354,826,6607,2677,1689,3374,157.0,,-1302,858.0,39847.0,,,,1359,24772,1200,14340,5110.0,-3474,43595,,1,25873,-3445,,-3694.0,18801,62396,102243,102087,-2452,-798.0,98837,,,-2746,918,-86.0,0.0,-305.0,-14128,,0.0,62545,-19293.0,,43322,-983,127048,429871,556919,556919,70.0,,288.0,,-3393.0,3393.0,66.0,-15302.0,,,,,,,,,,,
3432,2014年01月01日至2014年03月31日,,-13444,-13444,,,14278,393,6265,1065,1113,807,814.0,,-11254,858.0,12618.0,,,,-5863,28942,-381,8773,3235.0,3906,40582,,-1498,-23987,-808,,-3346.0,-29841,10741,23359,9915,-1065,,8850,,,-1913,144,-147.0,,,-17840,,0.0,62545,0.0,,62545,8270,61825,429871,491696,491696,,,1970.0,,-1721.0,1721.0,-202.0,-17645.0,,,,,,,,,,,
3432,2013年度,,-64876,-64876,,,50392,4051,12316,5333,4511,2796,0.0,-10883.0,10546,-43.0,72247.0,,,,5267,-124901,-2016,4669,-34583.0,-17496,-169060,,171,46143,63492,,960.0,110766,-58294,13953,-50923,-5423,-1079.0,-57425,,40921.0,-164964,23248,3270.0,,0.0,-90753,,-72600.0,1380,,,-71220,67426,-151972,581843,429871,429871,0.0,,0.0,,-6772.0,6772.0,0.0,,0.0,0.0,,,,,,,,,
