公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 其他預付款項減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　　　 股份基礎給付酬勞成本,　　　　 處分採用權益法之投資損失（利益）,　　 因合併產生之現金流入,　　 現金增資,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　　　　 其他金融負債增加（減少）
4960,2014年度,,2672853,2672853,,,1030067,9101,-49948,51548,-76906,-140,-151,327485,-520360,764385,1535081,,,389048,-8187,-502968,4459,-1828,-119476,,-133786,82215,-762675.0,32011,-782235,-901711,633370,3306223,-51979,-300986,,,2953258.0,2953258,,0,4152,-310607,569,-53822,-17748,173549.0,-372484,162,76906,-499323,,-454027,300000,0,0,-32.0,-49117.0,-196468.0,-399644,136666,2190957,1732641,3923598,3923598,,,,,,,,
4960,2014年01月01日至2014年09月30日,,1918979,1918979,,,766360,6406,-4228,42229,-60767,-13,-151,334109,-182218,560243,1461970,,,-72190,-16946,-313505,-1673,1913,-402401,,-103837,-32928,-581689.0,21146,-697308,-1099709,362261,2281240,-43772,-264551,,,,1972917,,-250000,254151,-162115,13,-52101,-14538,79609.0,-246750,121,60767,-330843,,-572525,0,1000000,0,,-49117.0,-196468.0,181853,26506,1850433,1732641,3583074,3583074,-37.0,,,,,,,
4960,2014年01月01日至2014年06月30日,,1289672,1289672,,,509870,3732,-65312,29410,-36699,-13,-151,134019,38599,383848,997303,,,-279252,-14745,-273250,-11423,3189,-575481,,489277,-62219,-440944.0,2008,-11878,-587359,409944,1699616,-29483,-209520,,,,1460613,,-250000,254151,-71944,13,7,-12892,-14214.0,-105281,81,36699,-163380,,61122,0,1000000,0,,,,1061085,-51488,2306830,1732641,4039471,4039471,-37.0,,,,,,,
4960,2014年01月01日至2014年03月31日,,568484,568484,,,254999,1828,-45429,14040,-14103,0,0,56297,79737,201512,548881,,,-11929,-24073,-123713,-4827,3353,-161189,,419208,-121866,-205230.0,-2363,89749,-71440,477441,1045925,-14766,-14711,,,,1016448,,-250000,0,-48352,0,3,-892,-8032.0,-37094,20,14103,-330244,,286690,0,1000000,0,-37.0,,,1286653,-10583,1962274,1732641,3694915,3694915,,,,,,,,
4960,2013年度,,2712218,2712218,,,1093908,7839,-159651,58252,-26279,20,-75,267863,-128264,639912,1753525,,,1369274,-8693,1172024,-18220,1465,2515850,,-1332523,79176,-613453.0,5845,-1860955,654895,2408420,5120638,-58930,-88261,,,4973447.0,4973447,,-8000,44075,-424442,323,-15,-1846,-238438.0,13628,80,26279,-588356,,18768,-149900,1450000,-3745734,97.0,-442053.0,-417495.0,-3286317,73913,1172687,559954,1732641,1732641,,,,,,,,
4960,2013年01月01日至2013年12月31日,,2712218,2712218,,,1093908,7839,-159651,58252,-26279,20,-75,267863,-128264,639912,1753525,,,1369274,-8693,1172024,-18220,1465,2515850,,-1332523,79176,-613453.0,5845,-1860955,654895,2408420,5120638,-58930,-88261,,,,4973447,,-8000,44075,-424442,323,-15,-1846,-238438.0,13628,80,26279,-588356,,18768,-149900,1450000,-3745734,97.0,-442053.0,-417495.0,-3286317,73913,1172687,559954,1732641,1732641,,0.0,0.0,0.0,0.0,0.0,0.0,
4960,2013年01月01日至2013年09月30日,,2138617,2138617,,,841063,5759,-252514,45654,-17333,20,-75,211257,50833,444154,1328818,,,828514,-23514,1174808,-18816,4927,1965919,,-1560332,8704,-440719.0,27120,-1965227,692,1329510,3468127,-44042,-83299,,,,3340786,,-8000,44075,-67330,323,-3017,-1311,-443218.0,-232294,60,17333,-693379,,1080342,269824,1450000,-3545733,,-442053.0,-417495.0,-1605115,-29051,1013241,559954,1573195,1573195,0.0,,,,,,,
4960,2013年01月01日至2013年06月30日,,1451975,1451975,,,575858,3791,-199998,33747,-7881,20,-72,130537,169411,304746,1010159,,,17735,-5069,719183,2062,-186329,547582,,-775240,-4691,-280736.0,-2272,-1062939,-515357,494802,1946777,-29102,-62941,,,,1854734,,-8000,40072,-17846,337,261,-650,0.0,-139074,-20,7881,-117039,,564536,499686,1250000,-3152667,,,,-838445,61434,960684,559954,1520638,1520638,0.0,,,,,,,
4960,2013年01月01日至2013年03月31日,,468313,468313,,,293568,1847,-199251,19452,-3202,20,-72,85660,136666,125655,460343,,,157662,-13033,468441,160,-1644,611586,,-1086726,-47695,-121751.0,4623,-1251549,-639963,-179620,288693,-15205,-5653,,,,267835,,0,40072,-15844,331,-2,-510,0.0,-90151,-20,3202,-62922,,580129,99941,1250000,-1853465,0.0,,,76605,28164,309682,559954,869636,869636,,,,,,,,
4960,2012年01月01日至2012年12月31日,,1688460,1688460,,,1219506,6133,226719,148106,-40517,0,-166,217741,115126,682603,2608903,,,-352802,806049,-552387,-8944,1576,-106508,,524569,-15555,-718649.0,-7599,-217234,-323742,2285161,3973621,-152412,-84959,,,,3736250,,-480000,375166,-448506,144,8,-57014,-87871.0,125237,77,40517,-330317,,-3559216,149900,300000,-1402665,0.0,-797706.0,0.0,-4168358,-13571,-775996,1335950,559954,559954,,27289.0,6363.0,201925.0,1101240.0,30060.0,10029.0,
