公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 各項保險負債淨變動,　　　　 保證責任準備淨變動,　　　　 其他各項負債準備淨變動,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 處分承受擔保品損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 處分承受擔保品,　　 取得投資性不動產,　　 應收款項減少,　　 其他資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 央行及同業融資減少,　　 發行公司債,　　 發行金融債券,　　 附買回票券及債券負債增加,　　 應付款項減少,　　 其他負債增加,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　　　 股利收入,　　 收取之股利,　　 附賣回票券及債券投資增加,　　 應付商業本票增加,　　 償還金融債券,　　 應付款項增加,　　 取得子公司股權,　　 央行及同業融資增加,　　 附買回票券及債券負債減少,　　 發放現金股利,　　 因合併產生之現金流入,　　 償還特別股負債,　　 處分無形資產,　　 概括承受他公司之淨現金收取數,　　 庫藏股票買回成本,　　　　 金融資產重分類淨損失（利益）,　　 其他資產增加
2891,2014年01月01日至2014年06月30日,,30651953,30651953,,,645359,319379,870400,-5848674,9275786,-29664414,39209277,-2455,-39929,0.0,-43686,2575,0.0,-8081,0.0,-953,808,-14140895,482335,,,598055,14839009,36137330,223982,-26891384,-74720556,429719,-15672660,-61560167,-126616672,,-3012213,3826842,-138283,15299207,126661953,-100615,-4310,244870,142777451,16160779,16643114,47295067,29006682,-8856089,-1784287,65794456,,-2044966,5140,22528,-4833882,15318,-170731,7144,-97357,872091,0,42288388,,,,35000000.0,81862,-24619,822414,0,-82.0,40137002,89818,148309664,199908777,348218441,153967496,192405534,1845411,-92162.0,133083.0,0.0,1449730.0,-300000.0,0.0,0.0,3136400.0,,,48203353.0,,1617.0,6507724.0,-28703.0,0.0,-6199591.0
2891,2014年01月01日至2014年03月31日,,8903474,8903474,,,316152,144745,511326,-6376023,4319028,-13875631,20288726,-207,-12704,,-19882,2756,,-4089,,-49,396,537284,5826974,,,2508730,6796244,20164490,158843,8188863,-45460539,-161323,-12630984,-41396523,-61832199,,-3461491,12424344,-90668,2690700,59881539,1089097,73603,50930,72658054,10825855,16652829,25556303,14148828,-3834054,-178410,35697452,,-1733691,3256,661,-2058209,6132,-103796,4368,0,773591,-5788087,-2397967,,312450.0,0.0,,6746068,-90321,-5778032,0,,1461419,865858,35626762,199908777,235535539,136259523,94441525,4834491,-4854.0,4785.0,,299957.0,,,,,,,,,716.0,6497092.0,-28703.0,,
2891,2013年01月01日至2013年12月31日,,21552115,21552115,,,1301090,651146,6415749,-730203,14629089,-47789311,60001187,-7141,-72142,334817.0,-75806,25732,2598.0,-58536,19754.0,21809,28131,-883768,33026963,,,-14277054,-5674700,3459346,667841,-30068959,-157380867,171143,-7451159,-27897115,-238451524,,17719093,3413410,220153,-8868680,205209465,-187503,543150,-3047556,215001532,-23449992,9576971,31129086,47526937,-14728081,-3669207,61105243,,-874398,155111,190628,-7140314,28576,-316315,396255,-422,773591,1219341,-5567947,,3159249.0,0.0,4947000.0,2920478,-90321,3442473,19988762,-4195.0,23306721,-921639,77922378,121986399,199908777,115161162,75911596,8836019,-787232.0,846508.0,,199985.0,-450000.0,,-2514.0,,,-10804196.0,0.0,0.0,,,,,
2891,2013年01月01日至2013年09月30日,,21018082,21018082,,,991240,472624,950081,-1756019,10773713,-35121533,33475812,-1194,-47771,334817.0,-62805,21837,4.0,-36771,3500.0,-14499,29313,-477651,8751799,,,-21316604,-18600194,-69473793,478908,-26222399,-84966232,143869,18678988,-13415855,-214693312,,5801887,715751,61991,3335875,156813464,-117399,426682,-2614364,164423887,-50269425,-41517626,-20499544,35971120,-10842013,-3675856,1749778,,-715776,42367,154477,-5415718,24244,-204793,316019,-422,1534458,2328605,-1936539,,0.0,0.0,4847000.0,0,-307625,2187369,19988762,-4195.0,18309387,-835676,17286950,121986399,139273349,72741880,59768645,6762824,-782899.0,796071.0,,1499726.0,0.0,,-2514.0,4510400.0,-3605340.0,-10804196.0,,,,,,,
2891,2013年01月01日至2013年06月30日,,15490374,15490374,,,658147,321599,-196982,-1210542,7045813,-23041560,19175294,-733,-39215,334817.0,-31094,-1866,4.0,-33682,3500.0,-10446,1660,-12350,2560300,,,-6304345,-31105887,-34905040,334287,-22036335,-77677056,234558,27766564,-7995303,-151688557,,-1150070,6661192,115692,357039,132837353,-72124,521446,421224,139691752,-11996805,-9436505,6053869,23035427,-6959263,-1920014,20321076,,-553598,42367,46081,-4195653,8935,-148723,35258,-250,1477919,333941,-3289985,,1458647.0,0.0,4904000.0,11261712,0,3070613,19988762,-4195.0,42337000,522338,59890429,121986399,181876828,72651842,106955046,2269940,-402064.0,111057.0,-336262.0,1599726.0,0.0,60249.0,-2514.0,,,,,,,,,,
2891,2013年01月01日至2013年03月31日,,7634189,7634189,,,330118,165537,-245250,-944218,3434504,-11311801,8295097,-306,-12734,0.0,-21770,3945,0.0,-33682,0.0,-10326,947,274343,-75596,,,-4926685,-12765431,-14011903,157391,-1987745,-53385529,-160803,23408819,-1729967,-65401853,,6444402,2352102,23758,-5361783,42688331,-33577,364215,2145901,48623349,-16778504,-16854100,-9219911,11980895,-3412297,-215882,-867195,,-494061,42367,21214,-1980700,2904,-77399,2144,-250,1081355,2011017,608591,,-22496.0,0.0,4811000.0,18560923,-156054,755707,3355454,0.0,27304534,733077,27779007,121986399,149765406,59838271,80841307,9085828,,,,,,,,,,,,,,,,,
2891,2012年01月01日至2012年12月31日,,24714961,24714961,,,1379171,658735,538544,-716625,13892200,-45432502,33269976,-18056,-141724,336194.0,-80837,2843,71.0,-497414,47869.0,20293,6181,509897,3095430,,,22234353,-14020077,-6194076,489818,-9646069,-74808184,-703888,24627923,1226848,-56793352,,-20673649,-1579739,-13617,5001337,69427770,449118,-626740,6264268,58248748,1455396,4550826,29265787,45072491,-13535709,-3314783,58219154,,-862334,1452735,39334,-8655678,355453,-377588,152933,-2641084,751693,-1767677,-11745468,,-2518527.0,12000000.0,0.0,-14019542,-990,2283503,11641044,-17668.0,-26247262,-1075962,19150462,102835937,121986399,46333299,74281364,1371736,-679386.0,731368.0,,0.0,0.0,,0.0,,,-5615082.0,-193255.0,-30000000.0,,,,,
2891,2012年01月01日至2012年09月30日,,17935992,17935992,,,1041426,492505,312872,-1765019,10429443,-34006162,30757874,-17584,-110537,336193.0,-64159,2748,71.0,-112679,1200.0,-5103,-18666,612790,7224447,,,20340550,-21189839,-19091957,265425,-3956847,-55235536,2299,8157586,3661550,-67046769,,-14711877,1819618,-38455,-4998325,72086538,-95099,58006,7590342,61710748,-5336021,1888426,19824418,34285196,-10088980,-2713533,42020288,,-560313,619001,36090,-2730321,223619,-382028,89547,-1569875,1033591,143906,-3096783,,-1971811.0,12000000.0,0.0,2237525,-375373,3493895,11641045,-8197.0,21402002,-1361157,58964350,102835937,161800287,67687993,91272865,2839429,-662766.0,713187.0,,0.0,0.0,,0.0,0.0,0.0,-5615082.0,,,,,,,
2891,2012年01月01日至2012年06月30日,,12572376,12572376,,,706252,329413,-453281,-1170554,6888168,-22559958,17752260,-7320,-59126,336193.0,-47713,3930,47.0,-2735,1200.0,-2067,-20125,560476,1736606,,,-929651,-18935269,-18188070,158138,-454772,-18469127,6541,3289514,5416735,-48105961,,8427830,1789297,-31529,-406511,15796230,-58658,259873,3108826,28885358,-19220603,-17483997,-4911621,22236854,-6573123,-1678392,9143337,,-259712,97371,17294,-1340343,76726,-186200,4810,-692710,727300,669832,-1414443,,-1610912.0,12000000.0,0.0,3377525,0,1518693,11641045,-8197.0,26933325,-353594,34308625,102835937,137144562,62435905,72406596,2302061,-518454.0,69619.0,-528811.0,0.0,0.0,15171.0,0.0,,,,,,,,,,
2891,2012年01月01日至2012年03月31日,,6106209,6106209,,,358612,164884,171997,-1049163,3477197,-11366887,6719435,-12087,20238,336194.0,-19474,-11839,47.0,-2736,1200.0,-12719,-407,-58692,-1284200,,,-8113074,-19869851,-72890136,120351,13555556,-1729328,-1368,12706816,5315706,-70905328,,-2676510,1408846,17762,-9196255,42309342,-33670,10875,5223045,37063435,-33841893,-35126093,-29019884,11764203,-3221471,-196315,-20673467,,-119371,77892,0,-620366,30576,-79331,77023,0,898056,346780,611259,,-1852600.0,12000000.0,0.0,12579551,-163584,1891251,2183035,-8197.0,26629456,-608065,5959183,102835937,108795120,54303459,50723532,3768129,,,,,,,,,,,,,,,,,
