公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 取得無形資產,　　 舉借長期借款,　　 收取之股利,　　 現金增資,　　 其他籌資活動,　　　　 處分投資損失（利益）,　　 處分以成本衡量之金融資產,　　　　 非金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 存出保證金減少,　　 其他金融資產減少,　　　　　 預收款項增加（減少）,　　 預收款項增加－處分資產,　　　　 處分其他資產損失（利益）,　　 其他預付款項減少,　　 對子公司之收購（扣除所取得之現金）,　　 其他投資活動,　　 其他應收款減少,　　 非控制權益變動,　　　　　 應付票據－關係人增加（減少）,　　 收取之利息-營業活動
1225,2016年01月01日至2016年09月30日,,452619,452619,,,83902,3554,1444,25079,-12085,-14398,-902,212,,,,14723,-4996,-84515,-64506,12060,,182381,-42586,-175,12386,,-2392,-3963,275,-18109,0,-7455,,-48842,-36456,50350,502969,48,-26365,-39975,438112,,-30134,1047,,-184924.0,3291,45241,,216364,120000.0,-445000,12868,-280391,-57079,145883,451931,597814,597814,,,50000.0,5500.0,-218703.0,-24250.0,,,,,86806.0,-17894.0,-2695.0,,574.0,0.0,,,-16738.0,-9006.0,278852.0,8330.0,122.0,1483.0
1225,2016年01月01日至2016年06月30日,,317758,317758,,,55422,2299,1444,16817,-7552,-9024,-192,1137,,,,6491,-2782,-16926,-52619,18681,,228217,-37430,-525,143107,,-6893,-29406,154,-12273,0,-8381,,-74904,68203,128554,446312,780,-17804,-25481,403807,,-14746,285,,-210571.0,-435,33398,,347382,0.0,-355000,17055,67767,-33864,471108,451931,923039,923039,,,50000.0,5500.0,,,,,,,60351.0,-18105.0,257.0,,,,,,-16738.0,-9006.0,278852.0,8330.0,,
1225,2016年01月01日至2016年03月31日,,137567,137567,,,26681,1127,0,8868,-3163,-3616,-192,20,,,,33627,498,-50104,-18802,20025,,222652,-20120,-322,187454,,-7290,-11011,-1440,-18157,0,-4363,,-60581,126873,156598,294165,88,-9500,0,284753,,-4567,284,-2519.0,21373.0,-78,-11251,,-188307,-60000.0,-20000,15039,-253268,-25053,-4819,451931,447112,447112,,,,,,,,,,,29725.0,-18320.0,,,,,,,-16738.0,-9006.0,,,,
1225,2015年度,,873315,873315,,,117687,7014,18097,45553,-3114,-11357,-404286,-107,,,,37829,-498,38643,60391,-1951,,-69080,-12480,7479,60333,,-4411,31933,-528,36545,-2373,4069,,64688,125021,-403583,469732,3194,-45988,-4193,422745,,-35310,409495,1365.0,-417668.0,-1415,242315,,-446185,20000.0,-387487,267,-618081,4495,51474,400457,451931,451931,,,250000.0,16400.0,-54676.0,,,,581.0,,-528604.0,-547.0,,,,,-298672.0,269448.0,,,,,,
1225,2015年01月01日至2015年09月30日,,134774,134774,,,89331,5357,3248,35090,-1873,6343,-11,275,,,,-7818,0,13086,44566,-18276,,-34356,-24524,-172,-27494,,-10689,-13775,-2211,-15604,-2373,4070,,-45174,-72668,65092,199866,1949,-35522,-4164,162129,,-24291,302,-1604.0,48832.0,-6435,230566,,-282125,30000.0,-302487,16396,-562892,544,-169653,400457,230804,230804,,,30000.0,16400.0,-54676.0,,,,,,137760.0,-423.0,,,-4169.0,197362.0,,,,,,,,
1225,2015年01月01日至2015年06月30日,,58265,58265,,,60386,3649,3193,24280,-1345,8255,-58,62,,,,6710,0,75142,14873,1507,,-32655,5246,6047,76870,,-11481,-26476,1190,-33309,-2373,-515,,-73261,3609,102031,160296,1374,-24306,-93,137271,,-15654,245,,,-224,-15360,,-64586,20000.0,-272487,29971,-257102,-51,-135242,400457,265215,265215,,,30000.0,,,,,,0.0,,98422.0,-297.0,55.0,218.0,,,,,,,,,,
1225,2015年01月01日至2015年03月31日,,39898,39898,,,30234,1884,-618,12256,-628,2635,0,110,,,,63464,0,65608,17670,-78,,196257,-4148,-1987,336786,,-12771,-38064,5551,-34260,-2373,896,,-81204,255582,301455,341353,651,-11824,-39,330141,,-9519,150,555.0,-1237.0,-838,-10889,,-137201,,-137487,20945,-253743,33,65542,400457,465999,465999,,,0.0,,,,,,,,45873.0,-183.0,,,,,,,,,,,,
1225,2014年度,,79022,79022,,,122154,6519,1437,59330,-2553,-18272,6493,43,175254.0,,,23197,31052,56938,-34940,-3294,,-209972,11513,-1233,-126739,,-18532,15054,861,32760,-2830,-4160,-14523.0,8630,-118109,57145,136167,2570,-56691,-27228,54818,,-34049,9080,-257.0,1377.0,17008,10159,,-106866,250000.0,-1871405,-3000,76739,365,142081,258376,400457,400457,,,1858369.0,17000.0,-50359.0,0.0,,,103.0,,,,,,,,,,,,,,,
1225,2014年01月01日至2014年09月30日,,-10811,-10811,,,91832,4569,-2,45654,-1831,-12533,6586,-73,134202.0,,,4415,30999,79249,-87156,-21249,,-441428,25580,-44,-409634,,-27942,330,631,-8502,-5203,-2902,-860.0,-44448,-454082,-319880,-330691,1863,-43309,-15361,-387498,,-20847,8758,3852.0,5473.0,20715,34951,,353329,200000.0,-643036,32779,303513,225,-48809,258376,209567,209567,,,410800.0,17000.0,-50359.0,0.0,,,,,,,,,,,,,,,,,,
1225,2014年01月01日至2014年06月30日,,53381,53381,,,61559,3088,-1,30823,-1238,-8494,79,186,89848.0,,,43962,31052,33204,-3723,-12819,,-573727,428,237,-481386,,-28127,-14394,1132,15775,-5203,-1548,-580.0,-32945,-514331,-424483,-371102,1272,-28987,-15448,-414265,,-17010,487,1502.0,9328.0,6109,416,,422940,100000.0,-271538,33932,536134,125,122410,258376,380786,380786,,,250800.0,,,,,,3846.0,,,,,,,,,,,,,,,
