公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 對子公司之收購（扣除所取得之現金）
8021,2015年01月01日至2015年09月30日,,354780,354780,,,446149,3558,518.0,8442.0,24807,-14038,788,72,-1007.0,600,469889.0,,,-52860.0,9567,-71336,29727,-108613,-24943,35863,-230,-182825,,568,-17181,-6182,106659,-873,-57.0,82934,-99891,369998,724778,15487,-24917,-106453,608895,,1200.0,-284832,2826.0,66,-6229,-378.0,-287347,,-119389,94250,-120174,427,-194645.0,3260.0,7763.0,-328508,9541,2581,1429603,1432184,1432184,,,,,,
8021,2015年01月01日至2015年06月30日,,209841,209841,,,298713,2305,,6550.0,16334,-9794,526,-10,-1007.0,399,314016.0,,,-24385.0,4708,8404,39255,-21930,-40706,31984,-172,-2842,,-9,-47467,-4683,73969,3468,-39.0,25239,22397,336413,546254,9781,-16348,-73198,466489,,1200.0,-254622,2823.0,614,-5533,,-256367,,-487,79515,-89711,-281,,3260.0,7763.0,59,-38359,171822,1429603,1601425,1601425,-849.0,,,,,
8021,2015年01月01日至2015年03月31日,,90974,90974,,,150413,1163,,8369.0,7848,-4532,263,10,-1007.0,202,162729.0,,,,5853,-44854,53218,85789,-24942,11756,-484,86336,,-10,-42644,-1755,-47107,143,-19.0,-91392,-5056,157673,248647,5017,-7781,-2734,243149,,1200.0,-84363,0.0,107,-4396,,-88082,,-9926,0,-48662,-125,,2262.0,,-56451,-23157,75459,1429603,1505062,1505062,-630.0,,,,,
8021,2014年度,,478874,478874,,,558916,4420,1209.0,18615.0,32828,-17006,1031,-2474,,774,,,,,-13598,-243643,-84556,-41752,-59293,-30569,-108,-473519,,-3,94758,-1085,101713,-1056,,192836,-280683,321887,800761,15230,-32525,-71277,712189,,,-466670,52717.0,-5368,-3410,,-437177,,66020,98449,-214378,655,-126312.0,23930.0,3773.0,-147863,92601,219750,1209853,1429603,1429603,-5329.0,,4257.0,602570.0,-1491.0,-9117.0
8021,2014年01月01日至2014年09月30日,,327285,327285,,,409870,3373,1201.0,11035.0,24885,-12924,902,-2668,0.0,577,436251.0,,,0.0,4053,-309908,-65084,52314,-3696,-29331,-171,-351823,,4353,44756,1310,52864,-244,-1500.0,101539,-250284,185967,513252,12924,-24822,-67773,433581,,0.0,-362685,50436.0,-5164,-3410,-4045.0,-324868,,83979,30000,-174038,216,-126312.0,18837.0,-5344.0,-172662,20857,-43092,1209853,1166761,1166761,,,,,,
8021,2014年01月01日至2014年06月30日,,178426,178426,,,266291,2274,,524.0,17072,-8997,772,-2811,0.0,386,275511.0,,,0.0,2522,-140993,-40680,27783,15132,-10256,-547,-147039,,3822,23635,2338,84974,599,-1507.0,113861,-33178,242333,420759,8997,-16972,-45363,367421,,0.0,-260646,40539.0,-4782,-3330,,-231235,,65142,30000,-130060,19,,5713.0,3773.0,-25413,-8600,102173,1209853,1312026,1312026,-3016.0,,,,,
8021,2014年01月01日至2014年03月31日,,69398,69398,,,132302,1136,,0.0,8458,-4340,642,-2758,0.0,194,135634.0,,,,175,-30064,-8287,20949,10449,-5515,-167,-12460,,3749,-14404,664,15109,430,-759.0,4789,-7671,127963,197361,4340,-8182,-1701,191818,,0.0,-113686,38907.0,-1693,-3093,,-80886,,37562,30000,-69636,234,,983.0,,-857,26679,136754,1209853,1346607,1346607,-1321.0,,,,,
8021,2013年度,,348528,348528,,,512601,4828,1321.0,0.0,32746,-12921,6017,313,,752,,,,,-8259,-43969,72677,25394,4173,12072,61,62149,,16,-9932,139,41096,4531,,32941,95090,640747,989275,12928,-31413,-58321,912469,,,-447085,619.0,-3358,-2914,,-452132,,11718,356519,-353010,278,-110950.0,0.0,0.0,-95445,66195,431087,778766,1209853,1209853,2510.0,,0.0,545657.0,-2909.0,-1904.0
8021,2013年01月01日至2013年12月31日,,348528,348528,,,512601,4828,1321.0,,32746,-12921,6017,313,0.0,752,,,,,-8259,-43969,72677,25394,4173,12072,61,62149,,16,-9932,139,41096,4531,,32941,95090,640747,989275,12928,-31413,-58321,912469,,0.0,-447085,619.0,-3358,-2914,,-452132,,11718,356519,-353010,278,-110950.0,,0.0,-95445,66195,431087,778766,1209853,1209853,2510.0,,,545657.0,-2909.0,-1904.0
8021,2013年01月01日至2013年09月30日,,275146,275146,,,382133,3723,68.0,0.0,23732,-8640,4523,351,,563,,,,,-2459,26512,50696,-23775,35753,-1013,221,85935,,4,-21818,13108,-16531,5916,,-21472,64463,470916,746062,8647,-23085,-56218,675406,,,-400381,506.0,-3179,-2286,-918.0,-406258,,60895,344317,-261650,192,-110950.0,0.0,0.0,32804,45437,347389,778766,1126155,1126155,,,,406453.0,-2151.0,
