公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　 股份基礎給付酬勞成本,　　 庫藏股票買回成本,　　 員工購買庫藏股
6224,2015年01月01日至2015年09月30日,,443511,443511,,,56312,1326,200,0,102,-7416,2793,0.0,53317.0,,,-1925,42809,-9383,-19168,-14206,-2085,3721,-4780,-5017,,-27842,25744,0.0,-25026,5028,-499,-22595,-27612,25705,469216,7416,-102,-71663,404867,,-3000.0,-31422,333,-210.0,-588,-6515,-41402,,0,-23585,0,0,1880,-336008.0,0,-357713,4008,9760,797260,807020,807020,,,,,,
6224,2015年01月01日至2015年06月30日,,286611,286611,,,41297,906,388,422,140,-5012,-86,0.0,38055.0,,,-1925,11207,-49775,-8126,-2779,-4568,619,-4581,-59928,,-9114,28894,0.0,10177,1876,-348,31485,-28443,9612,296223,5012,-140,-36901,264194,,-3000.0,-23866,205,,-588,3455,-23794,,0,-15584,0,0,1880,,0,-13704,-2397,224299,797260,1021559,1021559,0.0,,,,,
6224,2015年01月01日至2015年03月31日,,123469,123469,,,22251,433,207,-929,104,-2373,0,0.0,19693.0,,,-1925,18120,12641,-6344,-3070,-5337,5024,-560,18549,,-1246,12501,0.0,-25084,755,-183,-13257,5292,24985,148454,2373,-104,-2856,147867,,-3000.0,-12343,0,0.0,0,-1448,-16791,,0,0,0,0,1879,0.0,0,1879,-1073,131882,797260,929142,929142,,,,,,
6224,2014年度,,483786,483786,,,80421,1808,2660,1925,720,-7817,241,256.0,,,,-754,-41020,-11301,-739,-742,-2032,-5597,26,-62159,,26242,-14828,0.0,8482,108,-717,19287,-42872,37342,521128,7817,-720,-85283,442942,,,-40132,1708,-757.0,-1288,-4648,-45117,,0,-56088,0,0,800,-328008.0,0,-383296,4576,19105,778155,797260,797260,,,80214.0,,,
6224,2014年01月01日至2014年09月30日,,369201,369201,,,64545,1356,2089,1158,1337,-7033,171,256.0,63879.0,,,-754,-52183,-4651,-9545,-4334,-26632,5380,-1470,-94189,,-1319,-7997,0.0,15182,-245,-554,5067,-89122,-25243,343958,7033,-1337,-82247,267407,,0.0,-27735,1642,243.0,-1015,-2981,-29846,,0,-45185,0,0,800,-328008.0,0,-372393,864,-133968,778155,644187,644187,,,,,,
6224,2014年01月01日至2014年06月30日,,253447,253447,,,41950,897,2752,-243,824,-4749,247,171.0,41849.0,,,-754,-28101,-82635,1816,-311,-39579,227,-1578,-150915,,-1339,23132,0.0,41353,1038,-379,63805,-87110,-45261,208186,4749,-824,-48963,163148,,0.0,-15822,0,,-656,-1953,-19088,,0,-9056,0,0,800,,0,-8256,-1243,134561,778155,912716,912716,-657.0,,,,,
6224,2014年01月01日至2014年03月31日,,104200,104200,,,21712,456,2077,184,395,-1136,0,0.0,23688.0,,,-754,-8478,-7297,-779,-2824,-19619,-1103,-2206,-43060,,-1500,16021,0.0,1474,4870,-187,20678,-22382,1306,105506,1136,-395,-421,105826,,0.0,-6364,0,0.0,-669,311,-6722,,0,-9126,0,0,800,0.0,0,-8326,2231,93009,778155,871164,871164,,,,,,
6224,2013年度,,467336,467336,,,79837,2674,2509,754,4265,-4059,862,0.0,,,,-209,18725,36651,12246,84,89081,-8185,2383,150776,,-279,7211,0.0,10883,-20255,-785,-3225,147551,234393,701729,4059,-4265,-70144,631379,,,-78053,95,0.0,-1001,6121,-72838,,0,-48015,0,-110000,2819,-327408.0,6090,-476514,-1978,80049,698106,778155,778155,,,86842.0,,,
6224,2013年01月01日至2013年09月30日,,349371,349371,,,59046,1733,2457,-3,3857,-2247,531,0.0,,,,-209,29618,3874,5398,-2817,69377,2771,2419,110431,,-332,11258,0.0,-22194,-14202,2213,-23257,87174,152548,501919,2247,-3857,-69167,431142,,,-87129,95,0.0,-160,7661,-79533,,0,-48197,0,-55000,0,-327409.0,3223,-427383,2468,-73306,698106,624800,624800,,,65374.0,,,
6224,2013年01月01日至2013年06月30日,,239331,239331,,,39598,1183,-1698,4,2707,-1867,176,0.0,,,,-209,-7685,54146,11060,-4437,41372,2884,1367,98498,,590,1937,0.0,-121,-13452,2398,-8648,89850,129953,369284,1867,-2707,-38193,330251,,,-44594,94,,-160,5233,-39427,,8898,-24501,0,0,0,,3223,-12380,4274,282718,698106,980824,980824,0.0,,40103.0,,,
