公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 處分承受擔保品損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 附賣回票券及債券投資（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 取得不動產及設備,　　 處分不動產及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分承受擔保品,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 央行及同業融資增加,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 金融資產減損損失,　　 收取之股利,　　 處分持有至到期日金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 央行及同業融資減少,　　 發行金融債券,　　 償還金融債券,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資
2812,2013年01月01日至2013年06月30日,,1909518,1909518,,,82370,10374,787204,9493,1751516,-4762458,537,6,3758,-676361,-34619,7949,15104,-2793804,,,-1087382,-7070543,,-1247808,-22326877,-246078,-66936,-32045624,,4749435,-308754,-1234,-178675,22713523,25069,-18940,17036,26997460,-5048164,-7841968,-5932450,4710300,-1686734,-310553,-3219150,,-3545629,2843525,,50000,-63318,2190,-79760,-42165,19515,4987688,,851967,66492,856795,27978,2653311,65866855,68520166,9821772,-287.0,11610.0,287.0,5802240.0,0.0,1090.0,0.0,2500000.0,-2561664.0,54317532.0,4380862.0
2812,2013年01月01日至2013年03月31日,,904191,904191,,,39084,5902,282075,-30143,859682,-2317260,-224,-300,5209,-191038,-34619,-132021,15104,-1498549,,,-651207,-6065381,-4363781.0,-661152,-877190,-228148,-111819,-12958678,,698291,-171889,218788,-695320,9437899,-2653,-21910,14323,9477529,-3481149,-4979698,-4075507,2330248,-729309,-18012,-2492580,,-2946205,2241342,1205840.0,0,-40871,1480,-38414,-23964,19515,418723,,1337203,39581,1376784,15111,-681962,10264038,9582076,9582076,,,,,,,,,,,
2812,2012年01月01日至2012年06月30日,,1540485,1540485,,,66633,9544,49939,-91872,1492329,-4159110,2830,17,-10023,0,-36242,217164,15159,-2352289,,,2505754,-12741,,-302404,-22303591,-41184,-14416,-20168582,,850019,-184899,250000,1011073,26179881,2692,-9394,-4990,28094382,7925800,5573511,7113996,4202816,-1390426,0,9926685,,-9260387,4470547,,450000,-144216,0,-34520,-3772,21083,-4501265,,0,44709,6044,0,5431464,68197164,73628628,10106357,-299.0,91642.0,299.0,0.0,0.0,0.0,-38665.0,0.0,0.0,63522271.0,0.0
2812,2012年01月01日至2012年03月31日,,784926,784926,,,31055,4746,3939,-104650,730396,-2041138,-438,16,0,15284,-35356,116283,14273,-1265590,,,2756270,154126,0.0,-324590,-5767679,-11486,-47844,-3241203,,1393034,-116367,0,350737,7717045,-2471,-4697,-17556,9319725,6078522,4812932,5597858,2071227,-584359,0,7084726,,-6476586,0,0.0,450000,-106560,0,-8704,-2550,21083,-6123317,,-72675,74837,2162,0,963571,8349905,9313476,9313476,,,,,,,,,,,
