公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 以成本衡量之金融負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分持有至到期日金融資產,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 處分投資性不動產,　　 長期應收租賃款增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他預付款項增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 持有至到期日金融資產到期還本,　　 存入保證金減少,　　 其他非流動資產減少,　　 應付短期票券減少,　　 發行公司債,　　 其他應付款－關係人增加,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 取得採用權益法之投資,　　 處分子公司,　　 長期應收租賃款減少,　　 其他金融資產增加,　　　　 非金融資產減損迴轉利益,　　 取得以成本衡量之金融資產,　　 取得備供出售金融資產,　　 其他非流動負債增加,　　 處分避險之衍生金融資產,　　 其他應付款－關係人減少,　　 除列避險之衍生金融負債,　　 處分採用權益法之投資,　　 其他應收款增加,　　 其他應收款減少,　　 其他非流動負債減少
2206,2015年01月01日至2015年09月30日,,4102490,4102490,,,744324,53375,27447,0,243626,-155045,-103575.0,0.0,-295059,-52186,5523.0,74356.0,0.0,-3320234.0,-2777448.0,,,-1506279,770,32111,-429281,-50500,-12086,157086,-1808179,,-90239,-26976,-224836,55627.0,100009,-72774,-59362.0,-14190.0,31040.0,-301701,-2109880,-4887328,-784838,155378,-241653,-810947,-1682060,,138500.0,91.0,10141.0,-834156,141491,0.0,-14424.0,-215865.0,-45814.0,19819.0,170485.0,-629732,,14949913,-13531358.0,-190081.0,0.0,751578.0,-580844,113685.0,0.0,-338941.0,0.0,-47967.0,1125985,52244,-1133563,4816320,3682757,3682757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2015年01月01日至2015年06月30日,,447141,447141,,,501936,40343,25448,0,168172,-119310,-103414.0,0.0,-147488,11159,,,,3962.0,380808.0,,,-23735,773,-3190,-1698017,-220556,-19568,-575382,-2539675,,489528,86959,-220778,2273.0,153683,20355,-46323.0,-3869.0,32324.0,514152,-2025523,-1644715,-1197574,119605,-169571,-169726,-1417266,,,37.0,10141.0,-399051,62202,,-14424.0,97557.0,-16940.0,,104178.0,-17800,,6645211,-6265074.0,-170914.0,0.0,149880.0,-158362,,0.0,,0.0,-34896.0,284284,-167351,-1318133,4816320,3498187,3498187,138500.0,118439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2015年01月01日至2015年03月31日,,101077,101077,,,255880,21543,17789,0,77042,-45668,-62245.0,,-20991,-1140,,,,-6014.0,236196.0,,,-80574,812,4650,-677356,-132769,-20001,-1163306,-2068544,,185766,24280,-284306,-6331.0,173727,15347,-21919.0,,14209.0,100773,-1967771,-1731575,-1630498,46009,-82093,-29175,-1633512,,,,10141.0,-180667,23350,,,20229.0,,,62245.0,18888,,4173301,-3460434.0,92192.0,,0.0,-22172,110176.0,,,,-8017.0,885046,-80072,-809650,4816320,4006670,4006670,138500.0,0.0,7335.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年度,,-144210,-144210,,,1033314,80226,22859,-357073,402559,-267943,-52225.0,1083.0,-416732,-22544,0.0,,314931.0,-78486.0,,,,-579264,80094,-104759,-223917,-27370,40185,7485,-807546,,143064,-107389,139095,46595.0,-21632,2350,,,13320.0,178245,-629301,-10896,-155106,255403,-363374,-107965,-371042,,0.0,197.0,-146.0,-860229,136026,34260.0,-48806.0,,0.0,,195797.0,-567125,,11090041,-9580021.0,286709.0,-1478655.0,336540.0,-966934,19498.0,-403370.0,0.0,965102.0,-45917.0,1892298,124050,1078181,3738139,4816320,4816320,,,57964.0,0.0,1669305.0,0.0,,-62147.0,0.0,20583.0,618405.0,-37158.0,90909.0,0.0,-138500.0,-9900.0,97.0,0.0,-24794.0,,,,,,,,,,,
2206,2014年01月01日至2014年09月30日,,-17093,-17093,,,779391,73413,3488,-357065,320740,-213150,-51962.0,1083.0,-82563,-58686,0.0,0.0,314931.0,-35200.0,694420.0,,,-908050,80617,-99186,-928572,-142063,-5663,-131501,-2134418,,663035,-66998,78500,22423.0,116325,-41538,-38285.0,0.0,9015.0,742477,-1391941,-697521,-714614,228453,-255476,-87392,-829029,,0.0,197.0,0.0,-546798,110808,32238.0,-41410.0,-4606.0,-43343.0,0.0,195534.0,-297380,,7436259,-7771138.0,253784.0,1669305.0,402423.0,-789035,20465.0,-403370.0,0.0,965102.0,-43360.0,1740435,44223,658249,3738139,4396388,4396388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年01月01日至2014年06月30日,,275326,275326,,,520295,53816,1965,-313429,206286,-125704,-51962.0,-20367.0,-12367,-49859,,,,3441.0,212115.0,,,-1199913,80821,-61822,-1226881,-214566,25306,-29512,-2626567,,899915,-67604,14994,17386.0,198558,22527,-25646.0,7741.0,13236.0,1081107,-1545460,-1333345,-1058019,143681,-192719,-47422,-1154479,,,0.0,0.0,-340302,105663,,-41410.0,24150.0,32080.0,,51962.0,-167857,,6048342,-6381524.0,155571.0,1669305.0,849299.0,-984037,,-403370.0,,965102.0,24227.0,1955672,-11875,621461,3738139,4359600,4359600,0.0,12757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年01月01日至2014年03月31日,,-185010,-185010,,,261837,23632,359,12492,88880,-63097,0.0,,8180,-5782,,,,-37026.0,289475.0,,,-691878,31180,63310,-761802,-185385,19446,-275583,-1800712,,862074,-276,-380172,10758.0,135329,-7969,-16567.0,,19950.0,623127,-1177585,-888110,-1073120,64985,-88215,-18955,-1115305,,,,0.0,-133689,29889,,,3786.0,,,0.0,-77343,,4242801,-3692163.0,0.0,,587597.0,-745493,0.0,,,,0.0,2010888,39127,857367,3738139,4595506,4595506,0.0,-4393.0,22671.0,-56596.0,1669305.0,9830.0,,,,,,,,,,,,,,,,,,,,,,,,
2206,2013年度,,-275859,-275859,,,1116060,94279,-22880,0,359913,-320370,-116405.0,0.0,-311221,-63578,36493.0,,0.0,-10243.0,,,,-147837,-3803,-184179,361195,5489,-101207,-1177093,-1247435,,294865,-31172,-178714,31925.0,84773,13361,,,-273300.0,-139025,-1386460,-490259,-766118,322428,-362860,-832532,-1639082,,132744.0,129.0,0.0,-699779,145881,0.0,0.0,,-267871.0,,125425.0,-617104,,6866090,-4755193.0,33914.0,0.0,332395.0,-750247,59064.0,-403370.0,-997964.0,0.0,-32540.0,284387,147749,-1824050,5562189,3738139,3738139,,,0.0,-38351.0,0.0,-29411.0,,109999.0,-14372.0,38526.0,896201.0,-80763.0,0.0,-91429.0,0.0,0.0,19542.0,39848.0,-21594.0,,,,,,,,,,,
2206,2013年01月01日至2013年12月31日,,-275859,-275859,,,1116060,94279,-22880,-10243,346815,-320370,-116405.0,,-311221,-63578,36493.0,,,0.0,,,,-147837,-3803,-184179,361195,5489,-101207,-1177093,-1247435,,294865,-31172,-178714,31925.0,84773,56854,,,,177768,-1069667,-186564,-462423,322428,-349762,-832532,-1294955,,132744.0,0.0,,-699828,145881,,,,-188886.0,-78936.0,125425.0,-338169,,6866090,-4755193.0,0.0,,332395.0,-750247,59064.0,-403370.0,-997964.0,,-32540.0,-338675,147749,-1824050,5562189,3738139,3738139,,,,-4437.0,,-29411.0,,109999.0,-14372.0,38526.0,883103.0,-80763.0,0.0,-91429.0,,,19542.0,,-21594.0,,129.0,,0.0,,,-43493.0,0.0,0.0,39848.0,-273300.0
2206,2013年01月01日至2013年09月30日,,118759,118759,,,866213,67574,-43972,0,266074,-238882,-119734.0,0.0,-122266,-46951,,,0.0,-2343.0,,,,-455387,-9065,-207656,170759,-121455,-22951,-1463735,-2109490,,525441,-64968,-414795,109875.0,193246,57139,,,20726.0,404876,-1704614,-1103766,-985007,241654,-266412,-116183,-1125948,,132296.0,130.0,,-538421,158996,0.0,0.0,22206.0,-150284.0,,181211.0,-167632,,5436973,-4232240.0,214417.0,,158778.0,-612884,28252.0,-403370.0,-997964.0,0.0,-43546.0,-422938,106465,-1610053,5562189,3952136,3952136,,,,,0.0,28646.0,,,,,600848.0,-21788.0,,9886.0,,,,17458.0,0.0,-24865.0,-1110.0,,,,,,,,,
