公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金減少,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分備供出售金融資產,　　 短期借款減少,　　 存入保證金增加,　　 員工執行認股權,　　 以成本衡量之金融資產減資退回股款,　　　　 股利收入,　　　　　 其他營業資產（增加）減少,　　 收取之股利,　　 其他籌資活動,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　　　 處分無形資產損失（利益）,　　 處分以成本衡量之金融資產,　　 其他金融資產增加,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 現金減資
3055,2016年01月01日至2016年09月30日,,167864,167864,,,51072,4081,-1085,-24.0,637,-13536,9236,,472,0.0,,0.0,0.0,0.0,,,,,-2451,81359,-1795,-34468,-23340,-5685,13844,,282,75285,-38567,0.0,7130,-11707,-1184,31239,45083,95531,263395,13557,-676,-132330.0,-13205,131146,,,,0.0,,,,,-23418,1354.0,-297.0,,-1143.0,0.0,,0.0,-325099,,21242.0,0.0,,0.0,0.0,-235512,-35012,-464477,1583025,1118548,1118548,0.0,,0.0,8591.0,0.0,-405.0,224.0,405.0,-686.0,,50448.0,-197913.0,0.0,,-93682.0,-10000.0,-264659.0
3055,2016年01月01日至2016年06月30日,,152816,152816,,,35763,2384,-1555,,502,-8867,9419,,0,0.0,,,,,,,,,-1809,4714,-7389,-5511,-10860,-4911,-25633,,282,281928,-16663,0.0,11231,-22495,-142,254141,228508,266154,418970,8792,-496,,-8882,418384,,,,0.0,,,,,-7933,2172.0,0.0,668.0,-166.0,0.0,0.0,0.0,-852981,,99958.0,,,,,108160,-20639,-347076,1583025,1235949,1235949,,,0.0,8331.0,,,133.0,,-129.0,,37646.0,-751032.0,0.0,,-96690.0,,
3055,2016年01月01日至2016年03月31日,,52983,52983,,,18286,1181,-755,,338,-4992,6623,,0,,,,,,,,,,-1925,-85022,-12219,20804,-4097,-97143,-179746,,282,134040,-38665,0.0,5952,-25475,-368,75766,-103980,-83299,-30316,5088,-330,,-2080,-27638,,,,,,,,,-1012,,0.0,769.0,-166.0,,,,-78709,,99439.0,,,,0.0,104795,-24564,-26116,1583025,1556909,1556909,,,,5486.0,,,-144.0,,-130.0,,20681.0,-78300.0,,,,,
3055,2015年度,,705394,705394,,,65034,3848,352,,663,-16492,14348,,397,-597882.0,,,0.0,,,,,,147,-56752,-5367,-59482,-7377,1219,-127042,,0,135970,8705,,-2185,19395,3036,164921,37879,-492317,213077,16387,-640,-158538.0,-51855,18931,,,,-59328.0,,,,,-70481,799.0,-947.0,,-3002.0,,,,287288,,52000.0,,0.0,0.0,48.0,63299,28226,397744,1185281,1583025,1583025,,,,12396.0,500.0,-500.0,570.0,500.0,-1145.0,,-530196.0,-191140.0,36.0,610887.0,,,
3055,2015年01月01日至2015年09月30日,,105526,105526,,,47519,2832,-400,,427,-12573,12273,,56,383.0,,,,,,,,,-6437,-78401,-11816,-66632,-34730,1482,-196453,,501,-15998,-39269,0.0,-6988,-121,172,-61703,-258156,-208103,-102577,12844,-402,-158538.0,-50851,-299024,,,,-59990.0,,,,,-27978,765.0,-1052.0,0.0,-2436.0,1095.0,,,-99869,,41000.0,,0.0,0.0,67.0,43997,15917,-338979,1185281,846302,846302,,,,2930.0,0.0,-500.0,81.0,500.0,,,50053.0,-10273.0,36.0,,,,
3055,2015年01月01日至2015年06月30日,,89555,89555,,,31146,1878,1132,,260,-9046,12828,,-427,407.0,,,,,,,,,-1329,-30156,-6709,-16796,-5517,402,-59946,,777,121918,-6964,3500.0,-2795,-7982,115,108569,48623,86837,176392,9111,-253,,-29070,156180,,,,-59990.0,,,,,-4655,926.0,-1492.0,0.0,-1124.0,1095.0,1203.0,,-172572,,14000.0,,0.0,0.0,-53.0,16555,-15807,-15644,1185281,1169637,1169637,,,,2683.0,,,159.0,,-75.0,,38214.0,-108535.0,36.0,,,,
3055,2015年01月01日至2015年03月31日,,28479,28479,,,15940,976,1690,,122,-3482,6701,,145,,,,,,,,,,-144,85902,-4304,-5671,-786,-2037,73188,,888,-129599,-18384,2000.0,-2428,34838,57,-112628,-39440,-17348,11131,3684,-120,,-641,14054,,,,,,,,,-140,0.0,-1892.0,0.0,,,-1081.0,,-147876,,9000.0,,0.0,0.0,-24.0,11481,-8703,-131044,1185281,1054237,1054237,,,,2505.0,,,228.0,,,,22092.0,-144763.0,,,,,
3055,2014年度,,333811,333811,,,60946,4459,96,0.0,96,-13952,12583,,-2912,0.0,,0.0,6013.0,,66904.0,,,0.0,1803,-56832,6703,21517,43021,-816,11086,,-282,157991,46761,0.0,147,-44880,-2677,157060,168146,235050,568861,13518,-79,-38958.0,-23456,520311,,,-801918.0,0.0,,,,,-55981,3931.0,,1009.0,-205.0,,,0.0,-828612,,,0.0,,-57274.0,-34273.0,-289,33760,-274830,1460111,1185281,1185281,0.0,25000.0,-77.0,51335.0,24552.0,-425.0,-4310.0,425.0,15000.0,,,,,,,,
3055,2014年01月01日至2014年09月30日,,304374,304374,,,44840,3480,2192,0.0,18,-9668,5781,,-1206,0.0,,,,,45437.0,,,0.0,1817,-111915,2032,24260,41018,-2514,-45302,,1892,286033,41876,3000.0,8560,-25680,-1169,314512,269210,314647,619021,9063,0,-38822.0,-21286,567976,,0.0,-405620.0,,,,,,-20874,1985.0,,1046.0,-208.0,,,,-411471,,,0.0,-77.0,-57274.0,-34353.0,-28605,4643,132543,1460111,1592654,1592654,0.0,13000.0,0.0,50099.0,12200.0,,,,,,,,,,,,
3055,2014年01月01日至2014年06月30日,,187536,187536,,,30911,2321,-347,0.0,6,-5221,1752,0.0,-6,0.0,0.0,0.0,0.0,0.0,29416.0,,,0.0,1584,-115559,6450,1739,24990,-5170,-85966,,2382,203172,26528,0.0,1140,-17358,2135,217999,132033,161449,348985,4875,-6,,-9639,344215,,0.0,-148043.0,0.0,0.0,0.0,0.0,0.0,-2157,773.0,,892.0,0.0,0.0,1459.0,0.0,-147076,,,0.0,,-57274.0,-39209.0,-94554,194,102779,1460111,1562890,1562890,0.0,0.0,-480.0,2409.0,,,,,,,,,,,,,
