公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 處分子公司股權（未喪失控制力）,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付票據增加（減少）,　　　　　 遞延貸項增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 存入保證金減少,　　 非控制權益變動,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 其他應收款－關係人增加,　　 其他應付款－關係人增加,　　 發放現金股利,　　　　 股份基礎給付酬勞成本,　　　　 不動產、廠房及設備轉列費用數,　　　 收益費損項目,　　　　 收益費損項目合計,　　 存出保證金增加,　　　　　 負債準備增加（減少）,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 其他金融資產減少,　　 取得子公司股權
3450,2016年01月01日至2016年03月31日,,494830,494830,,,112163,1719,0,,80,-1393,,-1479,-101,8999,,66272,-19749,,,,,5515.0,31221,1813,-146326,-16377,-1600,,-125754,,44488,17972,4853,64538,-61216,105295,600125,1305,-101,-20707,580622,,-75367,101,15,-2594,-59973,,-200527,,,,-29435,,,-33831,-50886,295378,1785240,2080618,2080618,,0.0,,-93.0,,,,,,,,,,166511.0,0.0,-2942.0,167.0,-97393.0,34684.0,-4303.0
3450,2015年度,,1793481,1793481,,,462713,53330,1396,0.0,924,-3361,0.0,-4382,9950,10877,,-1913,-62203,,,,0.0,-5507.0,-409903,1512,-167714,-100213,-19836,,-701661,,200105,162026,24113,523311,-178350,289235,2082716,2696,-1168,-241155,1843089,,-415209,0,-1153,-3650,-214466,4376.0,-817195,,0.0,0.0,-45461,0.0,,-413560,-7695,604639,1180601,1785240,1785240,,134650.0,,0.0,30473.0,,,,,-344890.0,254.0,,,467585.0,,1564.0,853.0,-198581.0,11488.0,-53682.0
3450,2015年01月01日至2015年09月30日,,1229692,1229692,,,354800,44152,1558,0.0,721,-1923,0.0,-5904,9506,9468,0.0,-2406,-45508,,,,0.0,8.0,-173346,1457,-148532,23449,-9385,-307.0,-306656,,-43354,105154,66837,171902,-134754,229964,1459656,1680,-944,-213873,1246519,,-54361,0,-750,-943,-349923,4373.0,-502745,,0.0,0.0,-40059,0.0,,-354476,14810,404108,1180601,1584709,1584709,,41496.0,,,30473.0,,,,,-344890.0,254.0,,,364718.0,,1135.0,634.0,-97197.0,-3944.0,
3450,2015年01月01日至2015年06月30日,,722507,722507,,,239201,30236,-447,0.0,517,-1092,0.0,-3747,8884,4572,,-8836,-29627,,,,0.0,8.0,-181315,1132,3511,-7266,-3181,7159.0,-179952,,139763,20149,4590,206047,26095,266010,988517,1044,-737,-138826,849998,,-51243,0,-726,-943,-209922,0.0,-262834,,0.0,0.0,-36769,0.0,,-6296,-23857,557011,1180601,1737612,1737612,,41545.0,,0.0,30473.0,,,,,,254.0,,,239915.0,,,,,,
3450,2015年01月01日至2015年03月31日,,319090,319090,,,122487,15772,1577,0.0,290,-211,0.0,-1557,19,13225,,-12,-14811,,,,0.0,-186.0,-74511,800,5636,36513,3926,14951.0,-12871,,-37772,-27491,807,-22960,-35831,100948,420038,197,-513,-15906,403816,,-43757,0,0,-76,-108967,0.0,-153250,,0.0,0.0,-32055,0.0,,-32055,-7733,210778,1180601,1391379,1391379,,41496.0,,,,,,,,,,,,136779.0,-450.0,,,,,
3450,2014年度,,1192251,1192251,,,541881,48375,3758,-415.0,11394,-4128,-192.0,-14179,21133,-4417,0.0,-13206,-49687,563865.0,,,250473.0,-8.0,-40721,-238,-14827,-80442,48590,884.0,163711,,-8991,117811,12049,120869,284580,848445,2040696,-12096,-115100,4419,1917919,,-309627,6380,-76,-8098,-388763,192.0,-699992,,-8590.0,49505.0,-853314,-37.0,,-1146119,20913,92721,1087880,1180601,1180601,,0.0,,1347.0,9860.0,0.0,0.0,,,-344890.0,23548.0,,,,,,,,,
3450,2014年01月01日至2014年09月30日,,915010,915010,,,418718,31734,1321,-415.0,8692,-3201,-192.0,-11907,6690,-3416,1338.0,-13322,1975,461691.0,,,250473.0,-84.0,-162250,1446,-12352,-51564,33554,-4370.0,54853,,2976,72483,12951,49188,104041,565732,1480742,3490,-9327,-108348,1366557,,-109476,2964,191,-8003,-380151,192.0,-494283,,15626.0,118375.0,-458767,-37.0,,-669549,2948,205673,1087880,1293553,1293553,,-39222.0,,0.0,144.0,0.0,,,,-344890.0,23676.0,,,,,,,,,
3450,2014年01月01日至2014年06月30日,,573019,573019,,,289722,20849,1651,-406.0,6114,-1825,-192.0,-6267,2965,-4347,0.0,-2717,1294,306841.0,,,220379.0,,-253700,1507,20911,-75663,12845,2288.0,-71433,,169319,65005,16208,224384,152951,459792,1032811,1921,-6813,-68348,959571,,-48952,2145,42,-7547,-206041,192.0,-260161,,33749.0,36995.0,-447660,-37.0,,-376953,-2570,319887,1087880,1407767,1407767,,-26148.0,,0.0,,,,,,,,,,,,,,,,
3450,2014年01月01日至2014年03月31日,,258191,258191,,,145738,10267,-661,-308.0,3841,-218,-192.0,-2290,138,-9072,,-1798,623,146068.0,,,150217.0,0.0,-107550,320,-5946,-25712,27407,-33472.0,5264,,-9968,13317,121,-9604,-4340,141728,399919,251,-4478,0,395692,,-9709,14,42,-7547,-52944,192.0,-69952,,19968.0,12313.0,-459221,-23.0,,-426963,7133,-94090,1087880,993790,993790,,-13074.0,,,,,,,,,,,,,,,,,,
3450,2013年度,,678592,678592,,,574632,51240,-6386,-114.0,27876,-1422,-759.0,-17106,-12704,819,-4174.0,-8001,-49162,606973.0,,,-249944.0,0.0,-129961,7237,-14766,-25583,-12122,-43477.0,-468616,,171884,143349,-2322,578624,110008,716981,1395573,-28313,-65533,1418,1303145,,-214195,21384,309,-9294,-195951,759.0,-380073,,-501.0,70000.0,-650714,-86.0,,-707254,22249,238067,849813,1087880,1087880,,265713.0,,143.0,27188.0,17806.0,16915.0,,,-153284.0,34428.0,,,,,,,,,
