公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 金融資產減損損失,　　　　 其他項目,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 發行公司債,　　　　 股份基礎給付酬勞成本,　　　　 買回應付公司債損失（利益）,　　 收取之股利,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　　　 處分無形資產損失（利益）,　　　　　 應付票據增加（減少）,　　 處分持有至到期日金融資產,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 處分以成本衡量之金融資產
3029,2016年01月01日至2016年09月30日,,190572,190572,,,6119,1296,-2520,1050,-5162,1581,0.0,,-664,8168,9340,18618,,,68613,-3533,-101475,-24723,-1937,-63055,,0.0,-80073,-186,5457,-712,-75576,-138631,-120013,70559,-38151,32408,,,8835,0.0,0,-5000.0,-2169,0.0,464,0,,6302,46713,,-1800,-606,-120972,-11634,-53485,512405,458920,458920,-2300.0,0.0,,-6433.0,-9974.0,,1710.0,,2300.0,-121266.0,-300.0,3000.0,,-62.0,50388.0,,2000.0
3029,2016年01月01日至2016年06月30日,,91928,91928,,,4316,878,19320,717,-3717,714,,,-195,6544,3688,29282,,,73597,-3207,99775,-415,706,170456,,0.0,-86425,-12335,-4083,-717,-103622,66834,96116,188044,-20983,167061,,,3732,0.0,0,-5000.0,-1319,,-1020,0,,4887,42664,,-11800,-431,-12231,-2909,194585,512405,706990,706990,0.0,0.0,919.0,0.0,-11004.0,,,,,,,,,-62.0,50388.0,-3902.0,2000.0
3029,2016年01月01日至2016年03月31日,,30440,30440,,,2126,443,5113,404,-1827,0,,-617.0,-195,14626,-4160,16373,,,24669,11053,272287,10718,-526,318201,,,-175570,-426,5546,-630,-171142,147059,163432,193872,-197,193675,,,3732,0.0,0,,-230,,-774,0,,3030,45642,,-13800,-261,-14061,-1035,224221,512405,736626,736626,,,460.0,0.0,-10504.0,,,,,,,,,-62.0,50388.0,,
3029,2015年度,,223018,223018,,,7644,1703,1422,6231,-8072,335,146.0,-16129.0,0,-29284,-11304,-39916,,,100622,51683,108624,166982,-9641,418270,,,-116714,3419,17172,1744,-94267,324003,284087,507105,-34982,472123,,,0,,-4500,0.0,-5825,5.0,-1977,-1294,,8410,90091,,-175670,-1898,-224940,13126,350400,162005,512405,512405,-1790.0,8569.0,613.0,-13694.0,107176.0,0.0,,0.0,1790.0,-47372.0,0.0,0.0,0.0,112.0,,,
3029,2015年01月01日至2015年09月30日,,174996,174996,,,5543,1277,-1236,5818,-6001,335,-1.0,,0,-18677,-3582,-10918,,,127634,-10273,293010,110305,-12576,508100,,-3060.0,-322551,-19696,13258,-4947,-336996,171104,160186,335182,-20066,315116,,,0,,-2000,0.0,-5433,6.0,-2053,-1060,0.0,6084,-7816,,-173070,-1630,-222072,4781,90009,162005,252014,252014,-1790.0,7243.0,0.0,-13694.0,8544.0,0.0,153.0,0.0,1790.0,-47372.0,0.0,0.0,,,,,
3029,2015年01月01日至2015年06月30日,,104788,104788,,,3560,893,1654,5356,-4496,335,0.0,,0,-2616,1808,13347,,,122363,-36001,401873,34836,-7417,515654,,-3161.0,-210168,-31099,-2985,-4907,-252320,263334,276681,381469,-19979,361490,,,0,15650.0,-2000,0.0,-2741,0.0,-1069,-290,0.0,5206,3608,,-176600,-1363,-177963,-2727,184408,162005,346413,346413,-390.0,7243.0,0.0,-11148.0,0.0,0.0,,,,,,,,,,,
3029,2015年01月01日至2015年03月31日,,62035,62035,,,1753,551,-1248,3241,-1683,153,0.0,-624.0,0,-9861,617,-7101,,,-103529,74913,380666,137889,-18541,471398,,0.0,-381251,-31880,11813,-174,-401492,69906,62805,124840,-242,124598,,-9825.0,0,14552.0,-2000,0.0,-339,0.0,-71,-291,0.0,2853,4879,,-178000,-1132,-179132,-1218,-50873,162005,111132,111132,,,,,,,,,,,,,,,,,
3029,2014年度,,134702,134702,,,6584,3701,4644,9402,-8646,2422,-804.0,-13010.0,-2919,21891,5998,32314,,,-114179,8635,-357711,-137950,18328,-582877,,,320060,14887,22804,-467,357284,-225593,-193279,-58577,-19351,-77928,,,5335,,-250,-10000.0,-6151,3596.0,-1076,-2186,,8205,72868,,-351323,-3796,16851,6525,18316,143689,162005,162005,-1206.0,3807.0,0.0,-5174.0,79363.0,495645.0,,388.0,1206.0,-80532.0,8000.0,-51143.0,62.0,0.0,,,
3029,2014年01月01日至2014年09月30日,,80237,80237,,,4652,2808,1061,6480,-6403,1801,-226.0,,-2919,19467,7721,31409,,,-255954,77715,126690,-186316,18690,-219175,,1427.0,186473,41615,31485,-407,260593,41418,72827,153064,-19218,133846,,,5335,,-250,-10000.0,-4686,1644.0,-1053,-1812,112.0,6681,92427,,-535323,-3150,-129865,1804,98212,142048,240260,240260,-1206.0,250.0,-2075.0,-706.0,95956.0,495645.0,0.0,-2.0,1206.0,-80532.0,3000.0,-9505.0,,,,,
3029,2014年01月01日至2014年06月30日,,49265,49265,,,2996,1938,-466,3923,-4372,1504,-13.0,,-2919,8901,-4396,4821,,,-120798,35029,196726,-134861,1460,-22444,,191.0,42048,-2084,15562,-356,55361,32917,37738,87003,-9949,77054,,,5335,0.0,-250,-10000.0,-785,699.0,-582,-529,12.0,5023,36295,,-552523,-2943,-59821,1022,54550,142048,196598,196598,-200.0,0.0,-2075.0,-544.0,37916.0,495645.0,,,,,,,,,,,
