公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發行公司債,　　 發放現金股利,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付票據－關係人增加（減少）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　 不影響現金流量之收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無形資產,　　 短期借款減少,　　 庫藏股票買回成本,　　 其他金融資產增加,　　 其他非流動資產增加
6131,2015年01月01日至2015年09月30日,,-91622,-91622,,,9010,2741,908,-2368,4030.0,-1711,8917,378,-895.0,119.0,21129.0,,,-20188,3969.0,36188,-82942,37901,-29795.0,-5972,-60839,,-9.0,-44814,38924,2018,-339.0,-4220,-65059,-43930,-135552,1711,-306.0,-53,-134200,,-6750.0,7700.0,-603.0,-1411,13.0,-145620.0,-15000.0,-3040,-59.0,-4000.0,-168770,,0.0,0.0,2.0,2.0,-411,-303379,371510,68131,68131,,,,,,,,,,,,,
6131,2015年01月01日至2015年06月30日,,-63991,-63991,,,6211,1604,3517,-1820,2827.0,-1826,7153,377,-895.0,119.0,17267.0,,,-188,-1272.0,40314,622,37377,,1884,78737,,-10.0,-38252,-13967,2174,86.0,-49969,28768,46035,-17956,1826,-38.0,79,-16089,,,7700.0,-603.0,-1150,12.0,,,-2989,-98.0,,2872,,,,2.0,2.0,113,-13102,371510,358408,358408,,,,,,,,,,,,,
6131,2015年01月01日至2015年03月31日,,-24516,-24516,,,3214,484,7964,-2939,1535.0,-819,3874,380,,,13693.0,,,-188,3804.0,21459,408,26105,,786,52374,,,-35591,-7320,5764,43.0,-37115,15259,28952,4436,819,-5.0,19,5269,,,,,-927,12.0,,,-80,-150.0,,-1145,,,,2.0,2.0,36,4162,371510,375672,375672,-11.0,,,5269.0,,,,,,,,,
6131,2014年度,,-150022,-150022,,,15934,1921,3244,3031,3067.0,-2843,9005,602,1626.0,,,,,-3845,7742.0,24230,2466,100442,,-424,130611,,9.0,-57614,-19127,-2105,,-78686,51925,87512,-62510,2843,-7.0,2255,-57419,,,1647.0,-1898.0,-1855,,,,-1651,-799.0,,-4556,,200000.0,-30855.0,,168821.0,-447,106399,265111,371510,371510,,,,,,0.0,35587.0,151.0,0.0,-324.0,0.0,,
6131,2014年01月01日至2014年09月30日,,-117842,-117842,,,12025,1419,2466,1976,1537.0,-2074,6562,606,499.0,0.0,25016.0,,,-2152,-23560.0,16673,1549,95772,-702.0,-1962,85618,,0.0,-32671,-5899,-2584,98.0,-41056,44562,69578,-48264,2074,-7.0,2016,-44181,,0.0,1647.0,-1898.0,-1855,0.0,-116.0,0.0,-1951,-322.0,0.0,-4495,,200000.0,-30855.0,0.0,169145.0,-765,119704,265111,384815,384815,,,,,,,,,,,,,
6131,2014年01月01日至2014年06月30日,,-68885,-68885,,,8212,936,0,-373,7.0,-1345,5992,608,499.0,0.0,14536.0,,,1106,-15846.0,34564,2441,62472,,141,84878,,0.0,-45177,-17798,-70,66.0,-62979,21899,36435,-32450,1345,-7.0,2553,-28559,,,1647.0,-1898.0,-1635,0.0,,,-1951,-287.0,,-4124,,,,0.0,0.0,-882,-33565,265111,231546,231546,,,,,,,,,,,,,
6131,2014年01月01日至2014年03月31日,,-35120,-35120,,,4028,434,0,20,1.0,-728,5288,0,,,9043.0,,,681,3281.0,27484,1763,49864,,-99,82974,,,-51258,-8326,2674,35.0,-56875,26099,35142,22,728,-1.0,-76,673,,,,,0,0.0,,,-1200,-32.0,,-1232,,,,0.0,0.0,-1143,-1702,265111,263409,263409,0.0,,,673.0,,,,,,,,,
6131,2013年度,,-129913,-129913,,,19223,6544,16049,-630,1.0,-3800,-1531,799,0.0,,,,,11657,-2425.0,21575,-1940,54305,,1798,84970,,0.0,-48679,15619,-954,,-33842,51128,79588,-50325,3800,-1.0,3580,-42946,,,0.0,0.0,-6618,,,,-1795,621.0,,10959,,0.0,-60012.0,,-102506.0,-2256,-136749,401860,265111,265111,,,,,,-8195.0,28460.0,172.0,18751.0,0.0,-42494.0,,
6131,2013年01月01日至2013年12月31日,,-129913,-129913,,,19223,6544,16049,-630,1.0,-3800,-1531,799,,,,,,11657,-2425.0,21575,-1940,54305,,1798,84970,,,-48679,15619,-954,,-33842,51128,79588,-50325,3800,-1.0,3580,-42946,,0.0,,,-6618,0.0,,,-1795,,,10959,,,-60012.0,,-102506.0,-2256,-136749,401860,265111,265111,,,,-42946.0,,-8195.0,28460.0,172.0,18751.0,,-42494.0,621.0,
6131,2013年01月01日至2013年09月30日,,-52741,-52741,,,14384,6148,678,-1663,0.0,-2990,-1653,122,0.0,,,,,10681,-3459.0,-2666,-4584,14417,,-1391,12998,,,-18002,20326,-5388,,-2927,10071,25097,-27644,2990,0.0,3667,-20987,,,0.0,0.0,-5186,19.0,,,-1894,104.0,,3599,,0.0,-60012.0,,-102506.0,1212,-118682,401860,283178,283178,,,,,,,15026.0,137.0,10556.0,,-42494.0,,
