公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息-營業活動,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分不動產、廠房及設備,　　 現金增資,　　　　 處分其他資產損失（利益）,　　　　　 應收票據（增加）減少,　　　　　 其他營業負債增加（減少）
4977,2015年01月01日至2015年09月30日,,190767,190767,,,36823,1106,12910,-15374,-405.0,3663.0,74,-1045.0,37752.0,,,-127684.0,32192,19445,70798,-8937,2506,-11680,,0,-23947,-7211,-2364,10887.0,-166,-22801,-34481,3271,194038,7463,-1282,200219,,-789447.0,789447.0,-11459.0,12504.0,-773.0,-28509,-19.0,-2991.0,0.0,0.0,7911,405.0,-22931,,-227390.0,-118124.0,-345514.0,-2465,-170691,843661,672970,672970,0.0,,,,,,,,
4977,2015年01月01日至2015年06月30日,,123283,123283,,,24328,766,4577,-12024,,,41,-1045.0,16643.0,,,-143076.0,79499,18650,98527,-3758,-24572,25270,,0,-69387,-9936,-1793,10221.0,-93,-70988,-45718,-29075,94208,4439,-801,97846,,-712232.0,712232.0,-11459.0,12504.0,-773.0,-15453,,-2988.0,,0.0,7586,,-11604,,,,,-23395,62847,843661,906508,906508,0.0,-1021.0,,,,,,,
4977,2015年01月01日至2015年03月31日,,72455,72455,,,12239,398,-4301,-5787,,,2,-1045.0,1506.0,,,-128067.0,64891,16209,76847,-6006,614,24488,,0,-78572,-13689,-1389,0.0,-49,-93699,-69211,-67705,4750,1898,-728,5920,,-359543.0,0.0,-11459.0,12504.0,,-10159,,-3017.0,0.0,,0,,-372710,,,,,-4786,-371576,843661,472085,472085,0.0,-1036.0,,,,,,,
4977,2014年度,,254528,254528,,,41001,1207,7246,-26689,,0.0,-447,-3285.0,,,,-57874.0,-9615,-16324,17465,1917,8219,-56212,,-13286,18996,1009,-3993,-741.0,-19,1966,-54246,-35213,219315,6586,-822,225079,,-606863.0,1001570.0,-21273.0,24558.0,,-78446,-1700.0,-908.0,9117.0,0.0,20889,,347973,,-186426.0,,-186426.0,40882,427508,416153,843661,843661,,,,19033.0,1029.0,0.0,,,
4977,2014年01月01日至2014年09月30日,,188733,188733,,,29231,931,9946,-20757,0.0,0.0,234,0.0,19585.0,,,-142507.0,49764,2559,1349,-4142,11580,-81397,,-12769,-9778,-6041,-2500,-712.0,-160,-31960,-113357,-93772,94961,5357,-1208,99110,,-215751.0,608025.0,0.0,0.0,0.0,-60750,-1700.0,-903.0,-387386.0,8758.0,16179,0.0,-33528,,-186426.0,0.0,-186426.0,4895,-115949,416153,300204,300204,0.0,,,,,,,,
4977,2014年01月01日至2014年06月30日,,119668,119668,,,18785,634,7646,-13342,,,173,0.0,13896.0,,,-170033.0,39309,2407,-4725,-3996,9096,-127942,,-9135,-33697,-5776,-1087,-699.0,-103,-50497,-178439,-164543,-44875,2226,-927,-43576,,-127873.0,98364.0,0.0,0.0,0.0,-48258,,-506.0,,5341.0,1528,,-71404,,,,,2095,-112885,416153,303268,303268,0.0,0.0,,,,,,,
4977,2014年01月01日至2014年03月31日,,51466,51466,,,8866,306,9401,-6028,,,37,0.0,12582.0,,,-30270.0,42934,-10,-20682,-1894,-26862,-36784,,1796,-46525,-6143,-362,-710.0,-58,-52002,-88786,-76204,-24738,746,-666,-24658,,-89064.0,98960.0,0.0,0.0,,-33560,,0.0,-3329.0,,1269,,-26752,,,,,11411,-39999,416153,376154,376154,0.0,-1028.0,,,,,,,
4977,2013年度,,207008,207008,,,32043,1779,-3747,-5246,,6590.0,219,0.0,,,,0.0,-44807,3567,-108433,1544,53618,-94511,,9463,34666,1003,-8539,-50609.0,72,-13944,-108455,-76817,130191,4480,-3737,130934,,-391085.0,0.0,0.0,0.0,,-25738,-585.0,-1437.0,0.0,-8731.0,0,,-427576,,-71069.0,,348931.0,30208,82497,333656,416153,416153,,,,31638.0,0.0,420000.0,,,
4977,2013年01月01日至2013年12月31日,,207008,207008,,,32043,1779,-3747,-5246,,6590.0,219,,,,,,-44807,3567,-108433,1544,53618,-94511,,9463,34666,1003,-8539,,72,-13944,-108455,-76817,130191,4480,-3737,130934,,-391085.0,,,,,-25738,-585.0,-1437.0,-8731.0,,0,,-427576,,-71069.0,,348931.0,30208,82497,333656,416153,416153,,0.0,,31638.0,0.0,420000.0,0.0,0.0,-50609.0
4977,2013年01月01日至2013年09月30日,,169040,169040,,,24081,1368,-1057,-3875,,,109,,,,,0.0,-7593,3217,-109325,-5359,54773,-64287,,2112,48361,-4294,-630,-39303.0,-60,6186,-58101,-37475,131565,3403,-2627,132341,,0.0,0.0,,,,-17934,0.0,-228.0,0.0,0.0,0,,-18162,,-71069.0,,-71069.0,18831,61941,333656,395597,395597,,,,20626.0,,,,,
4977,2013年01月01日至2013年06月30日,,107920,107920,,,15438,907,642,-2859,,,57,,,,,0.0,39329,3499,-88161,-3309,66965,18323,,4699,-15277,-6896,515,-15107.0,105,-31961,-13638,547,108467,2337,-1339,109465,,0.0,0.0,,,,-10397,,0.0,,0.0,0,,-10397,,,,,22164,121232,333656,454888,454888,,,,14185.0,,,,,
4977,2013年01月01日至2013年03月31日,,47319,47319,,,7540,454,-271,-1512,,,30,,,,,0.0,36146,69,-78143,-1905,64247,20414,,2661,51809,-10362,1480,6204.0,-81,51711,72125,78366,125685,1512,0,127197,,0.0,0.0,,,,-3725,,,0.0,,0,,-4064,,,,,11481,134614,333656,468270,468270,,-339.0,,6241.0,,,,,
4977,2012年01月01日至2012年12月31日,,143918,143918,,,30880,1741,-2318,-5444,,0.0,-74,,,,,,-46989,-60651,131108,5519,551,30477,,2970,-36621,-14251,-27312,,105,-85752,-55275,-31904,112014,1622,-1042,112594,,119466.0,,,,,-13907,0.0,-1117.0,1345.0,,4520,,94146,,-53281.0,,-53281.0,-9818,143641,190015,333656,333656,,-16593.0,,23371.0,432.0,0.0,-1414.0,939.0,-10643.0
4977,2012年01月01日至2012年09月30日,,104352,104352,,,23421,1319,-322,-4593,,,199,,,,,,-21929,245,114215,6613,-868,99223,,9827,-18245,-21072,-25829,,57,-74936,24287,44311,148663,647,-2323,146987,,,88703.0,,,,-12246,,-301.0,,,4551,,80707,,-53281.0,,-53281.0,16257,190670,190015,380685,380685,,,,20024.0,,,,947.0,-19674.0
4977,2012年01月01日至2012年06月30日,,66129,66129,,,15944,909,-2776,-3230,,,9,,,,,,-19398,232,58572,3389,6521,50294,,10141,-64265,-15434,-20313,,90,-103041,-52747,-41891,24238,479,-315,24402,,29526.0,,,,,-9329,,-63.0,,,2328,,22258,,,,,-5008,41652,190015,231667,231667,,-204.0,,10856.0,,,,978.0,-13260.0
