公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他營業資產（增加）減少,　　 收取之股利,　　 短期借款增加,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　　　 其他流動資產（增加）減少,　　 存出保證金增加,　　 存入保證金減少,　　 預收款項增加－處分資產,　　　　 其他項目
3046,2016年01月01日至2016年09月30日,,-184417,-184417,,,31326,2420,5394,-2021,,414,,16628,,,44060,-12279,-38355,,5691,,-22385,-90614,-15385,-380,-3676,4505,121,-127814,-122123,-105495,-289912,2259,-5360,-2108,-295121,,,-9005,5452,-1827.0,-2578.0,-12.0,13484,,-711056,,73741,2797,-205099,733526,528427,528427,-21454.0,2401.0,,21454.0,784797.0,,9864.0,,,,549.0
3046,2016年01月01日至2016年06月30日,,-139607,-139607,,,21220,1609,3450,-1627,,848,,24468,,,75618,2179,-19295,,52635,,-38666,-84036,-25520,-602,-4675,24557,82,-128860,-76225,-51757,-191364,1680,-3506,-1918,-195108,,,-5367,5007,-1819.0,-787.0,,-1568,,-519873,,80659,149,-115868,733526,617658,617658,-1398.0,2401.0,,1398.0,600532.0,,-8268.0,,,,366.0
3046,2016年01月01日至2016年03月31日,,-59411,-59411,,,10557,802,1763,-876,183.0,-35,,12394,,,91612,897,14239,-5336.0,103803,,-51123,-80704,-35364,-1061,-4856,-3246,20,-176334,-72531,-60137,-119548,920,-1606,-1027,-121261,,,-3984,61,,,,-4119,,-144646,,45345,1675,-78360,733526,655166,655166,,2391.0,,,189991.0,,,,,-196.0,
3046,2015年度,,-145216,-145216,,,43212,3180,5130,-5370,4742.0,14,0.0,26840,,,-35973,762,-54093,0.0,-86386,,-16833,94528,21613,-306,15,2963,4,101984,15598,42438,-102778,5701,-5047,-3838,-105962,,,-8683,137,,-3448.0,-389.0,11937,,-1183072,,-28767,-476,-123268,856794,733526,733526,-24068.0,-2401.0,,24068.0,1154553.0,0.0,5319.0,252.0,-248.0,,
3046,2015年01月01日至2015年09月30日,,-127340,-127340,,,32725,2387,3706,-4237,318.0,15,0.0,10846,,,-27962,1348,-8814,1176.0,-41624,,14650,15649,1679,-62,-1084,7245,-211,37866,-3758,7088,-120252,4482,-3667,-2602,-122039,,0.0,-3306,49,258.0,-3275.0,0.0,17794,,-760084,0.0,34366,-6347,-76226,856794,780568,780568,-24068.0,-7372.0,,24068.0,794450.0,0.0,,,,,
3046,2015年01月01日至2015年06月30日,,-122857,-122857,,,22582,1626,2379,-3044,-378.0,19,0.0,23184,,,-5523,2495,-24802,-208.0,-28747,,3377,-14,-2381,-480,-2670,-4243,-247,-6658,-35405,-12221,-135078,3175,-2375,-2471,-136749,,0.0,-2785,17,250.0,-1175.0,0.0,-3693,,-10318,0.0,-10318,4850,-145910,856794,710884,710884,0.0,-709.0,0.0,0.0,0.0,,,,,,
3046,2015年01月01日至2015年03月31日,,-57852,-57852,,,11389,850,1168,-1540,-1074.0,5,0.0,10798,,,-17658,968,-3494,2577.0,-17607,,-14969,77,-490,-1092,-2547,-12754,-224,-31999,-49606,-38808,-96660,1595,-1188,-173,-96426,,0.0,-1550,15,0.0,-17.0,0.0,-1552,,-23116,0.0,-23116,7335,-113759,856794,743035,743035,,,,,,,,,,,
3046,2014年度,,-273044,-273044,,,35210,3751,4425,-9362,3960.0,-91,-7210.0,11895,,,-71629,4753,-11654,-10641.0,-89171,,-9230,-686,-11658,417,-17829,6337,-295,-32944,-122115,-110220,-383264,9864,-4391,-2378,-380169,,,-44517,890,,-3281.0,-9809.0,-25676,,-1096269,,116072,1807,-287966,1144760,856794,856794,-18788.0,0.0,,18788.0,1212075.0,12165.0,0.0,88.0,266.0,,
3046,2014年01月01日至2014年09月30日,,-211832,-211832,,,23826,2771,3281,-7417,7430.0,-76,-7210.0,3817,,,-27309,6824,-23544,-11306.0,-55434,,-31756,-651,-4980,1323,-2162,-5841,-440,-44507,-99941,-96124,-307956,7660,-3283,-1752,-305331,,0.0,-28764,837,1048.0,-3281.0,-9558.0,-8765,,-799447,273.0,77092,4156,-232848,1144760,911912,911912,-18788.0,-99.0,,18788.0,876266.0,12165.0,,,,,
3046,2014年01月01日至2014年06月30日,,-136121,-136121,,,14769,1725,2128,-5164,4953.0,-76,-7210.0,9528,,,14354,2753,-8911,-6664.0,-98468,,-38119,-758,-9475,120,-4409,-3937,110,-56468,-154936,-145408,-281529,5100,-2158,-1421,-280008,,12165.0,-24422,870,1128.0,-1385.0,-9926.0,-19973,,0,288.0,46749,-3301,-256533,1144760,888227,888227,-1597.0,0.0,-100000.0,1597.0,46461.0,,,,,,
3046,2014年01月01日至2014年03月31日,,-48521,-48521,,,7233,798,975,-2666,2476.0,-37,-7210.0,1569,,,-2216,2439,25361,-2290.0,23294,,-58197,-7195,-22473,-866,-4714,-58,53,-93450,-70156,-68587,-117108,2789,-1007,179,-115147,,12165.0,-12331,287,698.0,0.0,-9317.0,-8498,,36707,289.0,36996,1558,-85091,1144760,1059669,1059669,,,,,,,,,,,
