公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產減少,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股份基礎給付酬勞成本,　　　　 不動產、廠房及設備轉列費用數,　　 其他非流動資產增加,　　 預付設備款減少,　　 短期借款減少,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 預付投資款增加,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　 支付之股利,　　 處分採用權益法之投資,　　 其他金融資產減少,　　 應收款項減少
2419,2015年01月01日至2015年09月30日,,202575,202575,,,101870,8346,279.0,14650,26457,-3680,-4004,3824,-9798,0.0,403.0,138347.0,,,-44221,-5460,575451,11512,-133251,-6322,50743,-996,5097,452553,,-16,-13418,174511,-11350,62338.0,170116,-6055,-311.0,0,375815,828368,966715,1169290,3753,4004,-26834,-53281,1096932,,5351,6201.0,-77372,1462,0.0,1265.0,0,-10816.0,-13273.0,0.0,-87182,,343438.0,0.0,0,-661909.0,-5615.0,134.0,0.0,5717,-120274.0,0,-97778.0,-74973,0,-611260,8100,406590,2121276,2527866,2527866,,,,,,,,,,,,,,,,,
2419,2015年01月01日至2015年06月30日,,100237,100237,,,68227,5555,2844.0,1352,19683,-2446,-5652,3476,-9205,0.0,,83834.0,,,87956,-11864,281559,15422,18024,-301,-138861,-21484,7483,237934,,-9156,-12509,247268,99641,41682.0,136189,12614,627.0,0,516356,754290,838124,938361,2504,5652,-20698,-28044,897775,,-1257,,-62051,234,0.0,372.0,0,0.0,-14644.0,0.0,-88671,,,0.0,0,-509157.0,8937.0,,0.0,0,,0,,-142,0,-594924,10816,224996,2121276,2346272,2346272,0.0,0.0,-11325.0,0.0,-100125.0,5563.0,,,,,,,,,,,
2419,2015年01月01日至2015年03月31日,,25673,25673,,,34054,2817,6842.0,-4251,11331,-841,-551,0,-803,,,48598.0,,,91392,-14112,25607,33326,-80559,5685,-133964,-2379,-33564,-108568,,-4012,-16015,119531,40309,30929.0,46035,-535,274.0,0,216516,107948,156546,182219,851,551,-12409,-56,171156,,280,,-46012,0,0.0,8761.0,-340,-4956.0,-5065.0,,-47332,,100158.0,,0,-192745.0,3915.0,,-40.0,-2404,,0,,0,0,-91116,9271,41979,2121276,2163255,2163255,,,,,0.0,,,,,,,,,,,,
2419,2014年度,,310102,310102,,,127231,18943,-5152.0,1070,34251,-5032,-13251,-332,-7841,4284.0,,,,,-29755,-1325,171532,-27766,-159488,2119,-144026,-2424,10545,-180588,,-1899,13470,74299,-212441,-140.0,27142,8361,,0,-93123,-273711,-119540,190562,5000,13251,-29340,-78006,101467,,2527,,-55477,503,-28157.0,,-14745,,-35024.0,,-59140,,0.0,0.0,1097901,0.0,-1021.0,0.0,-901.0,-6532,-101984.0,1751,-136540.0,-38767,-828,313332,-18923,336736,1784540,2121276,2121276,,,-2183.0,,-499747.0,,,154171.0,-1915.0,2800.0,70616.0,0.0,,,,,
2419,2014年01月01日至2014年09月30日,,170630,170630,,,93273,15870,0.0,-8276,24848,-3711,-4566,-409,-5231,4257.0,0.0,116055.0,,,29039,1013,361302,-26213,-383477,3674,-210241,-4131,63076,-165958,,-1899,3408,-18825,-245055,109203.0,99733,137657,641.0,0,84863,-81095,34960,205590,3692,4566,-20212,-62308,131328,,2527,0.0,-32487,503,-157024.0,0.0,-11849,-144.0,-24181.0,0.0,-222655,,363055.0,0.0,176026,0.0,-1215.0,0.0,-916.0,1215,-101984.0,1751,0.0,-63054,-827,374051,-6010,276714,1784540,2061254,2061254,,,,,,,,,,,,,,,,,
2419,2014年01月01日至2014年06月30日,,111281,111281,,,61413,11037,0.0,-6643,16508,-2711,-1,-194,-2018,4265.0,,81656.0,,,30665,-168,736600,394,-218577,1359,-83028,-3712,54176,517709,,-1075,2343,-196443,-240696,151593.0,-14174,14312,285.0,0,-283855,233854,315510,426791,2690,1,-13325,-26865,389292,,-1765,,-24972,233,-48788.0,0.0,-3323,0.0,-18498.0,0.0,-98644,,,0.0,116693,0.0,3187.0,,-900.0,0,,1751,,-124,-827,-73224,-9101,208323,1784540,1992863,1992863,0.0,0.0,-1531.0,0.0,-194225.0,1221.0,,,,,,,,,,,
2419,2014年01月01日至2014年03月31日,,69111,69111,,,29933,5918,0.0,-7078,9020,-1225,0,-215,-824,,,35529.0,,,4381,-8260,481230,2271,-66452,934,-28541,-1841,54019,437741,,-1368,-578,-219760,-245065,157907.0,23842,16657,93.0,0,-268272,169469,204998,274109,1157,0,-7354,4830,272742,,2289,,-15319,233,-74491.0,12826.0,-1750,-5921.0,-1189.0,,-83322,,43040.0,,149080,-11782.0,1138.0,,-900.0,-930,,0,,0,924,94620,16768,300808,1784540,2085348,2085348,,,,,-85950.0,,,,,,,,,,,,
2419,2013年度,,248435,248435,,,110599,23549,-5266.0,-16309,26640,-8346,-5668,1627,-2901,0.0,,,,,-6540,8560,48586,-3010,-489352,9484,-40737,-6,39572,-433443,,2445,701,-149908,176053,11581.0,-22737,-61757,,-1282,-40786,-474229,-350304,-101869,8297,5668,-18142,-109453,-215499,,48657,,-110248,3355,-2248.0,,-11671,,-72247.0,,-144402,,333713.0,488985.0,149100,0.0,-10486.0,100.0,0.0,-3000,-249989.0,1882,0.0,-32929,805,678181,12084,330364,1454176,1784540,1784540,,,0.0,,0.0,,,123925.0,4118.0,0.0,0.0,0.0,,,,,
2419,2013年01月01日至2013年12月31日,,248435,248435,,,110599,23549,,-16309,26640,-8346,-5668,1627,-2901,0.0,0.0,,,,-6540,8560,43319,-3010,-489352,9484,-40737,-6,39572,-438710,,2445,701,-149908,176053,11581.0,-22737,-61757,,-1282,-40786,-479496,-350305,-101870,8297,5668,-18142,-109452,-215499,,48657,,-110248,3355,-2248.0,,-11671,0.0,-72247.0,0.0,-144402,,333713.0,488985.0,149100,0.0,-10486.0,100.0,,-3000,-249989.0,1882,,-32929,805,678181,12084,330364,1454176,1784540,1784540,0.0,0.0,,,0.0,0.0,,129191.0,4118.0,,,0.0,,,,,
2419,2013年01月01日至2013年09月30日,,231325,231325,,,80423,17996,,-12703,18797,-7059,-712,948,-1836,0.0,,,,,2676,14944,385500,-739,-715981,12713,-58486,-1552,39899,-321026,,2434,1640,87962,-94940,,54842,-56409,,-1282,-5307,-326333,-230479,846,7006,712,-19069,-103167,-113672,,3246,,-99765,3202,0.0,8906.0,-9806,0.0,-1101.0,0.0,-95318,,105424.0,513309.0,148075,,2335.0,100.0,0.0,-1436,-249989.0,640,,-34816,-17462,466180,9988,267178,1454176,1721354,1721354,,,,,,,,95854.0,446.0,,,,,,,,
2419,2013年01月01日至2013年06月30日,,208270,208270,,,52214,12749,,-40618,11161,-5744,0,1047,-2801,0.0,,,,,40053,11112,-95859,47687,-196551,8950,-81250,-798,11116,-255540,,5058,2867,476658,-66362,0.0,25375,12964,,-1282,455419,199879,227990,436260,5624,0,-12095,-54711,375078,,37253,,-72291,557,0.0,18630.0,-1907,-7124.0,0.0,0.0,-31325,,,502789.0,0,,-5355.0,,70.0,-1431,,640,,283,-9219,437675,-28488,752940,1454176,2207116,2207116,0.0,103.0,0.0,-6443.0,-50102.0,0.0,,28111.0,141.0,,,,,,,,
