公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 其他預付款項增加,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 短期借款增加,　　 存入保證金增加,　　　　　 預收款項增加（減少）,　　　　 非金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分待出售非流動資產,　　 償還長期借款,　　 舉借長期借款,　　　　 金融資產減損損失
3518,2015年度,,-135834,-135834,,,227944,1886,1366,-8968,8245,-24958,10372.0,6067,0.0,11309.0,-15814,-1480.0,-9923,1528,207574.0,,,0.0,-14565,151433,-2565,12349,8480,312,155444,,-15258.0,-46,-6710,6730,38606,54,243.0,0.0,23619,179063,386637,250803,22691,-7746,-24351,241397,,-1269979,1279315,-224775,647949,-444465.0,0.0,-158905,25547.0,18640.0,-471,-39007,0.0,0.0,-166151,,-257084.0,-2.0,-171814.0,61923.0,0.0,-366977,-33781,-325512,1107389,781877,781877,,,,,,,,,,,,,
3518,2015年01月01日至2015年09月30日,,-6471,-6471,,,163411,1160,869,-6389,6975,-19436,8557.0,710,0.0,,-15814,-3593.0,-6134,1117,131433.0,,,0.0,-10559,161850,-12956,-29977,367,-2445,106280,,-8966.0,-46,5149,-56187,7066,2692,,,-50292,55988,187421,180950,18458,-7642,-11055,180711,,-1054610,1060232,-232920,537046,-456333.0,0.0,-149268,14524.0,,-324,-18695,0.0,0.0,-284781,,-206333.0,0.0,-171814.0,61923.0,,-316222,48005,-372287,1107389,735102,735102,15567.0,0.0,2.0,,,,,,,,,,
3518,2015年01月01日至2015年06月30日,,30634,30634,,,104281,829,-806,-9984,5971,-11968,6741.0,0,,,-15004,-3763.0,-109,709,76897.0,,,0.0,-47659,213932,-4852,-12609,253,-2271,146794,,-5350.0,25,33875,-74798,4249,-485,,,-42484,104310,181207,211841,12622,-5556,-10259,208648,,-655193,658966,-223785,423192,-15373.0,0.0,-107836,,,-240,-18128,,,79722,,-242636.0,0.0,,55856.0,,-186584,-5545,96241,1107389,1203630,1203630,18119.0,,196.0,0.0,,,,,,,,,
3518,2015年01月01日至2015年03月31日,,25201,25201,,,49458,467,-125,-3333,3581,-5537,4149.0,0,,,-13048,,-820,306,34903.0,,,,-39011,116140,-4419,-5425,-5299,-1278,60708,,-3231.0,25,12378,-56136,4086,-37,,,-42915,17793,52696,77897,4367,-3366,-7122,71776,,-375778,377538,0,330709,-13865.0,0.0,-62368,,,-240,-20020,,,253406,,-157532.0,-1.0,,,,-157533,7518,175167,1107389,1282556,1282556,17430.0,,,,-195.0,,,,,,,,
3518,2014年度,,-220921,-220921,,,205051,1438,-991,10414,17670,-18404,16591.0,63385,-652.0,0.0,0,3832.0,-1962,1888,298260.0,,,514.0,-5614,34256,19571,38451,4811,-1911,90078,,-2365.0,0,-38366,-30135,16974,-154,-88.0,5999.0,-48135,41943,340203,119282,22370,-18660,-7905,115087,,-1680360,1690321,-407360,0,-1629.0,291013.0,-122410,820.0,-41021.0,-900,-104309,-8325.0,8991.0,-375169,,-80243.0,-5324.0,-85074.0,0.0,-29566.0,-200207,54396,-405893,1513282,1107389,1107389,,,,,,,,,,,,,
3518,2014年01月01日至2014年09月30日,,-199703,-199703,,,155419,1026,-162,9716,13256,-13170,12443.0,47811,-652.0,,0,10406.0,-3472,1420,234041.0,,,499.0,-60756,53673,16134,30849,8536,-9705,39230,,-2406.0,0,-37440,-73580,4860,-77,,,-108643,-69413,164628,-35075,18346,-13100,-4157,-33986,,-1450615,1459182,-281238,0,0.0,295513.0,-88470,1603.0,,-643,-85279,-8067.0,3870.0,-148645,,0.0,-4690.0,-85074.0,0.0,,-43414,5774,-220271,1513282,1293011,1293011,5499.0,46350.0,0.0,,,,,,,,,,
3518,2014年01月01日至2014年06月30日,,-133593,-133593,,,106806,627,-2074,17723,9199,-9979,8296.0,17552,,,0,10376.0,-1679,953,157800.0,,,499.0,-49622,69188,9326,1730,10564,-3401,38284,,-873.0,0,-25625,-39997,2099,-252,,,-62021,-23737,134063,470,11370,-9403,-4078,-1641,,-1241238,1248213,-274227,0,0.0,105143.0,-57252,,,-643,-40750,,,-254455,,-125685.0,-4709.0,,0.0,,-130394,-32795,-419285,1513282,1093997,1093997,6299.0,,0.0,2627.0,,,,,,,,,
3518,2014年01月01日至2014年03月31日,,-61922,-61922,,,54718,264,1152,17984,4363,-5377,4148.0,343,,,0,,-1002,484,77047.0,,,,-18776,57949,11507,28,6159,-1225,55642,,0.0,0,-31151,-46287,906,-395,,,-76927,-21285,55762,-6160,2315,-4947,-945,-9737,,-901600,906739,-210700,0,0.0,123749.0,-38227,,,-233,-23560,,,-142383,,-25587.0,-4793.0,,,,-30380,-5562,-188062,1513282,1325220,1325220,1449.0,,,,-30.0,,,,,,,,
3518,2013年度,,119487,119487,,,206397,986,-902,-20561,20866,-15314,11061.0,7200,0.0,-187049.0,-112,2321.0,15267,1451,,,,0.0,-5636,78454,-180,-8055,-31288,8801,42096,,3168.0,-2304,33725,33586,3802,-11065,,0.0,60912,103008,141514,261001,10366,-19495,-46125,205747,,-3870761,3888154,-34595,34707,,,-176857,10398.0,-26461.0,0,-131047,-53112.0,0.0,269314,,0.0,0.0,-33693.0,,0.0,-600290,148556,23327,1489955,1513282,1513282,,262198.0,2455.0,,-3105.0,,38506.0,-313234.0,0.0,942122.0,-831250.0,,
3518,2013年01月01日至2013年12月31日,,119487,119487,,,206397,986,-902,-20561,20866,-15314,11061.0,7200,,-187049.0,-112,2321.0,15267,1451,,,,,-5636,78454,-180,-8055,-31288,8801,42096,,3168.0,-2304,33725,33586,3802,-11065,,,60912,103008,141514,261001,10366,-19495,-46125,205747,,-3870761,3888154,-34595,34707,,,-176857,10398.0,-26461.0,0,-131047,-53112.0,,269314,,0.0,,-33693.0,0.0,,-600290,148556,23327,1489955,1513282,1513282,,262198.0,2455.0,,-3105.0,,38506.0,-313234.0,0.0,942122.0,-831250.0,0.0,0.0
