公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不動產、廠房及設備轉列費用數,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 取得投資性不動產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　 收取之股利,　　 存出保證金增加,　　 其他非流動資產減少,　　　　 股利收入,　　 取得以成本衡量之金融資產,　　 舉借長期借款,　　 償還長期借款,　　　　 非金融資產減損迴轉利益,　　 預付設備款減少,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　　　 處分待出售非流動資產損失（利益）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產增加,　　　　　 其他營業資產（增加）減少
1321,2016年01月01日至2016年09月30日,,52547,52547,,,170100,1023,1918,34112,-3221,-28037,,,,,6234,4871,-126051,-5169,75231,-26869,-26702,-98455,,,-681,-362,-333387,854,192,3795,,-359368,-457823,-322040,-269493,3221,-33340,-61,-248998,,-26778.0,32590.0,-253481,-207452,-5083.0,-448818,,-14382.0,,,700176,-28415,-26055,322924,296869,296869,-7140.0,0.0,100.0,0.0,50675.0,4693.0,0.0,-33072.0,,3464774.0,-2750216.0,,,7215.0,0.0,,,135783.0,-29779.0,-522.0,
1321,2016年01月01日至2016年06月30日,,18487,18487,,,113745,694,3046,18038,-1587,-26657,0.0,,,,6231,-4861,-91036,1954,28144,-31653,-9450,-100671,,0.0,-23514,34860,-336216,-2,384,4556,,-351047,-451718,-351432,-332945,1587,-18280,-37,-349675,,-20714.0,23607.0,-165407,-189192,0.0,-350735,,-11637.0,,,682921,-14066,-31555,322924,291369,291369,-7140.0,0.0,147.0,0.0,,0.0,0.0,,,2934774.0,-2240216.0,,,7217.0,4634.0,,,100286.0,-31115.0,-10880.0,
1321,2016年01月01日至2016年03月31日,,3533,3533,,,56287,351,1620,4812,-850,-8801,1579.0,,,,285,7290,-36635,705,50970,-11865,26596,37346,,0.0,4715,-25196,-360049,-93,192,9366,,-395336,-357990,-310132,-306599,850,-4819,-15,-310583,,-6651.0,0.0,-161297,-6475,0.0,-217954,,168063.0,,,528632,-1544,-1449,322924,321475,321475,-7140.0,,0.0,,,,,,,480785.0,-120216.0,,,7217.0,5286.0,,,47858.0,-24271.0,-56034.0,
1321,2015年度,,38519,38519,,,143751,1396,103,43894,-2156,-19570,8871.0,,,,-172,18920,21417,11511,127594,7079,-54619,99919,,0.0,-56020,-35441,-17076,3,-461,-4907,,-169414,-69495,50336,88855,2156,-43714,-44,82458,,-121093.0,165358.0,-1004737,0,,-1003563,,125217.0,0.0,,995433,-13595,60733,262191,322924,322924,-22814.0,0.0,-25989.0,0.0,35205.0,-7328.0,0.0,-7655.0,,870216.0,0.0,,0.0,23809.0,,0.0,,119831.0,-55512.0,-59572.0,-31811.0
1321,2015年01月01日至2015年09月30日,,71350,71350,,,108274,1044,-279,12416,-916,-11189,,,,,-672,15437,-120385,10283,113010,225,-63446,-45548,,,-70035,35967,-21396,851,-4936,661,,-91347,-136895,-62501,8849,916,-12341,-35,32594,,-88764.0,134573.0,-840599,0,-5220.0,-836585,,94639.0,,,714855,-1310,-90446,262191,171745,171745,253.0,0.0,-27554.0,0.0,35205.0,-4526.0,0.0,-7655.0,,620216.0,0.0,,,-238.0,0.0,,,74394.0,-32459.0,-31811.0,
1321,2015年01月01日至2015年06月30日,,27606,27606,,,73296,694,-26,8180,-655,-6829,0.0,,,,-956,5957,-90644,23203,78004,-16665,-24525,-25626,,0.0,-63449,87704,-30839,851,421,-3845,,-29861,-55487,-8128,19478,655,-8166,-33,11934,,-83763.0,134573.0,-708926,0,-5220.0,-695415,,101931.0,,,722147,-15792,22874,262191,285065,285065,253.0,0.0,-27554.0,0.0,0.0,-30.0,0.0,,,620216.0,0.0,,,-238.0,0.0,,,47359.0,-20704.0,-31811.0,
1321,2015年01月01日至2015年03月31日,,4224,4224,,,36468,350,247,3943,-269,-2906,,,,,-1498,15421,-159566,2878,136432,-16392,3813,-18912,,0.0,-17535,70382,-33403,850,210,6566,,18701,-211,10320,14544,269,-3827,2,10988,,0.0,54767.0,-303196,0,-2386.0,-250998,,30326.0,,,330326,-5526,84790,262191,346981,346981,252.0,,-27554.0,,,55.0,,,,300000.0,0.0,,,-238.0,,,,10531.0,-8369.0,,
1321,2014年度,,-144782,-144782,,,147747,1364,-582,17981,-1143,-30617,3551.0,157220.0,,,-663,2189,250326,-6110,-106970,-323,-20572,117877,,0.0,89166,-159972,-25476,113,37,10138,-52484.0,-138478,-20601,136619,-8163,1143,-17181,4,17690,,-1792.0,0.0,-910728,0,-1000.0,-932338,,0.0,-80000.0,,840000,15786,-58862,321053,262191,262191,-813.0,0.0,-11.0,26946.0,41887.0,-19746.0,0.0,-7203.0,,960000.0,-40000.0,,0.0,928.0,,0.0,,,,,
1321,2014年01月01日至2014年09月30日,,-91082,-91082,,,109255,1016,-31,13426,-846,-27101,,117787.0,,,-387,4568,116968,-19082,-228784,-9682,-5135,-141534,,0.0,-155,-3228,-27464,1161,652,16351,-33563.0,-46246,-187780,-69993,-161075,846,-12570,10,-130916,,-6768.0,,-595211,0,-1124.0,-605255,,330000.0,,,600000,1294,-134877,321053,186176,186176,2322.0,0.0,-11.0,26946.0,41873.0,0.0,0.0,-7189.0,,310000.0,-40000.0,,,-2322.0,170.0,,,,,,
1321,2014年01月01日至2014年06月30日,,-26302,-26302,,,72953,679,-33,9108,-602,-26832,0.0,57584.0,,,-502,-10464,-10486,-12872,-130108,5202,6767,-152463,,0.0,9066,138321,-39680,1677,435,10473,-17001.0,103291,-49172,8412,-17890,602,-8452,10,-25730,,-6409.0,0.0,-407158,0,-2871.0,-418546,,100000.0,,,370000,-12948,-87224,321053,233829,233829,2322.0,0.0,-11.0,0.0,0.0,0.0,0.0,,,310000.0,-40000.0,,,-2322.0,214.0,,,,,,
