公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 金融資產重分類淨損失（利益）,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得避險之衍生金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股份基礎給付酬勞成本,　　　　 處分其他資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 股利收入,　　　　 金融資產減損迴轉利益,　　 收取之股利,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 預付設備款增加,　　 預付設備款減少,　　 應付短期票券減少,　　 償還公司債,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 發行公司債,　　 現金增資,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　　　　 其他營業負債增加（減少）,　　 發放現金股利,　　 其他籌資活動,　　 對子公司之收購（扣除所取得之現金）,　　 處分無活絡市場之債務工具投資
2426,2016年01月01日至2016年09月30日,,97134,97134,,,131026,2966,-3023,10863,,-3715,,35826,16861.0,-171.0,,,-11744,69499,431,,,,5592,-156695,2403,71883,-7321,11009,-73129,,-4693,55998,-28667,877,-11252,,12108,-61021,187522,284656,-8776,-15868,260012,,,,,,,,-29408,17164,-1861.0,,-1202,3445,-92426,,1082806,-890545.0,,,-20841,,,-129212,-47463,-9089,925793,916704,916704,,,,,0.0,,-44.0,,0.0,,0.0,-276.0,-42994.0,3300.0,-43018.0,,,,,,,248543.0,-155.0,2192.0,0.0,0.0,,,-299722.0,-910.0,,
2426,2016年01月01日至2016年06月30日,,82476,82476,,,88351,2317,0,7171,,-3259,,24141,986.0,,,,-11176,55611,297,,,,2400,-64297,9077,27642,-13838,6783,-32233,,1253,39028,-19889,454,-12418,,8216,-24017,143460,225936,-5896,-8083,211957,,,,,,,,-16618,923,166.0,,-1202,3129,-90075,,329317,-289457.0,,,-8605,,,30556,-22672,129766,925793,1055559,1055559,,,,,,,,,,,,3038.0,-39103.0,0.0,-36420.0,,,,,,,167477.0,-212.0,-950.0,0.0,0.0,,,,-699.0,,
2426,2016年01月01日至2016年03月31日,,29262,29262,,,44550,1131,0,3762,,-3106,,9174,,,,,0,48990,469,,,,8135,-15394,2531,8902,-17062,12545,-343,,7591,-155,-19435,103,-4164,,-16284,-16627,89459,118721,-3209,-27,115485,,,,,,,,-6867,135,,66.0,-257,3035,-18968,,127239,-158694.0,,,-4302,,-276.0,-36246,-26471,33800,925793,959593,959593,,,,,,,,,,,,1116.0,0.0,0.0,-17091.0,,,,,,,106086.0,-224.0,0.0,0.0,0.0,,,,-213.0,,2011.0
2426,2015年度,,333989,333989,,,198648,8104,-10874,20828,,-4144,,57418,13992.0,-1000.0,,,-37639,3521,617,,,,7666,164353,5236,25180,987,7852,211274,,-10888,-65008,22923,2210,13528,,-37603,173671,410072,744061,-15969,-54595,673497,,,,,,,,-59940,13363,15121.0,,-5646,3899,-51042,,1485832,-1502954.0,,4043.0,-824245,-5.0,,-331687,31059,321827,603966,925793,925793,0.0,,,,9607.0,,-1324.0,,-4985.0,,4985.0,-8085.0,-137613.0,170700.0,-57681.0,,,,,0.0,,236401.0,-368.0,-7013.0,293981.0,460000.0,,,-248339.0,,500.0,
2426,2015年01月01日至2015年09月30日,,304301,304301,,,153070,6901,-19333,16549,,-3528,,5312,9521.0,,0.0,,-35737,-7364,461,,,,7183,79311,986,-31080,-20945,-14523,20932,,-10749,3147,-13594,614,35987,,15390,36322,179510,483811,-13015,-54308,416488,,,,,,,,-61037,12979,13377.0,,-5083,3351,-143050,,629869,-572785.0,,0.0,-814234,,,-251474,31990,53954,603966,657920,657920,,,,,9607.0,,,,-4627.0,,4627.0,21963.0,-134241.0,51028.0,-29893.0,,,,,0.0,,143188.0,,-7765.0,294296.0,460000.0,,-15.0,-248339.0,-281.0,,
2426,2015年01月01日至2015年06月30日,,195485,195485,,,106639,4486,-11330,11075,,-3155,,4445,-354.0,,,,-35872,48667,310,,,,9238,18007,13803,29424,-12219,13077,71330,,3721,10471,-17225,-62,8602,,5184,76514,204705,400190,-9611,-37745,352834,,,,,,,,-36789,780,14017.0,,-5083,3022,-109837,,339313,-353415.0,,0.0,-819464,0.0,-281.0,-78681,-6370,157946,603966,761912,761912,,,,,,,,,0.0,,,3280.0,-118190.0,51028.0,-16951.0,,,,0.0,0.0,,128191.0,-323.0,-1671.0,295018.0,460000.0,148.0,,,,,
2426,2015年01月01日至2015年03月31日,,86340,86340,,,56135,1543,-11330,6157,,-2487,,4058,-24.0,,,,-11312,40425,155,,,,11794,2036,6530,-533,-2032,17024,34819,,1547,39437,-16976,-637,39,,23172,57991,139892,226232,-6740,-608,218884,,,,,,,,-22898,33,12087.0,,-2227,2419,-42114,,166321,-243202.0,,0.0,-811866,0.0,-281.0,-133262,-5653,37855,603966,641821,641821,,,,,,,,,,,,-1419.0,-72416.0,48644.0,-4431.0,,,,0.0,0.0,,81901.0,-238.0,-3325.0,295766.0,460000.0,,,,,,
2426,2014年度,,363869,363869,,,272974,6006,-14954,32172,,-2109,,50558,4154.0,0.0,1964.0,0.0,-33614,-68684,603,246783.0,,,-2833,355837,16368,-55718,88743,-146507,255890,,-31596,-392907,33248,2484,-56614,-404.0,-445789,-189899,56884,420753,-32431,-557,387765,,,0.0,-50048.0,,,0.0,-45448,4081,-1399.0,,-3312,1807,-156097,,1467126,-1409637.0,,35740.0,-326242,1475.0,,-231538,38129,38259,565707,603966,603966,1960.0,0.0,0.0,,0.0,,0.0,,-31339.0,,31339.0,27421.0,-771747.0,714910.0,-48615.0,,0.0,,-329.0,12335.0,,,,,,,,,,,,
2426,2014年01月01日至2014年09月30日,,264039,264039,,,206159,5148,-20562,25134,,-1128,,31848,5926.0,0.0,1603.0,0.0,-36151,-32889,450,181925.0,,,-783,107249,-1450,-81586,69370,29216,122016,,-27170,-185204,4922,2545,-28689,306.0,-233290,-111274,70651,334690,-25224,-462,309004,,,0.0,-60601.0,,,0.0,-59587,381,-1126.0,,-4006,916,-158023,,849500,-878141.0,0.0,35776.0,-115813,1194.0,0.0,-107484,20578,64075,565707,629782,629782,,0.0,0.0,0.0,0.0,,0.0,,-30899.0,,30899.0,27615.0,-766059.0,703228.0,-14403.0,,,,-329.0,12335.0,,,,,,,,,,,,
2426,2014年01月01日至2014年06月30日,,180027,180027,,,138588,3893,-13239,17380,,-785,,16310,5923.0,2868.0,0.0,0.0,-39002,17876,301,140950.0,,,-3088,180500,20989,-71468,14586,30171,171690,,-18321,-129060,-23526,1426,-26435,204.0,-195712,-24022,116928,296955,-17349,-304,279302,,,0.0,-117937.0,,,0.0,-49088,153,-1047.0,,-4006,633,-194876,,780552,-884686.0,0.0,34886.0,-103974,1194.0,0.0,-172028,5439,-82163,565707,483544,483544,,0.0,0.0,,0.0,,0.0,,-3373.0,,,-5461.0,-118587.0,84333.0,-1665.0,,,,-329.0,12335.0,,,,,,,,,,,,
