公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 預付設備款增加,　　　　 非金融資產減損迴轉利益,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 發放現金股利,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 負債準備增加（減少）,　　 其他非流動負債增加,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 其他金融資產減少,　　 短期借款減少,　　 其他非流動負債減少,　　 取得備供出售金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　 其他非流動資產減少
2425,2016年01月01日至2016年09月30日,,52493,52493,,,10992,0.0,,6312,-482,45.0,,,,,233473,2645,203096,-221,-951,798010,,0.0,-460407,-2069,,-4836,-467312,330698,347565,400058,482,-7021,-20686,372833,,,,,-7610,72.0,,4418,,0.0,,-224157,-15292,137802,311465,449267,449267,,,,359702.0,266.0,,,,,9436.0,0.0,-32775.0,,0.0,0.0,,,,-190355.0,-1027.0,,,16867.0,2520.0
2425,2016年01月01日至2016年06月30日,,49646,49646,,,7281,,,4863,-331,45.0,,,,,38076,-177,107083,-1083,-1625,277334,,90.0,-398341,3541,,-309,-395019,-117685,-105827,-56181,331,-4863,-20690,-81403,,,,,-5717,74.0,,6470,,140298.0,,139770,-7428,57409,311465,368874,368874,,,,134880.0,180.0,,,,,0.0,0.0,,,0.0,0.0,,,9754.0,,-528.0,,,11858.0,2359.0
2425,2016年01月01日至2016年03月31日,,13863,13863,,,3384,,,2070,-132,43.0,,,,,297530,-172,-357649,1283,-2624,146880,,,-59912,-2707,,-491,-63110,83770,89135,102998,132,-2070,-125,100935,,,,,-3178,76.0,,4368,,0.0,,-95877,-502,8924,311465,320389,320389,,,,208421.0,91.0,,,,,0.0,,,,,0.0,,,5145.0,-95378.0,-499.0,,,5365.0,2325.0
2425,2015年度,,203390,203390,,,13456,,,7277,-1481,75.0,,,,,-362845,-51,-258616,-191,-17,-803987,,-3.0,348848,14014,,-813,357712,-446275,-425336,-221946,1481,-7277,-14139,-241881,,,,,-4804,5.0,,-23305,,271252.0,,232454,-3562,-36294,347759,311465,311465,1612.0,,,-182629.0,362.0,,,,,-3903.0,-14603.0,-39330.0,,-4334.0,532.0,0.0,0.0,0.0,0.0,,,,20939.0,
2425,2015年01月01日至2015年09月30日,,155419,155419,,,10019,,,5242,-1322,29.0,,,,,-366078,-6,-277367,764,24,-788765,,-3.0,426601,4148,,-1166,425246,-363519,-349551,-194132,1322,-5242,-14131,-212183,,,,,-2688,,,-15159,,280771.0,,241527,2891,17076,347759,364835,364835,,,,-146373.0,271.0,,,,,-12171.0,-300.0,-39330.0,,-4334.0,86.0,0.0,0.0,0.0,0.0,,0.0,,13968.0,
2425,2015年01月01日至2015年06月30日,,31369,31369,,,6635,,,3398,-597,28.0,,,,,-313570,62,-117915,1280,78,-604168,,57.0,267814,-1985,,-1442,260110,-344058,-334594,-303225,597,-3398,-14126,-320152,,,,,-2291,,,-37015,,261316.0,,261345,-4435,-100257,347759,247502,247502,,,,-174283.0,180.0,,,,,-36303.0,-58.0,,,-4334.0,29.0,0.0,0.0,1637.0,0.0,0.0,,,9464.0,
2425,2015年01月01日至2015年03月31日,,6432,6432,,,3307,,,1446,-294,2.0,,,,,-176097,147,-235030,1612,265,-398120,,,56761,-7864,,-1423,47474,-350646,-346185,-339753,294,-1446,-12,-340917,,,,,-1433,,,-56427,,,,300255,-1804,-98893,347759,248866,248866,,,,10892.0,91.0,,,,,-54995.0,0.0,,,,43.0,0.0,0.0,0.0,300212.0,,,,4461.0,1.0
2425,2014年度,,285532,285532,,,14314,,,6964,-1430,25.0,,28596.0,,,103196,5912,331450,4986,-273,522064,,0.0,-266201,14101,,694,-251406,270658,299254,584786,1430,-6964,-1884,577368,,,,,-11686,0.0,,23338,,0.0,,-528846,1374,73234,274525,347759,347759,10249.0,,0.0,76439.0,354.0,,,,,0.0,-3.0,-28352.0,,,60.0,-1526.0,5694.0,29333.0,-500554.0,,,,,
2425,2014年01月01日至2014年09月30日,,207436,207436,,,10601,,,6650,-1088,0.0,,14637.0,,,77119,5943,276527,7024,-249,596579,,1.0,-203639,-5735,,-635,-210008,386571,401208,608644,1088,-6650,-1864,601218,,,,,-11341,,,4802,,0.0,,-592646,335,13709,274525,288234,288234,,,0.0,229951.0,264.0,,,,,,0.0,-28352.0,,,15.0,-1526.0,5694.0,25251.0,-564309.0,,-14802.0,,,
2425,2014年01月01日至2014年06月30日,,140158,140158,,,7034,,,6130,-521,0.0,,11117.0,,,231815,5440,68536,-12006,-1294,590991,,50.0,-485331,-5870,,-750,-491901,99090,110207,250365,521,-6130,-1814,242942,,,,,-615,,,13210,,0.0,,-264088,-2642,-10578,274525,263947,263947,,,,298324.0,176.0,,,,,0.0,-4329.0,,,,0.0,-1526.0,5694.0,12460.0,-264071.0,-17.0,,,,
