公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 存入保證金減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　　 持有供交易之金融資產（增加）減少,　　 其他應收款減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 存入保證金增加,　　 其他非流動負債增加,　　　　 股利收入,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　 收取之股利,　　 發放現金股利,　　 處分以成本衡量之金融資產,　　 其他非流動資產減少,　　 短期借款增加,　　　　　 應付帳款－關係人增加（減少）,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動負債減少,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　　 其他營業資產（增加）減少,　　 取得採用權益法之投資,　　 預付設備款增加,　　 預付設備款減少,　　 短期借款減少,　　　　 非金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 舉借長期借款,　　 備供出售金融資產減資退回股款,　　　　 處分投資性不動產損失（利益）,　　 處分投資性不動產,　　 現金減資
1109,2016年01月01日至2016年09月30日,,98735,98735,,,229260,3814,21336,-4438,5757.0,6682,,2876,,,,-108542,77932,5582,30059,9409,15,15290,,-4297,-36075,-61610,26247,,-82915,-67625,193914,292649,4472,-20584,-50518,242131,,-270190,225075,-145762,500.0,,,-814.0,-190138,,0,0.0,0.0,-122352,-10048,-80407,675075,594668,594668,0.0,,,-4693.0,,613.0,,-4289.0,0.0,835.0,-132.0,4289.0,-75780.0,,,108445.0,0.0,3494.0,,-15500.0,541.0,,-4111.0,-2398.0,0.0,-119546.0,,,261539.0,-7048.0,0.0,0.0,,,
1109,2016年01月01日至2016年06月30日,,59058,59058,,,153399,2587,14026,-3240,42.0,-168,,1950,,,,-86739,36104,196,-10560,10122,15,-50176,,350,-56182,-41354,6008,,-92116,-142292,25839,84897,3283,-13415,-33625,51272,,-125250,70387,-83216,0.0,,,-550.0,-136687,,0,-400.0,,-29003,4488,-109930,675075,565145,565145,0.0,,,,,,,-739.0,0.0,686.0,-139.0,739.0,,,,58179.0,0.0,3624.0,,-12000.0,274.0,,0.0,-5704.0,,-61367.0,,,168131.0,-799.0,0.0,0.0,,,
1109,2016年01月01日至2016年03月31日,,-26578,-26578,,,76460,1306,6863,-1618,8.0,-76,,985,,,,32853,37971,2798,14595,-45276,13,43516,,-3472,-29936,-38698,17637,,-55240,-11724,72300,45722,1648,-6334,7,45729,,-125232,25308,-42848,,,,-450.0,-142184,,0,-486.0,,-25508,-8794,-130757,675075,544318,544318,0.0,,,,,0.0,,,0.0,562.0,-390.0,,,,,58179.0,0.0,71.0,,-15500.0,96.0,0.0,,-681.0,,-61367.0,,,84024.0,-381.0,0.0,,,,
1109,2015年度,,11055,11055,,,295658,6856,24906,-10072,3201.0,-2754,,3928,,,,131685,69539,12759,41698,-7174,265,256068,,-29975,48795,-949,-8063,,-7607,248461,539765,550820,10317,-24175,-44468,506352,,-516010,606194,-227623,2064.0,0.0,-84.0,-1021.0,-36578,,-919629,-1909.0,,-531736,37181,-24781,699856,675075,675075,51.0,,0.0,,,0.0,,-4614.0,5703.0,1593.0,-66.0,4614.0,-84200.0,,,255592.0,-737.0,9954.0,0.0,-70631.0,916.0,0.0,-2201.0,,11507.0,-184633.0,0.0,,291304.0,-16612.0,918850.0,10922.0,-26772.0,54789.0,-421001.0
1109,2015年01月01日至2015年09月30日,,-54362,-54362,,,219721,4430,17582,-7885,3328.0,-1811,,2937,,,,4783,86534,13698,-26723,-29348,-104,54431,,19368,174831,22288,3197,,208057,262488,496868,442506,7942,-16804,-37997,404509,,-245356,226991,-197060,1855.0,0.0,,-1021.0,-184869,,-915579,-1033.0,-5872.0,-191630,51100,79110,746356,825466,825466,51.0,,,,0.0,0.0,,-4614.0,3840.0,1751.0,-88.0,4614.0,-84200.0,,,3186.0,-370.0,7725.0,0.0,-86131.0,641.0,,-2202.0,,1634.0,0.0,,,234380.0,-11169.0,914803.0,10009.0,,,
1109,2015年01月01日至2015年06月30日,,5425,5425,,,145614,2698,11825,-5209,3324.0,-1470,,1954,,,,-39386,89396,13885,3151,-20830,-58,50977,,-26614,49195,-36601,4660,,-13840,37137,195012,200437,5276,-11365,-17297,183140,,-130188,116591,-128527,1855.0,,,-1021.0,-119534,,-915579,-648.0,,-77092,-10795,-24281,746356,722075,722075,51.0,,,,,0.0,,-1348.0,5206.0,-387.0,-118.0,1348.0,,,,3186.0,-234.0,8394.0,0.0,-67489.0,436.0,,-2202.0,-1069.0,,,,,157875.0,-4128.0,914803.0,10009.0,,,
1109,2015年01月01日至2015年03月31日,,7834,7834,,,72568,1368,6515,-2161,,-134,,985,,,,129661,105635,15758,-34280,-47654,-236,174148,,-46519,-20255,-29829,276,,-97288,76860,156272,164106,2153,-6018,-2824,155264,,-95333,60581,-80069,,,,,-117126,,-928651,,,-40104,-1402,-3368,746356,742988,742988,51.0,,,,0.0,787.0,0.0,,5199.0,65.0,-447.0,,,,-5435.0,3186.0,-283.0,977.0,,-43290.0,220.0,,,,,,,,79412.0,-231.0,927864.0,,,,
1109,2014年度,,426820,426820,,,281505,5390,38317,-13975,7910.0,-20597,10040.0,3840,337077.0,,,92420,-23124,27242,-135960,71526,-19,24148,,-8409,-130941,17225,5103,-10002.0,-126365,-102217,234860,661680,14103,-38933,-113518,509229,,-835120,905040,-120411,1053.0,-3007.0,,0.0,-16014,,-312506,0.0,,-727910,51280,-183415,929771,746356,746356,9915.0,0.0,0.0,0.0,,3463.0,0.0,-5153.0,1144.0,308.0,-78.0,5153.0,-505201.0,,,269925.0,737.0,,21675.0,-3339.0,1012.0,-9389.0,-4500.0,0.0,,-180252.0,18873.0,,,,,,,,
1109,2014年01月01日至2014年09月30日,,356615,356615,,,198885,3894,31077,-11337,3981.0,-14833,16135.0,2860,237107.0,,,215583,-13542,24908,-180673,53252,-240,101026,,-14273,-111214,-30699,40943,-9906.0,-125184,-24158,212949,569564,11543,-31693,-111757,426114,,-670551,811293,-111044,710.0,-755.0,,0.0,88637,,-301755,0.0,,-756751,4566,-237434,929771,692337,692337,9915.0,0.0,0.0,0.0,,1802.0,0.0,-3840.0,-209.0,2632.0,-35.0,3840.0,-505201.0,,,125152.0,,,21675.0,-36818.0,370.0,-685.0,-4500.0,0.0,26426.0,-39931.0,,,,,,,,,
1109,2014年01月01日至2014年06月30日,,332909,332909,,,132125,2602,23093,-8358,3981.0,-8489,10053.0,1912,165439.0,,,-236184,2770,43035,-48422,66496,-234,-180702,,-35387,-47,6425,2232,-7123.0,-33735,-214437,-48998,283911,8460,-22661,-28612,232638,,-300115,248435,-99584,512.0,0.0,,0.0,-95500,,-146935,0.0,-19099.0,-55565,-61097,20476,929771,950247,950247,9915.0,0.0,0.0,0.0,,888.0,0.0,-1395.0,-9030.0,867.0,165.0,1395.0,,,23533.0,123581.0,0.0,188.0,21676.0,-14000.0,,,,,,,,,,,,,,,
1109,2014年01月01日至2014年03月31日,,135997,135997,,,65913,1321,10592,-3915,0.0,-5762,8105.0,970,77224.0,,,-19452,9419,41981,-59358,12874,-8472,-24425,,-23243,-26845,-18128,-4451,-340.0,-73461,-97886,-20662,115335,3529,-10593,-18015,86727,,-200095,117197,-13254,0.0,,0.0,0.0,-73052,,-149653,0.0,-3479.0,-23370,-14559,-24254,929771,905517,905517,,,0.0,,,372.0,1500.0,,-3443.0,2026.0,-454.0,,,,19566.0,127890.0,0.0,5.0,,,,,,,,,,,,,,,,,
1109,2013年度,,371025,371025,,,262196,5302,37923,-13821,5392.0,-26908,-42153.0,12102,265370.0,,,-302593,-77387,-14489,-79095,62872,348,-423776,,46208,-98883,20603,21975,-5465.0,-15491,-439267,-173897,197128,13587,-37922,-27747,131459,,-424969,475718,-178196,4858.0,-18784.0,,-525.0,35321,,-307961,-2420.0,,-303021,101537,-34704,964475,929771,929771,30000.0,743.0,195520.0,-22699.0,,0.0,71500.0,-4663.0,-6847.0,-7328.0,71.0,4663.0,-159980.0,,,95840.0,0.0,,0.0,0.0,0.0,0.0,0.0,-13852.0,,0.0,0.0,,,,,,,,
1109,2013年01月01日至2013年12月31日,,371025,371025,,,262196,5302,37923,-13821,5392.0,-26908,-42153.0,3805,257073.0,,,-302593,-77387,-14489,-79095,62872,348,-423776,,46208,-98883,20603,21975,-5465.0,-15491,-439267,-182194,188831,13587,-37922,-27747,123162,,-424969,475718,-178196,4858.0,-18784.0,0.0,-525.0,35321,,-307961,-2420.0,45384.0,-257637,64450,-34704,964475,929771,929771,30000.0,743.0,195520.0,-22699.0,-13852.0,0.0,71500.0,-4663.0,-6847.0,-7328.0,71.0,4663.0,-159980.0,0.0,0.0,95840.0,,,,,,,,,,,,,,,,,,,
1109,2013年01月01日至2013年09月30日,,144843,144843,,,193445,4308,25657,-8954,7444.0,-22671,-23619.0,2833,205092.0,,,-279,-24120,13433,-100374,74513,-2543,-47715,,14011,-120013,-29445,34710,-4131.0,-104963,-152678,52414,197257,8725,-25926,-25868,158851,,-326656,303439,-115173,2804.0,-6584.0,0.0,-524.0,22986,,-302577,-2165.0,30657.0,-385465,58553,-145075,964475,819400,819400,31312.0,743.0,195520.0,-21973.0,-7867.0,0.0,48600.0,-4663.0,-967.0,-8121.0,-95.0,4663.0,-159980.0,,,,,,,,,,,,,,,,,,,,,,
1109,2013年01月01日至2013年06月30日,,124670,124670,,,127992,2859,17346,-6128,2791.0,-18124,-24694.0,1890,135244.0,,,73061,-42781,24313,-137544,98687,-1809,-107988,,18423,-143080,-45026,28352,-1981.0,-143312,-251300,-116056,8614,6047,-17507,-17808,-20654,,-212993,244264,-146292,2253.0,-1725.0,0.0,-524.0,65503,,-148650,-2763.0,39323.0,-34990,44281,54140,964475,1018615,1018615,31312.0,-121915.0,195520.0,-15000.0,0.0,0.0,77100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,2013年01月01日至2013年03月31日,,43634,43634,,,62058,1415,9926,-2926,4412.0,-11424,33255.0,939,97655.0,,,119838,-9557,139902,-19082,69335,-5508,294928,,1315,-163833,-10746,16995,-1002.0,-157271,137657,235312,278946,2907,-10210,-820,270823,,-111782,69858,-98833,701.0,-2065.0,0.0,-524.0,-142645,,-148650,-2869.0,26415.0,-125104,53388,56462,964475,1020937,1020937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,2012年01月01日至2012年12月31日,,88475,88475,,,235501,6111,46488,-9507,-619.0,-4706,-56886.0,9540,224307.0,,,38943,-42837,74027,-259731,190400,-139,663,,-6821,255707,56438,-7353,-1660.0,296361,297024,521331,609806,9306,-48147,-15561,546098,,-199563,58999,-303740,630.0,-490.0,-1959.0,0.0,-423629,,0,0.0,-27563.0,-172889,-135308,-185728,1150203,964475,964475,3629.0,0.0,0.0,-5450.0,0.0,2024.0,0.0,-5244.0,0.0,0.0,50.0,5244.0,-147350.0,728.0,12666.0,0.0,,,,,,,,,,,,,,,,,,,
