公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收帳款－關係人（增加）減少,　　 預付設備款減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分子公司,　　 存出保證金減少,　　　　　 應收票據（增加）減少,　　　　 處分待出售非流動資產損失（利益）,　　　　　 應付票據增加（減少）,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產
8016,2015年01月01日至2015年09月30日,,721871,721871,,,114855,10785,8375.0,6732,-26684,-9198.0,7252,4.0,15844.0,45709,-55365,118309.0,,,359062,-60524,-66165,-483975,44116,-4598,-212084,,-52620,44279,10597,-1062.0,51557,52751,-159333,-41024,680847,24346,-6480,-129074,569639,,0.0,-309334.0,293894.0,-43270.0,7773.0,-112397,0.0,-57953.0,-19496,-6185.0,9198.0,-237770,,1578987,-1532542.0,0.0,-1336.0,-536119.0,0.0,62281,-428729,25602,-71258,1198436,1127178,1127178,,,,,,,,,,,,,,,,,
8016,2015年01月01日至2015年06月30日,,420975,420975,,,76057,7272,8375.0,4177,-18403,,4916,,12274.0,11771,826,107265.0,,,119702,14802,-1643,-722888,6423,-5383,-588987,,284776,-23169,-13114,-762.0,45779,293510,-295477,-188212,232763,14135,-4177,-61826,180895,,0.0,-309334.0,,-43270.0,0.0,-70455,,-60500.0,-17890,0.0,,-501367,,1043726,-643975.0,0.0,-18.0,,,4869,404602,-22391,61739,1198436,1260175,1260175,0.0,82.0,,,,,,,,,,,,,,,
8016,2015年01月01日至2015年03月31日,,241853,241853,,,37478,3696,7551.0,1640,-7491,,2285,,7084.0,7091,-6962,52372.0,,,-2094,-43042,-36736,-275894,18091,-2516,-342191,,55523,-4869,-13278,-278.0,29975,67073,-275118,-222746,19107,3359,-1640,-369,20457,,0.0,0.0,75155.0,-43270.0,0.0,-30656,,-59886.0,-17202,-574.0,,-76433,,495207,-341196.0,,,,,0,154011,-11146,86889,1198436,1285325,1285325,0.0,,,,,,,,,,,,,,,,
8016,2014年度,,847776,847776,,,144403,18204,4246.0,1779,-10612,-16651.0,19272,-117.0,16453.0,58712,-40833,,,,-46482,-126427,-4804,-7517,-35546,990,-219489,,330844,92694,-10852,,50432,462019,242530,437386,1285162,11660,-1807,-114751,1180264,,-649633.0,,,0.0,42919.0,-161877,133.0,-437.0,-37210,-361.0,16651.0,-1139792,,881070,-426679.0,18275.0,0.0,-357443.0,864.0,28972,145059,33626,219157,979279,1198436,1198436,297.0,0.0,,0.0,0.0,194856.0,0.0,-1099.0,-349977.0,0.0,0.0,,,,,,
8016,2014年01月01日至2014年09月30日,,578256,578256,,,106884,14285,1134.0,1255,-6272,-2886.0,14441,-117.0,12638.0,47722,6815,195899.0,,,4429,-131770,-33620,116685,-7463,862,-50877,,183968,97768,35346,-832.0,11314,327564,276687,472586,1050842,7320,-1283,-114465,942414,,-16217.0,-20077.0,0.0,0.0,42919.0,-120683,133.0,-409.0,-18822,-16497.0,2886.0,-146767,,344781,-330947.0,25.0,0.0,-357389.0,864.0,28970,-313696,55,482006,979279,1461285,1461285,,,,,,,,,,,,,,,,,
8016,2014年01月01日至2014年06月30日,,346355,346355,,,70393,9860,933.0,867,-3919,,9610,,8426.0,30694,-641,126223.0,,,-419314,2759,890,-144039,-16743,400,-575873,,60923,-26382,-19722,-552.0,33907,48174,-527699,-401476,-55121,4967,-895,-76793,-127842,,-16217.0,-71.0,,0.0,42919.0,-86444,,-404.0,-17621,-2993.0,,-80831,,247195,-207810.0,1525.0,0.0,,,28970,69880,-1278,-140071,979279,839208,839208,174.0,0.0,,,,,,,,,,,,,,,
8016,2014年01月01日至2014年03月31日,,168400,168400,,,34837,5157,552.0,361,-2323,,4872,,4008.0,24730,-5526,66668.0,,,8410,58277,-36900,-257643,2017,1315,-224618,,172370,-15504,-21133,-274.0,16839,152298,-72320,-5652,162748,4358,-122,-293,166691,,-16217.0,-47.0,0.0,0.0,42919.0,-31434,,-214.0,-16306,-22443.0,,-43742,,183033,-66920.0,,,,,9465,125578,4741,253268,979279,1232547,1232547,-94.0,,,,,,,,,,,,,,,,
8016,2013年度,,500308,500308,,,149315,19058,-5566.0,1412,-8716,-13100.0,6209,-2656.0,14695.0,100319,-13932,,,,-17753,53295,-1896,-567843,3471,5330,-508324,,-48358,36313,19712,,8586,11994,-496330,-287905,212403,8130,-1394,-43366,175773,,-57706.0,,,-49608.0,13768.0,-152460,12593.0,0.0,-25946,0.0,13100.0,-223309,,480335,-488409.0,2.0,-16761.0,-295369.0,0.0,69644,-250558,3779,-294315,1273594,979279,979279,17072.0,19499.0,,-30421.0,-8192.0,208425.0,-3000.0,-1259.0,-1559.0,4873.0,137.0,,,,,,
8016,2013年01月01日至2013年12月31日,,500308,500308,,,149315,19058,-5566.0,1412,-8716,-13100.0,6209,-2656.0,14695.0,100319,-13932,,,,-17753,52833,-1896,-567843,3471,5330,-508324,,-48343,36313,19712,,8586,11994,-496330,-287905,212403,8130,-1394,-43366,175773,,-57706.0,,,-49608.0,13768.0,-152460,12593.0,,-25946,19499.0,13100.0,-223309,,480335,-488409.0,2.0,-16761.0,-295369.0,,69644,-250558,3779,-294315,1273594,979279,979279,17072.0,,,-30421.0,-8192.0,208425.0,-3000.0,-1259.0,-1559.0,4873.0,137.0,462.0,0.0,-15.0,0.0,0.0,0.0
8016,2013年01月01日至2013年09月30日,,330646,330646,,,113822,11817,0.0,1224,-5975,-12794.0,431,-2665.0,7979.0,66259,-3471,,,,105902,35232,-47406,-880682,29067,-5652,-749314,,21226,24676,30658,,24678,98236,-651078,-482643,-151997,6327,-1206,-43223,-190099,,0.0,,,-49608.0,13768.0,-130712,13044.0,149.0,-4941,0.0,12794.0,-142192,,36000,-53854.0,2970.0,-13235.0,-295369.0,0.0,69644,-253844,1629,-584506,1273594,689088,689088,14225.0,,,,-8192.0,168435.0,-3000.0,-2.0,-1559.0,4873.0,,,,,,,
