公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分其他資產損失（利益）,　　　　　 預付款項（增加）減少,　　 存出保證金增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得待出售非流動資產,　　 預收款項增加－處分資產,　　 短期借款增加
1773,2015年01月01日至2015年09月30日,,542690,542690,,,137623,671.0,3337,497,-632,-43576,-384,2578,-14655.0,85459.0,,,16081,27624,-7444,240773,11514.0,288548,,10098,-27085,13867,-2386,441,-1010.0,-6075,282473,367932,910622,632,10119.0,-509,-104285,816579,,-28422.0,-114079,707,-65.0,-160,-142019,,-60892,1589,-390000.0,-449303,248,225505,165488,390993,390993,,,,,,,,,,,,
1773,2015年01月01日至2015年06月30日,,351078,351078,,,93745,446.0,1948,263,-478,-24873,26,0,,71077.0,,,5007,94174,1027,59134,,153617,,-5902,10653,-16677,-4354,-374,-634.0,-17288,136329,207406,558484,478,10119.0,-277,-57468,511336,,,-81963,297,40.0,0,-81626,,-136892,1512,,-135380,-14,294316,165488,459804,459804,0.0,-5725.0,0.0,0.0,,,,,,,,
1773,2015年01月01日至2015年03月31日,,162351,162351,,,47599,232.0,1449,190,-119,-12309,26,0,0.0,37068.0,,,5412,78074,504,116884,,218666,,-19060,109957,-40612,-4810,4384,-264.0,49595,268261,305329,467680,119,,-205,-542,467052,,,-42495,297,17.0,0,-42181,,-159892,0,,-159893,-31,264947,165488,430435,430435,,17792.0,0.0,-1.0,,,,,,,,
1773,2014年度,,623679,623679,,,179159,1640.0,-67,2190,-162,-69656,-2026,976,0.0,,,,1311,66588,7493,85353,,158487,,9712,-27108,13612,6828,1914,,-5486,153001,278055,901734,166,41467.0,-2253,-109963,831151,,0.0,-300930,2146,0.0,-620,-299492,,-228285,4,-267000.0,-495281,150,36528,128960,165488,165488,,-2258.0,-88.0,0.0,,13000.0,125054.0,0.0,-10444.0,0.0,0.0,0.0
1773,2014年01月01日至2014年09月30日,,469146,469146,,,133607,1261.0,70,1672,-94,-48886,-1348,43,0.0,86325.0,,,-16007,-41893,-9630,89879,-32343.0,-9994,,26288,51681,24808,773,2417,-395.0,105572,95578,181903,651049,98,12961.0,-1695,-102971,559442,,0.0,-227397,1393,-23.0,-221,-226248,,-33177,1,-267000.0,-300176,47,33065,128960,162025,162025,,,,,,,,,,,,
1773,2014年01月01日至2014年06月30日,,285734,285734,,,88248,807.0,-17,1267,-66,-32736,-1295,43,,56251.0,,,-11143,20640,10085,35504,,40577,,4182,-36715,-25351,326,2859,-248.0,-54947,-14370,41881,327615,70,12961.0,-1323,-56611,282712,,,-141171,1295,-5.0,-221,-140102,,-153177,1103,,-152074,6,-9458,128960,119502,119502,0.0,-14509.0,0.0,0.0,,,,,,,,
1773,2014年01月01日至2014年03月31日,,147197,147197,,,43628,393.0,-228,779,-22,-18046,-429,0,0.0,26075.0,,,3189,8601,2388,102253,,43021,,-5535,-31362,-54315,-594,1941,-125.0,-89990,-46969,-20894,126303,25,,-827,-3,125498,,,-70124,429,0.0,-221,-69950,,-72137,1,,-72136,50,-16538,128960,112422,112422,,-73410.0,-34.0,0.0,,,,,,,,
1773,2013年度,,655929,655929,,,157520,1583.0,8325,1358,-553,-85840,-461,733,0.0,,,,9757,-85783,-6043,-204722,,-303513,,-25090,34673,22844,1251,257,,32432,-271081,-178816,477113,549,62077.0,-1295,-107449,430995,,-34230.0,-284332,1300,3639.0,-700,-314323,,0,876,-400500.0,-106847,582,10407,118553,128960,128960,,-9722.0,0.0,0.0,,9600.0,92265.0,-7000.0,-1503.0,0.0,0.0,292777.0
1773,2013年01月01日至2013年12月31日,,655929,655929,,,157520,1583.0,8325,1358,-553,-85840,-461,733,0.0,,,,9757,-85783,-6043,-204722,,-303513,,-25090,34673,22844,1251,257,,32432,-271081,-178816,477113,549,62077.0,-1295,-107449,430995,,-34230.0,-284332,1300,3639.0,-700,-314323,,0,876,-400500.0,-106847,582,10407,118553,128960,128960,,-9722.0,0.0,0.0,,9600.0,92265.0,-7000.0,-1503.0,0.0,0.0,292777.0
1773,2013年01月01日至2013年09月30日,,496881,496881,,,115285,1157.0,-1717,775,-522,-67293,-461,733,,,,,4323,-103690,-16386,-19567,,-176971,,-20589,88960,-5015,8781,-2881,,69765,-107206,-59249,437632,522,15189.0,-709,-103662,348972,,,-236902,1301,3651.0,-653,-232603,,0,4,-400500.0,-94396,153,22126,118553,140679,140679,,-41651.0,0.0,,,,47957.0,,509.0,,,306100.0
1773,2013年01月01日至2013年06月30日,,332382,332382,,,75043,745.0,-2186,239,-454,-47354,-462,552,,,,,-5333,-42069,9496,43555,,-3540,,453,-20591,-29707,2785,-5104,,-51665,-55205,-29082,303300,454,0.0,-222,-56556,246976,,,-173086,1301,2228.0,-185,-169742,,-41890,5,,-41885,291,35640,118553,154193,154193,,-9189.0,,,,,26123.0,,499.0,,,
1773,2013年01月01日至2013年03月31日,,163493,163493,,,38291,0.0,-2576,130,-114,-22148,-534,494,980.0,,,,-2207,26086,5655,-21442,,6427,,11386,42151,-37136,529,-4752,,12641,19068,33591,197084,114,,-123,-12,197063,,,-110159,1206,,-149,-109143,,-76400,2,,-76398,244,11766,118553,130319,130319,,-1665.0,-41.0,,,,14523.0,,463.0,,,
1773,2012年01月01日至2012年12月31日,,665216,665216,,,166596,1351.0,-4280,589,-282,-70000,-7410,999,0.0,,,,20316,-25296,-3750,-44481,,-60119,,-22384,60711,36658,-2203,1178,,81212,21093,115156,780372,289,60878.0,-620,-97660,743259,,0.0,-282832,64212,0.0,-1512,-220255,,-168600,3927,-347100.0,-511773,-243,10988,107565,118553,118553,,-6908.0,-123.0,0.0,,6500.0,94063.0,0.0,7252.0,0.0,0.0,0.0
1773,2012年01月01日至2012年09月30日,,519140,519140,,,125855,1020.0,-2852,521,-256,-50770,-7169,993,0.0,,,,-475,-66119,-6916,-133838,,-224058,,17089,156149,62,-2740,-435,,175567,-48491,18851,537991,262,14041.0,-476,-93739,458079,,,-217003,63709,0.0,-1284,-154695,,0,1480,-347100.0,-309020,-81,-5717,107565,101848,101848,,-16710.0,-117.0,0.0,,,67342.0,,5442.0,0.0,0.0,36600.0
1773,2012年01月01日至2012年06月30日,,347826,347826,,,83188,647.0,-3010,309,-240,-34772,-6912,993,0.0,,,,-3899,-57330,-714,-61085,,-170433,,-21911,11379,-30585,-2074,-988,,-40554,-210987,-170784,177042,239,,-326,-44033,132922,,,-160402,63453,0.0,-1155,-98249,,-63319,0,,-63319,-33,-28679,107565,78886,78886,,-47405.0,-145.0,0.0,,,40203.0,,3625.0,0.0,0.0,
1773,2012年01月01日至2012年03月31日,,181426,181426,,,41289,,-3757,193,-154,-15454,0,767,-4189.0,,,,-20441,-42371,-6875,26278,,-49736,,1843,107528,-27418,-219,1974,,85524,35788,54483,235909,153,,-182,-5,235875,,,-73661,0,,-434,-110751,,-96000,0,,-96002,-65,29057,107565,136622,136622,,-6327.0,-125.0,-2.0,,,18695.0,,1816.0,-46531.0,10000.0,
