公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 退還（支付）之所得稅,　　 存出保證金減少,　　　　 呆帳費用提列（轉列收入）數,　　 存出保證金增加,　　 發放現金股利,　　　　　 其他金融資產（增加）減少,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　　　 股利收入,　 匯率變動對現金及約當現金之影響,　　 收取之股利,　　 處分無活絡市場之債券投資,　　　 收益費損項目,　　　　 其他項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 其他非流動資產增加
1445,2016年01月01日至2016年09月30日,,62749,62749,,,36946,167,477,-579,437,-1415.0,1155,,,,-2402,7650,18873,-2900,-10799,,-20230,-9808,,10468,-1133,-10024,-4006,,-82690,-92498,-62202,547,636,-18340,,-113775,0,-54790,,0.0,-251,-69585,-142658,267328,124670,124670,-19523.0,,2554.0,,-69334.0,,,,-9446.0,57.0,9446.0,,,,30296.0,-77995.0,0.0,50000.0,-461.0
1445,2016年01月01日至2016年06月30日,,48462,48462,,,24629,114,310,-552,3,-1639.0,829,,,,-1006,15712,-11831,-3454,-4695,,5031,-243,,6996,4815,-14277,-1692,,-81380,-81623,-56588,-8126,560,-20810,,-76453,0,-76703,,,0,0,-97456,267328,169872,169872,-13244.0,,1341.0,,,0.0,,0.0,0.0,57.0,,,,,25035.0,-77222.0,0.0,,-250.0
1445,2016年01月01日至2016年03月31日,,16507,16507,,,12423,56,-65,-181,0,,2280,,,,-1006,14571,15180,-1166,-14513,,-24406,-11340,,31271,879,-16299,319,,3214,-8126,5928,22435,214,22639,,-1517,0,-1517,,0.0,-1,-1,21120,267328,288448,288448,-10.0,,527.0,,,0.0,,0.0,,-1.0,,,,-986.0,14054.0,-12956.0,0.0,,
1445,2015年度,,102920,102920,,,51905,270,1226,-1504,380,53.0,-665,,,,-5454,22787,-3156,2293,8279,,-9004,12055,,-8888,-3515,8596,2101,,-3573,8482,53604,156524,1522,157895,,-8644,76,35888,,81.0,-111,-41630,152153,115175,267328,267328,-151.0,,824.0,-2.0,-41600.0,-3690.0,0.0,0.0,-7367.0,0.0,7367.0,,,,45122.0,-1867.0,-2909.0,40000.0,
1445,2015年01月01日至2015年09月30日,,81325,81325,,,38571,215,1185,-1053,-30,746.0,2947,,,,-5330,20883,-20363,1654,12149,,-20407,-11707,,9602,547,5875,-1902,,12450,743,35957,117282,1061,118237,,-7913,75,6619,,70.0,-111,-41641,83219,115175,198394,198394,-106.0,,0.0,,-41600.0,-293.0,0.0,0.0,-7367.0,4.0,7367.0,,,,35214.0,-1672.0,-2910.0,10000.0,
1445,2015年01月01日至2015年06月30日,,45065,45065,,,25828,167,834,-745,-50,-134.0,27,,,,-1033,32455,1612,451,29235,,6659,69086,,-10942,4403,-3061,1976,,-9043,60043,85970,131035,745,131705,,-3932,76,-6766,,0.0,-11,-11,124925,115175,240100,240100,-75.0,0.0,,,,-293.0,0.0,0.0,0.0,-3.0,,,,,25927.0,-1419.0,-2910.0,,
1445,2015年01月01日至2015年03月31日,,16211,16211,,,12965,90,414,-336,-62,0.0,346,,,,301,32962,6008,789,30720,,-5961,64806,,-5922,-6241,-12960,905,,-25393,39413,52579,68790,338,69094,,-1609,76,-4443,,0.0,-11,-11,64639,115175,179814,179814,-34.0,,,,,-13.0,0.0,0.0,,-1.0,,,,-251.0,13166.0,-1175.0,-2910.0,,
1445,2014年度,,30049,30049,,,53502,361,606,-1627,44,-598.0,-1945,41805.0,,,-2335,-23204,65207,493,-52946,,12083,-3407,,-44766,2983,-8455,-3556,-4980.0,-58774,-62181,-20376,9673,1668,10819,,-1328,0,23845,,150.0,-554,-69738,-35070,150245,115175,115175,-522.0,,-1000.0,0.0,-69334.0,-2705.0,-3115.0,10750.0,-4423.0,4.0,4423.0,10000.0,,,,,,,
1445,2014年01月01日至2014年09月30日,,22542,22542,,,40452,271,-528,-1166,44,-1540.0,-1058,28937.0,,,-2635,-9268,44691,12346,-33349,,21613,30693,,-42551,-4949,-13459,-7422,-3755.0,-72136,-41443,-12506,10036,1203,10764,,-1286,0,13887,,,-250,-69584,-44932,150245,105313,105313,-475.0,,0.0,0.0,-69334.0,-2705.0,-3115.0,10750.0,-4423.0,1.0,4423.0,,,,,,,,
1445,2014年01月01日至2014年06月30日,,20501,20501,,,27411,181,-1316,-835,40,-686.0,444,22124.0,,,-109,3820,49029,21457,-49201,,13861,36969,,-29886,-1668,-11036,-2749,-2465.0,-47804,-10835,11289,31790,749,32334,,-936,0,9814,,0.0,-250,-250,41897,150245,192142,192142,-205.0,0.0,,,,-1888.0,-3115.0,10750.0,0.0,-1.0,,,,,,,,,
