公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還公司債,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　　　 股利收入,　　　　 其他項目,　　　　　 應收帳款－關係人（增加）減少,　　 處分不動產、廠房及設備,　　 收取之股利,　　 發放現金股利,　　 非控制權益變動,　　　　 金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　 其他金融資產增加,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　　　 利息費用,　　　　　 其他應收款（增加）減少,　　 短期借款增加,　　 支付之利息,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 其他非流動資產減少,　　　　 處分投資損失（利益）,　　　　　 持有供交易之金融資產（增加）減少
3356,2016年01月01日至2016年09月30日,,132563,132563,,,13624,2459,511,123,-4529,,,,-3432,-103340,-117,-557,-99750,,-9616,-16951,-5575,-32142,-131892,-89113,43450,4152,-68971,-22882,,,-4909,,3336.0,,-844.0,-246005,,,477089,-1313,206889,1146890,1353779,1353779,112.0,,489.0,-538.0,-489.0,2552.0,0.0,538.0,-307911.0,,,,42779.0,-235415.0,16249.0,13497.0,0.0,1760.0,,785000.0,-1513.0,,-9200.0,,,5144.0
3356,2016年01月01日至2016年06月30日,,120123,120123,,,9503,1642,-43,194,-3117,,,,-10675,-113279,2715,-376,-113281,,28628,-2373,-4979,21276,-92005,-64969,55154,3116,-22966,34672,,,-1256,,-1029.0,,151.0,-10526,,,275000,-5445,293701,1146890,1440591,1440591,0.0,,489.0,-489.0,-489.0,3190.0,0.0,489.0,,,,,27036.0,-170.0,9495.0,9639.0,,701.0,,275000.0,-632.0,,-9200.0,,0.0,5144.0
3356,2016年01月01日至2016年03月31日,,53356,53356,,,4865,823,-311,292,-700,,,,3491,-95639,-11230,-192,-96900,,96202,-5568,-5868,84766,-12134,3370,56726,701,-116,57131,,,-468,-59.0,,,,-4659,,,100000,-5493,146979,1146890,1293869,1293869,0.0,,,,,6670.0,,,,,,,15504.0,-170.0,4748.0,5624.0,,163.0,,100000.0,-180.0,5144.0,-9200.0,94.0,,
3356,2015年度,,429923,429923,,,21425,3084,-3351,474,-5353,,,,-42057,133424,-11046,1158,79096,,18562,-16972,-2331,-741,78355,103694,533617,5352,-78566,460403,,,-24460,586.0,,,-744.0,-50426,,,-312097,2093,99973,1046917,1146890,1146890,28.0,,0.0,-4187.0,0.0,-2342.0,5.0,4187.0,-377890.0,15793.0,,,25339.0,,6330.0,6872.0,-30000.0,17.0,-41.0,50000.0,,,,,,
3356,2015年01月01日至2015年09月30日,,351379,351379,,,15942,2274,-1591,693,-3808,,,,-52612,92291,-17162,-595,23687,,1540,-7005,-802,-6267,17420,30437,381816,3741,-73050,312507,,0.0,-19704,,765.0,,-825.0,-45572,,,0,4579,271514,1046917,1318431,1318431,28.0,0.0,0.0,-4187.0,0.0,1765.0,5.0,4187.0,0.0,0.0,,,13017.0,,1582.0,2084.0,-30000.0,,,,,,,,,
3356,2015年01月01日至2015年06月30日,,193539,193539,,,10680,1483,-1543,43,-2860,,,,-29506,55158,-6938,-397,18101,,39698,6713,-3581,42830,60931,64621,258160,2776,-30707,230229,,0.0,-17555,,599.0,,-1047.0,-14957,,0.0,0,-8516,206756,1046917,1253673,1253673,28.0,0.0,0.0,-4141.0,0.0,-216.0,5.0,4141.0,0.0,0.0,,,3690.0,-1100.0,,,,,,,,,,,,
3356,2015年01月01日至2015年03月31日,,93652,93652,,,4548,721,-1499,19,-1206,,,,-35792,53511,-6050,-198,12774,,2680,-6882,-2100,-6302,6472,9058,102710,1069,-157,103622,,,-5327,-64.0,,,,-7116,,,0,-6034,90472,1046917,1137389,1137389,3.0,,,,,1303.0,,,,,,,2586.0,-1000.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,-725.0,,
3356,2014年度,,588829,588829,,,15588,1700,2280,-131,-5208,8555.0,,,13152,102942,2782,-616,120173,,-59031,-3291,1536,-60786,59387,67942,656771,5335,-137327,524779,,,-34086,,923.0,,-5754.0,-33243,,,-453149,9002,47389,999528,1046917,1046917,0.0,,4500.0,-1174.0,-4500.0,1913.0,,1174.0,-458049.0,4900.0,,,,,,,,,,,,,,,,
3356,2014年01月01日至2014年09月30日,,432694,432694,,,11350,1194,2571,-8,-4252,5181.0,,,-20248,47647,-5360,-593,21446,,-34438,-5047,-10571,-50056,-28610,-23429,409265,4374,-137233,276406,,,-21761,0.0,703.0,,-5898.0,-21282,,0.0,-453149,2041,-195984,999528,803544,803544,0.0,,4500.0,-1174.0,-4500.0,0.0,,1174.0,-458049.0,4900.0,,,,,,,,,,,,,,,,
3356,2014年01月01日至2014年06月30日,,300828,300828,,,7657,727,2726,-35,-3139,,,,-27818,28293,1714,-423,-1779,,-37692,12347,-7394,-32739,-34518,-32211,268617,3080,-72656,199041,,0.0,-4729,,337.0,,-3931.0,-2694,,0.0,0,-74,196273,999528,1195801,1195801,0.0,0.0,4500.0,-1129.0,-4500.0,-3545.0,0.0,1129.0,0.0,0.0,,,2307.0,0.0,,,,,,,,,,,,
