公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付租賃款減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 短期借款減少,　　 存入保證金減少,　　 取得子公司股權,　　　　 非金融資產減損迴轉利益,　　 應付短期票券增加,　　　　　 其他流動資產（增加）減少,　　 其他投資活動
6141,2015年01月01日至2015年09月30日,,-294761,-294761,,,262617,3778,42624,26,39176,-15642,-508.0,20762,0.0,940,353773.0,,,0.0,15826,201476,-2591.0,-7366,48394,-4645,251094,,-140353,-54890,-65745,17742,-673.0,-243919,7175,360948,66187,16391,-41114,-37803,3661,,-9390.0,-99692,41539,-20280,-418,204764.0,-1273.0,115250,,100965.0,-149955.0,103896,-172905,15938.0,-3255.0,-39649.0,-15641.0,12,-160594,3062,-38621,199885,161264,161264,,,,,,,,,,,,
6141,2015年01月01日至2015年06月30日,,-191035,-191035,,,176091,2732,24413,-25,24348,-7059,-504.0,17272,0.0,624,237892.0,,,0.0,4709,296920,-5872.0,-12714,65255,-891,347407,,-85609,-141142,-64332,78,-454.0,-291459,55948,293840,102805,11827,-24824,-24457,65351,,-9390.0,-115043,40871,-11354,0,77089.0,-1269.0,-19096,,132333.0,-119964.0,101766,-76727,233.0,,,0.0,-34,37607,15711,99573,199885,299458,299458,,,,,,,,,,,,
6141,2015年01月01日至2015年03月31日,,-101292,-101292,,,89099,1207,19981,-21,12735,-2052,,8378,,315,129642.0,,,,16004,176158,,-21598,17849,-686,187727,,-30222,-98310,-45870,-195,-228.0,-174825,12902,142544,41252,4510,-13978,-1854,29930,,,-21310,17241,-8668,0,72281.0,-1175.0,58369,,61848.0,-11.0,0,-77362,357.0,,,0.0,-15,-15183,7628,80744,199885,280629,280629,,,,,,,,,,,,
6141,2014年度,,26437,26437,,,365936,3906,4375,-21,51361,-19179,,1140,-69.0,1225,,,,69.0,-14092,-65283,,-3147,-7987,602,-89838,,116807,-19879,53011,998,,150173,60335,469009,495446,16384,-53138,-44749,413943,,,-156050,17181,253,-855,14369.0,-4161.0,-289507,,,-23.0,317329,-376239,,,-106452.0,-15524.0,53,-327304,-17297,-220165,420050,199885,199885,,0.0,408674.0,-764.0,-160244.0,-143265.0,-3183.0,0.0,,,,
6141,2014年01月01日至2014年09月30日,,19062,19062,,,274387,2848,4362,-25,37999,-12560,0.0,1252,-69.0,913,309107.0,,,69.0,-12115,-92765,0.0,10518,-20433,-2932,-117658,,119787,-46154,51133,12428,-562.0,136632,18974,328081,347143,9716,-40785,-43751,272323,,0.0,-94525,2260,288,-855,-242821.0,-2510.0,-338163,,25359.0,-49995.0,149728,-181201,-2933.0,0.0,-106452.0,-5013.0,10,-170497,12308,-224029,420050,196021,196021,,,,,,,,,,,,
6141,2014年01月01日至2014年06月30日,,-9585,-9585,,,183997,1944,-212,-43,25725,-8090,0.0,1272,-53.0,610,205150.0,,,-66.0,-11902,61170,0.0,10732,15855,-2912,72877,,64451,-92201,10301,16750,-364.0,-1063,71814,276964,267379,5124,-24930,-33938,213635,,0.0,-66829,2245,294,-758,-149241.0,-695.0,-214984,,54362.0,-50002.0,71519,-178506,-1595.0,,,-5013.0,-31,-109266,22337,-88278,420050,331772,331772,,,,,,,,,,,,
6141,2014年01月01日至2014年03月31日,,-14696,-14696,,,93456,974,2536,-22,13605,-4499,,-165,,309,106194.0,,,,-12378,87674,,1592,-12091,-2040,62757,,-15914,-54983,-14933,8154,-174.0,-77850,-15093,91101,76405,2232,-13874,-12099,52664,,,-15852,346,298,-758,-125086.0,-695.0,-141747,,-13368.0,-70002.0,60598,0,-1503.0,,,-5013.0,-4,-29292,28721,-89654,420050,330396,330396,,,,,,,,,,,,
6141,2013年度,,-58233,-58233,,,415838,4491,-701,-9,46523,-10235,,-43,0.0,1203,,,,0.0,-1472,-150293,,23909,20755,-4934,-112035,,-2185,91624,-39546,312,,49616,-62419,392422,334189,10235,-46430,-8892,289102,,,-171272,27806,-292,-794,22088.0,-3823.0,-265057,,,20003.0,163295,-360916,,,-67145.0,-8253.0,-3420,-132057,-21734,-129746,549796,420050,420050,,-2226.0,454841.0,-589.0,-138770.0,236647.0,3110.0,-115378.0,,,,
6141,2013年01月01日至2013年12月31日,,-58233,-58233,,,415838,4491,-701,-9,46523,-10235,,-43,,1203,,,,,-1472,-150293,,23909,20755,-4934,-112035,,-2185,91624,-39546,312,,49616,-62419,392422,334189,10235,-46430,-8892,289102,,,-171272,27806,-292,-794,,-3823.0,-265057,,236647.0,,163295,-360916,3110.0,,-67145.0,-8253.0,-3420,-132057,-21734,-129746,549796,420050,420050,,0.0,454841.0,-589.0,-116682.0,,,-115378.0,-2226.0,20003.0,,
6141,2013年01月01日至2013年09月30日,,-92315,-92315,,,315781,3411,3578,-21,39967,-6558,,-286,0.0,901,,,,0.0,-375,-55808,,8439,-35540,-24214,-107498,,21993,35662,14737,1187,,73148,-34350,320213,227898,6558,-40410,-8520,185526,,,-132185,12049,-292,-794,,-3271.0,-80796,,155113.0,-40000.0,0,-175733,2981.0,,-67145.0,0.0,-3422,-191834,-23342,-110446,549796,439350,439350,,-2210.0,354563.0,-431.0,43697.0,,,-63628.0,,,,
