公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　 處分以成本衡量之金融資產,　　 舉借長期借款,　　 存入保證金增加,　　　　 股利收入,　　　　　 其他應收款（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 取得採用權益法之投資,　　 收取之股利,　　 應付短期票券減少,　　 發放現金股利,　　　　　 應付建造合約款增加（減少）,　　 短期借款減少,　　 發行公司債,　　 其他預付款項增加
2535,2014年01月01日至2014年09月30日,,484243,484243,,,6324,1984,,12600,42006,-20723,14439,137,-31160.0,,38000,,,0,-161955,-53098,,55607,-2353735,-12595,-149598,-2683682,,5211,-397998,,-101081,-3602,-512929,-10663,-11155,20394,-1086204,-3769886,-3731886,-3247643,20471,-40150,-60653,-3327975,,-60432,221686.0,-5000,-2870,0.0,-2548,4084,-3543,-21923,119568,,-304768,,-206667,,1657577,7502,-1543328,2855448,1312120,1312120,,,-750.0,18535.0,0.0,1489000.0,,-5392.0,-8308.0,,0.0,5392.0,,-514988.0,-74381.0,,1195000.0,-15278.0
2535,2014年01月01日至2014年06月30日,,439444,439444,,,4200,1259,,-420,24966,-17217,5262,88,-30483.0,,-56,,,0,-1621,34818,,206618,-597553,487,-209315,-569001,,-13789,-485675,,-76578,-4382,-528993,-22195,-1196,23912,-1400772,-1969773,-1969829,-1530385,17269,-25151,-30478,-1568745,,-54432,150009.0,-5000,-1565,0.0,-1758,2458,-3130,-15872,70710,,10000,,-204167,,1480833,2396,-14806,2855448,2840642,2840642,,,0.0,12289.0,0.0,480000.0,,,-2435.0,,,,,,-291876.0,,1195000.0,
2535,2014年01月01日至2014年03月31日,,121300,121300,,,2085,541,,-3180,10139,-12037,977,64,,0.0,4700,,,0,-29935,43228,,37477,-42722,18302,-184275,-163083,,58764,-71870,,-111529,-3235,19956,481,-655,-8980,-370798,-533881,-529181,-407881,12388,-10666,-1206,-407365,,-54432,,-5000,-596,,-921,1772,-1035,-9531,-69743,,151667,,-1667,,143333,2793,-330982,2855448,2524466,2524466,,,,6111.0,,30000.0,,,-5158.0,,,,,,-253730.0,-1231667.0,1195000.0,
2535,2013年01月01日至2013年12月31日,,1016714,1016714,,,7616,1804,-15000.0,-40,35659,-10245,8379,625,-12470.0,,60904,,,46452,-66125,660246,,-832310,1396242,-100341,541489,1482843,,-304576,350140,507359.0,28655,-7055,-997585,12353,-8853,-482747,-902309,580534,641438,1658152,8063,-36017,-79170,1551028,,-102000,6004.0,-60081,-7060,56.0,-2001,2155,-1821,-41315,-160746,,1165000,,-711999,20643.0,739430,6382,2136094,719354,2855448,2855448,,0.0,-1591.0,53637.0,38938.0,698375.0,0.0,-7470.0,-162810.0,,-1091.0,7470.0,0.0,-432589.0,,,,
2535,2013年01月01日至2013年09月30日,,887568,887568,,,5592,1346,0.0,-40,22699,-3932,6077,448,-12470.0,,58049,,,46452,-45077,337818,0.0,-843445,1368006,-173326,555530,1144799,,-306570,242335,634213.0,-74636,-5179,-924951,3028,-9570,-504084,-942562,202237,260286,1147854,3534,-23241,-70485,1057662,,-102000,6004.0,-51293,-5019,55.0,-1910,2011,-912,-34961,-142704,,935000,,-552000,0.0,341850,5322,1262130,719354,1981484,1981484,0.0,0.0,-1591.0,47390.0,38938.0,391439.0,0.0,-7470.0,-101159.0,2852.0,-1087.0,7470.0,0.0,-432589.0,,,,
2535,2013年01月01日至2013年06月30日,,482808,482808,,,3663,820,0.0,-40,15667,-1858,2798,365,-12470.0,,19643,,,46452,-93713,773719,0.0,-686632,1107971,-102355,581650,1627092,,-275231,118607,197185.0,-79712,-4541,-1361304,-21163,514,-502431,-1928076,-300984,-281341,201467,1854,-16353,-21616,165352,,-12000,6004.0,0,-2692,55.0,-1860,2065,-698,-28607,1205,,635000,0.0,-552000,0.0,174440,4142,345139,719354,1064493,1064493,0.0,0.0,-1591.0,12289.0,38938.0,91440.0,0.0,,,,,,,,,,,
2535,2013年01月01日至2013年03月31日,,437385,437385,,,1818,392,0.0,-40,8393,-324,1876,266,0.0,22279.0,34660,,,46452,-45215,1554491,0.0,-423458,966143,-49071,573381,2622723,,-314193,-9017,4647.0,-88530,-2179,-1588397,19248,266,-439883,-2418038,204685,239345,676730,320,-8486,-25,668539,,-6000,0.0,0,-510,0.0,-1560,2031,-394,-25430,-31863,,85000,0.0,-40000,0.0,45000,290,681966,719354,1401320,1401320,0.0,,,,,,,,,,,,,,,,,
2535,2012年01月01日至2012年12月31日,,837497,837497,,,21803,1427,-187459.0,-3491,27400,-2218,-20331,30360,-6708.0,,-146513,,,143056,52614,-1681769,,-227949,206075,56257,-411411,-1852431,,276093,826298,-357514.0,58455,6862,864685,-19305,2741,403393,2061708,209277,62764,900261,2825,-27539,-131010,744537,,-1170000,1347282.0,-530358,-1993,3688.0,-1279,2907,-2779,-6360,-349294,,-765000,,-200000,15013.0,-968121,-881,-573759,1293113,719354,719354,,1461.0,841.0,0.0,0.0,322000.0,196.0,-9598.0,10696.0,,0.0,9598.0,-10000.0,-330330.0,,,,
2535,2012年01月01日至2012年09月30日,,505254,505254,,,19931,1039,-110889.0,-3413,18961,-1535,-11032,30274,-6527.0,,-72078,,,160056,50268,-967293,-195182.0,-372257,-313428,-40197,101917,-1567408,,-2443,919768,-317038.0,-66410,7319,103636,-15175,1428,-246698,384387,-1183021,-1255099,-749845,2103,-17954,-86327,-852023,,-710000,887102.0,-526965,-1704,3456.0,-1580,2071,-2316,0,-340338,,816500,,0,-1371.0,696995,5729,-489637,1293113,803476,803476,0.0,1461.0,-750.0,0.0,0.0,222000.0,196.0,-9598.0,8708.0,0.0,0.0,9598.0,-10000.0,-330330.0,,,,
2535,2012年01月01日至2012年06月30日,,294481,294481,,,18047,649,-78000.0,-3318,11851,-1256,-4540,30024,-6124.0,,-31206,,,30300,34923,-872742,-75426.0,-554457,-185811,-39400,152130,-1510483,,-35498,876597,-105682.0,-74559,25000,26667,-50472,938,-288833,374158,-1136325,-1167531,-873050,1753,-11000,-74443,-956740,,-710000,867198.0,-526965,-551,3289.0,-79,338,-740,0,-367510,,320500,40000.0,0,38468.0,499013,6104,-819133,1293113,473980,473980,0.0,1461.0,0.0,0.0,0.0,100000.0,45.0,,,,,,,,,,,
