公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金減少,　　 發放現金股利,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得以成本衡量之金融資產,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　　　　 其他金融資產（增加）減少,　　 處分以成本衡量之金融資產,　　 處分無活絡市場之債券投資
6155,2015年度,,122163,122163,,,46474,865,0.0,-1814,6015,-16539,-12295.0,0.0,-6420,16286.0,,,19360.0,875,36276,-4099,817,-6262,2370,913,432,50682,,241.0,-9833,-5263,3049,-2431,-341.0,-14578,36104,52390,174553,16539,12295.0,-6015,-36984,160388,,-136350.0,0.0,78504.0,-16073,0.0,-2560.0,0.0,-158.0,-76637,,243000.0,0.0,-3.0,-100790.0,-41,142166,-4182,221735,716111,937846,937846,,,,,,,,,,
6155,2015年01月01日至2015年09月30日,,107067,107067,,,35020,650,,-4367,4310,-10760,-11021.0,0.0,-6420,7412.0,,,19360.0,-990,25686,303,-6096,-7642,2324,-475,172,32642,,241.0,-7953,2814,-4526,955,-143.0,-8612,24030,31442,138509,10760,11021.0,-4310,-30126,125854,,-136162.0,-23585.0,,-13687,0.0,-2540.0,0.0,-106.0,-176080,,149000.0,,-3.0,-100790.0,-41,48166,2391,331,716111,716442,716442,0.0,0.0,,,,,,,,
6155,2015年01月01日至2015年06月30日,,28012,28012,,,23472,361,,-5944,2822,-7686,,0.0,-6420,6605.0,,,19360.0,679,33553,-71,635,1751,1784,774,435,58900,,,-4762,-3112,-4416,-1202,-92.0,-13584,45316,51921,79933,7686,,-2822,-19391,65406,,-132955.0,-31633.0,,-8021,0.0,-2540.0,0.0,-106.0,-175255,,110000.0,0.0,,,-41,109959,-9647,-9537,716111,706574,706574,,0.0,,,,,,,,
6155,2015年01月01日至2015年03月31日,,9352,9352,,,11809,185,,-254,1225,-4062,,,-6420,2483.0,,,19360.0,-345,22852,-447,911,9392,1259,903,248,54133,,,-1388,-14324,-4525,2336,-43.0,-17944,36189,38672,48024,4062,,-1225,-560,50301,,,0.0,13314.0,-2113,,-2540.0,,-106.0,8555,,40000.0,0.0,,,-41,39959,-5581,93234,716111,809345,809345,,0.0,,,,,,,,
6155,2014年度,,140547,140547,,,51086,752,0.0,-14283,6884,-17415,-7474.0,-683.0,0,18867.0,,,-5640.0,-2119,1130,7727,-574,16462,-1579,-830,-148,14429,,0.0,10059,7623,7602,-177,74.0,25181,39610,58477,199024,17415,7474.0,-6884,-35930,181099,,0.0,-186879.0,0.0,-17992,3054.0,0.0,245.0,-90.0,-201662,,0.0,-127100.0,0.0,-132675.0,-1449,-261224,17555,-264232,980343,716111,716111,,,,,,,,,,
6155,2014年01月01日至2014年09月30日,,84097,84097,,,39154,564,,-5021,4827,-11813,-7447.0,7.0,0,20271.0,,,-5640.0,-2221,9711,-4416,-857,16145,-543,-964,134,11349,,0.0,106,10251,901,2754,41.0,14053,25402,45673,129770,11813,7447.0,-4827,-33225,110978,,0.0,-277768.0,,-7414,39.0,0.0,245.0,-39.0,-284937,,129900.0,,0.0,-132675.0,-265,-3037,4390,-172606,980343,807737,807737,0.0,3.0,,,,,,,,
6155,2014年01月01日至2014年06月30日,,40624,40624,,,27425,375,,-8743,3094,-8955,,7.0,0,13203.0,,,-5640.0,-1802,22257,590,352,21570,-935,96,319,36807,,,556,-9491,-584,-1959,25.0,-11453,25354,38557,79181,8955,,-3094,-19087,65955,,0.0,-80848.0,,-4384,37.0,0.0,84.0,-39.0,-85150,,0.0,-26100.0,,,-35,-26132,-5021,-50348,980343,929995,929995,,3.0,,,,,,,,
6155,2014年01月01日至2014年03月31日,,33784,33784,,,14289,187,,-6176,1588,-4333,,,0,5555.0,,,0.0,-288,25925,263,-642,5777,-574,89,103,30653,,,716,864,-3390,-4161,7.0,-5964,24689,30244,64028,4333,,-1588,-779,65994,,,-62325.0,0.0,-2515,,-2.0,,0.0,-64842,,0.0,-47100.0,,,-35,-47132,1856,-44124,980343,936219,936219,,3.0,,,,,,,,
6155,2013年度,,136303,136303,,,70125,738,481.0,-14326,4310,-6580,-3689.0,28.0,-1527,,,,4527.0,1850,30366,-153,685,-2266,609,332,-232,35718,,,-21461,18786,6773,853,,4621,40339,91932,228235,6580,3689.0,-4310,-21573,212621,,0.0,,,-61679,12.0,0.0,-138.0,-113.0,-68043,,251600.0,0.0,,-94046.0,-921,156633,14688,315899,664444,980343,980343,-6125.0,,,2033.0,51593.0,-330.0,0.0,,,
6155,2013年01月01日至2013年12月31日,,136303,136303,,,70125,738,481.0,-14326,4310,-6580,-3689.0,28.0,-1527,,,,4527.0,1850,30366,-153,685,-2266,609,332,-232,35718,,,-21461,18786,6773,853,,4621,40339,91932,228235,6580,3689.0,-4310,-21573,212621,,0.0,,,-61679,12.0,-138.0,,-113.0,-68043,,251600.0,,,-94046.0,-921,156633,14688,315899,664444,980343,980343,-6125.0,0.0,,2033.0,51593.0,-330.0,,,,0.0
