公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借銀行同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 應收證券融資款（增加）減少,　　　　　 客戶保證金專戶（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 融券保證金增加（減少）,　　　　　 應付融券擔保價款增加（減少）,　　　　　 期貨交易人權益增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 營業保證金減少,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款增加,　　 其他應收款減少,　　 因合併產生之現金流入,　　 附賣回票券及債券投資減少,　　 其他金融資產減少,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 其他借款減少,　　 附買回票券及債券負債減少,　　 存入保證金增加,　　 存入保證金減少,　　 庫藏股票買回成本,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 以成本衡量之金融資產減資退回股款,　　　　　 負債準備增加（減少）,　　 營業保證金增加,　　 其他資產減少,　　 短期借款減少,　　 其他借款增加,　　 附買回票券及債券負債增加,　　 發放現金股利,　　 取得子公司股權,　　 取得以成本衡量之金融資產,　　 取得無形資產,　　 附賣回票券及債券投資增加,　　 其他金融資產增加,　　 應付短期票券減少,　　 其他非流動負債減少,　　　　 處分投資性不動產損失（利益）,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動負債增加,　　　　 不動產、廠房及設備轉列費用數,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 非金融資產減損損失,　　　　 其他項目,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 央行及同業融資減少,　　 處分以成本衡量之金融資產,　　 處分子公司,　　　　 金融資產減損損失
1409,2016年01月01日至2016年09月30日,,897317,897317,,,1244061,5932,-39752,500030,-1063376,-31186,3511,-15492,108809,,,,9153036,557304,-662271,205350,-58573,401109,-56732,382603,290614,,10212440,,-1571777,1067137,-113493,-75179,58417,-246638,1483324,-158325.0,443466,10655906,11365622,12262939,1107131,-505104,-262848,12602118,,-2094945,1769238,-42463220,32291318,-1358499,922.0,30597.0,-5123.0,0,-324001.0,,,1385080.0,,0.0,-10767582,,1795146.0,725322.0,,-2632350,-711528.0,202.0,0.0,0.0,,-211453,-1432453,-69333,332750,5116002,5448752,5448752,15830.0,,0.0,324739.0,,,0.0,-404602.0,0.0,0.0,,,-322572.0,,0.0,,0.0,,6810.0,,,709716.0,,-3410.0,,-7344.0,,2991.0,-12593.0,589.0
1409,2016年01月01日至2016年06月30日,,581479,581479,,,835608,3933,-47824,336424,-716922,3560,2889,-15129,40972,,,,9454873,304362,-763924,328566,-33302,313444,-123792,80110,904302,,10464639,,-1792814,1118601,-237797,-219779,33172,-495139,-423871,-133902.0,-2151529,8313110,8756621,9338100,727707,-345220,-179380,9541207,,-1367251,1332661,-11552030,2423011,-792095,171.0,30597.0,-436.0,0,-240976.0,,,700280.0,68646.0,0.0,-9033279,,628747.0,0.0,,-804942,-99440.0,,-193.0,0.0,,-162548,-722381,-18917,-233370,5116002,4882632,4882632,,,0.0,353992.0,,,0.0,,0.0,0.0,,0.0,0.0,-304035.0,,,,,20030.0,,,443511.0,,,19753.0,,,2991.0,-12593.0,
1409,2016年01月01日至2016年03月31日,,266310,266310,,,415975,3112,-47329,180020,-359919,3411,1495,-10309,65434,,,,366464,43252,-220298,228539,-19543,445503,-73612,429385,399034,,1598724,,-1020330,810705,-272005,-285349,19405,-598902,-103664,-70943.0,-1521083,77641,329531,595841,364202,-169769,-18116,772158,,-1153737,673502,-1301961,1073134,-447544,,597.0,,121,-464753.0,,,1949794.0,,0.0,191287,,1566986.0,535333.0,,-2608144,-621496.0,4509.0,0.0,,,11524,-1083144,-33750,-153449,5116002,4962553,4962553,,,0.0,52632.0,,,0.0,,0.0,0.0,,,-213242.0,,,,0.0,,28144.0,,,251890.0,,,19753.0,,,2991.0,,
1409,2015年度,,1077051,1077051,,,1692455,22075,-34712,767754,-1508705,47177,2653,-13344,-210931,,,,1015993,-280815,351524,661384,20003,852053,10510,-440312,-1496468,,693872,,-124108,-244620,-62262,-117775,-19986,449317,1360828,-48361.0,1193033,1886905,3072141,4149192,1506793,-768378,-231931,4655676,,-4192512,2954141,-16967376,14509543,-3306140,29050.0,3428.0,,8577,,6709.0,,3295483.0,110647.0,0.0,-3302066,,,311750.0,,-563759,,3129.0,0.0,-397031.0,,-303764,-1687643,32559,-301474,5417476,5116002,5116002,0.0,,0.0,407642.0,-211184.0,0.0,282334.0,-696899.0,-93107.0,-6650.0,,,0.0,0.0,-19112.0,0.0,0.0,0.0,,,,1185236.0,129160.0,291654.0,-1608.0,-153000.0,0.0,,,
1409,2015年01月01日至2015年09月30日,,1169524,1169524,,,1263451,16309,-15623,585261,-1138162,30813,-204,-11407,-183761,,,,559501,-349889,-16984,1412038,-5959,593095,19365,-78113,-178971,,1954083,,814456,952823,14179,-177460,5668,118534,638421,-38438.0,2328183,4282266,4828943,5998467,1109968,-581168,-207196,6320071,,-3449980,2446062,-15408722,13186541,-1712669,2246.0,,,6380,-572602.0,,,271283.0,,-571963.0,-5982012,,1673098.0,797067.0,,-2916500,,,-7654.0,-347806.0,,-303323,-382900,51147,6306,5417476,5423782,5423782,0.0,,-1572.0,,,,1512941.0,-696899.0,-93107.0,-3500.0,,,-170533.0,,-717.0,0.0,-2983.0,0.0,,,,546677.0,,,,,,,,
1409,2015年01月01日至2015年06月30日,,480702,480702,,,832876,10873,-25764,388724,-769145,20167,-335,-9158,-25345,,,,572417,197082,-91445,68900,-57144,647674,-170093,17001,543535,,1727927,,183994,592160,-365371,-402121,56793,-43259,-225289,-38209.0,-241302,1486625,1909518,2390220,877984,-401795,-131035,2735374,,-2615621,1613015,-12266248,11053236,-1129548,1812.0,-1572.0,,3785,-392231.0,,,-375303.0,,-508602.0,-5098841,,460892.0,628027.0,,-622833,,,-3106.0,-81828.0,,-295167,1270585,-23851,-1116733,5417476,4300743,4300743,,,,,,0.0,1268654.0,,-92859.0,-3500.0,,,-478064.0,,,0.0,0.0,0.0,8805.0,,,422893.0,,,,,,,,
1409,2015年01月01日至2015年03月31日,,279884,279884,,,415067,5420,-45002,194050,-374332,9841,161,-4370,61531,,,,209521,81964,-232447,-521583,-30861,312413,-105152,-50853,-129597,,-466595,,646196,866235,-447433,-490616,30778,-31365,-992491,-41184.0,-459880,-926475,-664109,-384225,347723,-187280,-17142,-240924,,-746983,653465,-7444386,5697210,-549129,0.0,,,2124,-445826.0,,,1480152.0,0.0,-225547.0,-1891530,,1830371.0,1538949.0,,-2368167,0.0,,-671.0,0.0,,7483,1507307,-10683,-635830,5417476,4781646,4781646,,,-26572.0,,,,533905.0,,-53641.0,-3500.0,,0.0,-273014.0,,,0.0,-9524.0,0.0,19078.0,,,262366.0,,,,,,,,
1409,2014年度,,2036015,2036015,,,1688117,22423,23010,751669,-1441133,-827,44904,-86224,148207,762188.0,,,-348138,-160045,653122,-291569,-70687,-714144,-1189438,90001,-4526879,,-6557777,,610816,-1211761,7399,3744,70748,-430539,6165435,-41401.0,5174441,-1383336,-621148,1414867,1440375,-743776,-240524,1870942,,-2632484,2484585,-4693682,1754616,-1132586,122105.0,-344.0,0.0,72542,,,0.0,26266.0,,-752797.0,-2619709,,,,0.0,0,,0.0,-9848.0,-728447.0,0.0,-107795,-616307,25268,-1339806,6757282,5417476,5417476,29395.0,,,0.0,-634781.0,1033065.0,543552.0,-593214.0,-33342.0,0.0,0.0,0.0,-65301.0,-67857.0,-17640.0,-387958.0,-80.0,2168056.0,,0.0,,,,,,,,,,
1409,2014年01月01日至2014年09月30日,,1834123,1834123,,,1227594,17012,3911,562814,-1068001,-8003,6024,-71667,60708,342434.0,,,287685,-143368,592925,-510520,-81690,-986236,-1434834,-330976,-3248277,0.0,-5855291,,-968045,-872343,-190118,-213466,81351,-674,3627326,-44249.0,1419782,-4435509,-4093075,-2258952,1063142,-547480,-262673,-2005963,,-1938964,1915225,-1256683,375000,-733380,815.0,-344.0,0.0,72134,-8440.0,0.0,,408802.0,,-491250.0,427394,,564994.0,1294773.0,0.0,-771038,,0.0,-11518.0,-728446.0,,-2452,359359,4534,-1214676,6757282,5542606,5542606,29395.0,,,0.0,0.0,0.0,631289.0,-593214.0,-18392.0,,,0.0,-112892.0,,-6637.0,-387958.0,-80.0,2168056.0,,,,,,,,,,,,
1409,2014年01月01日至2014年06月30日,,1336648,1336648,,,816009,11313,-33051,371105,-696719,16452,6367,-20787,43858,126589.0,,,-466938,-13987,-866303,-558106,-49259,-508406,-1244904,128754,-2043300,0.0,-5622449,,-70650,739031,-350228,-390079,49319,-389601,3538647,-40505.0,3085934,-2536515,-2409926,-1073278,675337,-366554,-155290,-919785,,-1565811,1406741,-903818,175000,-581832,463.0,-344.0,0.0,73502,36399.0,,,-906207.0,-254537.0,-498440.0,-850908,,437925.0,584665.0,0.0,236975,260145.0,0.0,-12488.0,-382822.0,,-44467,1067363,878,-702452,6757282,6054830,6054830,0.0,,,,,,,,-18392.0,,,,,,,-387958.0,-80.0,2168056.0,5822.0,,,,,,,,,,,
