公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 非金融資產減損損失,　　　　　 應收票據（增加）減少,　　 收取之股利,　　 短期借款增加,　　 發放現金股利,　　　　　 其他應付款－關係人增加（減少）,　　 其他金融資產減少,　　 其他非流動資產增加,　　　　　 持有供交易之金融資產（增加）減少,　　 取得無形資產,　　 其他非流動負債減少,　　 現金增資,　　 員工執行認股權,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 庫藏股票買回成本,　　　　 其他項目
3437,2016年01月01日至2016年09月30日,,56143,56143,,,204319,5070,12636,-57127,21,-9145,1370,974,,,,-258322,143156,-30674,-181180,-3090,-300457,,-6094.0,44215,321257,-113262,-6557,,,208514,-91943,66112,122255,9751,-21,-78241,53807,,-438233,3356,,-265.0,-288142,,0.0,0.0,0.0,0.0,0.0,-209834,-2766,-446935,2216625,1769690,1769690,-63.0,0.0,-13982.0,63.0,0.0,-214434.0,-29923.0,147000.0,,43635.0,0.0,,0.0,4600.0,,158055.0,-1122.0,0.0,0.0
3437,2016年01月01日至2016年06月30日,,9983,9983,,,132409,3381,7807,-39474,14,-6594,913,974,,,,187671,120051,6088,-6959,-6884,304076,,,-261323,172853,-200786,-3506,,,-322136,-18060,81370,91353,6930,-14,-44653,53616,,-350136,3356,,,-200557,,,,,,,4600,-1009,-143350,2216625,2073275,2073275,,,-14563.0,,,,-28622.0,147000.0,-777.0,18672.0,,,,4600.0,,99430.0,-752.0,0.0,
3437,2016年01月01日至2016年03月31日,,40166,40166,,,65882,1677,4200,-27730,0,-3491,457,338,,,,173601,80373,-13314,8736,-6971,245566,,-6094.0,-163947,17134,-137942,-1572,,,-302582,-57016,-15683,24483,3638,0,-2211,25910,,-274494,3355,0.0,-689.0,-124828,,0.0,0.0,0.0,0.0,0.0,4350,-164,-94732,2216625,2121893,2121893,0.0,0.0,4884.0,0.0,0.0,0.0,-9776.0,147000.0,0.0,-1743.0,0.0,,0.0,4350.0,,41333.0,-385.0,0.0,
3437,2015年度,,411857,411857,,,263703,9050,1520,33702,919,-17908,1826,-1458,,,,379665,175020,10806,81820,-3883,731670,,-82528.0,-392623,-255756,-16587,-13625,,,-810191,-78521,212833,624690,17775,-919,-146147,495399,,-285690,1600,-147000.0,,-431301,,0.0,0.0,0.0,0.0,0.0,-379743,-601,-316246,2532871,2216625,2216625,0.0,0.0,88197.0,0.0,0.0,-220032.0,-47429.0,0.0,-211.0,45.0,0.0,,0.0,10590.0,,291354.0,-1643.0,-170301.0,
3437,2015年01月01日至2015年09月30日,,286367,286367,,,196887,6816,437,35356,879,-13888,3294,-1458,,,,484556,155090,2004,91028,1485,778595,,-56841.0,-399447,-302360,-79339,-4017,,,-913989,-135394,92929,379296,13482,-879,-144785,247114,,-191046,1600,0.0,-344.0,-189790,,0.0,0.0,0.0,0.0,0.0,-387823,1218,-329281,2532871,2203590,2203590,0.0,0.0,44432.0,0.0,0.0,-220032.0,-70719.0,0.0,0.0,0.0,0.0,,0.0,2510.0,,228323.0,-1266.0,-170301.0,0.0
3437,2015年01月01日至2015年06月30日,,185273,185273,,,130741,4759,-1447,-26993,879,-9699,2212,-1458,,,,495128,103293,20002,112612,-3031,729412,,0.0,-305737,-341053,-112864,-6309,,,-818613,-89201,9793,195066,11017,-879,-131914,73290,,-158585,1600,0.0,-199.0,-157184,,0.0,0.0,0.0,0.0,0.0,-12802,-1115,-97811,2532871,2435060,2435060,0.0,0.0,29651.0,0.0,0.0,,-51743.0,,,-28243.0,0.0,,0.0,2510.0,,98994.0,-907.0,-15312.0,
3437,2015年01月01日至2015年03月31日,,150155,150155,,,62180,2773,-432,-12219,92,-4831,1130,0,,,,422082,-36581,-8166,35089,-4415,405255,,-41977.0,-143265,-269260,-60205,-6858,,,-589899,-184644,-135951,14204,4669,-92,-456,18325,,-83737,0,0.0,25.0,-83712,,0.0,0.0,0.0,0.0,0.0,1470,-464,-64381,2532871,2468490,2468490,0.0,0.0,-2754.0,0.0,0.0,0.0,-67815.0,,0.0,0.0,0.0,0.0,0.0,1470.0,,48693.0,-519.0,,
3437,2014年度,,565407,565407,,,271232,12728,-2374,107031,538,-15458,9740,-414,382960.0,,,-324356,-201237,-2120,-53601,1381,-673480,,-77057.0,18323,267931,49461,-5948,-1429.0,,419580,-253900,129060,694467,14546,-538,-31461,677077,,-294282,464,0.0,0.0,-255592,,0.0,0.0,0.0,0.0,0.0,790450,1771,1213706,1319165,2532871,2532871,-63.0,0.0,-93547.0,63.0,0.0,-325000.0,168299.0,39000.0,-774.0,0.0,0.0,0.0,1104480.0,10970.0,,,,,
3437,2014年01月01日至2014年09月30日,,433152,433152,,,210637,9489,-3321,43674,264,-8221,9094,-408,261145.0,,,-140654,-154294,-24910,-65105,4112,-448721,,-34757.0,-123569,179543,-96179,10003,-1089.0,0.0,28862,-419859,-158714,274438,8632,-264,-29049,253820,,-203180,415,0.0,0.0,-164455,,0.0,0.0,0.0,,0.0,779480,197,869042,1319165,2188207,2188207,-63.0,0.0,-67870.0,63.0,0.0,-325000.0,94910.0,39000.0,-690.0,0.0,0.0,0.0,1104480.0,,,,,,
3437,2014年01月01日至2014年06月30日,,358682,358682,,,149434,5953,-2958,4154,110,-4714,2453,-408,154024.0,,,130731,-169773,3636,-1005,-3103,-126278,,0.0,-153172,-38190,-82752,2871,-738.0,,-181026,-307304,-153280,205402,5144,-110,-15838,194598,,-106431,415,0.0,0.0,-67388,,,,,0.0,,0,-1102,126108,1319165,1445273,1445273,,,-48677.0,,,,90955.0,39000.0,-372.0,-38087.0,,,,,,,,,
