公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 應付款項減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 現金增資,　　 其他籌資活動,　　　　　 應付帳款－關係人增加（減少）,　　 存出保證金增加,　　 處分無形資產,　　 其他金融資產減少,　　 取得採用權益法之投資,　　 處分子公司股權（未喪失控制力）,　　 其他非流動資產減少,　　 非控制權益變動
2405,2015年度,,-239075,-239075,,,33585,91683,-293,-573,3901,-10220,-4475.0,3168.0,1502,0.0,68,-24318,27022,121050.0,,,339,2130,549672,7419,228836,-79972,-6678,701746,,-554897,-114429,-6013,-30141,229,-705251,-3505,117545,-121530,-3901,-3536,-128967,,-5000,9404,1756.0,-4828,623,1079.0,-2088,0.0,47900.0,-21.0,10266,4475.0,63566,,-280639,-926,-1200.0,0.0,0.0,-282765,73981,-274185,2425022,2150837,2150837,,,,,,,,,,,,,,,
2405,2014年度,,-260687,-260687,,,54379,120462,-19712,-339,10881,-12355,-4362.0,12426.0,-2256,-15431.0,150588,63712,3590,361583.0,,,-6646,3067,3429379,35953,67086,-41936,-1922,3484981,,-1795007,-268221,-51487,17627,-4375,-2101463,1383518,1745101,1484414,-10881,-14638,1458895,,-300623,297584,1300.0,-11555,5098,3065.0,-8689,96404.0,185165.0,-12.0,10703,4362.0,282802,,-620334,370,-14766.0,-242459.0,-58055.0,-935244,144341,950794,1474228,2425022,2425022,,,,,,,,,,,,,,,
2405,2014年01月01日至2014年09月30日,,-226219,-226219,,,41831,97054,12229,-3063,9490,-8173,-4362.0,11340.0,-2358,,150679,22110,3511,,,,-6646,-1780,3553943,14613,74585,-17344,-10696,3606675,,-1850096,-230172,-39417,-5356,554,-2124087,1482588,1812876,1586657,-9490,-7184,1569983,,-278638,269120,1300.0,-9330,4911,,-8254,,,44.0,8344,4362.0,131485,,-566990,134,-11850.0,-242459.0,-39441.0,-860606,48026,888888,1474228,2363116,2363116,,0.0,0.0,330288.0,0.0,0.0,0.0,400.0,1333.0,0.0,138293.0,,,,
2405,2014年01月01日至2014年06月30日,,-118847,-118847,,,27934,74449,-13101,-4539,7397,-4196,,10158.0,-1077,,150713,29300,611,,,,-6646,4621,3095819,13458,2424,-17325,-18685,3073666,,-1704629,-225753,-44489,-20348,221,-1994998,1078668,1356317,1237470,-7397,-2987,1227086,,-244719,240379,,-2827,1593,,-8243,,,1356.0,4118,,4739,,-455564,97,-11850.0,,-2168.0,-469485,9086,771426,1474228,2245654,2245654,,0.0,,277649.0,0.0,,,0.0,,0.0,13082.0,,,,
2405,2014年01月01日至2014年03月31日,,-114316,-114316,,,14063,43316,42634,5143,3730,-1755,,4567.0,-1077,,151776,16908,-1333,,,,-6646,3098,1185860,6588,-311884,-39147,-20715,817154,,-978410,-169854,-66440,-24013,8445,-1230272,-413118,-135146,-249462,-3730,-1528,-254720,,-226135,218240,,-1313,1142,,-5250,,54873.0,-361.0,1767,,42963,,7782,-220,-10584.0,,-2168.0,-5190,61538,-155409,1474228,1318819,1318819,,0.0,,277972.0,0.0,,,,,,,,,,
2405,2013年度,,509955,509955,,,59021,126886,20265,6646,14921,-4661,-9550.0,32397.0,-697,0.0,6401,165142,-1454,,,,-574,-3610,-1599416,-22018,254154,-200430,-286029,-1857923,,443736,235600,-3856,46094,-8087,710296,-1147627,-725286,-215331,-14921,-6084,-236336,,-73041,42481,2295.0,-25117,7038,2085.0,-9224,0.0,173540.0,-954.0,4519,9550.0,133172,,409400,333,-7182.0,-81291.0,-29141.0,275345,47914,220095,1254133,1474228,1474228,,1055.0,5969.0,422341.0,-3191.0,72000.0,-88774.0,,,,,,,,
2405,2013年01月01日至2013年12月31日,,509955,509955,,,59021,126886,20265,6646,14921,-4661,-9550.0,32397.0,-697,,6401,165142,-1454,,,,-574,-3610,-1599416,-22018,254154,-200430,-286978,-1858872,,443736,235600,-3856,46094,-8087,710296,-1148576,-726235,-216280,-14921,-6084,-237285,,-73041,42481,2295.0,-25117,7038,,-9224,,173540.0,2080.0,4519,9550.0,134121,,409400,333,-7182.0,-81291.0,-29141.0,275345,47914,220095,1254133,1474228,1474228,,1055.0,5969.0,422341.0,-3191.0,72000.0,-88774.0,0.0,,,,0.0,0.0,,
2405,2013年01月01日至2013年09月30日,,384173,384173,,,46696,77591,14815,2306,8830,-3160,-9520.0,9104.0,686,,10515,108458,4150,,,,-574,-6810,-1357030,-14852,-185240,-166380,-135622,-1866508,,1097084,53697,-4737,17197,-2721,1161006,-705502,-428020,-43847,-8830,-5094,-57771,,0,1754,2295.0,-9741,779,,-7917,,,-188.0,3109,9520.0,87099,,647313,333,0.0,-81291.0,0.0,549581,34931,613840,1254133,1867973,1867973,,1054.0,5957.0,277482.0,486.0,72000.0,-88774.0,0.0,2084.0,52.0,85352.0,,,,
2405,2013年01月01日至2013年06月30日,,220902,220902,,,28679,54347,6708,563,4744,-2153,,0.0,-143,,7741,68247,1242,,,,-574,180,-1432802,-4388,-120005,-121039,32889,-1645739,,829809,26450,33032,20794,-10318,900424,-745315,-574485,-353583,-4744,-3848,-362175,,0,1754,,-515,735,,-1794,,,-2870.0,2065,,-21682,,222016,48,0.0,,0.0,222064,67273,-94520,1254133,1159613,1159613,,855.0,,170830.0,368.0,,,289.0,,52.0,-21109.0,,,,
2405,2013年01月01日至2013年03月31日,,23079,23079,,,14859,28695,2901,-1097,2339,-848,,0.0,11,,0,2705,-519,,,,-574,-940,95807,-4625,31874,-26180,-4968,90394,,-189433,-75576,17354,72663,-547,-175293,-84899,-35232,-12153,-2339,-3474,-17966,,0,0,,-2893,7,,-265,,-31200.0,-277.0,824,,-33804,,23753,3,0.0,,0.0,23756,54049,26035,1254133,1280168,1280168,,621.0,,49667.0,246.0,,,,,,,,,,
