公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 其他金融負債增加,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金增加,　　 其他金融負債減少,　　 處分子公司股權（未喪失控制力）,　　　　 股利收入,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 取得投資性不動產,　　 償還公司債,　　 採用權益法之被投資公司減資退回股款,　　 取得持有至到期日金融資產,　　 預付投資款增加,　　 短期借款增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他金融資產減少,　　　　 未實現外幣兌換損失（利益）,　　 其他非流動資產減少,　　 其他非流動負債減少,　　　　 投資性不動產公允價值調整損失(利益),　　 取得子公司股權,　　　　 買回應付公司債損失（利益）,　　 其他籌資活動
2609,2016年01月01日至2016年09月30日,,-13470239,-13470239,,,4835351,32955,56715,-60262,1518844,-94845,60530,-54703,-7450,,,356995.0,505849,,,,40338,9761,-380481,21847,-104229,,-198395,501924,-109235,,-4805,-667093,-502922,-168662,,-734465,27810,-83594,,-2234280,-2343515,4404308,-9065931,95706,211434,-1556592,-165991,-10481374,,-99720,197999,-18884000,18890981,,-1757527,109914,1144122.0,-109217,0.0,-72837.0,-287390,,-688303,,,1700000,,,18267785,-13676092,-283397,,,-116852,1148385,-126569,-10147861,23749249,13601388,13601388,,,0.0,-365670.0,,-20703.0,4831.0,,,-3309000.0,,,,1049479.0,,6747823.0,-100549.0,174541.0,-440212.0,0.0,-59157.0,-211.0,-250811.0,58970.0,-1807900.0
2609,2016年01月01日至2016年06月30日,,-8848872,-8848872,,,3223587,20160,7791,-41246,1045485,-67291,22848,-48821,-7111,,,119328.0,533459,,,,-40632,3217,-664919,6549,-75881,,-43627,529208,-286085,,-3195,1126013,-414752,72378,,-742341,-24564,15352,,-43346,-329431,4380174,-4468698,70363,55403,-930059,-114200,-5387191,,-99720,197999,-16070000,16076641,,-957463,52977,33603.0,-104100,,-114474.0,-235261,,-989580,,,0,,,14561388,-12226664,-189332,,,-118573,-2727847,-23312,-9127930,23749249,14621319,14621319,,,,-196075.0,,-222.0,4831.0,,,-3309000.0,,,,869084.0,,4709605.0,-72237.0,225387.0,-157083.0,0.0,-59964.0,-249.0,-250811.0,58970.0,-1807900.0
2609,2016年01月01日至2016年03月31日,,-3800334,-3800334,,,1607166,10497,617,13254,485721,-35244,1809,-34436,-3781,,,293129.0,308661,,,,-4141,-22608,325925,92155,310808,,-284468,-267352,150319,,-3299,-544862,-663117,-374424,,-370535,-12548,2464,,-2045870,-1895551,543292,-3257042,36603,14080,-502438,-34150,-3742947,,-96570,100132,-10840000,10843780,,-981267,29263,35337.0,-101572,-4895.0,-3876.0,-36910,,-1056578,,30440.0,0,,,7011853,-4141078,-95123,,,-2909,-960448,-31707,-5791680,23749249,17957569,17957569,,,,-147955.0,,,,,,-3309000.0,,,,,,2438843.0,-79549.0,0.0,-208263.0,0.0,-57787.0,-287.0,-248889.0,,
2609,2015年度,,-7942527,-7942527,,,6330124,29414,7030,165423,1812876,-218342,-134045,-290484,-9327,,24675.0,,886151,,,,-303,146214,1512322,47521,1444552,,73223,-215020,3008509,,3473,-523127,81297,184383,,-700699,-195040,146799,,-1002187,2006322,10975180,3032653,224834,245912,-1782876,-351269,1369254,,-2407456,3278715,-20079606,20088933,-25000.0,-9844229,393106,216366.0,-40982,,,-558008,,-9076027,,,99872,0.0,4000000.0,30109509,-21798660,-347692,,-79164.0,-182281,9726886,45581,2065694,21683555,23749249,23749249,,,-1136657.0,-153460.0,,-50915.0,,,,-5924000.0,0.0,,,4002762.0,,8968858.0,727.0,1028336.0,462318.0,10455.0,,-46040.0,,,
2609,2015年01月01日至2015年09月30日,,-4214507,-4214507,,,4685701,21181,3614,88130,1338259,-171339,17397,-274354,-4692,,,557296.0,565063,,,,-47438,83875,899490,-78122,779978,,-85439,-270477,1281867,,-1334,557425,-233591,34896,,-635215,-129468,186211,,-239551,1042316,8354366,4139859,166185,237743,-1218249,-235546,3089992,,-2308966,2952528,-8086489,7831764,0.0,-8615086,382742,226703.0,-24607,-1487517.0,,-423570,,-11000138,,,4998309,,0.0,17887963,-16540512,-246623,,,-82630,4327901,81686,-3500559,21683555,18182996,18182996,,,-1450423.0,-88989.0,,-50503.0,,,,-2674000.0,0.0,,,1082974.0,,7312050.0,-18475.0,,536297.0,2783.0,-8591.0,,,,
2609,2015年01月01日至2015年06月30日,,73446,73446,,,3073110,13442,667,-64683,888341,-116427,-35690,-209892,-4142,,,110978.0,449947,,,,193357,65621,349700,-7821,385458,,-67190,-4087,915038,,3715,98529,-380826,-196706,,-514096,-84216,138716,,-955948,-40910,3805408,3878854,141832,75053,-752423,-182027,3161289,,-1794527,2057781,-6132387,6135432,0.0,-6214580,334909,29216.0,-20495,-951810.0,,-182410,,-6730906,,979561.0,6397200,,,8893760,-11556075,-195888,-204152.0,,-23193,1783012,-141033,-1927638,21683555,19755917,19755917,,,,,,-1231.0,,,,-2500000.0,0.0,,0.0,,,3846318.0,-21064.0,,-258102.0,7965.0,-8201.0,,,,
2609,2015年01月01日至2015年03月31日,,279077,279077,,,1513504,7123,-492,-21791,453240,-55711,2135,-117959,-3636,,,76579.0,819597,,,,21883,-3802,855614,4070,190331,,-25410,95592,1138278,,-148,-617456,-145692,-412045,,-589070,-118910,106292,,-1788549,-650271,2022318,2301395,54759,12107,-445985,-96642,1825634,,-900934,941192,-4802387,4704926,,-3934441,135989,7098.0,-14937,0.0,4661.0,-2271,,-2768046,,,1499054,,,4898023,-5995669,-88259,-103028.0,-6057.0,-2049,442594,-189794,-689612,21683555,20993943,20993943,,,,,,,,,,,0.0,,,240579.0,,2672589.0,-11520.0,1093058.0,,,,,,,
2609,2014年度,,1021996,1021996,,,6557493,32076,6919,209933,1774345,-155037,-138084,-2786915,-21612,,37295.0,,1139794,6590013.0,,,-123339,-32662,-2019521,71717,306511,,-143108,-628111,-2568513,,-503,1898566,130444,437551,,-1087409,1056982,38402,45069.0,2519102,-49411,6540602,7562598,143367,202879,-1560936,-567250,5780658,,-6617126,6610890,-21184278,21244915,-352181.0,-9378392,10820819,-227115.0,-19869,-150989.0,25829.0,-1021577,0.0,-246045,,,260680,-340511.0,3850000.0,24635975,-23425995,-286275,,105366.0,-31975,1816171,700796,8051580,13631975,21683555,21683555,0.0,,,-286284.0,,-66194.0,0.0,0.0,,-2674000.0,3029.0,,,9190.0,,,,,,,,,,,
2609,2014年01月01日至2014年09月30日,,588463,588463,,,4983015,24570,8370,10389,1332053,-101135,-154516,-1713243,-18756,,,280541.0,518668,5104173.0,,,206278,-90702,-2909549,65100,-464807,,-205794,-866444,-4265918,,9994,1655441,-62559,511467,,-665519,1096725,107755,19519.0,2672823,-1593095,3511078,4099541,96663,202879,-1061680,-538865,2798538,,-5258109,5545243,-13874262,13905288,-352181.0,-8380146,6005098,1347.0,-16803,-990842.0,30459.0,-1018389,0.0,-4400268,,434615.0,1016798,,3850000.0,17096680,-19390639,-221545,-221474.0,-38898.0,-20086,-168549,167676,-1602603,13631975,12029372,12029372,0.0,,,,,-65783.0,,,,-2674000.0,3029.0,,,,,,,,,,,,,,
2609,2014年01月01日至2014年06月30日,,-870545,-870545,,,3257972,16395,5428,-132911,867027,-64381,-119392,-1481307,-13814,,,242122.0,678959,3254688.0,,,239976,-75926,-2038777,79157,-451650,,-231758,-527622,-3006600,,-5804,2189185,-67590,173877,,-605623,-17034,-33795,23188.0,1656404,-1350196,1904492,1033947,59722,44579,-722332,-435805,-19889,,-5858858,6402679,-6274262,6320346,-50000.0,-3092965,2087304,4047.0,-12784,-648671.0,30608.0,-851535,0.0,-2232769,,57551.0,1000118,,0.0,14669939,-12800488,-99983,-30938.0,-39493.0,-20086,236620,-28186,-2044224,13631975,11587751,11587751,0.0,,,,,-1410.0,,,,-2500000.0,3029.0,0.0,-291707.0,,,,,,,,,,,,
