公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 備供出售金融資產之淨損失（利益）,　　　　 無活絡市場之債務工具投資損益之淨損失（利益）,　　　　 持有至到期日金融資產之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 各項保險負債淨變動,　　　　 具金融商品性質之保險契約準備淨變動,　　　　 外匯價格變動準備淨變動,　　　　 其他各項負債準備淨變動,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 預付費用及其他預付款（增加）減少,　　　　　 存出保證金（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付保險賠款與給付增加（減少）,　　　　　 應付佣金增加（減少）,　　　　　 應付再保往來款項增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 存入保證金增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得不動產及設備,　　 取得無形資產,　　 放款減少,　　 取得投資性不動產,　　 處分投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　 不影響現金流量之收益費損項目,　　　　 無活絡市場之債券投資損益之淨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他金融負債減少,　　 處分不動產及設備,　　　　 處分其他資產損失（利益）,　　 放款增加
2823,2015年度,,10680464,10680464,,,94489,27790,-14726,12469945,-8272681,-1704328.0,-19944.0,8656,-31759072,-5164896,91506984,0,2432279,-3632,653,-10967,14629.0,111547.0,-33531854.0,-45717.0,26139155.0,,,62122,4209766,-13100878,-60755,371566,1991,-1628,-8517816,,-167798,-23973,136907,14830,-1954906,5017,93845,7675,-299717,-2188120,-10705936,15433219,26113683,45200951,5124538,-8656,-702298,75728218,,-132677941,137659313,25682.0,-167366057.0,117814362.0,4000000.0,-42793703.0,681895.0,-400848,-63534,164119.0,-458606.0,104898,-83310420,,-1214599.0,-1214599.0,-8796801,61223512,52426711,52426711,,,,,,,,,,
2823,2015年01月01日至2015年09月30日,,12057727,12057727,,,70743,18995,6457,12680681,-7363773,-1464477.0,,5286,-23265178,-4863904,64794956,0,3045033,-4216,650,-10967,14629.0,-16304.0,-28491124.0,-45000.0,15112487.0,,,203099,3987842,-10202781,20076,211304,1840,-971,-5779591,,-73627,-15382,-1291,-16040,-1284591,4545,586598,5051,-329074,-1123811,-6903402,8209085,20266812,33668908,4349442,-5286,-577239,57702637,,-108936803,102955684,6846.0,-139951926.0,96757472.0,1000000.0,-32754861.0,,-301316,-45996,343366.0,-458606.0,104898,-81281242,,-1214599.0,-1214599.0,-24793204,61223512,36430308,36430308,,,,,,,,,,
2823,2015年01月01日至2015年06月30日,,6899325,6899325,,,47019,11874,4774,-7793688,-6132061,-1362094.0,,3020,-15165676,-1056537,36165579,0,-524653,-6092,650,-9247,14629.0,-16304.0,10133256.0,-28606.0,14285843.0,,,193771,3601373,5465076,15554,172165,600,-1253,9447286,,-9911,-18299,153975,-13620,-2036329,-3756,725955,4277,-176797,-1374505,8072781,22358624,29257949,9915568,257266,-3020,-379029,39048734,,-83933791,64464486,1320.0,-92186040.0,74214081.0,750000.0,-15396902.0,,-217150,-2968,595347.0,-458606.0,70132,-52100091,,,,-13051357,61223512,48172155,48172155,0.0,,,,,,,,,
2823,2015年01月01日至2015年03月31日,,4125890,4125890,,,23312,6078,3022,-5154154,-2297996,-1273628.0,,1521,-7508899,-234135,15720347,0,-112844,-15,574,-2521,,,5994039.0,,5164701.0,,,240835,210355,-1717261,-86428,74799,13,-2352,-1280039,,-28917,-3619,-556195,94625,-498127,498,12910,-2298,-316123,-1297246,-2577285,2587416,6713306,5504713,78824,-1521,-270812,12024510,,-41979721,29302120,,-37099905.0,46771026.0,,-9447647.0,,-80033,-2069,550233.0,,23737,-11962259,,,,62251,61223512,61285763,61285763,,,,,,,,,,
2823,2014年度,,7023933,7023933,,,82411,17276,-64404,17724690,-6035027,-2107244.0,0.0,18301,-27652401,-3767091,103171715,-446490,2489805,5400,299,-3589,0.0,176196.0,-10445002.0,-648402.0,72516443.0,,,32513,-2643643,-14577820,20393,-14169621,1148065,2416,-30187697,,177439,8617,-146752,31153,4289092,29852,-1038832,7632,-3190906,167295,-30020402,42496041,49519974,17977639,3730334,-18301,-386275,70823371,,-210915464,222673401,52849.0,-225807454.0,89856439.0,3400000.0,0.0,0.0,-1412004,-28732,1120244.0,-266127.0,128713,-121198135,,-1104181.0,-1104181.0,-51478945,112702457,61223512,61223512,,,,,,,,,,
2823,2014年01月01日至2014年09月30日,,6075082,6075082,,,61406,11796,-40246,5565794,-4805322,-1674563.0,,14496,-20245341,-3650144,76451526,-446490,662837,5302,236,-2221,0.0,0.0,-2778439.0,-443160.0,48687467.0,,,220817,-155748,-5114209,41506,-14062419,1148285,2196,-17919572,,-9244,5058,-400598,66575,185412,9277,-1112601,1750,-3443842,-4698213,-22617785,26069682,32144764,14070099,3533807,-14496,-214736,49519438,,-164156696,175522524,52849.0,-173229821.0,67631909.0,1900000.0,0.0,,-442672,-9803,1585520.0,-53760.0,78589,-91121361,,-1104181.0,-1104181.0,-42706104,112702457,69996353,69996353,,,,,,,,,,
2823,2014年01月01日至2014年06月30日,,2886840,2886840,,,41172,6892,-45808,2996947,-3259237,-1263480.0,,7047,-13229520,-690164,52173264,-446490,-47099,5223,181,-2427,0.0,0.0,-1930381.0,-443160.0,33872971.0,,,183005,-577599,-5996363,76616,-14095596,1147778,-300,-19262459,,-9999,3097,-613479,63824,40784,5235,-659041,292,-3350266,-4519553,-23782012,10090959,12977799,8997070,336206,-7047,-410748,21893280,,-93982158,109695346,4849.0,-101109000.0,46301454.0,950000.0,0.0,,-141248,-1900,1330970.0,0.0,57699,-36893988,,,,-15000708,112702457,97701749,97701749,11.0,,,,,,,,,
2823,2014年01月01日至2014年03月31日,,1620294,1620294,,,20964,3479,3122,6722001,-1884478,-550563.0,,3256,-6468848,-179005,32578690,-446490,376534,116,181,1111,,,-6586646.0,,23593424.0,,,230265,-1155745,-5150738,-27846,-14186862,1146998,-155,-19144083,,22596,2412,-645240,16866,-381084,3997,405556,-23,-2334292,-2909212,-22053295,1540129,3160423,4976914,179005,-3256,-308502,8004584,,-34279107,45366952,,-49840035.0,16594956.0,,0.0,,-57335,-359,984838.0,,19704,-21210386,,,,-13205802,112702457,99496655,99496655,,,,,,,,,,
2823,2013年度,,6343536,6343536,,,70282,13212,48658,5007921,-4823129,,,14686,-23429115,-2855011,129924919,-5884979,808924,-12293,1444,7926,6424.0,-252.0,-2452367.0,-1422395.0,,,,116087,1371057,-1658072,-22149,-59278,-1142543,-2206,-1397104,,48081,3751,308560,-26689,850750,22115,876503,-157,3120916,5203830,3806726,98132073,104475609,17366755,2855011,-14159,-92680,124590536,,-87948994,137281688,39874.0,,,,,,-24104,-19228,605849.0,-6001.0,295315,-78024254,,-477570.0,-488770.0,46077512,66624945,112702457,112702457,-183.0,,-699325.0,94325347.0,-153988392.0,25739739.0,-11200.0,,,
2823,2013年01月01日至2013年12月31日,,5072381,5072381,,,205201,13212,48658,5007921,-4823129,,0.0,14686,-23429115,-2855011,129736516,-5884979,808924,-12293,1444,-90082,6424.0,,-2452367.0,,,,,116087,1371057,-1658072,-22149,-59278,-1142543,-2206,-1397104,,48081,3751,308560,-26689,850750,22115,876503,-157,3120916,5203830,3806726,99403228,104475609,17366755,2855011,-14159,-92680,124590536,,-87948994,137281688,39874.0,,,,0.0,0.0,-24104,-19228,605849.0,-6001.0,295315,-78024254,,-477570.0,-488770.0,46077512,66624945,112702457,112702457,-183.0,,-699325.0,95596502.0,-153988392.0,25739739.0,-11200.0,0.0,,
