公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　 應付短期票券增加,　　 其他投資活動,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分採用權益法之投資,　　 償還公司債,　　 處分子公司,　　　　 處分無形資產損失（利益）,　　 發行公司債,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他非流動負債增加,　　　　　 應計退休金負債增加（減少）,　　 存出保證金增加,　　 存出保證金減少
4938,2015年01月01日至2015年09月30日,,27241697,27241697,,,10107611,162102,-119766,228861,500143,-1161488.0,-74036.0,633641,-13748,43001,127061,1735.0,-396161.0,-401590,0.0,0.0,-158168.0,0.0,306703,9785901.0,,,886089,-21518321,-5316655,-62490111,0.0,-3408356,1716547.0,54590.0,-90076217,,-8937,-2038.0,42400452,1529.0,2057449,-125714.0,-447006,1328514,0.0,127090.0,45331339,-44744878,-34958977,-7717280,1236816.0,74036.0,-631117,-7147376,-14184921,,0.0,943725,-138731.0,222267.0,0.0,-10000.0,161307.0,598359.0,-8204902,541603,-86279,0.0,257983.0,-3282649,-448054.0,-9445371,,35153740.0,0.0,0.0,5783448.0,-10269735,-12840060.0,39794,-32895.0,46521.0,0.0,-1661881,375028.0,16593960,1308241,-5728091,107688632,101960541,101960541,,,,,,,,,,,,,,,,,,,,
4938,2015年01月01日至2015年06月30日,,16610269,16610269,,,6713015,105451,-190116,222617,285100,-854174.0,-18493.0,264142,-13748,23909,99399,1024.0,-392904.0,-360410,,,-169373.0,,-156968,5558471.0,,,-1380405,42268910,9767384,-26134788,,47229,-1829095.0,22262.0,22761497,,-8937,,-36747808,,-3845144,-130641.0,-365198,681572,,84441.0,-40331715,-17570218,-12011747,4598522,838228.0,18493.0,-404314,-5520958,-470029,,,927669,-123281.0,99955.0,0.0,-10000.0,151214.0,594035.0,-4744816,511741,-46096,,,-1560316,,-3873260,,14124328.0,,,5291811.0,-8975478,,36326,,46521.0,0.0,3520,379988.0,10907016,-1452000,5111727,107688632,112800359,112800359,326635.0,0.0,,,,,,,,,,,,,,,,,,
4938,2015年01月01日至2015年03月31日,,9337020,9337020,,,3402027,53487,-178925,230142,100089,-447056.0,-8417.0,43977,-13748,13255,12047,1339.0,-65368.0,-172471,,,-5808.0,,-75658,2888912.0,,,-733096,13209076,10352353,7415192,,926228,-1083424.0,51319.0,30137648,,-8937,,-26491381,,-5020332,-142292.0,-231094,313210,,40074.0,-31540752,-1403104,1485808,10822828,431168.0,8417.0,-210325,-1451789,9600299,,-17981.0,538674,,28217.0,,,,165285.0,-2402618,116164,-23124,,-41332.0,-690963,,-2358577,,4457720.0,,,5033600.0,-5666055,,34497,,46521.0,0.0,857,-10631.0,3896509,-808304,10329927,107688632,118018559,118018559,0.0,0.0,-30899.0,,,,,,,,,,,,,,,,,
4938,2014年度,,26262087,26262087,,,13562092,200322,109221,4304477,868009,-1778928.0,-87166.0,297826,517134,320323,351566,15199.0,-61740.0,-225501,332694.0,,0.0,0.0,823584,,,,1312092,-25934337,14424266,7968434,,-5831149,-350950.0,-37372.0,-8449016,,-170706,,16094114,,6042567,70552.0,-2630445,-3465616,,-148064.0,15792402,7343386,27129141,53391228,1754649.0,127316.0,-788850,-4918362,49565981,,-634599.0,226274,-158461.0,227642.0,7497.0,-30180.0,,432240.0,-7570382,788056,-84967,0.0,0.0,-2830092,-342270.0,-9317505,,4166085.0,,,21173983.0,-29822575,-10129957.0,373592,,51620.0,4291730.0,189946,215901.0,-9569653,2748503,33427326,74261306,107688632,107688632,624167.0,-79978.0,27570.0,,-9422.0,0.0,246065.0,19785755.0,0.0,0.0,,,,,,,,,,
4938,2014年01月01日至2014年09月30日,,16160023,16160023,,,10196862,147951,-63815,2498197,807819,-1412973.0,-67765.0,223113,214458,170634,264508,17697.0,-61391.0,-147661,130.0,0.0,-88690.0,0.0,335732,13034806.0,,,1171267,-3737001,9108049,-2353196,0.0,-3678879,383850.0,-44538.0,849552,,-169096,-1899.0,8161441,-462447.0,3238688,93235.0,-2284600,-3521054,0.0,-179295.0,4874973,5724525,18759331,34919354,1403689.0,106355.0,-774970,-4049435,31604993,,0.0,71114,-158461.0,227800.0,7497.0,-30123.0,0.0,432240.0,-5106209,573411,-53993,0.0,-10304.0,-1772891,-176851.0,-5996770,,0.0,-2033273.0,-79978.0,15179850.0,-27620611,-10129957.0,351288,0.0,51620.0,4192863.0,189946,218784.0,-19679468,559204,6487959,74261306,80749265,80749265,,,,,,,,,,,,,,,,,,,,
4938,2014年01月01日至2014年06月30日,,8133769,8133769,,,6833890,98816,-168074,2515069,588742,-970648.0,-8230.0,127682,-3710,116353,151847,13708.0,-61508.0,-40062,,,-36270.0,,117116,9274721.0,,,436993,21330018,16303397,27036171,,440275,-1165983.0,2578.0,64383449,,-58900,,-39480603,,-2427151,-9626.0,-1559906,-3226602,,-96245.0,-46859033,17524416,26799137,34932906,938015.0,8230.0,-538139,-2885488,32455524,,,5452,-156750.0,48444.0,7497.0,-30180.0,0.0,432240.0,-3063284,415895,-42144,,,-829488,,-2598319,,-12644574.0,,,7360600.0,-12909066,,265216,,51611.0,4240728.0,0,220000.0,-13495463,-276848,16084894,74261306,90346200,90346200,613999.0,-79978.0,,,,,,,,,,,,,,,,,,
4938,2014年01月01日至2014年03月31日,,4462347,4462347,,,3489987,48514,-97128,786486,306847,-484556.0,0.0,61993,187026,67265,105373,1729.0,-61635.0,-5255,,,-48003.0,,374935,4733578.0,,,-14391,20509594,17891263,22754715,,2469261,-1020031.0,-1449.0,62588962,,-10556,,-38113684,,-6309105,55698.0,-616034,-1724229,,-9549.0,-46727459,15861503,20595081,25057428,405772.0,0.0,-209498,-758454,24495248,,0.0,5452,,48444.0,,,,432240.0,-1434507,77537,-19177,,0.0,-261009,,-726390,,-11900375.0,,,6468500.0,-11537471,,69888,,0.0,4172685.0,0,0.0,-12726761,667733,11709830,74261306,85971136,85971136,424630.0,12.0,0.0,,,,,,,,,,,,,,,,,
4938,2013年度,,19029872,19029872,,,13332674,592146,1587222,-628347,1062713,-879927.0,-83019.0,533654,212436,75586,374085,67611.0,0.0,-34927,342154.0,,-168535.0,6065.0,778302,,,,609294,17098956,-13373882,-10920788,,2329320,-990114.0,32943.0,-5214271,,7345,,-13706974,,3352753,183721.0,2461035,6342168,,95422.0,-1264530,-6478801,10693258,29723130,851416.0,132726.0,-711288,-4925480,25070504,,-87040.0,278836,-59410.0,10468.0,8330.0,-30271.0,,0.0,-11116474,1374163,-80788,27.0,-929092.0,-2198292,-153898.0,-12973949,,3401319.0,,,12605065.0,-10063179,-5736566.0,762661,,10597.0,290725.0,2356179,60620.0,2151436,589191,14837182,59424124,74261306,74261306,0.0,-22704.0,0.0,,0.0,2166.0,0.0,17172059.0,9492.0,-1513281.0,,,,,,,,,,
4938,2013年01月01日至2013年12月31日,,19029872,19029872,,,13332674,592146,1587222,-628347,817030,-879927.0,,533654,212436,75586,374085,67611.0,,-34927,0.0,,,6065.0,1023985,,,,609294,17098956,-13373882,-10920788,,2329320,-990114.0,32943.0,-5214271,,7345,,-13706974,,3352753,183721.0,2461035,6342168,,95422.0,-1264530,-6478801,10776277,29806149,851416.0,49707.0,-711288,-4925480,25070504,,-87040.0,278836,-59410.0,10468.0,,-30271.0,8330.0,,-11116474,1374163,-80788,27.0,-929092.0,-2198292,-153898.0,-12683224,,3401319.0,0.0,-22704.0,12605065.0,-10063179,-5736566.0,762661,,10597.0,,2356179,60620.0,1860711,589191,14837182,59424124,74261306,74261306,,,,,,2166.0,173619.0,17255078.0,,-1513281.0,300217.0,0.0,0.0,0.0,,,,,,
4938,2013年01月01日至2013年09月30日,,12785480,12785480,,,9997836,450139,1125853,-153977,699189,-559062.0,-68065.0,398950,158529,46673,203243,68232.0,0.0,-29057,0.0,,-187615.0,6065.0,615122,,,,1079783,9401876,-4143734,-15291906,,-1174012,-1644713.0,2657.0,-11770049,,1533,-152.0,-8802007,-97195.0,3332486,69781.0,1354856,5382730,,157182.0,1399214,-10370835,2401220,15186700,547303.0,117381.0,-626995,-4486284,10738105,,-146450.0,216038,0.0,0.0,8330.0,0.0,,0.0,-7991707,1313548,-62431,27.0,-165311.0,-1871616,-149413.0,-8839478,,2701037.0,0.0,,4760364.0,-5950638,-2300260.0,659703,,10597.0,290725.0,2218565,0.0,876789,250073,3025489,59424124,62449613,62449613,,-23.0,,,,,,12772055.0,9507.0,-1513281.0,,,,,,,,,,
