公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他金融資產（增加）減少,　　 預付設備款增加,　　　　　 持有供交易之金融資產（增加）減少,　　 其他非流動資產增加
9919,2015年度,,-13543,-13543,,,436035,16161,-610,45799,-5174,569.0,381.0,0.0,0.0,0.0,493161.0,,,-80,-155144,-46478.0,13559,15504,-23414,0.0,-196053,,0.0,3289,121616,2504.0,2962.0,-29100,22147,-5049,118369,-77684,415477,401934,6331,-43888,-43828,320549,,0.0,0.0,0.0,-173993,17798.0,-283.0,-1158.0,25641.0,21619.0,-110376,,1263484,-1607793,1379203,-1379166,2995328,-3027693.0,2495.0,-68994.0,-18942.0,-462078,4228,-247677,946949,699272,699272,,,,,,,,
9919,2015年01月01日至2015年09月30日,,-18556,-18556,,,333850,12121,204,36879,-5040,232.0,376.0,,,,378622.0,,,2239,-148553,-46430.0,15792,-19074,-33788,,-229814,,,554,115039,1017.0,,-30685,65620,-3212,148333,-81481,297141,278585,3391,-35246,-43816,202914,,0.0,0.0,,-142048,17339.0,,-1154.0,,19652.0,-132850,,979916,-992039,1149312,-1349251,2346656,-2138695.0,,-68994.0,-18942.0,-92037,-3828,-25801,946949,921148,921148,0.0,-26639.0,,,,,,
9919,2015年01月01日至2015年06月30日,,-5478,-5478,,,220205,8055,-280,23774,-3367,288.0,150.0,,,,248825.0,,,-1095,-233119,-14548.0,15636,31115,-31549,,-233560,,,1586,63908,1069.0,1922.0,-40941,6852,-2687,31709,-201851,46974,41496,2533,-22217,-26012,-4200,,0.0,0.0,,-101396,16993.0,,-1136.0,,22854.0,-86414,,720660,-800217,919542,-959485,1641974,-1568682.0,,,,-46208,-14822,-151644,946949,795305,795305,0.0,-23729.0,,,,,,
9919,2015年01月01日至2015年03月31日,,-12125,-12125,,,121104,4094,0,11870,-1535,115.0,442.0,,,,136090.0,,,543,-97544,-74.0,9674,11629,-3836,,-79608,,,4868,60097,,,-48100,1832,-466,18231,-61377,74713,62588,995,-10202,-33,53348,,0.0,,,-61800,463.0,,,,13392.0,-123548,,401879,-507801,449723,-499688,1148075,-1070174.0,,,,-77986,-8967,-157153,946949,789796,789796,0.0,-75603.0,,,,,,
9919,2014年度,,-35970,-35970,,,433295,16543,1002,46563,-8385,2381.0,-923.0,0.0,0.0,0.0,490476.0,,,620,214253,0.0,-3103,-30488,20595,0.0,201877,,0.0,-865,-114593,0.0,-9344.0,4359,613,-11101,-130931,70946,561422,525452,8061,-48030,-16339,469144,,24511.0,-1000.0,0.0,-111305,4301.0,-2135.0,0.0,89159.0,20601.0,24132,,1862050,-1919663,3268141,-3288197,3075557,-2907655.0,-2508.0,-59138.0,0.0,28587,28766,550629,396320,946949,946949,,,,,,,,
9919,2014年01月01日至2014年09月30日,,-32548,-32548,,,327198,12472,746,35351,-6208,1566.0,-942.0,,,,370203.0,,,-4095,139522,0.0,4743,-21256,-1883,,117031,,,-843,-72240,1581.0,,-5164,11124,-6786,-72328,44703,414906,382358,4192,-35798,-16712,334040,,24491.0,-1000.0,,-63857,3794.0,,0.0,,7660.0,-39440,,1342508,-1448034,2678409,-2838433,2906509,-2739543.0,,-59138.0,0.0,-157722,6730,143608,396320,539928,539928,20.0,-10528.0,,,,,,
9919,2014年01月01日至2014年06月30日,,-19157,-19157,,,219610,8349,744,23927,-4235,1428.0,51.0,,,,249894.0,,,-1324,185078,0.0,7628,26122,-24948,,192556,,,-3829,-99081,0.0,0.0,-32051,14650,-3946,-124257,68299,318193,299036,3004,-17138,-22865,262037,,24491.0,-1000.0,,-40727,936.0,,0.0,,-752.0,-77657,,774423,-949592,3598719,-3518818,1697905,-1669096.0,,,,-66459,-510,117411,396320,513731,513731,20.0,-60605.0,,,,,,
9919,2014年01月01日至2014年03月31日,,-10126,-10126,,,111136,4226,899,12027,-2099,964.0,0.0,,,,127173.0,,,943,91324,0.0,8977,13250,1919,,116413,,,4667,-51892,,,-36202,1578,-2801,-84650,31763,158936,148810,639,-10254,344,139539,,24491.0,,,-24287,0.0,,,,-4049.0,-77812,,448390,-454045,2169260,-2099401,1198617,-1158967.0,,,,103854,4334,169915,396320,566235,566235,20.0,-73967.0,,,,,,
9919,2013年度,,-454,-454,,,429785,15919,-2542,42614,-7863,0.0,-12.0,,,,,,,5720,-286896,,26496,4106,-14173,2525.0,-286733,,,1114,81386,,9344.0,-10878,-9062,-8368,63536,-223197,254704,254250,7863,-44315,-19015,198783,,,0.0,,-141935,560.0,12645.0,-2112.0,,-10378.0,-278663,,1327874,-952030,7080153,-7210000,60000,-353291.0,1681.0,-59138.0,,-104751,19757,-164874,561194,396320,396320,,-138780.0,,477901.0,-24511.0,1337.0,,
9919,2013年01月01日至2013年12月31日,,-454,-454,,,429785,15919,-1240,42614,-7863,,-12.0,,0.0,42737.0,,,,5720,-286896,,25194,-38631,-14173,2525.0,-330772,,,1114,81386,,,-10878,282,-6687,65217,-265555,256385,255931,7863,-44315,-19015,200464,,,,0.0,-153108,560.0,,-2112.0,,-2649.0,-296089,,1327874,-952030,7080153,-7210000,60000,-353291.0,,-59138.0,,-106432,30930,-171127,561194,390067,390067,,-138780.0,,521940.0,,,-24511.0,
9919,2013年01月01日至2013年09月30日,,-5806,-5806,,,325319,11814,-2537,34797,-4404,0.0,-123.0,0.0,,,,,,2145,-134208,,-5591,38091,-19437,2524.0,-116476,,,-1765,78692,,,-35819,-2192,-6312,32604,-83872,280994,275188,4404,-31109,19785,268268,,0.0,0.0,,-119642,235.0,,-2026.0,,1924.0,-277365,,1505191,-1231091,7707973,-7757959,0,-157767.0,,-59138.0,,7209,-37814,-39702,561194,521492,521492,,-157856.0,,364866.0,,,,
9919,2013年01月01日至2013年06月30日,,26727,26727,,,215478,8101,-2524,23283,-3188,0.0,-1.0,,,0.0,,,,356,-49402,,12860,27021,-24788,2524.0,-31429,,0.0,-1342,22901,,,-46657,-1523,-2772,-29393,-60822,180327,207054,3188,-20750,19369,208861,,0.0,0.0,0.0,-69794,1.0,,0.0,,7074.0,-160419,,1159701,-945321,4888734,-4988614,0,-157235.0,,0.0,,-42735,-31351,-25644,561194,535550,535550,0.0,-97700.0,,241149.0,,,,
9919,2013年01月01日至2013年03月31日,,29848,29848,,,107110,4062,-2493,10321,-754,0.0,,,,,,,,844,-136576,,12485,54061,5152,420.0,-63614,,0.0,360,44715,,,-52724,-208,-2797,-10654,-74268,43978,73826,754,-10131,-1767,62682,,0.0,,,-59444,,,,,-4305.0,-63749,,492535,-286306,1499322,-1499233,0,-124985.0,,,,81333,11356,91622,561194,652816,652816,0.0,0.0,,118246.0,,,,
9919,2012年01月01日至2012年12月31日,,41956,41956,,,403447,35105,-38,56101,-4954,,3843.0,,8513.0,79139.0,,,,3855,383889,,-5610,-65179,-41932,-2525.0,273531,,,-1171,-226781,,,-31823,-12389,-22404,-294568,-21037,560119,602075,4954,-59141,5499,553387,,,,-10680.0,-332681,734.0,,-792.0,,4832.0,-339886,,1516047,-2454261,7756755,-7406913,1385682,-1317579.0,,-59138.0,,-579407,-47728,-413634,974828,561194,561194,,-1299.0,,581156.0,,,1033.0,
9919,2012年01月01日至2012年09月30日,,94986,94986,,,298492,28883,-1884,43393,-4909,,-33.0,,,2816.0,,,,6431,260150,,-22196,12817,-7533,0.0,250702,,20.0,-972,-73075,,,-106783,-11162,-22089,-214061,36641,403399,498385,4909,-39636,3821,467479,,,,-10680.0,-257280,1810.0,,-318.0,,,-249323,,4004613,-4769545,5781842,-5432133,1300000,-1310921.0,,,,-426144,-118971,-326959,974828,647869,647869,,-7311.0,,366758.0,,,1033.0,24456.0
9919,2012年01月01日至2012年06月30日,,50563,50563,,,196545,20094,-2835,33249,-4080,,27.0,,,,,,,4620,185519,,5707,12478,-36042,0.0,173315,,,-272,-99318,,,-94900,-13295,-11979,-219764,-46449,196551,247114,4080,-37273,15457,229378,,,,-10689.0,-176322,330.0,,-563.0,,23575.0,-168790,,1486110,-1892097,3769570,-3530536,-18971,,,,,-185924,-36287,-161623,974828,813205,813205,,-5121.0,,243000.0,,,1033.0,
9919,2012年01月01日至2012年03月31日,,50760,50760,,,94853,12076,-2842,17337,-2334,,-101.0,,,,,,,3122,-10428,,5317,163,-28044,-2191.0,-31028,,,-2880,-65961,,,-63605,9621,-11569,-134394,-165422,-46433,4327,2334,-17215,-1498,-12052,,,,,-74247,1555.0,,-319.0,,,-69700,,908841,-1291020,1397203,-1197332,-12898,,,,,-195206,-20826,-297784,974828,677044,677044,,,,118989.0,,,1033.0,3311.0
