公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 股份基礎給付酬勞成本,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 其他應收款減少,　　 其他金融資產減少,　　 發行公司債,　　 員工執行認股權,　　　　 其他項目,　　 存出保證金增加,　　 其他金融資產增加,　　　　　 應收票據－關係人（增加）減少,　　 取得按攤銷後成本衡量之金融資產
8110,2015年01月01日至2015年09月30日,,98203,98203,,,1991300,10409,0,92748,-12078,-6752.0,-2110.0,3861,-17,0.0,-3932.0,2073429.0,,,0.0,-5209,750918,-273367,67796,109580,0,-10740,638978,,479,-304105,-73,-135877,34528,-4526.0,-409574,229404,2302833,2401036,-133485,2267551,,0.0,100017.0,1080.0,0.0,-1833559,447302,831,-5049,8805,6752.0,-1273821,,523538,-488367,550000,5750000,-6552000,600.0,-175234.0,-143183.0,-112491,-647137,11447,358040,1953743,2311783,2311783,,,,,,,,,,,,,,,,,,,,
8110,2015年01月01日至2015年06月30日,,-83975,-83975,,,1328289,7052,0,63263,-7724,,-1638.0,3863,-17,0.0,5720.0,1398808.0,,,,-383,683410,-41029,51305,91248,0,7633,792184,,-51,-311153,-11,-98992,11915,-3254.0,-401546,390638,1789446,1705471,-131603,1573868,,0.0,100017.0,0.0,,-1598176,69709,831,-1500,5489,,-1423630,,508014,-358393,550000,5750000,-6082000,2000.0,,,-87852,281769,-9702,422305,1953743,2376048,2376048,0.0,0.0,,,,,,,,,,,,,,,,,,
8110,2015年01月01日至2015年03月31日,,-46294,-46294,,,668631,3547,0,28062,-2630,,-2045.0,3750,-17,0.0,1477.0,700775.0,,,,4154,501489,-73875,119011,78306,0,-59639,569446,,-13,-331027,3,-51676,1107,-1954.0,-383560,185886,886661,840367,-100,840267,,,100017.0,,,-1374652,23242,831,-1350,1552,,-1250360,,436539,-141502,550000,300000,-570000,,,,-28081,546956,-5200,131663,1953743,2085406,2085406,0.0,,,,,,,,,,,,,,,,,,,
8110,2014年度,,1026278,1026278,,,2560146,15116,1118,135490,-11048,,219.0,255,-130,44947.0,8172.0,,,,39339.0,-6012,17424,-105978,-33058,57614,0,-13602,-10644,,51,63407,-98,90393,6121,,153123,142479,2906668,3932946,-43608,3889338,,-139569.0,105130.0,1200.0,-144908.0,-2335306,12673,383,-2129,6408,,-2496118,,2117926,-2104407,0,1580000,-2608000,,-62584.0,0.0,-144194,-996915,15346,411651,1542092,1953743,1953743,,-400000.0,,-1193.0,8477.0,24000.0,-21380.0,2764189.0,33629.0,-6751.0,0.0,0.0,0.0,594729.0,29615.0,,,,,
8110,2014年01月01日至2014年09月30日,,778867,778867,,,1892308,11026,1118,103318,-6601,0.0,0.0,-1658,-130,44887.0,3522.0,2047790.0,,,39339.0,-1,-857441,-114848,39084,78047,-4972,-14218,-835010,,88,1868,-53,34993,9558,0.0,46454,-788556,1259234,2038101,-41751,1996350,,-21450.0,105130.0,1200.0,-86583.0,-2004759,12802,1214,-1292,3137,0.0,-1990601,,2089768,-1660829,150000,1380000,-1994000,0.0,-62584.0,0.0,-109124,-206769,1401,-199619,1542092,1342473,1342473,,,,,,,,,,,,,,,,,,,,
8110,2014年01月01日至2014年06月30日,,425376,425376,,,1251625,7093,1118,70166,-4391,,0.0,185,-68,64840.0,-7710.0,1382858.0,,,,-35,-429109,-25317,-189,-46867,-3370,-22477,-527364,,-28,-8690,-123,4721,17828,0.0,13708,-513656,869202,1294578,-41694,1252884,,-9018.0,100068.0,1200.0,,-1553419,4412,1216,-908,2081,,-1415029,,1400585,-1049289,0,1380000,-1554000,0.0,,,-77120,176,-9519,-171488,1542092,1370604,1370604,39339.0,-100000.0,,,,,,,,,,,,,,,,,,
8110,2014年01月01日至2014年03月31日,,119899,119899,,,625320,3291,1118,35084,-1817,,0.0,-16,-68,25000.0,-8107.0,679805.0,,,,-1,25788,-74218,2465,-148818,-1799,-13570,-210153,,-21,163346,-62,-10391,8446,0.0,161318,-48835,630970,750869,-41,750828,,,100068.0,,,-1008575,4277,876,-383,662,,-863736,,890758,-224676,150000,300000,-940000,,,,-38590,137492,-1108,23476,1542092,1565568,1565568,39339.0,,,,,,,,,,,,,,,,,,,
8110,2013年度,,452328,452328,,,2461006,15460,-20757,129236,-7019,,0.0,-9282,-10817,87836.0,-15480.0,,,,0.0,0,-208202,-92013,21434,-5759,-6402,-17076,-308018,,-64,429,-51,160201,3449,,163964,-144054,2331689,2784017,-53993,2730024,,-129363.0,40180.0,1501.0,0.0,-2224360,44940,124,-8028,9149,,-1725385,,1139405,-1190476,400000,8885000,-9296429,,0.0,-31743.0,-148940,-243183,20587,782043,760049,1542092,1542092,,0.0,,-4717.0,0.0,0.0,-149723.0,2475743.0,0.0,0.0,143442.0,300000.0,97030.0,0.0,0.0,,,,,
8110,2013年01月01日至2013年12月31日,,452328,452328,,,2461006,14771,-20757,129236,-7019,,,-9282,-10817,87836.0,,,,,,0,-208202,-92013,21434,-5759,-6402,-17076,-308018,,-64,429,-51,160201,3449,,163964,-144054,2331689,2784017,-53993,2730024,,-129363.0,40180.0,1501.0,,-2224360,44940,124,-8028,9149,,-1725385,,1139405,-1190476,400000,8885000,-9296429,,,-31743.0,-148940,-243183,20587,782043,760049,1542092,1542092,,0.0,,-4717.0,,0.0,-149723.0,2475743.0,,,143442.0,300000.0,97030.0,,0.0,-14791.0,0.0,0.0,,
8110,2013年01月01日至2013年09月30日,,322177,322177,,,1815479,11082,-13869,94223,-6634,,,-9635,-10817,362.0,13725.0,,,,0.0,0,91719,-70960,14591,-36948,-4800,-27339,-33737,,-58,-87174,-139,90783,4651,,8063,-25674,1829200,2151377,-53966,2097411,,-29363.0,40180.0,0.0,0.0,-1698190,38021,1000,-5930,8764,,-1255873,,1083547,-626719,550000,6270000,-7521429,,0.0,-31743.0,-113872,-390216,12135,463457,760049,1223506,1223506,,,,,,,-39042.0,1854874.0,,,,300000.0,89645.0,,,,,,,
