公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 庫藏股票買回成本,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　 其他非流動資產減少,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 其他非流動負債增加,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 應計退休金負債增加（減少）
8011,2015年01月01日至2015年09月30日,,-63759,-63759,,,52655,16538,-5249,295.0,29971,-6719,-136.0,5856.0,148,-31.0,10007.0,0,1026,677.0,-400963,-295925.0,,,-2426,-47410,-385,22823,-72874,-143741,-8128,44968.0,-259.0,-207432,,-2143,9172,-40395,25983,-7383,-214815,-510740,-574499,-75129,-649628,,-2000.0,2031.0,1100.0,-48641,150,-23629,15134,-97,-74008,-11829.0,-29116,6737,136.0,-164032,,0.0,-114200.0,-150000.0,0.0,-15100.0,338000,-197266,7040,-5625.0,-103878.0,380000,-58690.0,-29882,133162.0,183561,2239,-627860,1820751,1192891,1192891,,,,,,,,,,
8011,2015年01月01日至2015年06月30日,,20201,20201,,,35589,11030,-4442,295.0,19792,-4929,0.0,4570.0,148,,,-4413,3790,677.0,-369236,-307129.0,,,-3674,-33218,0,19051,-14806,-49068,430,-352.0,-173.0,-81810,,-2533,-59641,-33069,17813,-77430,-159240,-466369,-446168,-42642,-488810,,-2000.0,,,-36267,150,-7664,7018,-96,-34006,-7715.0,-19545,4937,0.0,-95188,,,-33254.0,-100000.0,0.0,-15100.0,130000,-128314,5432,-3048.0,,380000,-40124.0,-20666,133162.0,308088,-1149,-277059,1820751,1543692,1543692,0.0,,,,,,,,,
8011,2015年01月01日至2015年03月31日,,21342,21342,,,18098,5517,-3145,204.0,9915,-2232,,4570.0,94,,-822.0,-9747,10377,,-193557,-160728.0,,,-2071,-13862,0,13768,-29419,-13253,-1571,-14996.0,-88.0,-61492,,3292,-30408,-25296,647,-51765,-113257,-273985,-252643,-253,-252896,,,,,-23288,0,-367,882,0,-18575,0.0,-968,2078,,-39082,,0.0,,,0.0,,100000,-62009,2976,-532.0,,380000,,-10552,,439883,-4007,143898,1820751,1964649,1964649,,1156.0,30000.0,,,,,,,
8011,2014年度,,72165,72165,,,55219,22521,-1032,-441.0,32059,-8502,-486.0,4409.0,-1173,-17472.0,0.0,-5279,-555,,-409796,,,,3529,306582,14929,-33182,69613,-44522,23606,-30869.0,-358.0,309328,,-12905,-148363,-6318,661,-166925,142403,-188125,-115960,-59671,-175631,,,17472.0,0.0,-590293,2817,-8038,6927,-746,-75655,-13744.0,-1626,8557,486.0,-653843,,0.0,-38769.0,,275510.0,,1089805,-343311,10237,-4003.0,-110684.0,268000,,-29825,387179.0,1656077,2155,828758,991993,1820751,1820751,,,150000.0,,0.0,-330528.0,1938.0,,,
8011,2014年01月01日至2014年09月30日,,92686,92686,,,32946,16469,-2064,-546.0,19784,-5531,-486.0,4409.0,-900,0.0,0.0,-5820,209,0.0,-269327,-210857.0,,,3726,201045,14929,-4293,69146,-34973,22647,-18866.0,-271.0,253090,,-9828,-125882,-22992,299,-158403,94687,-116170,-23484,-59458,-82942,,0.0,0.0,0.0,-409054,1427,-6030,6870,-666,-35206,-13564.0,-63218,5433,486.0,-513522,,11231.0,0.0,0.0,275510.0,0.0,869806,-300024,7953,-2371.0,-110684.0,268000,0.0,-17773,260784.0,1262432,50,666018,991993,1658011,1658011,,,,,,,,,,
8011,2014年01月01日至2014年06月30日,,121489,121489,,,21104,11619,-2743,-2378.0,11946,-3521,-26.0,4409.0,-765,,,-9900,-188,0.0,-161875,-132318.0,,,3983,69483,14929,-15165,54190,-18731,4236,-13649.0,-181.0,99095,,-12518,-89033,27430,3705,-70416,28679,-103639,17850,-34164,-16314,,0.0,,,-235530,1130,-5886,4303,-944,0,-14836.0,-113881,3530,26.0,-335293,,,-28516.0,0.0,275510.0,0.0,569806,-268575,5183,-1592.0,,268000,0.0,-10404,260784.0,1070196,-957,717632,991993,1709625,1709625,26795.0,,,,,,,,,
8011,2014年01月01日至2014年03月31日,,97006,97006,,,10452,1724,-1011,-3309.0,4745,-1528,,4409.0,115,,0.0,-6911,-3462,,-59115,-53891.0,,,-4962,57355,14929,1825,-75897,-48223,-13831,-57962.0,-90.0,-126856,,-9593,16659,-28828,-1363,-23125,-149981,-203872,-106866,-130,-106996,,,,,-94594,250,-164,1797,-592,-197,-1365.0,-31068,1284,,-124649,,-62650.0,,,275510.0,,179325,-22859,1971,-585.0,,48097,,-4559,,414250,452,183057,991993,1175050,1175050,,0.0,0.0,,,,,,,
8011,2013年度,,175085,175085,,,46431,3932,-20190,0.0,15362,-6917,-1601.0,156.0,-879,0.0,34038.0,0,-721,,-216009,,,,10409,-111478,-10669,24277,-15671,-79104,-20307,-100859.0,-438.0,-303840,,-6757,214376,43713,-1963,249369,-54471,-198860,-23775,-63886,-87661,,,0.0,2491.0,-240278,1562,-6829,4925,-208836,-2000,-5845.0,-80029,6813,1601.0,-526425,,188769.0,0.0,,0.0,,248125,-97821,5059,-1830.0,-94872.0,330000,,-15112,543184.0,1105502,851,492267,499726,991993,991993,,,0.0,,2009.0,-144389.0,0.0,,,
8011,2013年01月01日至2013年12月31日,,175085,175085,,,46431,3932,-20190,,15362,-6917,-1601.0,156.0,-879,,34038.0,0,-721,,-216009,,,,10409,-111478,-10669,24277,-15671,-79104,-20307,-100859.0,-438.0,-303840,,-6757,214376,43713,-1963,249369,-54471,-198860,-23775,-63886,-87661,,,,2491.0,-240278,1562,-6829,4925,-208836,-2000,-5845.0,-80029,6813,1601.0,-526425,,188769.0,,,,,248125,-97821,5059,-1830.0,-94872.0,330000,,-15112,543184.0,1105502,851,492267,499726,991993,991993,,,,,2009.0,-144389.0,,0.0,0.0,0.0
8011,2013年01月01日至2013年09月30日,,133488,133488,,,36197,2233,-25647,0.0,9974,-5289,-700.0,0.0,-894,,9466.0,0,6,,-130709,,,,-7317,58939,-365,18710,-1716,-67650,-1076,0.0,0.0,-475,,-7520,-46753,27825,5219,-21229,-21704,-125058,8430,-62671,-54241,,,,2491.0,-170906,1563,-3533,2641,-125707,-100596,-4262.0,-1599,5045,700.0,-394163,,382694.0,,,0.0,,242500,-79429,3333,-255.0,-94872.0,330000,,-9901,276100.0,1050170,343,602109,499726,1101835,1101835,,,,,2009.0,-103354.0,,,,
