公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 其他非流動負債減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他金融資產（增加）減少,　　 其他非流動資產減少,　　　　　 應計退休金負債增加（減少）,　　 存出保證金增加,　　 短期借款增加,　　 存入保證金減少,　　 發放現金股利,　　　　 金融資產減損損失,　　 處分備供出售金融資產,　　 應付短期票券增加,　　 存入保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　　　 利息收入,　　 收取之利息,　　　　 處分投資損失（利益）,　　　 收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產增加,　　 其他投資活動,　　　　　 預收款項增加（減少）
1232,2014年01月01日至2014年03月31日,,350919,350919,,,40131,311,-177,4167.0,810,0,-1328.0,-450,43464.0,,,,-8228,-58220,13429,9956,-768887,-11604,,-823554,,-95956,3849,-85410,41412.0,,-136212,-959766,-916302,-565383,-852,0.0,-566235,,-13600,0,0,-12484,,,,,0,-106142,1328.0,-683533,1345484,661951,661951,,,-107.0,,-116091.0,-50.0,,,,9999.0,,616.0,500.0,,,,,,,,,,
1232,2013年度,,852218,852218,,,161815,926,-2424,-16111.0,3703,911,-4870.0,-25744,117031.0,,,,119153,-125046,-22595,-4674,1095012,1332,,1063182,,-5504,-38373,66085,-57167.0,,-36949,1026233,1143264,1995482,-3832,-103185.0,1889640,,-55215,96,-1622,-56612,,,,,-1566,-920954,4870.0,916944,428540,1345484,1345484,,,-1990.0,129.0,-171388.0,,-447930.0,,0.0,-300000.0,-70.0,,0.0,-1175.0,1175.0,0.0,,,,,,,
1232,2013年01月01日至2013年12月31日,,852218,852218,,,161815,926,-2424,-16111.0,3703,911,-4870.0,-25744,118206.0,,,,119153,-125046,-22595,-4674,1095012,1332,0.0,1063182,,-5504,-38373,66085,-57167.0,,-36949,1026233,1144439,1996657,-3832,-103185.0,1889640,,-55215,96,-1622,-56612,,,,,-1566,-920954,4870.0,916944,428540,1345484,1345484,,,-1990.0,129.0,-171388.0,,-447930.0,0.0,0.0,-300000.0,-70.0,,,,,,,,,,,,
1232,2013年01月01日至2013年09月30日,,599540,599540,,,121608,652,-2539,4598.0,2965,900,-4423.0,-26547,97214.0,,,,95012,-68055,-12515,-458,2002,-22600,,-6614,,-89840,-37031,-21264,-41213.0,,-190594,-197208,-99994,499546,-3043,-100291.0,396212,,-38963,57,-908,-46807,,,-300000.0,,-1566,-501328,4423.0,-147500,428540,281040,281040,0.0,,-1246.0,-6993.0,248288.0,-120.0,-447930.0,,,,,,,,,,,,,,,,
1232,2013年01月01日至2013年06月30日,,472521,472521,,,81164,419,98,,1333,845,-3605.0,-25647,54607.0,,,-17258.0,50871,-64731,14236,8308,-214324,-44721,,-267619,,623,-16099,-26851,-29885.0,-1083.0,-73295,-340914,-286307,186214,-1534,-49767.0,134913,,-25301,57,-370,-24269,,-256546.0,-85035.0,-120.0,-1566,-343267,3605.0,-229018,428540,199522,199522,0.0,1345.0,,,,,,,,,,,,,,,,,,,,,
1232,2013年01月01日至2013年03月31日,,259595,259595,,,41009,208,123,-19114.0,672,855,-1423.0,-8332,13998.0,,,0.0,50769,8907,-5872,2709,848349,2200,193.0,907255,,6822,63557,-69542,-48128.0,-911.0,-48202,859053,873051,1132646,-842,0.0,1131804,,-11271,0,0,-11271,,-287621.0,-275004.0,-120.0,-86,-562831,1423.0,559125,428540,987665,987665,,,,,,,,,,,,,,,,,,,,,,,
1232,2012年01月01日至2012年12月31日,,566786,566786,,,182653,790,-156,11644.0,5614,-550,-2393.0,13208,254406.0,,,,-63867,-25968,41090,-6645,-582185,-39439,138.0,-676876,,-11642,38998,-26605,9712.0,,1011,-675865,-421459,145327,-5449,-113734.0,26144,,-60270,789,-816,-42252,,,,,-25,17490,2393.0,3775,424765,428540,428540,,,-9452.0,1256.0,244251.0,,-479925.0,43596.0,16789.0,253009.0,180.0,,,,,,,,,,,,
1232,2012年01月01日至2012年09月30日,,523661,523661,,,141517,987,-200,30602.0,3501,-550,-1269.0,1412,176000.0,,,,-29743,-82607,4197,-7475,-219950,-40773,,-376351,,-80642,72948,-46475,10493.0,,-50787,-427138,-251138,272523,-3405,-55320.0,213798,,-51710,789,-484,-50700,,,53009.0,,-7,-239180,1269.0,-74813,424765,349952,349952,0.0,,-7111.0,705.0,187563.0,180.0,-479925.0,,,,,,,,,,,,,,,,
1232,2012年01月01日至2012年06月30日,,358054,358054,,,99972,738,-80,,1895,-195,-1128.0,-9947,91255.0,,,-9907.0,-11007,-50583,27773,4166,-296162,-18334,,-354054,,-103355,41316,-60261,-37082.0,-4708.0,-164090,-518144,-426889,-68835,-1787,-55307.0,-125929,,-27189,257,-485,-36243,,267045.0,-16993.0,330.0,0,250382,1128.0,89338,424765,514103,514103,0.0,-8826.0,,,,,,,,,,,,,,,,,,,,,
1232,2012年01月01日至2012年03月31日,,148082,148082,,,55976,361,183,10349.0,977,-189,-561.0,-14601,52495.0,,,-41036.0,4731,23315,22485,-2288,133306,-12968,1330.0,128875,,-67289,53534,-87434,-3214.0,-2307.0,-106710,22165,74660,222742,-984,-17.0,221741,,-9147,214,-485,-9418,,-20370.0,-31994.0,331.0,0,-52033,561.0,160851,424765,585616,585616,,,,,,,,,,,,,,,,,,,,,,,
