公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他預付款項增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　 處分備供出售金融資產,　　 處分無形資產,　　 其他投資活動,　　 短期借款減少,　　 發行公司債,　　 償還長期借款,　　 其他籌資活動,　　　　 股利收入,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金減少,　　 存入保證金增加,　　 發放現金股利,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分無形資產損失（利益）,　　 採用權益法之被投資公司減資退回股款,　　 預付設備款增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 買回應付公司債損失（利益）,　　 償還公司債,　　 其他金融資產增加
2457,2016年01月01日至2016年09月30日,,-436187,-436187,,,282071,12987,-2028,26140,-22859,500,-6882,-5923.0,,,,,,166756,-11802,207307,-12439,,349822,,,-46739,493,-23162,105848,,35895,385717,666161,229974,15560,-10471,-28834,206229,,0.0,153406.0,,-210173,35077,,-3629,,9796.0,-240433,,0.0,0.0,0,183577,-74329,75044,1489934,1564978,1564978,2904.0,,121.0,39.0,,1000000.0,-710454.0,-2380.0,-5239.0,-25000.0,,13365.0,2370.0,0.0,0.0,379.0,8590.0,-7411.0,,280444.0,-545.0,-1606.0,-105959.0,-214614.0
2457,2016年01月01日至2016年06月30日,,-382163,-382163,,,190702,8732,-2028,18241,-14775,-4381,-4195,-2764.0,,,,,,368040,13325,195228,-22027,,554566,,,-349005,-3672,-131739,86099,,-398696,155870,340625,-41538,12878,-8183,-24221,-61064,,-127589.0,0.0,,-163854,7522,,-2411,,9796.0,-537670,,,,0,183346,-28533,-443921,1489934,1046013,1046013,1969.0,,,0.0,,1000000.0,-743590.0,-2380.0,-5239.0,-25000.0,,3749.0,2506.0,,-657.0,395.0,,-3367.0,,184755.0,-379.0,-1245.0,-73190.0,-236516.0
2457,2016年01月01日至2016年03月31日,,-201019,-201019,,,94647,4329,-1395,9952,-6554,-1656,-5215,-2230.0,,,,,,351453,1563,238654,-8070,,583600,,,-345728,-4663,-124976,10162,,-465395,118205,210699,9680,6333,-4511,-7871,3631,,0.0,50405.0,,-103522,6877,,-236,,,-280138,,506335.0,,0,346459,-22914,47038,1489934,1536972,1536972,994.0,,0.0,,,,-140146.0,,,-25000.0,,2997.0,2294.0,,-201.0,395.0,,-1222.0,,92494.0,-190.0,-572.0,-22024.0,-210437.0
2457,2015年度,,-464757,-464757,,,386509,16421,1003,31714,-23364,9988,-37,-14474.0,0.0,,,,,-289027,50226,80722,21775,,-136304,,,159624,-38285,-205021,-3701,,-87497,-223801,166368,-298389,21461,-6895,-72249,-356072,,0.0,58106.0,,-735591,20604,0.0,-11587,0.0,15325.0,-905013,,98580.0,778864.0,-655,568535,29650,-662900,2152834,1489934,1489934,3963.0,,88.0,,0.0,0.0,0.0,,-5542.0,,23126.0,10969.0,0.0,-133062.0,-4689.0,-78.0,89670.0,,,390169.0,-114.0,-11245.0,-175192.0,-375723.0
2457,2015年01月01日至2015年09月30日,,-432703,-432703,,,290365,12174,4677,22124,-16292,5070,-733,-13075.0,0.0,,,,,-286616,40789,-15815,375,-159767.0,-421034,,,40709,-31962,-168963,10183,,-150125,-571159,-282806,-715509,13876,-3086,-65086,-769805,,-61971.0,0.0,,-540938,10397,0.0,-6423,0.0,15325.0,-500934,,98610.0,700000.0,-301,530278,39428,-701033,2152834,1451801,1451801,2964.0,,,22139.0,0.0,0.0,0.0,,-5542.0,,,10952.0,0.0,-133062.0,-3829.0,,54750.0,-5165.0,,288353.0,-92.0,-9550.0,-134969.0,
2457,2015年01月01日至2015年06月30日,,-370418,-370418,,,193286,8175,2949,13907,-10986,-288,341,-4254.0,0.0,,,,,-142539,60474,-74902,-289,-215490.0,-372746,,,-139458,-28556,-199526,7584,,-360024,-732770,-535503,-905921,10772,-1343,-45885,-942377,,,56238.0,,-371088,23315,0.0,-4436,0.0,15325.0,-269402,,,,-237,-237,-19162,-1231178,2152834,921656,921656,1972.0,,,10027.0,0.0,0.0,0.0,0.0,-5542.0,,,1217.0,,,-2293.0,,,,,197267.0,-68.0,,,
2457,2015年01月01日至2015年03月31日,,-119645,-119645,,,97160,5092,-1461,6832,-5166,-22,-3873,,0.0,,,,,320678,62083,-96483,32559,,318837,,,-244139,-14022,-243783,-1899,,-503881,-185044,-90471,-210116,4908,-596,-18147,-223951,,-172815.0,0.0,,-136047,7132,0.0,-1773,0.0,,-305665,,0.0,0.0,-77,-77,-16189,-545882,2152834,1606952,1606952,,,696.0,,,,,,,,,489.0,,,-3989.0,,,-3347.0,,94573.0,-38.0,,,
2457,2014年度,,297764,297764,,,400566,18815,-2405,25513,-20064,-11794,-50716,0.0,11200.0,,359741.0,,,-5604,-72025,69756,184079,1989.0,178195,,,220058,-10394,30440,-13006,-253.0,226845,405040,764781,1062545,18843,-11301,-134838,935249,,-140733.0,,0.0,-747837,163481,-21310.0,-13723,-25468.0,10686.0,-732859,,0.0,0.0,0,463855,63844,730089,1422745,2152834,2152834,,0.0,5562.0,,-100000.0,1497331.0,-800000.0,,-4373.0,0.0,15535.0,0.0,3805.0,-137281.0,-3106.0,-3895.0,20948.0,0.0,,,,,,
2457,2014年01月01日至2014年09月30日,,196444,196444,,,302733,13783,1046,18283,-13999,-4228,21039,0.0,11200.0,10812.0,356296.0,,,-365435,-4293,105879,198074,104771.0,38996,,,219237,-30377,-72743,-15949,638.0,100806,139802,496098,692542,12953,-10423,-108631,586441,,0.0,50957.0,0.0,-545656,26431,-18511.0,-13123,-25468.0,10686.0,-507641,,0.0,0.0,0,460162,17815,556777,1422745,1979522,1979522,,0.0,0.0,,-100000.0,1497331.0,-800000.0,,-4373.0,0.0,7043.0,0.0,112.0,-137281.0,,,,,,,,,,
2457,2014年01月01日至2014年06月30日,,91290,91290,,,203840,6963,-1381,11356,-7029,-1839,8985,0.0,11200.0,3558.0,237548.0,,,-388008,-6443,-161024,187576,103491.0,-264408,,0.0,347939,-315,-42482,-18462,417.0,287097,22689,260237,351527,6993,-9837,-81883,266800,,0.0,50957.0,0.0,-385875,25470,-4879.0,-11403,-25468.0,6313.0,-337842,,0.0,0.0,-3,597328,1148,527434,1422745,1950179,1950179,1895.0,0.0,0.0,7043.0,-100000.0,1503000.0,-800000.0,-5669.0,,,,,,,,,,,,,,,,
