公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預收款項增加（減少）,　　 發放現金股利,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 收取之股利,　　 其他金融資產增加,　　 其他投資活動,　　 取得透過其他綜合損益按公允價值衡量之金融資產
1540,2016年01月01日至2016年09月30日,,32527,32527,,,10936,63,130,5649,26,-14760,46145.0,48189,,,0,1250,-38395,867,42841,-2910,3653,,-6387,-266,-3249,937,1405,-6,-25447,-21794,26395,58922,13657,-26,-23574,48979,,-573,-9.0,,,-166766,,,0,-79369,-46145.0,-243301,451831,208530,208530,-17881.0,-79369.0,,,0.0,,-166184.0,,0.0
1540,2016年01月01日至2016年06月30日,,32618,32618,,,7366,48,130,830,19,-10414,20471.0,18450,,,0,1564,-17656,498,34950,-1104,18252,,-7609,7658,-2440,938,711,-3,-11847,6405,24855,57473,10223,-19,-11439,56238,,-408,-6.0,,,-182859,,,0,0,-20471.0,-147092,451831,304739,304739,-11102.0,,,,0.0,,-182445.0,,0.0
1540,2016年01月01日至2016年03月31日,,15430,15430,,,3709,26,154,-19,11,-5280,,-1399,,,0,1755,-20418,-61,19007,-1294,-1011,,-8295,11422,-2462,937,-7418,-5,-5821,-6832,-8231,7199,5372,-11,-559,12001,,-408,52.0,,,-97732,,,0,0,,-85731,451831,366100,366100,,,,,,,-97376.0,,
1540,2015年度,,68318,68318,,,15096,119,72,-83,815,-16444,-20000.0,-20425,,,0,-1918,63583,4165,128110,169746,20425,,-21464,-75432,-7048,-3567,2270,0,235180,255605,235180,303498,17294,-863,-44335,275594,,-1496,-64.0,,0.0,-1560,,,-50000,-169056,0.0,104978,346853,451831,451831,,-119056.0,0.0,-343261.0,340421.0,0.0,0.0,0.0,
1540,2015年01月01日至2015年09月30日,,103215,103215,,,11394,92,72,-61,802,-11448,-39209.0,-38358,,,-20000,-3341,45801,3451,62612,1440,89963,,-10471,-55820,-1014,-3567,2486,-12,-76585,13378,-24980,78235,12971,-802,-43903,46501,,-1407,,-14.0,0.0,-1421,,,-50000,-169056,39209.0,-84767,852904,768137,768137,-8187.0,-119056.0,,,,,,,
1540,2015年01月01日至2015年06月30日,,63154,63154,,,7633,62,72,-35,918,-6671,8842.0,10821,,,-20000,-53,-1082,2160,5845,1816,-11314,,4762,-40974,-5859,-3567,2265,-7,-44970,-56284,-45463,17691,6563,-532,-26142,-2420,,-932,,-153.0,0.0,-1085,,200000.0,0,200000,-8842.0,187653,852904,1040557,1040557,-1590.0,,,,,,,,
1540,2015年01月01日至2015年03月31日,,48994,48994,,,3798,31,72,-7,107,-1600,8842.0,11243,,,-20000,-201,-21581,847,-20161,-8010,-69106,,6682,3156,-5498,0,-154,1,4187,-64919,-53676,-4682,928,-65,-93,-3912,,-692,-33.0,0.0,0.0,-725,,20000.0,0,20000,-8842.0,6521,852904,859425,859425,,,,,,,,,
1540,2014年度,,232124,232124,,,15674,138,11,-538,152,-5751,15729.0,25415,,,0,5468,-45142,-1299,-7329,-499803,-25415,,8288,16031,-18846,1295,-5490,0,-521983,-547398,-521983,-289859,3984,-250,-16703,-302828,,-3675,62.0,,0.0,117574,,,-80000,-183182,0.0,-368436,715289,346853,346853,,-103182.0,0.0,522690.0,-523261.0,0.0,0.0,121187.0,
1540,2014年01月01日至2014年09月30日,,134018,134018,,,11857,108,29,-517,84,-3690,-12039.0,-4168,,,455,5167,-18049,-1901,-42352,4166,-52514,,2106,32951,-6556,550,5253,40,17806,-34708,-38876,95142,2390,-84,-16544,80904,,-3675,,62.0,121187.0,117574,,,-130000,-233181,12039.0,-22664,715289,692625,692625,-16538.0,-103181.0,,,,,,,
1540,2014年01月01日至2014年06月30日,,95116,95116,,,7943,72,28,-295,67,-2450,4548.0,9913,,,-77707,3713,-14638,-1140,-34190,3361,-120601,,26,15360,13711,-966,3263,41,16424,-104177,-94264,852,1428,-76,-8053,-5849,,-2508,,36.0,119187.0,116715,,0.0,-130000,-130000,-4548.0,-23682,715289,691607,691607,-15011.0,,,,,,,,
1540,2014年01月01日至2014年03月31日,,59055,59055,,,3929,36,260,-197,46,-765,10713.0,14022,,,-228000,1334,-27141,-19,1850,-141,-252117,,-3478,-5969,2191,-336,4717,45,-2830,-254947,-240925,-181870,645,-149,-64,-181438,,-1912,0.0,25.0,119187.0,117300,,0.0,-130000,-130000,-10713.0,-204851,715289,510438,510438,,,,,,,,,
