公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 取得待出售非流動資產,　　 處分不動產、廠房及設備,　　 取得備供出售金融資產,　　 發放現金股利,　　　　 不動產、廠房及設備轉列費用數,　　　　　 其他應收款－關係人（增加）減少,　　 庫藏股票買回成本,　　 其他籌資活動,　　　　 股份基礎給付酬勞成本,　　 員工購買庫藏股,　　 償還公司債,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 舉借長期借款,　　 處分備供出售金融資產
3598,2016年01月01日至2016年03月31日,,27079,27079,,,20321,16851,,,1657,-189,0,,,,,0,14837,366417,,30126,-113227,-37,298116,,2764,38122,-134228,5817.0,9747,,-77622,220494,259134,286213,189,-1721,-1220,283461,,-82894,5335,-10672,-88231,,43535,0,,27397,-635,221992,879424,1101416,1101416,,,,,0.0,,,,-16138.0,,,,,,38640.0,156.0,,
3598,2015年度,,366110,366110,,,71558,62391,87.0,30.0,8221,-4069,-2444,-4886.0,,,,4054,-14213,-98727,0.0,-8277,450112,62672,395621,,-133811,-651066,-87241,,-26250,,-897815,-502194,-371306,-5196,4706,-7747,-116523,-124760,,-698725,-5643,-60464,-739677,,2579720,-3018325,,-485990,3305,-1347122,2226546,879424,879424,,,,,,-322885.0,,0.0,,,0.0,0.0,-19300.0,,130888.0,553.0,294800.0,25155.0
3598,2015年01月01日至2015年09月30日,,257322,257322,,,52440,46345,141.0,30.0,5669,-3378,-1654,-17805.0,,,,4054,393,69489,0.0,-11317,-49052,18583,32150,,64492,-759502,-74570,,-25805,,-794967,-762817,-681029,-423707,4015,-5295,-102939,-527926,,-643303,-5101,-43287,-680152,,2161959,-2273058,,-139184,18559,-1328703,2226546,897843,897843,,,,,,-322885.0,,,,,0.0,0.0,,,81788.0,418.0,294800.0,11539.0
3598,2015年01月01日至2015年06月30日,,142377,142377,,,33764,28325,92.0,30.0,-2952,-3107,-1654,-14369.0,,,,4054,507,175607,0.0,7612,-269594,12077,-69737,,118614,-849969,-155963,,-13803,,-900838,-970575,-930446,-788069,3744,-3019,-81404,-868748,,-387453,-6514,-11322,-393750,,1399088,-1538328,,155560,1669,-1105269,2226546,1121277,1121277,,,,,11539.0,,,,,,,,,,40129.0,283.0,294800.0,
3598,2015年01月01日至2015年03月31日,,95685,95685,,,16621,13868,127.0,23.0,1070,-1887,-1654,-1003.0,,,,4053,4,168851,0.0,9853,-333791,19657,-131373,,10942,-356596,-164053,,-496,,-510059,-641432,-614267,-518582,2122,-900,-745,-518105,,-22124,-224,-2051,-12860,,453600,-635880,,-182280,-169,-713414,2226546,1513132,1513132,0.0,,,,11539.0,,,,,,,,,,27165.0,144.0,,
3598,2014年度,,538313,538313,,,68911,38797,66091.0,-45.0,4243,-5504,0,227953.0,407196.0,,,0,-560,-25711,254081.0,-940,-353396,-57493,-172431,,72169,386839,131659,,-1310,483.0,589840,417409,824605,1362918,4896,-3975,-49421,1314418,,-193429,-1067,-55429,-249925,,2306527,-2367386,,-180933,594,884154,1342392,2226546,2226546,,,,0.0,0.0,-149357.0,0.0,11588.0,0.0,0.0,6750.0,32406.0,-3123.0,,,,,
3598,2014年01月01日至2014年09月30日,,388690,388690,,,55168,25133,-388.0,-35.0,3542,-3242,0,157387.0,244204.0,,,0,27,-60676,254081.0,-34337,-52310,-124212,-17427,,19047,248982,156997,,5149,362.0,430537,413110,657314,1046004,3051,-3452,-48821,996782,,-129397,-1886,-45245,-176528,,1549697,-1961036,,-528290,65,292029,1342392,1634421,1634421,,0.0,,0.0,0.0,-149357.0,,,,,6639.0,32406.0,,,,,,
3598,2014年01月01日至2014年06月30日,,183975,183975,,,39993,15658,-388.0,-66.0,2795,-2533,0,90330.0,145789.0,,,0,12,205297,37299.0,12739,-188118,-117719,-50490,,7956,49144,-32648,,6867,242.0,31561,-18929,126860,310835,2524,-2992,-34480,275887,,-92946,-2109,-4308,-99363,,1086402,-1630936,,-544534,-314,-368324,1342392,974068,974068,,0.0,,0.0,0.0,,,,,,,,,,,,,
3598,2014年01月01日至2014年03月31日,,89834,89834,,,21197,7529,-378.0,-78.0,1620,-1067,0,51870.0,80693.0,,,0,52,106057,48798.0,14243,-293115,-97808,-221773,,13804,-20772,-17373,,1798,120.0,-22423,-244196,-163503,-73669,995,-1535,-526,-74735,,-64557,-1180,-2452,-68189,,936451,-890235,,46216,-66,-96774,1342392,1245618,1245618,0.0,,,,,,,,,,,,,,,,,
3598,2013年度,,264108,264108,,,86287,22278,198.0,-39.0,7087,-3515,-1518,45597.0,156251.0,,,7520,-64,-56707,-80188.0,2250,-343447,-21166,-493184,,-101670,312949,-277724,,28054,712.0,-37679,-530863,-374612,-110504,3632,-6307,-71909,-185088,,-61263,-1252,-38611,-123713,,3972414,-3487998,,371173,501,62873,1279519,1342392,1342392,,,,124.0,-22711.0,-33944.0,-124.0,-1382.0,-11412.0,-67887.0,0.0,0.0,0.0,,,,,
