公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息收入,　　 收取之利息,　　 退還（支付）之所得稅,　　 處分投資性不動產,　　 其他金融資產減少,　　 應付短期票券減少,　　 存入保證金增加,　　 庫藏股票買回成本,　　 非控制權益變動,　　 預付投資款增加,　　 取得投資性不動產,　　 償還公司債,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 發放現金股利,　　 其他籌資活動,　　 對子公司之收購（扣除所取得之現金）,　　 短期借款減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　 其他非流動負債減少,　　 取得子公司股權,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產減少,　　　　 不動產、廠房及設備轉列費用數,　　　　 呆帳費用提列（轉列收入）數,　　 採用權益法之被投資公司減資退回股款,　　　　 股份基礎給付酬勞成本
1457,2016年01月01日至2016年09月30日,,97289,97289,,,155902,13159,63644,-13668.0,-63849,95.0,-69791.0,,,,123047,113045,57755,,98354,-13186,-320,-36666,342029,,-733,3686,-47185,-137420,2651,,0.0,-186121,155908,255217,352506,65480.0,-63923,340973,,,,,-10000.0,-28945,98504,-11782.0,-80845,-2544,,2476477,,1287275,-1319876,,-266122,-3835,68472,289926,358398,358398,-1345.0,1345.0,-14435.0,0.0,,,-2340.0,-4000.0,213341.0,,-22706.0,,13971.0,0.0,,,,0.0,-221144.0,,0.0,-2695855.0,,,,,,,,99309.0,-7120.0,,,,53230.0,1191.0
1457,2016年01月01日至2016年06月30日,,105630,105630,,,106312,7739,43348,-12402.0,-62079,95.0,-37124.0,,,,-65474,54082,67960,,3397,-25137,-432,-78214,-43818,,2188,-29569,24707,-94566,3438,,0.0,-98564,-142382,-92264,13366,18435.0,-38406,-16758,,,,,-7500.0,-15128,16229,,2890,84882,,1767090,,351240,-791495,,58845,-2662,124307,289926,414233,414233,-1101.0,1101.0,-11254.0,0.0,11802.0,,-3089.0,,213341.0,,-22420.0,,4139.0,0.0,,,,0.0,-31030.0,,0.0,-1447212.0,,,,,,,,50118.0,-4762.0,,0.0,,99009.0,1191.0
1457,2016年01月01日至2016年03月31日,,43621,43621,,,53986,3366,22017,,-12332,,,,,,-5445,13387,13813,,10833,-731,366,-13175,19048,,-2586,457,-13908,-45175,786,,0.0,-62812,-43764,95,43716,,-22006,19954,,,,,-5000.0,-10054,15207,2911.0,0,70411,,766030,,148500,-198774,-3019.0,31369,-664,121070,289926,410996,410996,-43.0,43.0,-1799.0,0.0,,,,,,,,,-123.0,0.0,,,,0.0,,,,-681368.0,-23012.0,,,,,,,43859.0,-2386.0,-29596.0,,,96943.0,
1457,2015年度,,557481,557481,,,208970,8882,83849,-17365.0,-122587,2612.0,-379801.0,,,,-213262,85310,76414,,72731,18449,-802,54493,93333,,-294096,-108008,81500,-32530,-11213,,-2051.0,-391282,-297949,-545063,12418,17365.0,-83630,-101557,,,,,0.0,-177744,289251,,-29083,353877,,2773249,,900485,-994423,,-150638,-16847,84835,205091,289926,289926,-1435.0,1435.0,-49145.0,314757.0,-20960.0,,-8323.0,0.0,,,-18744.0,0.0,-42601.0,-66015.0,5427.0,,8.0,-86657.0,-119721.0,,83049.0,-2701905.0,11191.0,0.0,,,0.0,0.0,,-247114.0,-24884.0,,,61759.0,,
1457,2015年01月01日至2015年09月30日,,507668,507668,,,153659,6379,61086,-17295.0,-41092,2620.0,-351056.0,,,,-197833,-111403,135158,,3803,-4736,-3317,62207,-116121,,-193870,-89654,78244,-16124,-1301,,-928.0,-226389,-342510,-605439,-97771,29012.0,-61483,-161506,,,,,0.0,-159323,172974,,-20209,259173,,2140547,,360000,-662898,,-97278,371,760,205091,205851,205851,-764.0,764.0,-32028.0,314746.0,-25880.0,,-12285.0,0.0,-40881.0,,-19528.0,0.0,-10462.0,-66004.0,,,0.0,-86656.0,-90557.0,,83049.0,-1791204.0,,,,,,,,-262929.0,-2756.0,,,,,
1457,2015年01月01日至2015年06月30日,,511701,511701,,,89050,3917,37911,-13096.0,-27868,2620.0,-370147.0,,,,-103088,-36712,239511,,6748,-2117,-3405,-63994,36943,,-157920,-105100,40634,-16370,-10616,,-199.0,-252327,-215384,-564593,-52892,13096.0,-37460,-96455,,,,,0.0,-35197,58879,0.0,-11207,294526,,1454460,,290000,-618150,,-85270,199,113000,205091,318091,318091,-278.0,278.0,-19477.0,289883.0,,,-10849.0,,0.0,,-4225.0,,-10197.0,-62152.0,,,0.0,-86656.0,,,83049.0,-1200731.0,,,,,,,,-349209.0,-2756.0,,1031.0,,,
1457,2015年01月01日至2015年03月31日,,118118,118118,,,40760,1792,18267,,-15628,,3045.0,,,,-89472,62609,5584,,-16615,-3432,-785,-28083,-70194,,-31767,25832,-24389,-8211,-7394,,-25.0,-49470,-119664,-128340,-10222,,-18176,-46188,,,,,,-16481,32988,0.0,0,289812,,556013,,190000,-413802,-10056.0,-200595,-123,42906,205091,247997,247997,-187.0,187.0,-17977.0,289883.0,,,,,,,,,5427.0,-62152.0,,,,-21395.0,,,0.0,-522750.0,,,,,,,,-8676.0,-3516.0,4817.0,,,,
1457,2014年度,,108327,108327,,,151356,28833,78293,-19001.0,-20110,-60312.0,-30896.0,217326.0,,,-106730,-8592,-68302,,210011,61598,6810,-34694,60101,,-138910,-837,-35785,2370,-17654,12318.0,,-178498,-118397,98929,207256,19001.0,-78727,146687,,,0.0,0.0,-7000.0,-149562,120329,,-26776,-41274,,2951288,,1370000,-910292,,-44532,851,61732,143359,205091,205091,-1805.0,1805.0,-2648.0,,4147.0,0.0,5565.0,-2169.0,,,-10578.0,-27600.0,-178.0,,,,49908.0,-22000.0,-48942.0,,258.0,-3360136.0,1146.0,90000.0,0.0,0.0,-19796.0,-2450.0,,,,,,,,
1457,2014年01月01日至2014年09月30日,,148288,148288,,,112737,25992,58834,-19001.0,-18648,-60298.0,-36356.0,63191.0,,,-97179,-70072,41553,,135884,55231,-4907,27791,88301,,-121760,-101,-38515,-7315,-10098,13396.0,-19771.0,-184164,-95863,-32672,115616,19001.0,-59309,75108,,,0.0,0.0,-7000.0,-115525,117472,,-7923,11889,,1219628,,980000,-641257,,-42266,-47,44684,143359,188043,188043,-241.0,241.0,-441.0,,-75.0,0.0,-1640.0,-2169.0,-30471.0,0.0,-762.0,-27600.0,172.0,,,,49894.0,-22000.0,-18471.0,,-2192.0,-1520286.0,,,,,,,,,,,,,,
1457,2014年01月01日至2014年06月30日,,116817,116817,,,74818,20719,40673,-11551.0,-17690,-60298.0,-33710.0,12809.0,,,-25068,-54282,-53717,,75815,45273,-9060,34129,13090,,-98190,9100,-47080,-8069,17597,17596.0,-19744.0,-128790,-115700,-102891,13926,11551.0,-40386,-15193,,,,0.0,-7000.0,-66750,115230,-75.0,1547,67892,,952986,,160000,-184224,,21600,-1019,73280,143359,216639,216639,-152.0,152.0,-436.0,,,0.0,4011.0,0.0,-15516.0,,-762.0,,,,,,49894.0,-22000.0,,,-2192.0,-895657.0,,,,,,,,,,,,,,
