公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得投資性不動產,　　 其他金融資產增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　 其他金融資產減少,　　 預付設備款增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 攤銷費用,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 應付短期票券減少,　　　　　 其他流動資產（增加）減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 存出保證金減少,　　　　 不動產、廠房及設備轉列費用數,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 處分無活絡市場之債券投資
2107,2015年01月01日至2015年09月30日,,801586,801586,,,71751,15380,-28199,-67164,-10326,42.0,0.0,620.0,-8244.0,-26140.0,,,-21182,31002,-40791,-59816,-42386,-1731146,-1864319,,-3986,-25740,-74650,0,-80429,10856,-71.0,-174020,-2038339,-2064479,-1262893,22852,67164,-14454,-200353.0,-1387684,,-258895,9000.0,0.0,-8164,0.0,-2842.0,0.0,-523801.0,-191.0,-784893,,1952000.0,229894.0,627.0,-1392130.0,-102108.0,688283,0,-1484294,1654772,170478,170478,,,,,,,,,,,,,,,,,,,
2107,2015年01月01日至2015年06月30日,,507148,507148,,,48431,7870,-18111,-186,-5560,0.0,0.0,620.0,,33064.0,,,-23148,-7018,-16401,-50220,-33313,-1730484,-1860584,,-392,-6412,-40717,0,-102795,6970,-71.0,-143417,-2004001,-1970937,-1463789,16538,186,-6833,-142339.0,-1596237,,-261420,9000.0,0.0,-6215,0.0,-2842.0,,-312676.0,5187.0,-568966,,0.0,,170.0,,,802170,0,-1363033,1654772,291739,291739,802000.0,,,,,,,,,,,,,,,,,,
2107,2015年01月01日至2015年03月31日,,356323,356323,,,24555,2892,-6312,-13,-8073,0.0,,620.0,,13669.0,,,22649,384,5845,-12125,-26417,-1762304,-1771968,,-30778,2663,-31961,0,-139603,5260,-43.0,-194462,-1966430,-1952761,-1596438,7004,13,-1826,-7474.0,-1598721,,-218307,,,-3089,0.0,-2842.0,,-82672.0,,-304438,,0.0,,,,,810020,0,-1093139,1654772,561633,561633,810000.0,0.0,2472.0,20.0,,,,,,,,,,,,,,,
2107,2014年度,,3510445,3510445,,,96250,2561,-31031,-56084,-5029,-83.0,29822.0,,,,,,-35086,-4963,-7376,49976,-37702,549872,514721,,-7488,-38531,22103,-924,-693413,-3410,,-746712,-231991,-195585,3314860,30642,56084,-2655,-248902.0,3150029,,-447630,31628.0,-20100.0,-57529,214.0,-4855.0,-280.0,-1078376.0,19937.0,-1550895,,-180000.0,,3420.0,-994379.0,0.0,-1170959,0,428175,1226597,1654772,1654772,,,0.0,,,0.0,0.0,36406.0,-25049.0,6096.0,0.0,,,,,,,,
2107,2014年01月01日至2014年09月30日,,3089332,3089332,,,71536,2142,-21803,-56072,-8112,-95.0,30852.0,0.0,0.0,18448.0,,,1923,-20106,-26255,11486,-58374,521560,430234,,-12561,-1149,33175,-924,-789292,24853,-22397.0,-768295,-338061,-319613,2769719,21490,56072,-2221,-240740.0,2604320,,-385956,15412.0,-20100.0,-36104,144.0,-1609.0,-280.0,-399480.0,7395.0,-820578,,-150000.0,0.0,950.0,-994379.0,0.0,-1143429,0,640313,1226597,1866910,1866910,,,,,,,,,,,,,,,,,,,
2107,2014年01月01日至2014年06月30日,,2228758,2228758,,,47666,1600,-13610,-247,-5363,-95.0,31550.0,0.0,,61501.0,,,-70335,-139883,-8775,15017,-62343,391958,125639,,-10949,27622,17167,-924,-518569,15449,-22397.0,-492601,-366962,-305461,1923297,13968,247,-1720,-166050.0,1769742,,-264466,4715.0,-20100.0,-33091,144.0,0.0,,-368553.0,7905.0,-673446,,-50000.0,,647.0,,,-49353,0,1046943,1226597,2273540,2273540,0.0,,,,,,,,,,,,,,,,,,
2107,2014年01月01日至2014年03月31日,,366433,366433,,,23799,973,-6099,-12,-837,-2.0,,0.0,,17822.0,,,-2614,-7956,76,14326,-62603,91281,32510,,-32014,24254,-7210,-619,79064,17521,-9.0,80987,113497,131319,497752,6457,12,-1094,-7872.0,495255,,-249290,,,-30483,2.0,0.0,,0.0,,-66376,,-50000.0,,,,,-50103,0,378776,1226597,1605373,1605373,0.0,193451.0,19944.0,-103.0,,,,,,,,,,,,,,,
2107,2013年度,,2099830,2099830,,,102474,4705,-12074,-31561,-10810,-82.0,-81530.0,,,,,,17708,-18433,11335,30576,-4534,530745,567397,,11974,-38110,55492,234,306405,-26436,,309293,876690,894739,2994569,11727,31561,-3853,-148020.0,2885984,,-282807,416629.0,0.0,-19633,180.0,-540.0,0.0,-727259.0,0.0,-629864,,0.0,,4684.0,-894941.0,0.0,-1439429,0,816691,409906,1226597,1226597,,,-17851.0,,,105.0,46822.0,18049.0,-266.0,1417.0,-549172.0,,,,,,,,
2107,2013年01月01日至2013年12月31日,,2099830,2099830,,,102474,4705,-12074,-31561,-10810,-82.0,-81530.0,,,,,,17708,-18433,11335,30576,-4534,530745,567397,,11974,-38110,55133,593,306405,-26436,,309293,876690,894739,2994569,11727,31561,-3853,-148020.0,2885984,,-282807,416629.0,,-19633,180.0,-540.0,,-727259.0,,-629864,,,0.0,4684.0,-894941.0,0.0,-1439429,0,816691,409906,1226597,1226597,0.0,0.0,-17851.0,,,105.0,46822.0,18049.0,-266.0,1417.0,-549172.0,0.0,0.0,,,,,,
2107,2013年01月01日至2013年09月30日,,1684740,1684740,,,79166,3769,-6757,-31550,-8255,4.0,-81435.0,,,,,,9637,-83854,8384,4573,-3365,420599,353782,,-15751,-21799,62228,-490,230020,-12644,,241378,595160,550207,2234947,6455,31550,-3291,-141488.0,2128173,,-246338,308552.0,0.0,-10602,0.0,-540.0,0.0,-647931.0,0.0,-613331,,0.0,,659.0,-894941.0,,-1443454,0,71388,409906,481294,481294,,,-17889.0,,,105.0,,-44953.0,-186.0,1417.0,-549172.0,-2192.0,,,,,,,
