公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 因合併產生之現金流入,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產重分類淨損失（利益）,　　　　 應付公司債匯率影響數,　　 其他非流動資產增加,　　 存入保證金減少,　　　　 處分無形資產損失（利益）,　　 發行公司債,　　 發放現金股利,　　 非控制權益變動,　　 取得子公司股權,　　 取得按攤銷後成本衡量之金融資產,　　 其他投資活動,　　　　　 其他營業資產（增加）減少,　　 以成本衡量之金融資產減資退回股款,　　 處分無形資產,　　 其他預付款項減少,　　 取得備供出售金融資產,　　 現金增資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分子公司,　　　　　 其他流動資產（增加）減少,　　 庫藏股票買回成本,　　 其他籌資活動,　　 處分備供出售金融資產,　　　　 處分投資損失（利益）,　　 處分採用權益法之投資,　　 短期借款增加
3698,2016年01月01日至2016年09月30日,,-158378,-158378,,,1209900,62983,-39482.0,40485,-14417,16933.0,4418,0,,,,414122,86262,-93350.0,-177133,67478,,384156,-235787,,-38111,110258,177736,1388915,1230537,13996,-8286,-7482.0,1228765,,,,-385397,7695,-16330.0,,,,-311617,,0.0,,-1798750.0,786.0,1366,-2481290,-43521,-1607663,5240128,3632465,3632465,,,-40358.0,0.0,,,-364203.0,,,,,-162423.0,,,,,,,1211179.0,-1157.0,0.0,,-320489.0,,,-68484.0,122773.0,
3698,2016年01月01日至2016年06月30日,,-135943,-135943,,,860455,42918,-37088.0,29095,-10407,16763.0,902,0,,,,309451,168868,,-36571,333302,,124074,-211346,,-45342,-132614,200688,1033857,897914,10444,-7957,-5534.0,894867,,,,-275341,4058,-17108.0,,,,-189343,,0.0,,-1798750.0,140.0,1250,-2117849,-20017,-1432342,5240128,3807786,3807786,,,-23725.0,,,,,,,,,-100235.0,,,,,,,833169.0,-985.0,0.0,-8211.0,-320489.0,,,-68484.0,122773.0,
3698,2016年01月01日至2016年03月31日,,-17849,-17849,,,455076,22096,-66824.0,17610,-5255,8998.0,844,204,,,,585550,994,,-22862,475818,,58756,-239673,,-16992,-197909,277909,642174,624325,5298,-7715,-3879.0,618029,,,,-172071,1130,,972.0,,,-54542,,,,-1798750.0,147.0,1185,-1797919,-14705,-1249137,5240128,3990991,3990991,,,-7346.0,,,,,,,,0.0,-47614.0,,,,,,,364265.0,,,-40250.0,-501.0,,,-68484.0,122773.0,0.0
3698,2015年度,,304398,304398,,,2080207,77278,-37849.0,87214,-32134,53317.0,-10873,-18335,,,,175567,-199640,,-164571,-39378,,189661,-1608,,19005,207058,167680,2199415,2503813,32639,-46073,-154015.0,2336364,,,,-624023,416525,-992.0,0.0,,,-311352,,-924629.0,,-1250.0,,6793,-2198179,16113,-157054,5397182,5240128,5240128,,,-141762.0,-775.0,,0.0,-660317.0,0.0,,,,-7125.0,0.0,,0.0,0.0,0.0,,2031735.0,-167090.0,-35978.0,156391.0,-618001.0,,74878.0,,,
3698,2015年01月01日至2015年09月30日,,263235,263235,,,1576275,58117,57777.0,67603,-25547,48760.0,-3171,-14681,,,,174074,-346735,,-135332,-151519,,284289,-248583,,16551,52257,-99262,1495820,1759055,25517,-36882,-132479.0,1615211,,,,-492888,449403,-1322.0,0.0,,,-125119,,-924629.0,,0.0,0.0,6381,-1855992,19265,-346635,5397182,5050547,5050547,,,-44334.0,-772.0,,0.0,-660316.0,0.0,,,,44674.0,0.0,,0.0,,,,1595082.0,-170051.0,-35978.0,111800.0,-276656.0,0.0,,,,
3698,2015年01月01日至2015年06月30日,,225123,225123,,,1054806,38260,-52397.0,47908,-19446,43039.0,-1362,-14681,,,,439236,-313602,152551.0,-42610,235575,,-182466,-74336,,3731,-253071,-17496,1060645,1285768,19709,-27282,-80597.0,1197598,,,,-368851,87968,,,,,-351599,,-474987.0,,0.0,2133.0,6371,-466483,-1343,378173,5397182,5775355,5775355,,,-33911.0,,,0.0,,,,,-827.0,0.0,0.0,,0.0,,,,1078141.0,-17986.0,-35978.0,,,,,,,
3698,2015年01月01日至2015年03月31日,,180851,180851,,,527111,19300,-89846.0,24560,-7669,22154.0,2583,-17584,,,,336246,-331379,111119.0,6896,122882,,-36597,-136451,5817.0,0,-167231,-44349,436260,617111,7037,-13770,-5347.0,605031,,,,-186854,4335,,584.0,,,-202269,,1692.0,,0.0,0.0,6247,7939,-5525,405176,5397182,5802358,5802358,,,-20334.0,,,0.0,,,,,0.0,,,,,,,,480609.0,,,,,,,,,
3698,2014年度,,739407,739407,,,2046212,52497,41736.0,132388,-40610,102592.0,12694,3351,2350860.0,,,-452850,-747581,177730.0,3384,-1019317,,198543,-126233,,-25168,47142,-972175,1378685,2118092,43560,-92596,-150156.0,1918900,,0.0,,-2112821,32600,,703.0,0.0,-85237.0,-2096235,,-142895.0,,-3143693.0,,33649,587569,33337,443571,4953611,5397182,5397182,,,,-291.0,,1995000.0,-669201.0,,25000.0,,,,1050.0,,141492.0,-74022.0,2490000.0,,,,,,,,,,,
3698,2014年01月01日至2014年09月30日,,573584,573584,,,1533300,35200,21667.0,100642,-34370,88705.0,9291,-4260,1750175.0,,,-674771,-521501,109671.0,29544,-1057878,,558673,-188417,,-7977,362279,-695599,1054576,1628160,35808,-71625,-150697.0,1441646,,0.0,,-997673,15470,,,0.0,-61980.0,-900469,,-236610.0,,-3035002.0,1594.0,32929,-1886290,24990,-1320123,4953611,3633488,3633488,,,,,0.0,1995000.0,-669201.0,,25000.0,,1172.0,-821.0,1050.0,,141492.0,,,,,,,,,,,,,
3698,2014年01月01日至2014年06月30日,,210131,210131,,,1021677,20618,-41583.0,73603,-25814,56968.0,7796,109,1113374.0,,,-282207,-473230,138463.0,19830,-597690,,277327,-18149,,-13534,245644,-352046,761328,971459,24988,-54481,-148537.0,793429,,0.0,,-515703,8243,,,0.0,-31245.0,-395637,,-238233.0,,-2303769.0,641.0,28090,-518271,10256,-110223,4953611,4843388,4843388,,,,,0.0,1995000.0,,,,,526.0,-546.0,1050.0,0.0,141492.0,,,,,,,,,,,,,
3698,2014年01月01日至2014年03月31日,,23393,23393,,,510334,9569,-8960.0,42705,-11877,19917.0,9928,11594,583210.0,,,218029,-311889,-49996.0,-21650,-165506,,37886,-79447,-18098.0,79445,19786,-145720,437490,460883,10469,-44313,,427039,,,,-276769,8234,128.0,,0.0,,-144678,,-199431.0,,-2324536.0,730.0,26544,-501693,4739,-214593,4953611,4739018,4739018,,,-17763.0,,,1995000.0,,,,0.0,141492.0,,,,,,,,,,,,,,,,,
3698,2013年度,,1084896,1084896,,,1970885,40900,16394.0,165807,-30233,88581.0,13997,-595773,1670558.0,,,476181,-126079,-101055.0,61481,310528,,-725666,-153535,,22623,-856578,-546050,1124508,2209404,26535,-159430,-17631.0,2058878,,-9875.0,,-669412,53635,,1043.0,1872412.0,-13342.0,1234461,,750516.0,,-1867121.0,,4114,-1299292,-32969,1961078,2992533,4953611,4953611,,,,1223.0,,0.0,-225524.0,,37500.0,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,
3698,2013年01月01日至2013年12月31日,,1084896,1084896,,,1970885,40900,16394.0,165807,-30233,88581.0,13997,-595773,1670558.0,,,476181,-126079,-101055.0,61481,310528,,-725666,-153535,,22623,-856578,-546050,1124508,2209404,26535,-159430,-17631.0,2058878,,-9875.0,0.0,-669412,53635,,1043.0,1872412.0,-13342.0,1234461,,750516.0,,-1867121.0,,4114,-1299292,-32969,1961078,2992533,4953611,4953611,,,,1223.0,,0.0,-225524.0,,37500.0,,,,,,,,,,,,,,,,,,,
3698,2013年01月01日至2013年09月30日,,1039782,1039782,,,1472235,31995,,126910,-20181,25498.0,6905,-536074,1104649.0,,,-202570,-213582,-95318.0,52110,-459360,,-500304,-190527,38878.0,-2461,-654414,-1113774,-9125,1030657,17546,-126867,-17631.0,903705,,-9875.0,0.0,-489827,40716,,229.0,1872412.0,,1398331,,304155.0,-1349231.0,,,3831,-1228554,-21463,1052019,2992533,4044552,4044552,-24456.0,,-15324.0,715.0,21817.0,0.0,-225524.0,37500.0,,,,,,,,,,,,,,,,,,,,
