公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 取得無活絡市場之債券投資,　　 取得無形資產,　　 其他預付款項增加,　　 其他應付款－關係人減少,　　 現金增資,　　　　 金融資產減損損失,　　 其他非流動負債增加,　　　　　 持有供交易之金融負債增加（減少）,　　 處分無活絡市場之債券投資,　　 發行公司債,　　 非控制權益變動,　　　 收益費損項目,　　　　 收益費損項目合計,　　 處分無活絡市場之債務工具投資,　　 取得無活絡市場之債務工具投資
1589,2015年01月01日至2015年09月30日,,1224743,1224743,,,346876,2404,6504,28276,-43056,1409,1630,-36379,5902,,,,-101856,-500003,74769,-35809,32678,-530221,,-30215,53932,102264,9783,136243,-393978,-81647,1143096,-8456,-277731,856909,,-582428,982,-17382,,-599641,43613,-1224722,,81224.0,,6427.0,0.0,0.0,-667094.0,1914011,44835,1591033,2942384,4533417,4533417,-1235.0,,-2741.0,-67125.0,,0.0,,,479.0,,2493454.0,0.0,,312331.0,0.0,
1589,2015年01月01日至2015年06月30日,,753745,753745,,,228211,1480,380,16596,-29718,832,-4090,-2349,3699,,,,5827,-409824,128210,14507,88264,-173016,,-222972,-11894,24275,4518,-205594,-378610,-185117,568628,-4381,-163661,400586,,-281736,352,5,,-396770,30695,-712773,,30344.0,,,0.0,0.0,,30344,-52226,-334069,2942384,2608315,2608315,-21548.0,,0.0,-65319.0,,,,,479.0,,0.0,,,193493.0,,0.0
1589,2015年01月01日至2015年03月31日,,310900,310900,,,114086,746,-110,8738,-15592,76,2078,22157,1788,,,,28994,-93499,106482,-16797,75222,100402,,-160526,-97134,-27935,7699,-276517,-176115,-67798,243102,-2457,-50476,190169,,-57748,123,-235138,,-330869,16592,-607040,,0.0,-124730.0,358.0,,0.0,,-124372,-21844,-563087,2942384,2379297,2379297,-25650.0,,,,,,,,1379.0,,,,,108317.0,0.0,
1589,2014年度,,1321077,1321077,,,428078,2298,-66501,54848,-45441,261,5717,-16670,6869,369130.0,,,-25630,160156,-235836,5684,-16743,-112369,,72680,86667,99293,-5050,255533,143164,512294,1833371,-39299,-298759,1495313,,-268270,868,-6601,,-341440,43763,-548018,,,-689836.0,,-719190.0,-23.0,-353112.0,319104,119274,1385673,1556711,2942384,2942384,-329.0,0.0,-1009.0,0.0,,468854.0,0.0,,1943.0,24671.0,1496286.0,116125.0,,,,
1589,2014年01月01日至2014年09月30日,,961819,961819,,,318020,1771,-44148,44675,-29089,255,-927,24187,5120,321674.0,,,-30354,33883,-190930,29206,-78237,-236432,,190903,54276,65742,-6187,306677,70245,391919,1353738,-36272,-236182,1081284,,-188004,1003,-6857,0.0,-313058,28839,-454561,,-576560.0,,,-714336.0,-23.0,-353112.0,355947,28563,1011233,1556711,2567944,2567944,1810.0,0.0,-1003.0,0.0,,468854.0,,,1943.0,24519.0,1496286.0,34838.0,,,,
1589,2014年01月01日至2014年06月30日,,665014,665014,,,212805,1237,-37042,34638,-18086,127,-1791,7140,3425,206015.0,,,-56832,-49982,-116605,26665,-37472,-234226,,202206,4084,21101,-4216,225118,-9108,196907,861921,-33219,-142485,686217,,-95021,836,-24512,,-143867,17745,-253640,,-670574.0,,,-716974.0,-23.0,,108715,-4031,537261,1556711,2093972,2093972,3562.0,-7872.0,-949.0,0.0,,,,,1943.0,,1496286.0,,,,,
1589,2014年01月01日至2014年03月31日,,267465,267465,,,106721,600,-15814,14762,-6464,270,-3176,-3007,1724,108375.0,,,3755,-436,-145951,11123,45459,-86050,,-8506,86117,-37078,-4043,38433,-47617,60758,328223,-14026,-70487,243710,,-44805,54,-4751,,-71315,6370,-109495,,38037.0,,75513.0,,-23.0,0.0,113527,21080,268822,1556711,1825533,1825533,12759.0,,,,,,,0.0,1943.0,4952.0,,,,,,
1589,2013年度,,729576,729576,,,408888,2147,62094,71270,-14507,1978,-16508,-8229,7025,588659.0,,,-6009,-464450,-90445,-148758,-174262,-883924,,339452,96910,19835,18739,474936,-408988,179671,909247,-71943,-159725,677579,,-97166,19286,-1590,,-106129,14507,-188028,,,-108794.0,,-65415.0,-289.0,-262311.0,-436809,73770,126512,1430199,1556711,1556711,-1902.0,-23964.0,-3170.0,10198.0,,0.0,76403.0,,0.0,0.0,0.0,0.0,,,,
1589,2013年01月01日至2013年12月31日,,729576,729576,,,408888,2147,61354,71270,-14507,1978,-16508,-8229,7025,587919.0,,,-6009,-463710,-90445,-148758,-174262,-883184,,339452,96910,19835,18739,474936,-408248,179671,909247,-71943,-159725,677579,,-97166,19286,-103,0.0,-106129,14507,-188028,,,-108794.0,0.0,-65415.0,-289.0,-262311.0,-436809,73770,126512,1430199,1556711,1556711,-1902.0,-25451.0,-3170.0,10198.0,0.0,0.0,76403.0,0.0,,,,,,,,
1589,2013年01月01日至2013年09月30日,,523905,523905,,,304810,1546,45100,52430,-5669,317,-16204,-786,5346,386445.0,,,-37386,-365650,-30177,-106719,-193626,-733558,,70129,149039,9886,37231,266285,-467273,-80828,443077,-52426,-103791,286860,,-45286,7247,0,193.0,-77767,5669,-139926,,200473.0,0.0,0.0,-49898.0,,-262311.0,-111736,40561,75759,1430199,1505958,1505958,-445.0,-37728.0,-2431.0,10177.0,0.0,0.0,,,,,,,,,,
