公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 償還長期借款
8404,2014年度,,564865,564865,,,240208,7261,8312,16943,-45019,3212,-18713,-689,-2977,208538,,,3091,8143,-8213,62412,-4095,61338,,-53201,16093,2371,-43629,822,-77544,-16206,192332,757197,45019,-14550,-125701,661965,,0.0,0,-84208,4381,4341,0.0,-13085.0,190,-1067,-89448,,313333,189900.0,-223318.0,0,279915,39917,892349,976725,1869074,1869074,
8404,2014年01月01日至2014年09月30日,,401755,401755,,,175490,5440,-1479,11976,-30534,1157,-22404,-301,-2115,137230,,,3331,71204,-1861,57910,-4097,126487,,-24086,-8610,659,-26119,4148,-54008,72479,209709,611464,30534,-9820,-98117,534061,,0.0,0,-64069,1909,5079,,-10088.0,137,-7382,-74414,,126951,182520.0,-223318.0,0,86153,-4020,541780,976725,1518505,1518505,
8404,2014年01月01日至2014年06月30日,,291623,291623,,,117423,3633,-3624,7338,-17879,808,-13405,-868,-1549,91877,,,553,57921,12814,62860,-2614,131534,,-86200,-33292,891,-45209,3018,-160792,-29258,62619,354242,17879,-6518,-61850,303753,,,0,-20962,897,-10894,,-4790.0,128,-15685,-51306,,113755,,,0,113755,-43457,322745,976725,1299470,1299470,
8404,2014年01月01日至2014年03月31日,,132909,132909,,,59986,1846,127,3036,-7935,213,-1837,675,-743,55368,,,1999,-37171,6227,18170,-5796,-16571,,23619,-44060,-1596,-33818,1893,-53962,-70533,-15165,117744,7935,-3484,-26223,95972,,,0,-11971,322,0,,-265.0,0,-2025,-13939,,49175,,,0,49175,28849,160057,976725,1136782,1136782,
8404,2013年度,,452069,452069,,,218061,11728,9266,11411,-33368,2628,-10662,-458,-2980,205626,,,-4312,23592,9716,-15004,-33698,-19706,,-38077,32517,1563,51090,3892,50985,31279,236905,688974,33368,-11292,-104415,606635,,-67636.0,218284,-144611,5533,-11256,-228.0,-1032036.0,186,-42931,-1074695,,70916,0.0,-116114.0,-32869,-78067,82040,-464087,1440812,976725,976725,
8404,2013年01月01日至2013年12月31日,,452069,452069,,,218061,11728,9266,11411,-33368,2628,-10662,-458,-2980,205626,,,-4312,23592,-1536,-15004,-33698,-30958,,-38077,32517,1563,51090,3892,50985,20027,225653,677722,33368,-11292,-104415,595383,,-67636.0,218284,-144611,5533,-4,-228.0,-1032036.0,186,-42931,-1063443,,70916,,-116114.0,-32869,-78067,82040,-464087,1440812,976725,976725,0.0
8404,2013年01月01日至2013年09月30日,,323620,323620,,,164357,7730,5845,8348,-28598,2177,-12972,-1484,-2225,143178,,,-991,85387,8228,-31167,-18697,42760,,-70566,-9891,179,63459,2885,-13934,28826,172004,495624,28598,-8066,-92627,423529,,-67636.0,147356,-136270,3449,-6377,,-528844.0,-41,-32525,-620888,,44004,0.0,-116114.0,-32869,-104979,63782,-238556,1440812,1202256,1202256,
8404,2013年01月01日至2013年06月30日,,238733,238733,,,109507,5068,5584,5555,-19169,1397,-6506,-350,-1476,99610,,,-5543,50454,7099,30286,-18301,63995,,-108766,-45714,924,67191,1923,-84442,-20447,79163,317896,19169,-5658,-33317,298090,,,147356,-88919,1525,6,,-526963.0,743,-20843,-487095,,-25960,,,-32869,-58829,25262,-222572,1440812,1218240,1218240,
8404,2013年01月01日至2013年03月31日,,76761,76761,,,54569,2473,3149,3278,-11667,1296,-9715,129,-726,42786,,,-2724,164893,-2462,-13790,-4164,141753,,-81036,-35420,-501,8340,961,-107656,34097,76883,153644,11667,-2553,-17712,145046,,,147356,-56117,1108,-197253,,0.0,739,-5151,-109318,,1529,,,-32869,-31340,38953,43341,1440812,1484153,1484153,
8404,2012年01月01日至2012年12月31日,,306776,306776,,,209544,7111,-3097,18086,-51688,22743,-12196,-63,-2898,187542,,,5238,151591,-8497,143881,-2949,289264,,56029,-24661,-4845,16320,27346,70189,359453,546995,853771,51688,-20785,-30334,854340,,-150062.0,72093,-76835,15820,-890,0.0,0.0,-3056,-26121,-169051,,-389797,,-42466.0,-62302,-642532,-68579,-25822,1466634,1440812,1440812,-147967.0
