公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 處分無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　 收取之股利,　　 其他金融資產增加,　　 短期借款增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得持有至到期日金融資產,　　 其他非流動資產減少,　　 庫藏股票買回成本,　　 存出保證金減少,　　 存出保證金增加
2376,2015年01月01日至2015年09月30日,,2039365,2039365,,,289784,151843,41765,-3690,1013,-106284,32170,1962,-29936,0.0,0.0,378627.0,,,-14884,-1143,-568617,-55588,22616,78106,0.0,-539510,,-6249,800224,678274,40104,-77119,9373,1444607,905097,1283724,3323089,115305,-1013,-534632,2902749,,-118977,92501,0.0,0.0,0.0,0.0,0.0,-106415,2043,-41327,1134860.0,-70461.0,892224,,-281.0,5449.0,-1701050.0,2142,0.0,-1693740,87187,2188420,9336355,11524775,11524775,,,,,,,,,,,,,,
2376,2015年01月01日至2015年06月30日,,1055485,1055485,,,194306,101509,41577,3405,663,-75197,23988,118,-30292,,,253923.0,,,-132372,-1480,634609,21607,1021342,45917,,1589623,,117,-83515,190351,35070,-188243,-3476,-49696,1539927,1793850,2849335,65630,-663,-291699,2628757,,-100199,91070,0.0,0.0,,,,-59941,1906,-37293,,-45021.0,-390968,,,,,2142,,16375,-97181,2156983,9336355,11493338,11493338,-6154.0,6154.0,-241490.0,14837.0,-604.0,,,,,,,,,
2376,2015年01月01日至2015年03月31日,,559680,559680,,,97623,50757,110385,-22868,382,-33671,8354,37,-29574,,,181425.0,,,-96951,629,-168232,1676,-491657,41330,,-713205,,15650,-467757,97808,40174,-206135,5552,-514708,-1227913,-1046488,-486808,33671,-382,-51917,-505436,,-21931,61972,,,,,,-43709,1192,-3237,,-44110.0,-501338,,,,,1547,,16190,-9416,-1000000,9336355,8336355,8336355,,,-451515.0,14802.0,-159.0,,,,,,,,,
2376,2014年度,,2944346,2944346,,,346643,173154,25661,-43343,18478,-217218,-8648,33789,-38843,654.0,0.0,,,,370560,3753,-407388,37660,-504540,-60586,0.0,-560541,,12693,64591,492371,-27522,25959,1160,569252,8711,275969,3220315,217218,-18478,-595625,2846499,,-216990,244096,84000.0,,-48600.0,79200.0,0.0,-418338,26696,-59721,3279771.0,-168881.0,2820999,,-2534323.0,,-1884017.0,27708,7840.0,-4390482,-87067,1189949,8146406,9336355,9336355,-23069.0,23069.0,,,-7690.0,,267258.0,0.0,19766.0,0.0,,,,
2376,2014年01月01日至2014年09月30日,,2315186,2315186,,,274086,139582,25179,-40102,17723,-179372,-1087,29523,-36395,0.0,0.0,229137.0,,,98663,2222,-1423410,18912,-858219,16827,0.0,-2145005,,21499,229451,1083699,-72812,-137678,-44048,1080111,-1064894,-835757,1479429,173555,-17723,-544848,1090413,,-171827,208664,63000.0,19766.0,-48600.0,0.0,79200.0,-378149,28939,-34242,2741600.0,-185463.0,2322888,,-2514190.0,-8286.0,-1884017.0,3313,7839.0,-4395341,8901,-973139,8146406,7173267,7173267,,,,,,,,,,,,,,
2376,2014年01月01日至2014年06月30日,,1516227,1516227,,,181360,92993,-15608,-43016,16987,-141872,9131,26855,-22097,,,104733.0,,,238319,5273,-300763,27507,-169103,-32417,,-231184,,93927,-293201,691846,-45831,-127318,-42962,276461,45277,150010,1666237,136309,-16987,-366567,1418992,,-149743,159895,63000.0,19766.0,,,,-341189,28949,-30108,,-54904.0,1492508,,,,,3194,,-2055202,-66108,790190,8146406,8936596,8936596,0.0,0.0,1796842.0,-2047326.0,-11070.0,,,,,,,,,
2376,2014年01月01日至2014年03月31日,,873017,873017,,,88067,45023,-24560,-27721,8601,-72048,7605,15509,-2507,,,37969.0,,,73359,4483,-992912,70699,-293798,-38318,,-1176487,,9053,683411,634579,-3124,-17491,-10831,1295597,119110,157079,1030096,70212,-8601,-1662,1090045,,-70865,25386,,,,,,-311290,267,-58265,,-11018.0,187418,,,,,3194,,-210125,-68718,998620,8146406,9145026,9145026,,,613203.0,-213782.0,463.0,,,,,,,,,
2376,2013年度,,2732357,2732357,,,376857,179647,65417,-3151,26109,-158977,13701,3433,-44765,0.0,7483.0,,,,57865,-2853,-510384,-124783,-850925,-153122,0.0,-1584202,,12830,-962639,915404,85911,78806,41007,171319,-1412883,-962326,1770031,158977,-26109,-115244,1802852,,-427477,303217,45000.0,,-207000.0,0.0,88000.0,-199288,5946,-130225,-3124631.0,11521.0,-3732188,,2390352.0,,-1252453.0,8990,-1724.0,1147974,190105,-591257,8737663,8146406,8146406,-15197.0,15197.0,,,2809.0,,450557.0,-67155.0,118314.0,-148410.0,,,,
2376,2013年01月01日至2013年12月31日,,2732357,2732357,,,376857,179647,65417,-3151,26109,-158977,13701,3433,-44765,,7483.0,,,,57865,-2853,-510384,-124783,-850925,-153122,,-1584202,,12830,-962639,915404,85911,78806,41007,171319,-1412883,-962326,1770031,158977,-26109,-115244,1802852,,-427477,303217,45000.0,,-207000.0,,88000.0,-199288,5946,-130225,,,-3732188,,,,-1252453.0,8990,-1724.0,1147974,190105,-591257,8737663,8146406,8146406,-15197.0,15197.0,-3124631.0,2390352.0,2809.0,,450557.0,-67155.0,118314.0,-148410.0,11521.0,0.0,,
2376,2013年01月01日至2013年09月30日,,2246091,2246091,,,279737,139902,25741,1685,14029,-113986,-5096,-1058,-34873,,,,,,348504,-3571,-984495,-14552,-784922,-211165,,-1650201,,6268,-298001,1320400,93400,-27560,-4530,1089977,-560224,-254143,1991948,113986,-14029,-101800,1990105,,-269473,211338,45000.0,,-207000.0,,88000.0,-154962,5545,-121577,-3416960.0,21876.0,-3918232,,2630062.0,,-1252453.0,5841,-1724.0,1386762,123431,-417934,8737663,8319729,8319729,,,,,5036.0,,306081.0,-67155.0,94256.0,-147120.0,,,,
2376,2013年01月01日至2013年06月30日,,1272087,1272087,,,189568,93763,8045,5952,5314,-62259,415,2211,-16296,,,,,,697252,-3252,-178434,8621,14030,-27169,,511048,,8020,403122,933321,78866,-251598,3859,1175590,1686638,1913351,3185438,62259,-5314,-94970,3147413,,-230023,144157,0.0,,,,,-117908,1207,-85360,-2678219.0,16224.0,-3093677,,2212700.0,,,4952,,2222731,166197,2442664,8737663,11180327,11180327,,,,,5079.0,,226713.0,-67156.0,70521.0,-147120.0,,,,
2376,2013年01月01日至2013年03月31日,,677371,677371,,,92659,41377,15286,-1041,1250,-25168,-165,1280,-7426,,,,,,-103989,1831,-392263,-39891,1035485,118825,,619998,,-5681,-1163321,541846,-8069,68259,42840,-524126,95872,213924,891295,24947,-1250,-806,914186,,-106830,50993,,,,,,-64786,1195,-49629,-1555441.0,-17902.0,-1787901,,1247531.0,4877.0,,3365,,1255773,89879,471937,8737663,9209600,9209600,,,,,,,118052.0,-45501.0,,,,,,
2376,2012年01月01日至2012年12月31日,,1772852,1772852,,,387792,131605,9793,-11538,2356,-93333,14462,-20413,-42786,,5644.0,,,,-76801,7349,-1526171,313278,-622615,220388,,-1684572,,-10526,1466591,-74331,-68762,188173,-75023,1426122,-258450,101543,1874395,93333,-2356,-433788,1555173,,-252963,225860,37500.0,,0.0,,0.0,-207788,42741,-153148,,,-715035,,,,-1248645.0,74689,-2443.0,-1420727,-80020,-660609,9398272,8737663,8737663,-23589.0,23589.0,-290000.0,114717.0,-19991.0,,359993.0,-69593.0,0.0,0.0,-47644.0,-339054.0,,
2376,2012年01月01日至2012年09月30日,,1518485,1518485,,,295594,100905,-25831,-14572,2356,-93333,12325,-24343,-24060,,,,,,-457900,-25766,-2512269,326834,-1662976,122941,-11806.0,-4220942,,-2977,2974477,884479,-4724,-9388,-31055,3810812,-410130,-181089,1337396,93333,-2356,-431011,997362,,-144879,98955,37655.0,,0.0,,0.0,-162397,63208,-134569,,,-638710,,,,-1248645.0,67985,-2443.0,-1427943,-80792,-1150083,9398272,8248189,8248189,,,-290000.0,100279.0,-6065.0,,229041.0,-117201.0,0.0,0.0,10518.0,-339054.0,,
2376,2012年01月01日至2012年06月30日,,738021,738021,,,194168,64465,-16397,-3148,1058,-46763,-12038,-22475,-15908,,,,,,-490660,5776,-1231720,175119,-513629,90920,22342.0,-1941852,,4398,1199831,454096,-9374,-39563,-53922,1555466,-386386,-243424,494597,46763,-1058,-312892,227410,,-128628,69274,,,,,,-134284,33331,-114379,,,-631453,,,-12611.0,,56269,,-205466,-64762,-674271,9398272,8724001,8724001,,,-290000.0,89930.0,,,142962.0,-58256.0,0.0,0.0,,-339054.0,-8511.0,
2376,2012年01月01日至2012年03月31日,,316476,316476,,,100210,34533,-2938,-14317,911,-22022,-13004,4388,-805,,,,,,149993,934,-429426,287592,433515,101291,-294568.0,249331,,5668,244935,330314,-12910,-9879,-50695,507433,756764,843720,1160196,22022,-911,-1649,1179658,,-103316,12156,,,,,,-98880,0,-72710,,,-25813,,,29594.0,,49047,,-261933,-43405,848507,9398272,10246779,10246779,,,290000.0,-1520.0,,,86956.0,-57535.0,,,,-339054.0,,4472.0
