公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 無活絡市場之債務商品投資到期還本,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還公司債,　　 存入保證金減少,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金增加,　　　　 非金融資產減損損失,　　 發放現金股利,　　 停業單位稅前淨利（淨損）,　　 取得無形資產,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得備供出售金融資產,　　　　　 其他營業資產（增加）減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他預付款項增加,　　 存出保證金增加,　　 存出保證金減少,　　 舉借長期借款
2428,2014年01月01日至2014年03月31日,,198658,199265,,,38202,964,-1194,-856,1757,-6535,-1487,,19.0,248,31118.0,,,,-6390,132400,1689,9425,-7830,-8476,120818,,-76,-40190,-33447,-46806,-451,-1097.0,-122067,-1249,29869,229134,9456,-817,-19412,218361,,,,-46128,4,-119978,25988.0,,,-140114,,453777,-261167,10000,-50000,-725.0,-721.0,,151164,18268,247679,1024091,1271770,1197615,,,,607.0,,74155.0,,,,,,,,,
2428,2013年度,,704273,662567,,,150851,4803,1377,-4617,5803,-25229,19706,-144.0,3596.0,6772,169729.0,,,0.0,-16893,-121347,-12844,-7239,-64770,-14777,-237870,,-113,-6605,38190,76655,-234,-8394.0,99499,-138371,31358,693925,21729,-4085,-146294,565275,,3144.0,13117.0,-255418,33741,20093,,-6248.0,,-195984,,960590,-1300008,199680,-230000,-160886.0,-218.0,10175.0,-761869,96413,-296165,1320256,1024091,954423,,6811.0,-241202.0,-41706.0,-4413.0,69668.0,0.0,0.0,,,,,,,
2428,2013年01月01日至2013年12月31日,,704273,662567,,,150851,4803,1377,-4617,5803,-25229,12593,-144.0,3596.0,6772,163656.0,,,0.0,-16893,-121347,-12844,-7239,-65810,-14777,-238910,,-113,-6605,38190,52376,-234,-8394.0,75220,-163690,-34,662533,21729,-4085,-146294,533883,,3144.0,13117.0,-231139,33741,20093,,-6248.0,,-171705,,960590,-1300008,199680,-230000,-160886.0,-218.0,10175.0,-761869,103526,-296165,1320256,1024091,954423,,7851.0,-241202.0,-41706.0,-4413.0,69668.0,,,,,,,,,
2428,2013年01月01日至2013年09月30日,,452466,452466,,,114009,4115,-916,-2823,5052,-16783,2298,-144.0,3596.0,4200,122141.0,,,0.0,-5710,-73951,-6771,-1581,-39710,-31722,-159445,,-194,-18410,32881,-6211,1745,-7015.0,2796,-156649,-34508,417958,14190,-3191,-131941,297016,,3144.0,13117.0,-129676,8743,56612,,-4860.0,,-52920,,753163,-1115798,99742,-220000,-160886.0,-62.0,4844.0,-880199,62808,-573295,1320256,746961,746961,,9537.0,-241202.0,,,,,,,,,,,,
2428,2013年01月01日至2013年06月30日,,277941,277941,,,77451,1866,-1678,-3047,3780,-10122,39,0.0,3596.0,8524,80409.0,,,0.0,-10938,-23580,-5544,-1494,-12188,4451,-49293,,-168,4961,26709,24882,-526,-4659.0,51199,1906,82315,360256,8779,-2227,-74466,292342,,0.0,13117.0,-54173,7143,-49216,,-39127.0,,-122256,,483454,-721518,89773,-190000,-160886.0,0.0,4844.0,-494290,81599,-242605,1320256,1077651,1077651,43.0,,,,,,,,,,,,,,
2428,2013年01月01日至2013年03月31日,,111018,111018,,,38205,936,-2026,-1460,2557,-4965,714,0.0,3596.0,14883,52440.0,,,0.0,-5670,76328,3187,-1687,-26062,3018,49114,,-98,-7650,-670,-11248,490,-2312.0,-21488,27626,80066,191084,1714,-971,11341,203168,,0.0,0.0,-22575,683,0,169529.0,-16719.0,0.0,130918,,240250,-384415,59846,-110000,-160886.0,-939.0,0.0,-356144,38879,16821,1320256,1337077,1337077,,,,,,,,,,,,,,,
2428,2012年01月01日至2012年12月31日,,554615,554615,,,146526,4095,4735,24,9660,-25805,4450,-627.0,0.0,-9313,133745.0,,,1578.0,-14227,27298,17301,7311,-4397,2181,37045,,-45,-19791,-5852,-44541,-3628,873.0,-72984,-35939,97806,652421,26773,-4423,-127543,547228,,13632.0,30270.0,-132137,2953,-255410,,-1607.0,,-342299,,1264577,-986890,115000,-15000,0.0,-6751.0,4707.0,172526,-65725,311730,1008526,1320256,1320256,,0.0,-203117.0,0.0,0.0,0.0,,,,,,,,,
2428,2012年01月01日至2012年09月30日,,442647,442647,,,104414,2981,4883,-462,6688,-17778,4572,-46.0,0.0,-10266,94986.0,,,1578.0,-851,-23779,23376,2259,-5131,6290,3742,,4608,24057,-4093,-22968,7157,746.0,9507,13249,108235,550882,16607,-2599,-104071,460819,,5046.0,30270.0,-101780,2149,-180188,,-900.0,,-245403,,996237,-751761,75004,-105000,0.0,-6288.0,4707.0,9782,-69340,155858,1008526,1164384,1164384,,0.0,-203117.0,,,,,,,,,,,,
2428,2012年01月01日至2012年06月30日,,280717,280717,,,69086,2131,2497,276,4412,-10902,1377,-46.0,0.0,-1729,67102.0,,,1578.0,100,-53377,11081,8673,5431,-10277,-36791,,4577,44179,16478,-10682,-3979,649.0,51222,14431,81533,362250,10245,-2020,-64414,306061,,5046.0,10090.0,-68835,263,-39116,,-1960.0,,-94512,,488312,-510149,75004,-105000,0.0,-6255.0,4707.0,-53381,-16500,141668,1008526,1150194,1150194,0.0,,,,,,,,,,,,,,
2428,2012年01月01日至2012年03月31日,,106476,106476,,,35092,764,-1377,-164,2139,-5021,398,-46.0,0.0,-7159,24626.0,,,1578.0,-6000,41034,30580,846,81289,12344,161671,,9349,-3477,-634,-54872,-925,136.0,-50423,111248,135874,242350,5063,-1279,-6015,240119,,5046.0,10090.0,-30345,27,-128779,0.0,0.0,329.0,-143632,,243650,-268040,65000,-65000,0.0,-2526.0,4707.0,-22209,-34332,39946,1008526,1048472,1048472,,,,,,,,,,,,,,,
