公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分採用權益法之投資損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得採用權益法之投資,　　 存出保證金減少,　　 因合併產生之現金流入,　　 短期借款減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2332,2015年01月01日至2015年09月30日,,-850691,-850691,,,126419,34831,-6469,-25839,39106,-24358,-1481.0,0,-13249,-47429,9870,0.0,0,-89614,1787.0,,,-18019,13596,595930,-71,91668,1176255,174127,-105094.0,1928392,,-49,-492262,-893367,-6406,-16538,-78609,-2921,-1490152,438240,440027,-410664,24358,235442.0,-33508,-86961,-271333,,0,0.0,0.0,41516.0,166141.0,-91993,-3933.0,-18026,19774,113479,,-1190908.0,1194865.0,-114300,0,-97000.0,5117.0,0.0,0.0,-174168,-376394,-267873,-802121,3613497,2811376,2811376,,,,,,,,
2332,2015年01月01日至2015年06月30日,,-298349,-298349,,,85957,20661,-2296,59973,15221,-17008,,0,-71585,-47250,7360,0.0,0,-63939,-12906.0,,,20051,9470,1095679,-8600,64145,647384,-123471,52771.0,1757429,,-585,-566451,-477103,-196422,-16723,-43188,-5946,-1306418,451011,438105,139756,17008,,-14460,-48936,93368,,0,0.0,,0.0,166141.0,-58369,0.0,-9302,16523,114993,,-1699198.0,1194865.0,-114300,0,-97000.0,4468.0,,,0,-711165,-603242,-1106046,3613497,2507451,2507451,,,,,,,,
2332,2015年01月01日至2015年03月31日,,-191902,-191902,,,43354,9533,-5410,22364,7889,-9025,,0,-66766,-580,2400,,0,31989,35748.0,,,18309,-30593,984417,-8296,22229,778825,-148130,31707.0,1648468,,66,-778348,-645098,-178193,-13175,-4613,2330,-1617031,31437,67185,-124717,9025,,-7826,-9206,-132724,,0,,,,,-33029,,-2848,3219,-32658,,-674939.0,,-114300,0,-25500.0,5051.0,,,0,-809688,-611249,-1586319,3613497,2027178,2027178,0.0,,,,,,,
2332,2014年度,,143457,143457,,,182061,35906,5277,-44923,21696,-52443,-19091.0,0,-142070,-88417,11800,0.0,0,207430,,,,51090,-20267,111994,2125,-24889,-657943,-187512,-196281.0,-921683,,-8930,283772,-289095,-291375,-46485,9973,3778,-338362,-1260045,-1142819,-999362,52443,284815.0,-19761,-221811,-903676,,0,0.0,0.0,15742.0,159024.0,-245379,-4074.0,-127321,1097,-207300,,2463764.0,,0,0,-791350.0,5295.0,,-612492.0,0,1065217,166706,120947,3492550,3613497,3613497,,,117226.0,-27359.0,0.0,20970.0,0.0,0.0
2332,2014年01月01日至2014年09月30日,,143434,143434,,,137683,26821,4148,-32045,18925,-43770,-18647.0,0,-88263,-22603,7890,0.0,0,160262,150401.0,,,13133,-8514,196382,1559,216848,-545271,-300910,-1539.0,-428312,,-1241,353761,-294813,-112873,-25039,8240,2393,-69572,-497884,-347483,-204049,43770,284371.0,-17477,-245489,-138874,,0,0.0,0.0,3000.0,46477.0,-163167,-2145.0,-123008,-44,-238887,,556180.0,0.0,0,0,-646050.0,2286.0,0.0,0.0,0,-87584,-61238,-526583,3275650,2749067,2749067,,,,,,,,
2332,2014年01月01日至2014年06月30日,,246274,246274,,,92566,17299,4384,5396,13193,-26145,,0,-55452,-18201,6100,0.0,0,-20991,18149.0,,,18084,-61780,357386,1626,232528,-290060,-399471,-5164.0,-146851,,136,119000,-209522,-594662,-18010,388479,2395,-312184,-459035,-440886,-194612,26145,,-12230,-192238,-372935,,0,0.0,,0.0,39143.0,-106206,0.0,-8168,-4071,-79302,,818000.0,0.0,0,0,-620690.0,666.0,,,0,197976,72821,-181440,3275650,3094210,3094210,,,,,,,,
2332,2014年01月01日至2014年03月31日,,130098,130098,,,45646,8629,-2480,-4322,8031,-16900,,0,-22963,-2082,2900,,0,-79483,-63024.0,,,18084,-20855,215610,1401,203010,-57048,-218119,12148.0,154231,,-1140,-180887,-295088,-151184,-1913,6206,678,-623328,-469097,-532121,-402023,16900,,-7550,-83895,-476568,,0,,,,,-48792,,-3365,1137,-51020,,673150.0,,0,0,-592810.0,1573.0,,,0,81913,237863,-207812,3275650,3067838,3067838,0.0,,,,,,,
2332,2013年度,,746251,746251,,,201802,33308,7369,-12332,39407,-42275,-33913.0,3251,-279922,-164202,24200,-37145.0,0,-56082,,,,-16431,63114,-883622,2499,-2619,251453,132758,-20041.0,-472889,,3108,269810,218799,-196296,-32723,-96421,-5074,161203,-311686,-628220,118031,42275,260467.0,-37505,-208990,174278,,450901,0.0,64922.0,12084.0,0.0,-199039,-693.0,-29179,1463,270459,,0.0,,0,0,-181650.0,5275.0,,-611683.0,-277413,-1065471,83047,-537687,4030237,3492550,3492550,,,-316534.0,-30000.0,0.0,0.0,0.0,0.0
2332,2013年01月01日至2013年12月31日,,746251,746251,,,201802,33308,7369,-12332,39407,-42275,226554.0,3251,-279922,-164202,24200,-37145.0,0,-56083,,,,-16431,63114,-883622,2499,-219518,251453,132758,-20041.0,-689788,,3108,269810,218799,-196296,-32723,-96421,-5074,161203,-528585,-584653,161598,42275,,-37505,-208990,-42622,,450901,0.0,64922.0,12084.0,0.0,-199039,-693.0,-29179,1463,270459,,,,0,0,-181650.0,5275.0,,-611683.0,-277413,-1065471,83047,-754587,4030237,3275650,3275650,,,-56068.0,-30000.0,0.0,,0.0,
2332,2013年01月01日至2013年09月30日,,475837,475837,,,151529,35461,3273,3105,29003,-31940,0.0,8865,-165192,-96134,19100,-37145.0,0,139979,,,,-17696,62559,-959643,1882,-236298,-254640,77038,-10011.0,-1336809,,658,198418,579279,-16610,-27193,-79849,895,655598,-681211,-621307,-145470,31940,226554.0,-27580,-183344,-97900,,137811,0.0,65024.0,3084.0,0.0,-135390,-3669.0,-20177,1661,48344,,0.0,,0,361210,0.0,994.0,0.0,-613367.0,-265588,-516751,19281,-547026,4030237,3483211,3483211,,,59904.0,,,,,
