公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 舉借長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　　 其他營業負債增加（減少）,　　 取得採用權益法之投資,　　 處分子公司,　　 其他應收款－關係人增加,　　 其他投資活動,　　 短期借款增加,　　 短期借款減少,　　 其他借款增加,　　 處分無活絡市場之債券投資,　　 發放現金股利,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 其他籌資活動,　　 其他應收款－關係人減少,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得備供出售金融資產,　　　　 股利收入,　　 處分備供出售金融資產,　　 收取之股利
3011,2016年01月01日至2016年09月30日,,-5580,-5580,,,43227,169,-103,,4409,-913,21,6,5881,729,,,,29,18940,,100755,6372,126096,,-825,-94787,-3321,,-4421,-103638,22458,74048,68468,-4409,-1050.0,63009,,,,-13487,0,-338,0.0,993,-90845,,,-437,,-10692,-26221,-64749,460858,396109,396109,326.0,,,330.0,-323.0,,,,-10255.0,,,,0.0,,,,,,-276.0,,-2144.0,,51590.0,-614.0,-79576.0,0.0,-1396.0,-18.0,3540.0,18.0
3011,2016年01月01日至2016年06月30日,,-28886,-28886,,,30377,115,1698,,2879,-1164,20,-4952,7956,495,,,,-12,-42458,,62081,4589,24200,,-1205,-30991,-1672,,-4508,-38412,-14212,23546,-5340,-2879,-53.0,-8272,,,,-12470,0,0,578.0,1243,-398,,,654,,-2523,-9610,-20803,460858,440055,440055,334.0,,,535.0,-323.0,,,,-3177.0,,,,,,,,,,831.0,,,,37758.0,-571.0,,11139.0,-1396.0,,,
3011,2016年01月01日至2016年03月31日,,-23976,-23976,,,16291,58,-2310,,1464,-715,4,1777,-755,250,,,,274,35884,,-30142,-3315,2701,,-1497,2099,-5492,,-4559,-9782,-7081,9124,-14852,-1464,-105.0,-16421,,,,-4410,0,0,76.0,790,6333,,,585,,-4101,-8129,-22318,460858,438540,438540,141.0,,,195.0,,,,,0.0,-4686.0,,,,,,,,,283.0,,,,16205.0,-528.0,,11694.0,-2100.0,,,
3011,2015年度,,-112571,-112571,,,68292,233,4801,,4365,-4738,-2016,19601,4300,1005,,,,4783,-395,,-31436,17754,-9034,,842,64027,-8064,,2735,52387,43353,140817,28246,-3575,-74.0,24597,,,,-24472,6610,0,1168.0,4738,44528,,,685,,-5818,-46674,16633,444225,460858,460858,1621.0,,,-3550.0,,,-1522.0,,0.0,-6503.0,,,0.0,260.0,,0.0,,0.0,0.0,0.0,0.0,,97464.0,-3603.0,0.0,58006.0,,,,
3011,2015年01月01日至2015年09月30日,,-105428,-105428,,,50170,239,-4105,,3345,-3879,-226,27208,-16920,540,,,,2957,-3056,,-53614,14905,-39306,,653,51921,-6364,,-5459,37241,-2065,55764,-49664,-3345,-769.0,-53778,,,,-15784,5451,0,1834.0,4013,51545,,,541,,9649,-19037,-11621,444225,432604,432604,1457.0,,,-3558.0,,,-808.0,,9108.0,,,,0.0,-498.0,,0.0,,,0.0,,,,57829.0,48.0,0.0,56839.0,,,,
3011,2015年01月01日至2015年06月30日,,-62518,-62518,,,34098,587,-3935,,2354,-2890,-203,21612,-3455,618,,,,3520,25080,,-51351,9527,-13717,,-205,18865,-3816,,-2430,10872,-2845,46540,-15978,-2354,-137.0,-18469,,,,-8349,4246,0,1014.0,3024,58132,,,305,,-5589,-33075,999,444225,445224,445224,599.0,,,-1573.0,,,,,-5894.0,,,,,-493.0,,,,,139.0,,,,49385.0,31.0,0.0,58058.0,,,,
3011,2015年01月01日至2015年03月31日,,-15761,-15761,,,17085,307,-6030,,1078,-1331,-205,2291,-665,312,,,,1913,68018,,-16282,12511,66164,,-189,-32681,-7155,,-2726,-42642,23522,36791,21030,-1078,-890.0,19062,,,,-1293,2975,0,528.0,1428,25575,,,954,,-1669,-10197,32771,444225,476996,476996,427.0,,,96.0,,,,,0.0,-2623.0,,,,4.0,,,,,49.0,,,,13269.0,13.0,0.0,21888.0,,,,
3011,2014年度,,-79966,-79966,,,71681,409,23512,,3898,-5075,412,19674,-11328,1170,119642.0,,,-4389,131318,,-979,5739,131782,,-1710,-64193,-20656,,542,-82595,49187,168829,88863,-4118,-1728.0,83017,,,-46249.0,-40769,24884,-2285,0.0,5075,-48709,,,3199,,41745,37978,114031,330194,444225,444225,1958.0,,0.0,3169.0,0.0,0.0,0.0,,,38546.0,,0.0,0.0,93.0,253.0,-11000.0,0.0,0.0,21635.0,13502.0,-171.0,,,,,,,,,
3011,2014年01月01日至2014年09月30日,,-41514,-41514,,,54315,256,12300,,2889,-3314,389,22723,470,864,92445.0,,,-4536,77606,,20161,8616,102152,,-1545,-39753,-20657,,1617,-57080,45072,137517,96003,-2889,-1724.0,91390,,,-159361.0,-24844,1563,-1243,0.0,4111,-160257,,,426,,45059,23209,-599,330194,329595,329595,1553.0,,0.0,3069.0,,0.0,0.0,,44633.0,,,0.0,0.0,305.0,189.0,-5000.0,0.0,,24517.0,,,,,,,,,,,
3011,2014年01月01日至2014年06月30日,,-27941,-27941,,,37576,208,8389,,1829,-2336,0,17625,361,578,63860.0,,,-6516,84659,,37154,10102,125276,,-1783,-55526,-8020,,-4256,-67766,57510,121370,93429,-1829,,91600,,,-85666.0,-12659,0,-1502,0.0,3338,-71898,,,857,,41755,1094,62551,330194,392745,392745,-370.0,,0.0,1697.0,,0.0,24591.0,,40898.0,,,,,-123.0,122.0,,0.0,,0.0,,,,,,,,,,,
