公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 其他金融負債增加,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 存入保證金增加,　　 短期借款增加,　　 舉借長期借款,　　 其他非流動負債減少,　　 其他非流動負債增加
5906,2015年01月01日至2015年09月30日,,-385239,-385239,,,2360,563,-34234,5916,-2439.0,-354,189,0,-1,-28000.0,,,0,143283,2914,361770,15846,523813,,-19015,-62540,1396.0,-54395.0,0,-134554,389259,361259,-23980,2439.0,-7076,-34,-28651,,-220,419212,-12596.0,0.0,19145.0,0.0,919.0,0,426460,,-406455.0,0.0,68.0,0.0,-30599.0,0.0,0.0,0,-436986,6684,-32493,136438,103945,103945,,,,,,,
5906,2015年01月01日至2015年06月30日,,-259714,-259714,,,1634,304,-34987,5375,-1418.0,-354,48,0,-10773,-40171.0,,,0,143906,3993,346723,3157,497779,,-65313,-55529,-489.0,-46556.0,0,-167887,329892,289721,30007,1418.0,-6533,-34,24858,,-175,419212,-7541.0,0.0,20906.0,0.0,863.0,0,433265,,-405073.0,0.0,-6147.0,0.0,-30599.0,,0.0,0,-441819,-31190,-14886,136438,121552,121552,,,,,,,
5906,2015年01月01日至2015年03月31日,,-83392,-83392,,,893,153,-18987,3651,-948.0,0,21,0,7296,-7921.0,,,0,56229,4826,184997,-4979,241073,,-57019,-14747,527.0,-28926.0,0,-100165,140908,132987,49595,948.0,-3558,0,46985,,-123,0,-7254.0,0.0,60.0,0.0,777.0,0,-6540,,-2802.0,0.0,-4474.0,0.0,-30599.0,,0.0,0,-37875,-12726,-10156,136438,126282,126282,,,,,,,
5906,2014年度,,-551917,-551917,,,4286,5154,43943,21814,-3494.0,-2287,-316457,0,37823,,,,957,91451,3487,511547,40924,648366,,-107485,-1694,4296.0,3271.0,0,-101612,546754,337536,-214381,3494.0,-22886,0,-233773,,-8041,283760,8066.0,-4724.0,-51739.0,0.0,4606.0,0,231928,,43516.0,-193796.0,,30599.0,,,0.0,0,-143608,31526,-113927,250365,136438,136438,,-209218.0,-23927.0,,,,
5906,2014年01月01日至2014年09月30日,,-564222,-564222,,,3395,1493,22590,18305,-2517.0,116,943,0,40738,85063.0,,,202,165977,-1570,251981,-4119,412471,,-91751,55592,0.0,-2816.0,0,-38975,373496,458559,-105663,2517.0,-19508,0,-122654,,-7245,1,-262.0,-4527.0,0.0,0.0,3407.0,0,-8626,,-19862.0,-188328.0,-17166.0,0.0,0.0,247800.0,0.0,0,22444,4426,-104410,250365,145955,145955,,,,,,,
5906,2014年01月01日至2014年06月30日,,-355040,-355040,,,2492,997,18805,11328,-1203.0,219,815,0,20104,53557.0,,,183,147103,-511,277865,-22709,401931,,-139359,10856,0.0,10679.0,0,-117824,284107,337664,-17376,1203.0,-13517,0,-29690,,-6746,2,3560.0,-2377.0,0.0,0.0,2989.0,0,-2572,,60848.0,-9635.0,-13319.0,0.0,0.0,,0.0,0,37894,-27952,-22320,250365,228045,228045,,,,,,,
5906,2014年01月01日至2014年03月31日,,-176119,-176119,,,1365,505,13040,5706,-987.0,161,236,0,32525,52551.0,,,268,90867,1426,140799,-8004,225356,,-93508,26267,-3852.0,-705.0,0,-71798,153558,206109,29990,987.0,-7736,0,23241,,-6254,0,714.0,-2409.0,0.0,0.0,2453.0,0,-5496,,-28692.0,0.0,-6773.0,0.0,0.0,,0.0,0,-35465,-3014,-20734,250365,229631,229631,,,,,,,
5906,2013年度,,-640364,-640364,,,6394,800,56781,25537,-2133.0,990,1216,0,127958,,,,6,35916,3889,39259,14972,94042,,-23888,-3518,-4375.0,56084.0,0,24303,118345,335888,-304476,2133.0,-26825,-3634,-332802,,-5493,1317,-418.0,0.0,0.0,0.0,12011.0,0,7417,,-83008.0,-9851.0,,0.0,,,0.0,357377,263777,102547,40939,209426,250365,250365,,217543.0,-741.0,,,,
5906,2013年01月01日至2013年12月31日,,-640364,-640364,,,6394,800,56781,25537,,990,1216,0,127958,,,,6,35916,3889,39259,14972,94042,,-23888,-7893,,56084.0,0,24303,118345,338021,-302343,,-26825,-3634,-332802,,-5493,1317,-418.0,0.0,,0.0,12011.0,0,7417,,,-9851.0,-741.0,,,,0.0,357377,263777,102547,40939,209426,250365,250365,,219676.0,,-83008.0,0.0,,
5906,2013年01月01日至2013年09月30日,,-507055,-507055,,,4937,492,44741,19101,-1764.0,1616,964,0,111083,,,,-80,102236,2749,-140,8229,112994,,-24765,-9481,,62493.0,0,28247,141241,322411,-184644,1764.0,-21727,-3628,-208235,,-4406,1314,-1260.0,0.0,-327.0,0.0,,0,-4679,,-187639.0,-4832.0,,,,0.0,0.0,357377,158323,72136,17545,209426,226971,226971,,181170.0,-6583.0,,,,
