公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金增加,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他投資活動,　　 停業單位稅前淨利（淨損）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損迴轉利益,　　　　　 應付建造合約款（增加）減少,　　 對子公司之收購（扣除所取得之現金）,　　 預付設備款增加
9930,2015年01月01日至2015年09月30日,,810456,810456,,,211076,10876,4730,10975,-334,-9812.0,-10345,-219,-107.0,2834,219674.0,,,22843,2793,-14540,124718,-48772,-8179,-11770,-24314,83986.0,-1255,-1356,124154,,1484,0,47569,-11012,0.0,-24150,-170,-2713,-6680.0,4328,128482,348156,1158612,-128327,1030285,,-1294000,1231852,0.0,0.0,-417503,219,0,6910.0,-11322.0,-8624,326,21121.0,-471021,,3019659,-2559075,49974.0,0.0,1583.0,-948972.0,-2741,-27189.0,-466761,92503,146754,239257,239257,,,,,,,,,,,,,,
9930,2015年01月01日至2015年06月30日,,554543,554543,,,142862,8041,3756,6538,-287,0.0,-6200,-219,,2567,157058.0,,,21503,2793,-19409,203687,-42069,-10542,-10731,-19072,73020.0,-1658,2933,200455,,-5698,0,9182,26175,4276.0,-76192,-3645,-2574,-4673.0,-53149,147306,304364,858907,-124940,733967,,-924000,908398,0.0,,-311063,219,-312,,-11322.0,-5940,288,1104.0,-342628,,1580066,-1709989,-99986.0,,-915.0,,-1253,0.0,-232077,159262,146754,306016,306016,0.0,,,,,,,,,,,,,
9930,2015年01月01日至2015年03月31日,,292520,292520,,,71128,3534,207,3320,-84,,-3564,0,,223,74764.0,,,-42034,2793,-16081,24546,-71406,-1847,-4649,-9317,1910.0,-3886,-3626,-123597,,12587,1997,33378,9766,10559.0,-54507,57772,-3683,-1807.0,66062,-57535,17229,309749,-1829,307920,,-321000,308100,0.0,,-145204,0,0,3.0,,-2586,78,,-160609,,681200,-668514,,-40013.0,800.0,,-618,,-27145,120166,146754,266920,266920,,0.0,0.0,,,,,,,,,,,
9930,2014年度,,1277078,1277078,,,267866,13006,-6498,1514,-450,-8402.0,-18760,1765,,1312,,,,13627,3406,-24478,-116367,9117,11810,-6459,-41313,156323.0,6370,612,12648,,-8081,-2000,-40,-14131,-11336.0,31258,-121547,3957,,-127073,-114425,136928,1414006,-185301,1228705,,-1443000,1560399,-22446.0,6300.0,-331945,2982,-35689,,,-14731,451,26696.0,-250983,,2602500,-2587789,0.0,-199930.0,0.0,-745621.0,-608,-17321.0,-972447,5275,141479,146754,146754,0.0,,-23678.0,,0.0,251353.0,-5153.0,0.0,,,,,,
9930,2014年01月01日至2014年09月30日,,905907,905907,,,192868,10008,-2082,2083,-309,-8402.0,-18735,94,0.0,1838,177363.0,,,24489,2009,-12030,57341,-8297,32403,-5193,-88131,93879.0,-1674,-5920,88876,,-2051,-2000,-2127,254,-10955.0,-20865,-70174,5705,-4333.0,-106546,-17670,159693,1065600,-181415,884185,,-1088000,1209878,-22446.0,6300.0,-215282,116,-68454,0.0,0.0,-8625,302,26695.0,-159516,,1982258,-1946434,0.0,-49.0,-22885.0,-745621.0,-2180,-17321.0,-752232,-27563,141479,113916,113916,,,,,,,,,,,,,,
9930,2014年01月01日至2014年06月30日,,583446,583446,,,125295,6776,-640,1134,-259,-186.0,-9661,94,,1420,123973.0,,,84412,3549,-14373,13736,-5559,9419,12105,-29826,75571.0,12510,-35,161509,,-12522,-2000,4487,11359,-11336.0,-39178,-17416,6618,-2137.0,-62125,99384,223357,806803,-101949,704854,,-833000,795243,-22445.0,,-110559,106,-64281,,0.0,-6072,272,11208.0,-229528,,1137943,-1308055,-299916.0,,-15620.0,,-1164,-16161.0,-502973,-27647,141479,113832,113832,0.0,,,,,,,,,,,,,
9930,2014年01月01日至2014年03月31日,,259006,259006,,,58648,2928,-315,839,-98,,-3524,15,,66,58559.0,,,-70940,6139,6278,85068,-7887,-7180,2963,16727,49166.0,-27287,-201,52846,,12202,-2000,1174,626,-11336.0,-28037,58224,-47,-1088.0,29718,82564,141123,400129,-1,400128,,-401000,455104,-5033.0,,-87672,102,-65959,0.0,,-2963,117,,-102009,,789827,-813490,,-249925.0,0.0,,-821,,-286970,11149,141479,152628,152628,,5295.0,-12561.0,,,,,,,,,,,
9930,2013年度,,1074383,1074383,,,220051,12175,-1800,3339,-406,-6111.0,-23107,-2790,,1058,,,,-47629,-5897,74047,-123631,-2062,-18396,-160,36027,-257356.0,6365,-6061,-344753,,-10406,832,-59720,-5704,11336.0,25295,175693,-1296,,130321,-214432,-12023,1062360,-125530,936830,,-1418000,1520698,0.0,0.0,-383013,6323,-134053,,,-10796,428,14947.0,-422832,,2391455,-2362298,100021.0,0.0,28327.0,-632648.0,-3422,-9994.0,-488559,25439,116040,141479,141479,-17311.0,,0.0,,0.0,202409.0,-5709.0,-2055.0,,,,,,
9930,2013年01月01日至2013年12月31日,,1074383,1074383,,,220051,12175,-1800,3339,-406,-6111.0,-23107,-2790,,1058,,,,-47629,-5897,74047,-123631,-2062,-18396,-160,36027,-257356.0,6365,-6061,-344753,,-10406,832,-59720,-5704,,25295,175693,-1296,,130321,-214432,-12023,1062360,-125530,936830,,-1418000,1520698,,0.0,-383013,6323,-134053,,,-10796,428,14947.0,-422832,,2391455,-2362298,100021.0,,28327.0,-642642.0,-3422,,-488559,25439,116040,141479,141479,-17311.0,,0.0,,,202409.0,-5709.0,-2055.0,,,0.0,11336.0,0.0,
9930,2013年01月01日至2013年09月30日,,751064,751064,,,163990,9370,-1448,2091,-278,-6111.0,-18960,-544,,727,,,,30087,302,35810,16154,-1048,2288,-3199,11116,0.0,-72034,-178,19298,,29799,-1168,-61392,-3286,8988.0,-42801,29001,-1130,,-45126,-25828,123009,874073,-123131,750942,,-1038000,1145638,0.0,0.0,-264300,922,-107019,,,-8805,306,14947.0,-275677,,1419598,-1414763,149898.0,,5199.0,-632648.0,-2336,-9994.0,-485046,-9781,116040,106259,106259,-17311.0,,,,,148837.0,-3137.0,-2055.0,,,,,,
