公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 採用權益法之被投資公司減資退回股款,　　 取得無形資產,　　 其他預付款項增加,　　 收取之股利,　　　　　 預付費用（增加）減少,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　　　 處分投資損失（利益）,　　 短期借款增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 處分子公司
3023,2015年01月01日至2015年03月31日,,319775,319775,,,40259,7162,,-6588,9473,-3949,,-3277,332,37003,,,,-98616,30189,-22573.0,2205,-92760,-173040,,,-21897,-54358,138440,9146,,71331,-101709,-22027,297748,3949,-8423,-42158,251116,,-25566,2114,,,-259736,,,,,,134440,-25786,100034,2412474,2512508,2512508,,-2632.0,-15610.0,26757.0,,,,,-1475.0,,,,-1140.0,-106.0,,,,0.0,-7598.0,-733.0,135686.0,,79682.0,-94778.0,-132433.0
3023,2014年度,,1043522,1043522,,,167884,60009,-2250.0,-1014,40581,15051,,-30992,22663,-14284,244522.0,,,-143704,-292800,,4368,-72532,-689356,,,23517,174310,71419,8833,,278097,-411259,-166737,876785,-15051,-30721,-215451,615562,,-165117,18295,0.0,,3455,,511637.0,300000.0,,0.0,-224257,138261,533021,1879453,2412474,2412474,,-27304.0,-67353.0,3894.0,,18.0,5893.0,20000.0,-4366.0,,21083.0,-93925.0,-516294.0,-423.0,-519177.0,343.0,0.0,107667.0,0.0,-13469.0,,,,,
3023,2014年01月01日至2014年09月30日,,879853,879853,,,130856,29827,,-1107,25753,-4681,,-25260,15526,-2668,154513.0,,,-419358,-60600,-101831.0,3408,-38493,-556828,,,43334,172298,-100040,39108,,154700,-402128,-247615,632238,4681,-19287,-178929,438703,,-137512,25901,0.0,,39713,,,300000.0,,,-367825,-10524,100067,1879453,1979520,1979520,,-27371.0,63449.0,23968.0,,0.0,5000.0,20000.0,-2426.0,0.0,21083.0,,-514677.0,-305.0,-519177.0,343.0,,107667.0,,-14076.0,366334.0,,,,
3023,2014年01月01日至2014年06月30日,,589788,589788,,,83799,21682,,-5091,16926,-4681,,-4986,5553,-2090,97379.0,,,-336824,73563,-159784.0,5480,-17385,-401090,,,27362,182392,-79505,50297,,180546,-220544,-123165,466623,4681,-14365,-109372,347567,,-69963,13420,,,73830,,346487.0,300000.0,,,354465,-69782,706080,1879453,2585533,2585533,,-25980.0,45374.0,14466.0,0.0,0.0,5000.0,20000.0,-2294.0,,,,-291822.0,-200.0,,343.0,,107667.0,,-14076.0,,,,,
3023,2014年01月01日至2014年03月31日,,275043,275043,,,41888,10920,0.0,-6534,8562,-1619,,-954,281,2915,41383.0,,,-52487,-1161,,9596,9377,39339,,,616,31543,-138183,35860,,-70268,-30929,10454,285497,1619,-6974,-22825,257317,,-53510,9690,,,62591,,,,,,63321,-14246,368983,1879453,2248436,2248436,,4020.0,14770.0,27319.0,-104.0,0.0,,,-1256.0,,,27905.0,-245689.0,-102.0,,,,107667.0,,-14076.0,309112.0,,,,
3023,2013年度,,867044,867044,,,169643,66077,-16896.0,-86647,37075,6754,,-22725,4243,-6433,222122.0,,,-88582,-47667,,-13829,-41423,-313914,,,519,290467,90343,-14723,,365749,51835,273957,1141001,-6754,-38035,-216924,879288,,-92543,26061,0.0,,-6101,,-208052.0,0.0,,7257.0,-792448,98325,179064,1700389,1879453,1879453,,-4000.0,-59592.0,-25833.0,,-857.0,5000.0,20000.0,-2450.0,,13177.0,-32988.0,-175901.0,-410.0,-415342.0,71031.0,0.0,44443.0,-19789.0,0.0,,,,,
3023,2013年01月01日至2013年12月31日,,867044,867044,,,169643,66077,-16896.0,-86647,37075,6754,,-22725,4243,-6433,222122.0,,,-88582,-47667,,-13829,-41423,-313914,,,519,304375,90343,-14723,,365749,51835,273957,1141001,-6754,-38035,-216924,879288,,-92543,26061,0.0,,-6101,,-208052.0,0.0,,-2553.0,-802258,108135,179064,1700389,1879453,1879453,,-4000.0,-59592.0,-25833.0,-13908.0,-857.0,5000.0,20000.0,-2450.0,,13177.0,-32988.0,-175901.0,-410.0,-415342.0,17155.0,53876.0,44443.0,-19789.0,,,,,,
3023,2013年01月01日至2013年09月30日,,698192,698192,,,128122,34586,,-53371,27951,-4825,,-17366,2237,5722,123056.0,,,-147606,46415,,-23025,-13394,-222637,,,1648,319874,39344,20659,,371922,149285,272341,970533,4825,-27280,-162967,785111,,-77033,9288,8411.0,,-24601,,-153664.0,0.0,,9145.0,-688621,72055,143944,1700389,1844333,1844333,,-30000.0,-45077.0,23934.0,-8970.0,-633.0,5000.0,20000.0,-2521.0,-923.0,13177.0,-33884.0,-129142.0,382.0,-415342.0,,,,,,,,,,
3023,2013年01月01日至2013年06月30日,,405045,405045,,,84861,30798,,52773,19390,-3735,,-9574,428,3863,178804.0,,,-36323,6178,-68460.0,-15741,-20843,-145475,,,1697,337423,29490,5706,0.0,370947,225472,404276,809321,3735,-19714,-103025,690317,,-52746,4187,6837.0,721.0,-18756,,-427659.0,0.0,-92184.0,3653.0,-516190,106372,261743,1700389,1962132,1962132,,-30000.0,12427.0,7287.0,-2947.0,-422.0,5000.0,20000.0,-1100.0,-1655.0,0.0,,,,,,,,,,,,,,
3023,2013年01月01日至2013年03月31日,,182442,182442,,,41498,14307,-313.0,29758,10337,-2099,0.0,-3385,-44,-11273,78786.0,,,219707,82100,-19096.0,3155,-5124,280742,,-960.0,1120,-36774,97534,-109298,51671.0,3293,284035,362821,545263,2099,-11161,-5082,531119,,-34761,4084,7859.0,-20966.0,-43784,,-264941.0,0.0,-46154.0,-640.0,-311735,13750,189350,1700389,1889739,1889739,0.0,,,,,,,,,,,,,,,,,,,,,,,,
