公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 庫藏股票買回成本,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 發放現金股利,　　 存出保證金增加,　　 短期借款減少,　　 償還長期借款,　　　 收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 收益費損項目合計,　　　　 股份基礎給付酬勞成本,　　 其他籌資活動,　　　　　 其他營業資產（增加）減少
3669,2016年01月01日至2016年09月30日,,133061,133061,,,64183,1304,-396,,-2132,326,,,2119,7586,,,,2004,-1184,-64877,-4727,-19487,,-4922,-107381,,57914,64083,-4451,1288,-625,118209,10828,83698,216759,-2217,214542,,-24912,12,72,-263.0,2543,-22548,,0.0,,-18556.0,-7546,165892,738665,904557,904557,3152.0,-18556.0,,,,,-3272.0,72870.0,,,-14188.0
3669,2016年01月01日至2016年06月30日,,57705,57705,,,42961,905,-501,,-1770,326,0.0,,10,3293,,,,-1447,345,-51420,-764,-31808,,-360,-85454,,56820,17812,-3306,-913,-421,69992,-15462,38355,96060,-244,95816,,-18039,12,623,-263.0,1817,-15850,,0.0,,0.0,-2560,77406,738665,816071,816071,6863.0,,0.0,,,,1730.0,53817.0,,,
3669,2016年01月01日至2016年03月31日,,6303,6303,,,21578,476,-592,,-845,0,0.0,,144,-1054,,,,-886,-2235,3614,1758,-16915,,955,-13709,,23717,-25185,-1180,-1397,-214,-4259,-17968,1700,8003,-233,7770,,-12042,0,261,,864,-10917,,,,,-2491,-5638,738665,733027,733027,1101.0,,,,,,-1140.0,19668.0,,,
3669,2015年度,,-25539,-25539,,,85811,5128,-822,0.0,-4690,-832,6771.0,,-2938,4961,,,,5047,3705,-38713,2723,48958,,-2225,19495,,-70592,-22900,-2528,-240,-304,-96564,-77069,10036,-15503,-16952,-32455,,-43967,1984,418,-709.0,4647,-37627,,-84937.0,0.0,-123930.0,4191,-189821,928486,738665,738665,-2460.0,-38993.0,,,,,-3824.0,87105.0,0.0,0.0,
3669,2015年01月01日至2015年09月30日,,-14417,-14417,,,64209,3865,-1120,0.0,-3573,-18,5135.0,,-4668,4028,,,,5474,2166,-57573,-51,13935,,-3856,-39905,,-19557,-35756,-1980,-907,-113,-58313,-98218,-25784,-40201,-16868,-57069,,-18045,1029,495,-709.0,3523,-13707,,-84937.0,0.0,-123930.0,5431,-189275,928486,739211,739211,6222.0,-38993.0,,,,,-1646.0,72434.0,0.0,0.0,
3669,2015年01月01日至2015年06月30日,,-38100,-38100,,,42970,3138,-1293,0.0,-2573,1,3462.0,,4398,3716,,,,56710,1680,3654,-3644,-27851,,-4493,26056,,-27933,-44642,-2196,187,-256,-74840,-48784,7984,-30116,-11397,-41513,,-13589,821,0,,2498,-10595,,-60906.0,0.0,-60906.0,-5614,-118628,928486,809858,809858,8683.0,,-325.0,,,,-5734.0,56768.0,,,
3669,2015年01月01日至2015年03月31日,,-37956,-37956,,,21291,1634,-1263,0.0,-1187,10,1732.0,,8493,1328,,,,2345,3084,2226,-2995,-39591,,-4117,-39048,,-15941,-40633,-888,-970,-138,-58570,-97618,-61116,-99072,-4655,-103727,,-6523,93,376,,1187,-4867,,,0.0,0.0,-2867,-111461,928486,817025,817025,8113.0,,,,,,-3649.0,36502.0,,,
3669,2014年度,,37151,37151,,,88418,8824,-770,16.0,-4838,-322,3491.0,,6354,4877,,,,1912,-394,10470,1724,-23216,,4618,-4886,,8845,5614,-2557,-1057,351,11196,6310,119153,156304,-25619,130685,,-18460,417,294,-5971.0,4795,-18925,,0.0,-16.0,-9032.0,10251,112979,815507,928486,928486,5874.0,-19396.0,,,,,-2351.0,112843.0,3270.0,10380.0,
3669,2014年01月01日至2014年09月30日,,66697,66697,,,66899,6880,-914,16.0,-3333,22,2617.0,,9234,3401,,,,-6,493,-107959,-2750,8523,,-4091,-105790,,26820,11693,-1829,355,469,37508,-68282,25052,91749,-16173,75576,,-12379,72,962,-3191.0,3307,-11229,,0.0,-16.0,-9032.0,-1752,53563,815507,869070,869070,6567.0,-19396.0,,,,,-1325.0,93334.0,3270.0,10380.0,
3669,2014年01月01日至2014年06月30日,,46628,46628,,,44675,4740,-258,14.0,-2295,-2,1745.0,,955,2434,,,,-1108,977,-92792,-1095,-9826,,-2329,-106173,,34939,-23637,-1352,-345,266,9871,-96302,-42772,3856,-3636,220,,-5733,72,1169,,2295,-2197,,0.0,-14.0,-14.0,-517,-2508,815507,812999,812999,568.0,,0.0,,,,954.0,53530.0,,,
3669,2014年01月01日至2014年03月31日,,4932,4932,,,22594,2382,-166,9.0,-978,-2,873.0,,6162,610,,,,-1055,2900,4015,-645,14058,,4719,23992,,-43978,-43843,-527,-388,412,-88324,-64332,-30216,-25284,-53,-25337,,-4612,72,555,,968,-3017,,,-9.0,-9.0,-4569,-32932,815507,782575,782575,754.0,,,,,,1878.0,34116.0,,,
3669,2013年01月01日至2013年12月31日,,11059,11059,,,89981,15813,-291,1692.0,-5696,-231,1679.0,,7357,1582,99412.0,,,-1010,-2829,36911,-3977,-27723,,15659,17031,,41331,30017,-2031,-120,4171,73368,90399,189811,200870,-11350,189520,,-97121,710,0,-5211.0,5775,-92343,,-22756.0,-1692.0,-271110.0,-3924,-177857,993364,815507,815507,-12474.0,-46662.0,3504.0,-200000.0,0.0,,,,,,
