公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 其他預付款項增加,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 償還公司債,　　 應付租賃款減少,　　 員工執行認股權,　　　　　 其他應收款－關係人（增加）減少,　　 取得採用權益法之投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　　 其他金融資產（增加）減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　　　 已實現銷貨損失（利益）,　　 處分投資性不動產,　　 現金增資,　　　　 金融資產減損迴轉利益,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 預付投資款增加,　　 其他投資活動,　　 預付設備款減少
6145,2015年01月01日至2015年09月30日,,196930,196930,,,10234,541,8494,-18975,-62283,14.0,0.0,-504.0,-16.0,1730,-60765.0,,,-1806.0,-49537,297,348,-32573,12489,-70782,,943,-393193,43579,-17878,812,-403,7,-366133,-436915,-497680,-300750,22362,-8867,-789,-288044,,0,0.0,1970.0,-11446,-5792.0,7923.0,-1304.0,-849.0,0.0,-9498,,444812,-860364.0,500000.0,-65107.0,19341,27552,-250649,1240316,989667,989667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2015年01月01日至2015年06月30日,,157741,157741,,,6607,428,5121,-12993,-35887,14.0,0.0,-160.0,,1881,-35000.0,,,-6511.0,-49311,1201,748,-65927,11762,-108038,,-1719,-412349,20547,-1962,1270,-6202,83,-400332,-508370,-543370,-385629,9047,-5327,-1007,-382916,,0,0.0,602.0,-5555,-5389.0,3823.0,-992.0,-567.0,0.0,-8078,,350000,-498422.0,200000.0,,51578,-22328,-361744,1240316,878572,878572,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2015年01月01日至2015年03月31日,,149482,149482,,,3471,214,2550,-6722,-20862,,0.0,-160.0,-5.0,2032,-19482.0,,,,-16942,587,585,26390,17401,28021,,-1719,-172125,7261,-8781,5,-6009,270,-181098,-153077,-172559,-23077,5289,-2701,-341,-20830,,0,0.0,602.0,-2961,-5407.0,241.0,-2500.0,,0.0,-11748,,150000,-198422.0,,,-48422,-10869,-91869,1240316,1148447,1148447,,-1723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2014年度,,299709,299709,,,20914,1198,20533,-25959,-82226,3243.0,1485.0,-872.0,-22.0,-1243,,,,0.0,92486,2258,10849,122522,-4009,224106,,1719,35173,42278,-8528,-300,6989,9935,87266,311372,249524,549233,26360,-8380,-34336,532877,,1240,-500000.0,1937.0,-1911,-2110.0,5665.0,-2323.0,-90.0,49503.0,-459921,,898422,-176085.0,,,247337,51046,371339,868977,1240316,1240316,,,,0.0,1101.0,-61848.0,0.0,-11832.0,0.0,0.0,0.0,0.0,-475000.0,0.0,0.0,,,,,,,,,,,,,,,
6145,2014年01月01日至2014年09月30日,,25914,25914,,,16839,985,16499,-19315,-35576,13.0,1485.0,-872.0,-15.0,0,-19957.0,,,0.0,35236,2689,-5017,42238,-3249,71897,,0,-101833,11430,-27889,-374,69706,4800,-44160,27737,7780,33694,23052,-2300,-34374,20072,,1240,-500000.0,1937.0,-862,-2098.0,5474.0,-1852.0,0.0,49503.0,-446658,,320874,-76085.0,0.0,0.0,244789,10300,-171497,868977,697480,697480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2014年01月01日至2014年06月30日,,-31110,-31110,,,12345,770,10724,-12933,-2947,13.0,1485.0,-872.0,,0,8575.0,,,0.0,101430,3268,-7141,39041,5516,142114,,431,-159174,-4336,-28237,47,-2302,574,-192997,-50883,-42308,-73418,4688,-1266,-66691,-136687,,1240,-500000.0,1937.0,-773,-1369.0,2413.0,-3120.0,-54.0,43104.0,-456622,,270000,-76085.0,0.0,,193915,4700,-394694,868977,474283,474283,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2014年01月01日至2014年03月31日,,11344,11344,,,5910,426,4992,-6394,-12920,,1131.0,-872.0,-5.0,0,-7732.0,,,,-28785,40,-7698,25192,-4476,-15727,,37,-16235,-4569,-18737,-451,2786,4578,-32591,-48318,-56050,-44706,2412,-344,-66871,-109509,,937,-500000.0,1937.0,-429,-592.0,1370.0,-3075.0,,43104.0,-456748,,270000,-76085.0,,,193915,9723,-362619,868977,506358,506358,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2013年度,,42556,42556,,,22151,1708,22507,-27197,-50822,580.0,-348.0,0.0,-1405.0,-3643,,,,367.0,-26826,12029,-14859,90386,-6154,54943,,-557,-223999,-5909,-45484,-4565,-96350,2083,-374781,-319838,-354245,-311689,28321,-16612,-102344,-402324,,19378,0.0,0.0,-19800,-19860.0,12664.0,0.0,-372.0,9803.0,-495133,,121956,-135842.0,,,-15611,14636,-898432,1767409,868977,868977,,,,22.0,2040.0,-34407.0,800577.0,-1630960.0,80000.0,6912.0,-210.0,246735.0,0.0,-2188.0,463.0,,,,,,,,,,,,,,,
6145,2013年01月01日至2013年12月31日,,42556,42556,,,22151,1708,22507,-27197,-50822,580.0,-348.0,,,-3643,,,,367.0,-26826,12029,-14859,90386,-6154,54943,,-557,-223999,-5909,-45484,-4565,-96350,2083,-374781,-319838,-354245,-311689,28321,-16612,-102344,-402324,,19378,,0.0,-19800,-19860.0,12664.0,0.0,-372.0,9803.0,-495133,,121956,-135842.0,,,-15611,14636,-898432,1767409,868977,868977,-1405.0,,,22.0,2040.0,-34407.0,800577.0,-1630960.0,80000.0,6912.0,-210.0,246735.0,,-2188.0,463.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,,
6145,2013年01月01日至2013年09月30日,,5047,5047,,,16581,1271,17468,-21452,-16761,3176.0,-348.0,0.0,-1400.0,-442,,,,107.0,-7838,11875,-12589,-51196,-12604,-72269,,-469,-32361,11974,-47725,-3883,-93321,49,-165736,-238005,-237844,-232797,21763,-11665,-102089,-324788,,19378,0.0,0.0,-12080,-10574.0,1740.0,0.0,-216.0,9804.0,-697938,,116733,-204287.0,,,-89279,11679,-1100326,1767409,667083,667083,,,,28.0,2040.0,161.0,800577.0,-1630960.0,80000.0,1408.0,-210.0,43195.0,,-2188.0,463.0,-24.0,,,,,,,,,,,,,,
