公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分採用權益法之投資,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 庫藏股票買回成本,　　　　 其他項目,　　　　　 其他營業負債增加（減少）
2340,2015年01月01日至2015年09月30日,,510234,510234,,,299381,10214,2217,-2371,35265,-19615,-13020,0.0,-24382,-1461,-25385.0,-25597,0.0,28945.0,-395.0,263796.0,,,-160000,13041,252.0,2226,28874,-9335,-109070,-69103,1741,-1683,-303057,,-2474,-76363,-159609,53020,-7493,100131,2053.0,-90735,-393792,-129996,380238,17793,33331,-35366,-16043,379953,,0.0,39456.0,0.0,314875.0,-325168,2444,-22052.0,0.0,-10561,-1006,,1365927.0,-1349351,98760,-229174.0,1051,-408417.0,-521204,8773,-133484,3840208,3706724,3706724,,,,,,,,
2340,2015年01月01日至2015年06月30日,,321003,321003,,,202448,6756,-2965,-3415,24034,-12447,-13020,0.0,-10123,-929,-25385.0,-18466,,28945.0,-269.0,175164.0,,,-100000,459,252.0,11275,27037,-5939,67373,-48555,1741,-418,-46775,,-2494,-125860,-118346,105125,-7403,23094,1318.0,-124566,-171341,3823,324826,11056,13020,-24397,-14293,310212,,0.0,28019.0,0.0,,-181552,1597,-25395.0,,-5121,132423,,924690.0,-998251,0,-163246.0,0,,-236817,-4670,201148,3840208,4041356,4041356,314875.0,-10.0,,,,,,
2340,2015年01月01日至2015年03月31日,,140222,140222,,,103577,3178,7053,-4341,12340,-5833,-13020,0.0,-4039,-1245,,0,,28945.0,-135.0,126480.0,,,-70000,502,252.0,11572,35432,-6110,-7345,-9966,-807,-16894,-63364,,-715,-117433,-72492,63038,-7417,19734,633.0,-114652,-178016,-51536,88686,5466,13020,-12503,-3154,91515,,0.0,,0.0,,-55461,1252,-1463.0,,-3063,-58735,,517161.0,-589950,0,-30768.0,856,,-102701,-1042,-70963,3840208,3769245,3769245,,,,,,,,
2340,2014年度,,667750,667750,,,428171,11628,-12634,-808,56670,-24226,-14720,5276.0,-25835,176,,824,16776.0,,91909.0,,,,-239680,-5658,-252.0,64502,44647,120,-3215,-3163,2021,7499,-133179,,-18189,2682,-31856,26297,-8585,14862,,-12522,-145701,387506,1055256,30789,45187,-56754,-5901,1068577,,-18626.0,0.0,-74429.0,,-288853,321,,-1530.0,-11042,-394159,,2337053.0,-2263179,0,-200980.0,130,-326732.0,-453708,5295,226005,3614203,3840208,3840208,,,,533207.0,2267.0,,,
2340,2014年01月01日至2014年09月30日,,542518,542518,,,319178,8655,-10923,2192,43098,-17673,-14720,5276.0,-15951,17,0.0,824,16776.0,0.0,0.0,336749.0,,,-159528,-4115,0.0,-39135,49521,-7879,-50182,-7812,2410,-8864,-225584,,-18727,61133,-51984,77993,-8850,172067,1691.0,233323,7739,344488,887006,24837,45187,-43082,-4533,909415,,-18626.0,0.0,-74429.0,0.0,-209108,292,0.0,144.0,-9787,-311514,,1737053.0,-1674820,0,-59763.0,131,-326732.0,-324131,-92,273678,3614203,3887881,3887881,,,,,,,,
2340,2014年01月01日至2014年06月30日,,364227,364227,,,216114,5351,-5245,-3334,28653,-11166,-14720,4059.0,-4758,-12,0.0,1131,,0.0,0.0,216073.0,,,-199835,9462,0.0,-130563,47112,2425,49209,-29998,1751,-8998,-259435,,-17737,-57495,-7338,93937,-3877,78937,1197.0,87624,-171811,44262,408489,11395,14720,-27847,-4017,402740,,-68.0,0.0,-74429.0,,-119241,279,-746.0,,-3676,-197881,,2052556.0,-1961556,0,-66405.0,110,,24705,-3612,225952,3614203,3840155,3840155,0.0,0.0,,,,,,
2340,2014年01月01日至2014年03月31日,,188321,188321,,,109261,2714,2627,-1667,13971,-6455,-14720,2010.0,-2795,0,,-27,,0.0,0.0,104919.0,,,-74675,12090,0.0,-19334,46831,-3875,-21309,-17829,908,-25600,-102793,,-14641,-76351,30318,9091,-4635,71386,682.0,15850,-86943,17976,206297,5427,14720,-13759,-504,212181,,-68.0,,-74429.0,,-34114,0,1010.0,,-2496,-110097,,1077306.0,-889488,63863,-96471.0,116,,155326,-278,257132,3614203,3871335,3871335,,,,,,,,
2340,2013年度,,518202,518202,,,450393,9960,29928,722,48236,-20280,-7880,13881.0,-30697,-3695,,-2313,6000.0,,8502.0,,,,-220834,6985,0.0,179324,-44005,-4116,52464,-12978,-380,5128,-38412,,7551,30293,-345685,17334,3583,-19421,,-305000,-343412,159345,677547,16958,27000,-47442,-53700,620363,,-25532.0,3147.0,0.0,,-249515,9897,,13459.0,-10007,-258551,,2066659.0,-2249092,884264,-96471.0,11,-245548.0,359823,9998,731633,2882570,3614203,3614203,,,,502757.0,1345.0,,,
2340,2013年01月01日至2013年12月31日,,518202,518202,,,450393,9960,29928,722,48236,-20280,-7880,13881.0,-30697,-3695,,-2313,6000.0,8502.0,,,,,-220834,6985,,179324,-44005,-4116,52464,-12978,-380,5128,-38412,,7551,30293,-345685,17334,3583,-19421,,-305000,-343412,159345,677547,16958,27000,-47442,-53700,620363,,-25532.0,3147.0,,,-249515,9897,,13459.0,-10007,-258551,,2066659.0,-2249092,884264,-96471.0,11,-245548.0,359823,9998,731633,2882570,3614203,3614203,,,,502757.0,1345.0,0.0,,
2340,2013年01月01日至2013年09月30日,,392455,392455,,,334409,7375,22377,-697,35045,-16477,-7880,11772.0,-23087,-3859,,-2313,6000.0,,-7191.0,,,,-170834,3914,,130709,-62904,-4930,-18919,-15555,-6362,3555,-141326,,-6322,61504,-280170,4881,2904,-8411,,-224680,-366006,-10532,381923,12240,27000,-34575,-52500,334088,,-25533.0,3147.0,0.0,,-204441,9823,,9946.0,-9361,-216419,,1521698.0,-1727970,879094,-72353.0,7,-245050.0,355426,5466,478561,2882570,3361131,3361131,,,,355474.0,934.0,,,
