公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付票據增加（減少）,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 其他金融資產增加,　　 停業單位稅前淨利（淨損）,　　　　　 應收票據（增加）減少,　　 短期借款減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 其他應收款－關係人增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 應付帳款－關係人增加（減少）,　　 存入保證金增加,　　 舉借長期借款,　　 其他應付款－關係人增加,　　 應付租賃款增加
3593,2016年01月01日至2016年09月30日,,-62390,-62390,,,30682,24837,3578,,8449,-264,151,3136.0,,,,-105812,-22393,,,-3918,-113961,,15401,6467,-938,38317,-75644,-934,-63324,264,-23495,-2773,-89328,,,-124931,10,,,-204,,-127165,,402773,,185407,-3851,-34937,94459,59522,59522,,4141.0,,18721.0,0.0,,,-2040.0,,4.0,-428009.0,2016.0,-2579.0,6573.0,,,,,74710.0,10814.0,546.0,73107.0,66458.0,70532.0
3593,2016年01月01日至2016年06月30日,,-58581,-58581,,,21091,16791,2356,,5853,-174,0,2526.0,,,,-29027,-11859,,,-2704,-70427,,-8800,-1439,-2178,-6868,-77295,-7027,-65608,174,-16997,-1678,-84109,,,-86153,0,,,-207,,-83200,,61424,,129435,-1801,-39675,94459,54784,54784,,21825.0,,-27956.0,0.0,,,3160.0,,4.0,-65753.0,2050.0,-935.0,11829.0,,,,,70268.0,-6280.0,417.0,65674.0,67673.0,
3593,2016年01月01日至2016年03月31日,,-26214,-26214,,,9467,8673,0,,2978,-89,0,5091.0,,,,-17753,-3232,,,6312,-38961,,351,-4458,-4046,15876,-23085,760,-25454,89,-10452,-4,-35821,,,-56735,0,,,-3393,,-7626,,41720,-148.0,65501,-1461,20593,94459,115052,115052,,-2275.0,,-25600.0,0.0,,,52502.0,,4.0,-41745.0,2081.0,-773.0,3611.0,,,,,23845.0,20418.0,,65674.0,,
3593,2015年度,,-219101,-219101,,,37787,37033,141,,17250,-476,9436,1410.0,,,,62983,-5792,0.0,,-4622,52089,,253,-1915,-880,16930,69019,203404,-15697,476,-19834,-356,-35411,,,-167689,87859,,,-4462,,-160459,,586660,-156.0,101814,-738,-94794,189253,94459,94459,0.0,-5026.0,36830.0,-11461.0,-15182.0,,,-76167.0,,527.0,-532006.0,1811.0,8643.0,13516.0,0.0,0.0,,,134385.0,21138.0,,47316.0,,
3593,2015年01月01日至2015年09月30日,,-132958,-132958,,,28336,27570,1380,,11625,-462,9353,-2706.0,,,,25607,-11137,0.0,,-17465,2825,,-16741,-4859,7580,-31743,-28918,41700,-91258,462,-7324,-354,-98474,,,-135294,87811,,,-4450,,-116291,,88978,,113309,447,-101009,189253,88244,88244,0.0,-4478.0,0.0,-3413.0,-15528.0,,0.0,-64358.0,,249.0,,319.0,8665.0,-21.0,,,,,70618.0,-2174.0,262.0,24069.0,,
3593,2015年01月01日至2015年06月30日,,-113705,-113705,,,18565,18843,340,,6622,-664,18836,-6402.0,,,,26586,3322,0.0,,-20280,3592,,-27219,-1876,28768,-35602,-32010,35123,-78582,664,-5079,397,-82600,,,-100384,12652,,,-1254,,-137968,,85012,,85259,-2723,-138032,189253,51221,51221,0.0,10993.0,,-9257.0,-14936.0,,,-48982.0,,-596.0,,-2161.0,5978.0,-31.0,,,,,67133.0,-20308.0,247.0,,,
3593,2015年01月01日至2015年03月31日,,-47945,-47945,,,9695,9657,75,,1748,-32,18542,-6402.0,,,,27714,-9170,,,-3953,15085,,-31806,-3168,2894,-18491,-3406,33619,-14326,32,-1748,1034,-15008,,,-48030,7290,,,-197,,-50405,,19737,,19737,-1485,-47161,189253,142092,142092,,3742.0,,-6719.0,-169.0,,,-9468.0,,531.0,,189.0,6493.0,23558.0,,,0.0,,37025.0,-9800.0,,,,
3593,2014年度,,-195452,-195452,,,32881,1039,-3680,0.0,1540,-8066,3463,-35458.0,77189.0,,,18184,33982,1632.0,,-4954,8540,,26372,3190,-403,29236,37776,114965,-80487,8286,-1540,6048,-67693,,0.0,-22646,182521,,-1070.0,-842,0.0,-586805,,-87547,-6.0,-87553,5750,-736301,925554,189253,189253,91014.0,-5544.0,0.0,-41017.0,,0.0,0.0,,,-531.0,,1296.0,-52.0,77.0,-500821.0,-243947.0,0.0,,,,,,,
3593,2014年01月01日至2014年09月30日,,-103825,-103825,,,24534,721,-4230,0.0,1602,-6246,1452,,35136.0,,,12614,155,1632.0,0.0,-1768,-2584,,6445,-6751,10677,10371,7787,42923,-60902,6467,-1602,6013,-50024,,0.0,0,1439,,-59977.0,0,0.0,76805,,10795,-6.0,-91111,4197,-60133,925554,865421,865421,21264.0,0.0,-3961.0,-15217.0,0.0,,135343.0,,,0.0,-101900.0,,,,,,,,,,,,,
3593,2014年01月01日至2014年06月30日,,-106560,-106560,,,21203,471,-3311,0.0,1224,-2526,-23,,53427.0,,,3185,1412,1632.0,0.0,-5336,893,,-4838,-5148,-16364,-26350,-25457,27970,-78590,2637,-626,9591,-66988,,0.0,0,115,,-1030.0,0,172.0,-743,,10404,-6.0,2120,-11132,-76743,925554,848811,848811,36034.0,355.0,,,,,,,0.0,0.0,-8278.0,,,,,,,,,,,,,
3593,2014年01月01日至2014年03月31日,,-29318,-29318,,,10890,307,-722,0.0,618,-1350,0,-5207.0,4502.0,,,6030,4491,0.0,0.0,-3248,7273,,-1831,2478,-17165,-16518,-9245,-4743,-34061,1353,-1224,9589,-24343,,,0,0,0.0,30.0,0,,30,,2480,,2480,-1336,-23169,925554,902385,902385,,-34.0,,,,,,0.0,,,,,,,,,,,,,,,,
3593,2013年度,,-457762,-457762,,,62592,2184,2202,256.0,3391,-10919,31294,-65473.0,186907.0,,,205030,134033,-753.0,,3987,342542,,-196081,-83782,-953,-280790,61752,248659,-209103,10958,-3061,-118,-201324,,-256.0,-50638,10252,,172.0,-1405,4875.0,-13548,,-286477,6.0,-286471,28900,-472443,1397997,925554,925554,100518.0,6840.0,3969.0,0.0,,50053.0,23452.0,,,0.0,,245.0,0.0,26.0,0.0,0.0,0.0,,,,,,,
3593,2013年01月01日至2013年12月31日,,-457762,-457762,,,62592,2184,2202,256.0,3391,-10919,31294,-65473.0,186907.0,,,205030,134033,-753.0,0.0,4232,342542,,-196081,-83756,-953,-280790,61752,248659,-209103,10958,-3061,-118,-201324,,-256.0,-50638,10252,,172.0,-1405,4875.0,-13548,,-286477,6.0,-286471,28900,-472443,1397997,925554,925554,100518.0,6840.0,3969.0,0.0,0.0,50053.0,23452.0,,,,,,,,,,,,,,,,,
3593,2013年01月01日至2013年09月30日,,-420020,-420020,,,54428,1648,-4305,256.0,2899,-8640,31181,-35085.0,199401.0,,,181129,102546,-49.0,-30333.0,6184,259458,,-176221,-60117,914,-235292,24166,223567,-196453,8681,-2377,-30,-190179,,-256.0,-16547,9227,,64.0,-1405,0.0,-8917,,-259080,0.0,-259080,22109,-436067,1397997,961930,961930,101143.0,5823.0,50053.0,-19.0,132.0,,,,,,,,,,,,,,,,,,,
