公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 其他項目,　　　　　 其他金融資產（增加）減少,　　　　　 淨確定福利負債增加(減少),　　 取得備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　　　　 其他營業資產（增加）減少
8249,2015年01月01日至2015年09月30日,,427595,427595,,,132281,24643,5181,9405,-24064,-20414.0,-18091,62,0.0,109003.0,,,113177,-130153,190933,-8983,164974,,20571,9130.0,-8409,-4077,17215,182189,291192,718787,17051,32410.0,-374,-82624,685250,,-95238,0.0,0.0,-1754,-10520.0,0.0,-107512,,0,-62315.0,-241404.0,-303719,17419,291438,1713827,2005265,2005265,,,,,,,,,,,,,
8249,2015年01月01日至2015年06月30日,,211563,211563,,,86614,17237,-737,1516,-15966,-567.0,-4743,0,,83354.0,,,-80559,-91486,146033,11123,-14889,,-13120,10525.0,6213,-3764,-146,-15035,68319,279882,11362,567.0,-373,-47158,244280,,-73415,0.0,0.0,-675,-6036.0,0.0,-80126,,-62315,,0.0,-62315,-2011,99828,1713827,1813655,1813655,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
8249,2015年01月01日至2015年03月31日,,92059,92059,,,43476,8552,-1766,949,-8599,-285.0,-1372,0,,40955.0,,,-17474,71592,125566,18329,198013,,-120860,-6469.0,-32961,-2794,-163084,34929,75884,167943,9999,285.0,-373,-1302,176552,,-25985,0.0,0.0,-75,-15159.0,0.0,-41219,,-62315,,0.0,-62315,3184,76202,1713827,1790029,1790029,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
8249,2014年度,,404348,404348,,,184656,34489,3535,6367,-27965,-21388.0,-15452,19332,23423.0,,,,64623,56693,30102,-9088,142330,,-250387,94028.0,36736,-7368,-127284,15046,222043,626391,28751,28587.0,-4689,-101981,577059,,-79655,122.0,-425.0,-4401,-44007.0,20392.0,-107974,,-57744,,-152466.0,-210210,25240,284115,1429712,1713827,1713827,0.0,0.0,,,0.0,0.0,,0.0,0.0,206997.0,-293.0,0.0,
8249,2014年01月01日至2014年09月30日,,360393,360393,,,135769,25698,3424,4720,-18894,-21125.0,-15004,7281,5234.0,127103.0,,,136595,-215449,133563,-8756,45953,,-178134,113282.0,-4347,-7244,-76443,-30490,96613,457006,13501,28324.0,-1707,-79919,417205,,-52996,12.0,-560.0,-3756,-37976.0,20392.0,-74884,,92008,0.0,-152466.0,-60458,2870,284733,1429712,1714445,1714445,,,,,,,,,,,,,
8249,2014年01月01日至2014年06月30日,,205037,205037,,,92933,16572,450,2807,-12119,-794.0,-9113,6532,,97268.0,,,49268,-101940,71315,-8,18635,,-173095,74668.0,-10958,-7451,-117121,-98486,-1218,203819,11716,794.0,-1576,-52422,162331,,-34670,12.0,-2350.0,-3590,-28749.0,0.0,-69347,,97972,,0.0,97972,-29855,161101,1429712,1590813,1590813,0.0,0.0,0.0,-285.0,0.0,0.0,,,,,,,
8249,2014年01月01日至2014年03月31日,,92630,92630,,,48121,7658,686,1290,-5520,-431.0,-5327,79,,46556.0,,,-21944,-12790,53642,-7748,11160,,-134160,0.0,-39061,-7473,-180868,-169708,-123152,-30522,5315,431.0,-665,-7,-25448,,-9733,0.0,0.0,-625,-6731.0,0.0,-17089,,30676,,0.0,30676,-15833,-27694,1429712,1402018,1402018,0.0,0.0,0.0,-174.0,0.0,0.0,,,,,,,
8249,2013年度,,273814,273814,,,184228,30280,2295,7175,-22932,-16682.0,-7424,3821,0.0,,,,-171800,-139107,-187533,-13919,-512359,,415007,0.0,54700,13943,482956,-29403,154524,428338,23958,20281.0,-5497,-19991,447089,,-63553,0.0,-4.0,-4573,-20450.0,0.0,-87240,,-76707,,-114350.0,-191057,51214,220006,1209706,1429712,1429712,0.0,0.0,,,0.0,0.0,,-424.0,3590.0,183927.0,-694.0,1340.0,
8249,2013年01月01日至2013年12月31日,,273814,273814,,,184228,30280,2295,7175,-22932,-16682.0,-7424,3821,,,,,-171800,-139107,-187533,-13919,-512359,,415007,,54700,13943,482956,-29403,154524,428338,23958,20281.0,-5497,-19991,447089,,-63553,0.0,-4.0,-4573,-20450.0,,-87240,,-76707,,-114350.0,-191057,51214,220006,1209706,1429712,1429712,0.0,0.0,,,0.0,0.0,,-424.0,3590.0,183927.0,-694.0,1340.0,
8249,2013年01月01日至2013年09月30日,,180308,180308,,,137156,22430,3028,5676,-17469,-16240.0,-1559,1302,0.0,,,,-44835,-320619,-30116,-9001,-404571,,348223,0.0,19135,5267,372097,-32474,101850,282158,13367,19838.0,-4167,-15270,295926,,-52380,0.0,0.0,-3496,-16429.0,0.0,-72305,,40673,,-114350.0,-73677,30432,180376,1209706,1390082,1390082,0.0,0.0,,,0.0,0.0,,,,134324.0,-528.0,,
