公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得投資性不動產,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 存出保證金減少,　 籌資活動之現金流量,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　　 預付投資款增加,　　 其他應收款減少,　　 取得無形資產,　　 發放現金股利,　　　　 股利收入,　　　　　 應付票據－關係人增加（減少）,　　 其他應收款－關係人減少,　　 收取之股利,　　 存入保證金減少,　　　　　 應付建造合約款增加（減少）,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　 對子公司之收購（扣除所取得之現金）,　　 處分投資性不動產,　　　　　 其他營業資產（增加）減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 應收票據－關係人（增加）減少,　　　　　 其他營業負債增加（減少）,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資
1618,2015年度,,126257,126257,,,103251,514,7540,96,-5953,110,,37500,831,,,,2019,-756307,,-2859,1378,97352,1297,-657141,,-35227,182045,,,27003,-6192,113818,-543323,-399534,-273277,-96,-1701,-275074,,0.0,0.0,-27037,2,-20478.0,-562,-13453,6441,52245,175,-271988,781581,509593,509593,,-1287.0,,,19450.0,,334.0,-49334.0,,,-63.0,-48173.0,-5555.0,,,5555.0,-1495.0,-53740.0,0.0,,6742.0,0.0,0.0,-21.0,,143789.0,,-71.0,-123395.0,205785.0
1618,2015年01月01日至2015年09月30日,,-29315,-29315,,,78485,386,2626,74,-4923,110,,21500,622,,,,-5008,-244786,,-3055,-720,-89635,-31826,-375060,,-35610,241099,,,23213,-7254,167289,-207771,-109903,-139218,-74,-1565,-140857,,,0.0,-21677,2,-13112.0,-37,-2169,5073,5878,183,-183965,781581,597616,597616,,-1012.0,,,13681.0,,4.0,-49169.0,,,,-48173.0,,,,,-1000.0,-54160.0,0.0,0.0,,0.0,0.0,-30.0,,97868.0,,1.0,-75584.0,99701.0
1618,2015年01月01日至2015年06月30日,,-71787,-71787,,,53026,257,928,48,-3627,110,,16000,222,,,,-9253,-74448,-10514.0,-3404,-4219,59420,-4141,-46512,,-29839,98291,26516.0,,20047,27470,87151,40639,106558,34771,-48,-1430,33293,,,,-11777,2,-8757.0,-37,-1297,3720,15401,-119,47579,781581,829160,829160,,-1045.0,,,9430.0,,4.0,-996.0,,,,,,-445.0,,,-1000.0,-54899.0,,,,,,10.0,,65919.0,37.0,10.0,-75584.0,99701.0
1618,2015年01月01日至2015年03月31日,,-53830,-53830,,,27141,128,1565,23,-1804,0,,27000,384,,,,-6111,-131147,-4068.0,592,3549,54709,1021,-81418,,1917,92490,,,-830,-220,44078,-37340,16785,-37045,-23,-187,-37255,,,,-5794,0,0.0,-37,-949,1875,15708,-53,-22600,781581,758981,758981,0.0,-312.0,,,1496.0,,,-1000.0,,,,,,-445.0,,,-1000.0,-48835.0,,,,,,,,54125.0,37.0,1.0,-1084.0,20201.0
1618,2014年度,,-28369,-28369,,,116390,840,-861,108,-6696,-18092,,16197,-1004,73252.0,,,9678,69619,253.0,-684,-6137,-104810,-323,-32363,,-12834,-122499,0.0,,-7342,-4122,-230531,-262894,-189642,-218011,-108,-6626,-224745,,0.0,3040.0,-12863,44025,-2508.0,-247,-9273,6347,195021,280,-29444,811025,781581,781581,,-829.0,-227694.0,240554.0,0.0,,,0.0,,,0.0,0.0,-5935.0,-44614.0,,5935.0,,-39120.0,-26866.0,,,-203.0,147908.0,41.0,,,,,,
1618,2014年01月01日至2014年09月30日,,-4202,-4202,,,88338,669,-48,84,-4794,-18092,,13000,-661,54391.0,,,5648,-13396,91.0,-1964,-7140,-126077,32,-142806,,1542,-86629,0.0,,-6688,992,-174220,-317026,-262635,-266837,-84,-6435,-273356,,0.0,3200.0,-8983,44025,-1439.0,-120,-9138,4455,216847,94,-56415,811025,754610,754610,,224.0,-103738.0,140880.0,0.0,,,0.0,,,0.0,0.0,,-45059.0,,,,-38378.0,-26866.0,-160.0,2697.0,-203.0,147908.0,,,,,,,
1618,2014年01月01日至2014年06月30日,,-42709,-42709,,,59761,415,2017,59,-3223,-910,,11000,686,70124.0,,,1040,-207291,9.0,0,-9638,3881,780,-211219,,-2068,-61767,0.0,,-6907,8965,-109174,-320393,-250269,-292978,-59,-6282,-299319,,0.0,0.0,-4851,910,,0,-1715,2909,32692,10,-266617,811025,544408,544408,,319.0,-89380.0,126255.0,-1436.0,,0.0,0.0,,,,,,-45059.0,,,,-2338.0,,,,,,,,,,,,
1618,2014年01月01日至2014年03月31日,,-14992,-14992,,,30437,207,709,29,-1625,-910,0.0,13000,187,42529.0,,,9593,-94442,3.0,0,-8865,-90005,4998,-178718,,662,-20786,0.0,,257,10869,-59884,-238602,-196073,-211065,-29,-131,-211225,,0.0,,-1717,910,-1588.0,0,-720,1314,-16681,102,-227804,811025,583221,583221,0.0,495.0,-14880.0,,,,,,,,,,,-39375.0,,,,-11511.0,,,,,,,,,,,,
1618,2013年度,,-64308,-64308,,,158604,562,-214,122,-5263,0,,70243,-177,208791.0,,,-10874,20660,11408.0,5603,1537,284105,312,312751,,-48522,13131,-44826.0,,-24763,2414,-130459,182292,391083,326775,-124,-37237,289414,,-56619.0,0.0,-10455,0,0.0,-4480,-5632,5180,-171558,112,-2464,813489,811025,811025,,-1777.0,-172000.0,59500.0,468.0,,,-120432.0,,,-829.0,-120432.0,-13309.0,45033.0,,13309.0,,-72926.0,0.0,,,0.0,0.0,0.0,,,,,,
1618,2013年01月01日至2013年12月31日,,-64308,-64308,,,158604,562,-214,122,-5263,0,0.0,70243,-177,208791.0,,,-10874,20660,11408.0,5603,1537,284105,312,312751,,-48522,13131,-44826.0,-72926.0,-24763,2414,-130459,182292,391083,326775,-124,-37237,289414,,-56619.0,0.0,-10455,0,,-4480,-5632,5180,-171558,112,-2464,813489,811025,811025,,-1777.0,-172000.0,59500.0,468.0,,,-120432.0,,,-829.0,-120432.0,-13309.0,45033.0,0.0,13309.0,0.0,,,,,,,,,,,,,
